# Weather station Madrid / Cuatro Vientos (airport), Spain, WMO_ID=8223,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8223&lang=en
#
"Local time in Madrid / Cuatro Vientos (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.08.2020 13:00";"30.8";"697.9";"753.1";"";"29";"Wind blowing from the west";"5";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"10.7";"No precipitation";"6";"";"";"";"";
"28.08.2020 07:00";"22.8";"699.4";"756.3";"";"56";"Wind blowing from the north-west";"3";"";"";"40%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"13.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"20.0";"";"";
"27.08.2020 19:00";"34.8";"701.5";"756.2";"";"37";"Wind blowing from the south-southwest";"3";"";"";"20–30%.";" ";"";"";"";"36.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"17.9";"No precipitation";"12";"";"";"";"";
"27.08.2020 13:00";"34.4";"704.5";"759.7";"";"22";"Wind blowing from the south";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"9.6";"No precipitation";"6";"";"";"";"";
"27.08.2020 07:00";"22.4";"705.1";"762.6";"";"47";"Wind blowing from the north-northeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"10.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"26.08.2020 19:00";"35.0";"704.3";"759.4";"";"18";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"37.1";"";"";"";"";"";"30.0";"7.1";"No precipitation";"12";"";"";"";"";
"26.08.2020 13:00";"34.4";"705.2";"760.4";"";"23";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"10.3";"No precipitation";"6";"";"";"";"";
"26.08.2020 07:00";"20.8";"705.0";"762.8";"";"48";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"20.4";"";"";"";"";"";"";"30.0";"9.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"25.08.2020 19:00";"34.2";"702.6";"757.7";"";"17";"Wind blowing from the south-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"36.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"5.7";"No precipitation";"12";"";"";"";"";
"25.08.2020 13:00";"32.7";"703.9";"759.2";"";"33";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"14.3";"No precipitation";"6";"";"";"";"";
"25.08.2020 07:00";"20.9";"703.5";"761.2";"";"48";"Wind blowing from the north";"2";"";"";"10%  or less, but not 0";"Clouds generally dissolving or becoming less developed. ";"";"";"20.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"9.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"24.08.2020 19:00";"32.4";"702.1";"757.5";"";"28";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"";"33.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"30.0";"11.6";"No precipitation";"12";"";"";"";"";
"24.08.2020 13:00";"29.9";"704.2";"760.0";"";"44";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"30.0";"16.3";"No precipitation";"6";"";"";"";"";
"24.08.2020 07:00";"19.6";"704.6";"762.7";"";"56";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"19.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"10.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"19.0";"";"";
"23.08.2020 19:00";"32.0";"704.0";"759.6";"";"24";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"8.9";"No precipitation";"12";"";"";"";"";
"23.08.2020 13:00";"30.6";"706.3";"762.3";"";"27";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.5";"No precipitation";"6";"";"";"";"";
"23.08.2020 07:00";"19.0";"706.9";"765.3";"";"49";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"30.0";"8.1";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"22.08.2020 19:00";"31.4";"705.6";"761.5";"";"21";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"6.5";"No precipitation";"12";"";"";"";"";
"22.08.2020 13:00";"29.4";"707.3";"763.6";"";"32";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"11.0";"No precipitation";"6";"";"";"";"";
"22.08.2020 07:00";"19.6";"706.9";"765.0";"";"70";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"18.9";"";"";"";"";"";"";"30.0";"14.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"21.08.2020 19:00";"30.4";"703.1";"758.8";"";"37";"Wind blowing from the south-west";"6";"";"";"20–30%.";" ";"";"";"";"32.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.1";"No precipitation";"12";"";"";"";"";
"21.08.2020 13:00";"29.4";"703.5";"759.4";"";"43";"Wind blowing from the south-southwest";"7";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"15.5";"No precipitation";"6";"";"";"";"";
"21.08.2020 07:00";"20.8";"702.1";"759.4";"";"84";"Wind blowing from the west-southwest";"3";"";"";"10%  or less, but not 0";" ";"";"";"20.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"18.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"18.0";"";"";
"20.08.2020 19:00";"32.7";"698.5";"753.7";"";"9";"Wind blowing from the south-west";"7";"";"";"60%.";" ";"";"";"";"35.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"30.0";"-4.3";"No precipitation";"12";"";"";"";"";
"20.08.2020 13:00";"31.1";"699.8";"755.3";"";"15";"Wind blowing from the south";"7";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"1.4";"No precipitation";"6";"";"";"";"";
"20.08.2020 07:00";"17.8";"699.5";"757.6";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";"Cloud development not observed or not observable. ";"";"";"17.3";"";"";"";"";"";"";"30.0";"5.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"15.0";"";"";
"19.08.2020 19:00";"31.1";"698.2";"753.6";"";"21";"Wind blowing from the west-southwest";"4";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"30.0";"6.2";"No precipitation";"12";"";"";"";"";
"19.08.2020 13:00";"30.2";"700.4";"756.1";"";"21";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"5.5";"No precipitation";"6";"";"";"";"";
"19.08.2020 07:00";"18.3";"701.0";"759.0";"";"74";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"30.0";"13.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"18.08.2020 19:00";"29.2";"701.6";"757.5";"";"35";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"31.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"30.0";"12.2";"No precipitation";"12";"";"";"";"";
"18.08.2020 13:00";"26.8";"703.3";"759.7";"";"45";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"13.9";"No precipitation";"6";"";"";"";"";
"18.08.2020 07:00";"18.5";"703.1";"761.2";"";"77";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"";"";"18.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"14.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"16.0";"";"";
"17.08.2020 19:00";"27.3";"702.1";"758.4";"";"33";"Wind blowing from the west-southwest";"5";"";"";"60%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"9.6";"No precipitation";"12";"";"";"";"";
"17.08.2020 13:00";"25.7";"703.3";"760.0";"";"39";"Wind blowing from the south-west";"6";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"10.7";"No precipitation";"6";"";"";"";"";
"17.08.2020 07:00";"16.5";"703.0";"761.5";"";"73";"Wind blowing from the west-southwest";"2";"";"";"10%  or less, but not 0";"Cloud development not observed or not observable. ";"";"";"16.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.6";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"16.08.2020 19:00";"27.1";"701.6";"758.0";"";"28";"Wind blowing from the south-west";"5";"";"";"20–30%.";" ";"";"";"";"28.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"30.0";"7.0";"No precipitation";"12";"";"";"";"";
"16.08.2020 13:00";"25.3";"702.7";"759.4";"";"32";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"7.4";"No precipitation";"6";"";"";"";"";
"16.08.2020 07:00";"15.2";"702.4";"761.2";"";"64";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"30.0";"8.4";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"12.0";"";"";
"15.08.2020 19:00";"27.5";"700.7";"757.0";"";"15";"Wind blowing from the south-west";"8";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"30.0";"-1.4";"No precipitation";"12";"";"";"";"";
"15.08.2020 13:00";"27.7";"702.1";"758.5";"";"18";"Wind blowing from the south-southwest";"7";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"30.0";"1.2";"No precipitation";"6";"";"";"";"";
"15.08.2020 07:00";"17.6";"702.1";"760.3";"";"55";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"30.0";"8.5";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"14.08.2020 19:00";"30.6";"700.6";"756.2";"";"27";"Wind blowing from the west-southwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"9.5";"No precipitation";"12";"";"";"";"";
"14.08.2020 13:00";"30.6";"702.3";"757.9";"";"30";"Wind blowing from the south-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"11.1";"No precipitation";"6";"";"";"";"";
"14.08.2020 07:00";"18.6";"702.9";"760.9";"";"70";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"30.0";"13.0";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"17.0";"";"";
"13.08.2020 19:00";"29.0";"702.4";"758.4";"";"29";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"9.2";"No precipitation";"12";"";"";"";"";
"13.08.2020 13:00";"27.3";"703.9";"760.3";"";"41";"Wind blowing from the south";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"12.9";"No precipitation";"6";"";"";"";"";
"13.08.2020 07:00";"17.4";"703.3";"761.6";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"30.0";"13.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"14.0";"";"";
"12.08.2020 19:00";"26.2";"701.5";"758.0";"";"39";"Wind blowing from the south-southwest";"6";"";"";"20–30%.";" ";"";"";"";"28.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"30.0";"11.2";"No precipitation";"12";"";"";"";"";
"12.08.2020 13:00";"24.0";"703.0";"759.9";"";"58";"Wind blowing from the south-southeast";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"15.2";"No precipitation";"6";"";"";"";"";
"12.08.2020 07:00";"14.8";"702.7";"761.5";"";"96";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"14.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.2";"Trace of precipitation";"12";"Surface of ground moist.";"13.0";"";"";
"11.08.2020 19:00";"17.2";"701.5";"759.6";"";"90";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"25.7";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"20.0";"15.5";"22.0";"3";"";"";"";"";
"11.08.2020 13:00";"18.8";"703.6";"761.5";"";"94";"Wind blowing from the west-northwest";"3";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"30.0";"17.8";"13.0";"1";"";"";"";"";
"11.08.2020 07:00";"22.7";"701.4";"758.5";"";"58";"Wind blowing from the east-northeast";"3";"";"";"60%.";" ";"";"";"22.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"14.0";"0.7";"12";"Surface of ground moist.";"18.0";"";"";
"10.08.2020 19:00";"31.3";"700.1";"755.5";"";"25";"Wind blowing from the south-southeast";"4";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"8.9";"0.1";"12";"";"";"";"";
"10.08.2020 13:00";"29.3";"702.1";"758.0";"";"36";"Wind blowing from the south-east";"4";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"10.0";"12.7";"0.1";"6";"";"";"";"";
"10.08.2020 07:00";"21.4";"701.3";"758.6";"";"69";"Wind blowing from the south-southeast";"3";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"";"Thunderstorm(s) with or without precipitation.";"21.4";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"8.0";"15.5";"1.0";"18";"Surface of ground wet (standing water in small or large pools on surface).";"18.0";"";"";
