# Weather station London City (airport), UK, METAR=EGLC,selection from 03.04.2020 till 01.09.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGLC&lang=en
#
"Local time in London City (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.08.2020 06:50";"12.0";"766.2";"766.6";"77";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 06:20";"11.0";"766.2";"766.6";"88";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 05:50";"11.0";"766.2";"766.6";"88";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 05:20";"11.0";"766.2";"766.6";"88";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 04:50";"11.0";"765.4";"765.8";"82";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 04:20";"11.0";"765.4";"765.8";"88";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 03:50";"12.0";"765.4";"765.8";"82";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"31.08.2020 03:20";"11.0";"765.4";"765.8";"82";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 02:50";"12.0";"765.4";"765.8";"77";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 02:20";"12.0";"765.4";"765.8";"77";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 01:50";"12.0";"765.4";"765.8";"77";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 01:20";"13.0";"765.4";"765.8";"72";"Wind blowing from the west-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 00:50";"13.0";"765.4";"765.8";"72";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"31.08.2020 00:20";"13.0";"765.4";"765.8";"72";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 23:50";"13.0";"765.4";"765.8";"72";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 23:20";"13.0";"765.4";"765.8";"72";"Wind blowing from the north-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 22:50";"14.0";"765.4";"765.8";"67";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 22:20";"14.0";"765.4";"765.8";"67";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 21:50";"14.0";"765.4";"765.8";"67";"Wind blowing from the north";"2";"";"";"";"No Significant Clouds";"10.0 and more";"8.0";
"30.08.2020 21:20";"14.0";"765.4";"765.8";"63";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"30.08.2020 20:50";"14.0";"765.4";"765.8";"63";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"30.08.2020 20:20";"14.0";"764.6";"765.0";"63";"Wind blowing from the north";"3";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"30.08.2020 19:50";"15.0";"764.6";"765.0";"59";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"30.08.2020 19:20";"15.0";"764.6";"765.0";"59";"Wind blowing from the north-northwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"7.0";
"30.08.2020 18:50";"15.0";"763.9";"764.3";"55";"Wind blowing from the north";"3";"";"";"";"No Significant Clouds";"10.0 and more";"6.0";
"30.08.2020 18:20";"16.0";"763.9";"764.3";"48";"Wind blowing from the north";"4";"";"";"";"No Significant Clouds";"10.0 and more";"5.0";
"30.08.2020 17:50";"16.0";"763.9";"764.3";"52";"Wind blowing from the north";"4";"";"";"";"Scattered clouds (40-50%) 1440 m";"10.0 and more";"6.0";
"30.08.2020 17:20";"17.0";"763.9";"764.3";"45";"Wind blowing from the north";"4";"";"";"";"Scattered clouds (40-50%) 1470 m";"10.0 and more";"5.0";
"30.08.2020 16:50";"17.0";"763.9";"764.3";"49";"Wind blowing from the north-northeast";"4";"";"";"";"Broken clouds (60-90%) 1290 m";"10.0 and more";"6.0";
"30.08.2020 16:20";"17.0";"763.9";"764.3";"52";"Wind blowing from the north";"4";"";"";"";"Broken clouds (60-90%) 1410 m";"10.0 and more";"7.0";
"30.08.2020 15:50";"17.0";"763.9";"764.3";"49";"Wind blowing from the north";"4";"";"";"";"Overcast (100%) 1350 m";"10.0 and more";"6.0";
"30.08.2020 15:20";"16.0";"763.9";"764.3";"55";"Wind blowing from the north";"3";"";"";"";"Overcast (100%) 1170 m";"10.0 and more";"7.0";
"30.08.2020 14:50";"17.0";"763.1";"763.5";"52";"Wind blowing from the north";"5";"";"";"";"Broken clouds (60-90%) 1230 m, broken clouds (60-90%) 1440 m";"10.0 and more";"7.0";
"30.08.2020 14:20";"17.0";"763.1";"763.5";"52";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 1200 m";"10.0 and more";"7.0";
"30.08.2020 13:50";"16.0";"763.1";"763.5";"59";"Wind blowing from the north";"4";"";"";"";"Overcast (100%) 1140 m";"10.0 and more";"8.0";
"30.08.2020 13:20";"16.0";"763.1";"763.5";"59";"Wind blowing from the north";"5";"";"";"";"Broken clouds (60-90%) 1050 m, overcast (100%) 1320 m";"10.0 and more";"8.0";
"30.08.2020 12:50";"16.0";"763.1";"763.5";"59";"Wind blowing from the north";"4";"";"";"";"Overcast (100%) 1020 m";"10.0 and more";"8.0";
"30.08.2020 12:20";"16.0";"763.1";"763.5";"59";"Wind blowing from the north";"4";"";"";"";"Overcast (100%) 900 m";"10.0 and more";"8.0";
"30.08.2020 11:50";"16.0";"763.1";"763.5";"63";"Wind blowing from the north";"4";"";"";"";"Broken clouds (60-90%) 870 m, overcast (100%) 1200 m";"10.0 and more";"9.0";
"30.08.2020 11:20";"16.0";"762.4";"762.8";"63";"Wind blowing from the north";"5";"";"";"";"Scattered clouds (40-50%) 840 m, overcast (100%) 1050 m";"10.0 and more";"9.0";
"30.08.2020 10:50";"16.0";"762.4";"762.8";"63";"variable wind direction";"5";"";"";"";"Scattered clouds (40-50%) 810 m, overcast (100%) 1080 m";"10.0 and more";"9.0";
"30.08.2020 10:20";"16.0";"762.4";"762.8";"68";"Wind blowing from the north";"6";"";"";"";"Scattered clouds (40-50%) 780 m, broken clouds (60-90%) 1080 m";"10.0 and more";"10.0";
"30.08.2020 09:50";"16.0";"762.4";"762.8";"63";"Wind blowing from the north";"5";"10";"";"";"Broken clouds (60-90%) 750 m, broken clouds (60-90%) 1290 m";"10.0 and more";"9.0";
"30.08.2020 09:20";"15.0";"761.6";"762.0";"68";"Wind blowing from the north";"5";"";"";"";"Scattered clouds (40-50%) 690 m";"10.0 and more";"9.0";
"30.08.2020 08:50";"15.0";"761.6";"762.0";"72";"Wind blowing from the north";"7";"";"";"";"Scattered clouds (40-50%) 630 m";"10.0 and more";"10.0";
"30.08.2020 08:20";"14.0";"761.6";"762.0";"72";"Wind blowing from the north";"6";"";"";"";"Broken clouds (60-90%) 540 m";"10.0 and more";"9.0";
"30.08.2020 07:50";"13.0";"761.6";"762.0";"77";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 510 m";"10.0 and more";"9.0";
"30.08.2020 07:20";"13.0";"761.6";"762.0";"77";"Wind blowing from the north-northwest";"5";"11";"";"";"Broken clouds (60-90%) 480 m";"10.0 and more";"9.0";
"30.08.2020 06:50";"13.0";"760.8";"761.2";"77";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 480 m";"10.0 and more";"9.0";
"30.08.2020 06:20";"13.0";"760.8";"761.2";"77";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 450 m";"10.0 and more";"9.0";
"30.08.2020 05:50";"13.0";"760.8";"761.2";"77";"Wind blowing from the north-northwest";"4";"";"";"";"Broken clouds (60-90%) 450 m, overcast (100%) 810 m";"10.0 and more";"9.0";
"30.08.2020 05:20";"13.0";"760.8";"761.2";"82";"Wind blowing from the north-west";"4";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"30.08.2020 04:50";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-northwest";"4";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"30.08.2020 04:20";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-west";"5";"10";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"30.08.2020 03:50";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-northwest";"6";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"10.0";
"30.08.2020 03:20";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"10.0";
"30.08.2020 02:50";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 330 m";"10.0 and more";"10.0";
"30.08.2020 02:20";"13.0";"760.1";"760.5";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 360 m, overcast (100%) 540 m";"10.0 and more";"10.0";
"30.08.2020 01:50";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"6";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"10.0";
"30.08.2020 01:20";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"10.0";
"30.08.2020 00:50";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"10.0";
"30.08.2020 00:20";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"29.08.2020 23:50";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"5";"10";"";"";"Overcast (100%) 390 m";"10.0 and more";"10.0";
"29.08.2020 23:20";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"5";"10";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"29.08.2020 22:50";"13.0";"759.3";"759.7";"82";"variable wind direction";"4";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"10.0";
"29.08.2020 22:20";"13.0";"759.3";"759.7";"82";"Wind blowing from the north-northwest";"4";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"10.0";
"29.08.2020 21:50";"13.0";"758.6";"759.0";"88";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 300 m, overcast (100%) 450 m";"10.0 and more";"11.0";
"29.08.2020 21:20";"13.0";"758.6";"759.0";"88";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 300 m, overcast (100%) 810 m";"10.0 and more";"11.0";
"29.08.2020 20:50";"13.0";"758.6";"759.0";"88";"Wind blowing from the north-west";"4";"";"";"";"Broken clouds (60-90%) 300 m, overcast (100%) 570 m";"10.0 and more";"11.0";
"29.08.2020 20:20";"13.0";"758.6";"759.0";"88";"Wind blowing from the west-northwest";"5";"";"";"";"Broken clouds (60-90%) 300 m, overcast (100%) 420 m";"10.0 and more";"11.0";
"29.08.2020 19:50";"13.0";"758.6";"759.0";"88";"Wind blowing from the west-northwest";"5";"";"";"";"Broken clouds (60-90%) 270 m, overcast (100%) 540 m";"10.0 and more";"11.0";
"29.08.2020 19:20";"13.0";"757.8";"758.2";"88";"Wind blowing from the west-northwest";"6";"";"Light rain";"";"Overcast (100%) 270 m, cumulus congestus of great vertical extent";"6.0";"11.0";
"29.08.2020 18:50";"13.0";"757.8";"758.2";"82";"Wind blowing from the west-northwest";"6";"";"Light rain";"";"Broken clouds (60-90%) 360 m, overcast (100%) 720 m, cumulus congestus of great vertical extent";"10.0 and more";"10.0";
"29.08.2020 18:20";"13.0";"757.8";"758.2";"82";"Wind blowing from the west-northwest";"6";"11";"Light rain";"";"Broken clouds (60-90%) 390 m, overcast (100%) 720 m, cumulus congestus of great vertical extent";"10.0 and more";"10.0";
"29.08.2020 17:50";"14.0";"757.8";"758.2";"77";"Wind blowing from the west-northwest";"7";"";"";"";"Broken clouds (60-90%) 480 m, overcast (100%) 930 m";"10.0 and more";"10.0";
"29.08.2020 17:20";"14.0";"757.8";"758.2";"72";"Wind blowing from the west-northwest";"7";"";"";"";"Broken clouds (60-90%) 570 m, overcast (100%) 780 m";"10.0 and more";"9.0";
"29.08.2020 16:50";"14.0";"757.8";"758.2";"72";"Wind blowing from the west-northwest";"7";"";"";"";"Overcast (100%) 600 m";"10.0 and more";"9.0";
"29.08.2020 16:20";"14.0";"757.3";"757.7";"72";"Wind blowing from the west-northwest";"7";"";"";"";"Overcast (100%) 660 m";"10.0 and more";"9.0";
"29.08.2020 15:50";"14.0";"757.3";"757.7";"72";"Wind blowing from the north-west";"6";"";"";"";"Broken clouds (60-90%) 690 m, overcast (100%) 1050 m";"10.0 and more";"9.0";
"29.08.2020 15:20";"15.0";"757.3";"757.7";"68";"Wind blowing from the north-west";"5";"";"";"";"Broken clouds (60-90%) 720 m, overcast (100%) 1050 m";"10.0 and more";"9.0";
"29.08.2020 14:50";"15.0";"757.3";"757.7";"68";"Wind blowing from the north-west";"6";"";"";"";"Few clouds (10-30%) 690 m, scattered clouds (40-50%) 870 m, overcast (100%) 1020 m";"10.0 and more";"9.0";
"29.08.2020 14:20";"15.0";"757.3";"757.7";"68";"Wind blowing from the north-west";"5";"";"Light rain";"";"Few clouds (10-30%) 720 m, scattered clouds (40-50%) 870 m, broken clouds (60-90%) 1050 m";"10.0 and more";"9.0";
"29.08.2020 13:50";"15.0";"757.3";"757.7";"68";"Wind blowing from the north-west";"5";"";"";"";"Scattered clouds (40-50%) 810 m, broken clouds (60-90%) 930 m";"10.0 and more";"9.0";
"29.08.2020 13:20";"15.0";"757.3";"757.7";"68";"Wind blowing from the north-west";"5";"";"";"";"Overcast (100%) 780 m";"10.0 and more";"9.0";
"29.08.2020 12:50";"15.0";"756.5";"756.9";"68";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 750 m, overcast (100%) 900 m";"10.0 and more";"9.0";
"29.08.2020 12:20";"15.0";"756.5";"756.9";"68";"Wind blowing from the north-west";"5";"";"";"";"Broken clouds (60-90%) 750 m, overcast (100%) 990 m";"10.0 and more";"9.0";
"29.08.2020 11:50";"15.0";"756.5";"756.9";"68";"Wind blowing from the north-west";"5";"";"";"";"Scattered clouds (40-50%) 780 m, overcast (100%) 960 m";"10.0 and more";"9.0";
"29.08.2020 11:20";"15.0";"755.8";"756.2";"68";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 720 m, broken clouds (60-90%) 870 m";"10.0 and more";"9.0";
"29.08.2020 10:50";"15.0";"755.8";"756.2";"68";"Wind blowing from the north";"5";"";"";"";"Broken clouds (60-90%) 720 m, overcast (100%) 840 m";"10.0 and more";"9.0";
"29.08.2020 10:20";"14.0";"755.8";"756.2";"72";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 630 m, overcast (100%) 870 m";"10.0 and more";"9.0";
"29.08.2020 09:50";"14.0";"755.8";"756.2";"72";"Wind blowing from the north-northwest";"6";"";"";"";"Broken clouds (60-90%) 570 m, overcast (100%) 750 m";"10.0 and more";"9.0";
"29.08.2020 09:20";"14.0";"755.8";"756.2";"72";"Wind blowing from the north-northwest";"6";"";"";"";"Overcast (100%) 570 m";"10.0 and more";"9.0";
"29.08.2020 08:50";"14.0";"755.0";"755.4";"72";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 540 m";"10.0 and more";"9.0";
"29.08.2020 08:20";"14.0";"755.0";"755.4";"77";"Wind blowing from the north-northwest";"5";"";"";"";"Overcast (100%) 540 m";"10.0 and more";"10.0";
"29.08.2020 07:50";"14.0";"755.0";"755.4";"72";"Wind blowing from the north-northwest";"7";"12";"";"";"Broken clouds (60-90%) 570 m";"10.0 and more";"9.0";
"29.08.2020 07:20";"14.0";"754.2";"754.6";"77";"Wind blowing from the north-northwest";"6";"13";"";"";"Broken clouds (60-90%) 540 m, broken clouds (60-90%) 660 m";"10.0 and more";"10.0";
"29.08.2020 06:50";"14.0";"754.2";"754.6";"77";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 510 m, overcast (100%) 1260 m";"10.0 and more";"10.0";
"29.08.2020 06:20";"14.0";"753.5";"753.9";"77";"Wind blowing from the north-northwest";"5";"";"Light rain";"";"Broken clouds (60-90%) 510 m, overcast (100%) 1380 m";"10.0 and more";"10.0";
"29.08.2020 05:50";"13.0";"753.5";"753.9";"88";"Wind blowing from the north-west";"4";"";"Light rain";"";"Broken clouds (60-90%) 420 m, overcast (100%) 690 m";"10.0 and more";"11.0";
"29.08.2020 05:20";"13.0";"753.5";"753.9";"88";"Wind blowing from the north-northwest";"4";"";"Light rain";"";"Broken clouds (60-90%) 420 m, overcast (100%) 1110 m";"10.0 and more";"11.0";
"29.08.2020 04:50";"13.0";"752.7";"753.1";"88";"Wind blowing from the north-northwest";"4";"";"Light rain";"";"Broken clouds (60-90%) 390 m, overcast (100%) 1200 m";"10.0 and more";"11.0";
"29.08.2020 04:20";"13.0";"752.7";"753.1";"88";"Wind blowing from the north-west";"4";"";"Light rain";"";"Broken clouds (60-90%) 420 m, cumulus congestus of great vertical extent";"10.0 and more";"11.0";
"29.08.2020 03:50";"13.0";"752.7";"753.1";"88";"Wind blowing from the north-northwest";"4";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"11.0";
"29.08.2020 03:20";"13.0";"751.9";"752.3";"88";"Wind blowing from the north-northwest";"5";"";"Light rain";"";"Broken clouds (60-90%) 330 m, overcast (100%) 480 m";"10.0 and more";"11.0";
"29.08.2020 02:50";"13.0";"751.9";"752.3";"82";"Wind blowing from the north-northwest";"5";"";"";"";"Broken clouds (60-90%) 420 m, overcast (100%) 570 m";"10.0 and more";"10.0";
"29.08.2020 02:20";"13.0";"751.9";"752.3";"82";"Wind blowing from the north-northwest";"5";"10";"Light rain";"";"Overcast (100%) 450 m";"10.0 and more";"10.0";
"29.08.2020 01:50";"13.0";"751.9";"752.3";"82";"Wind blowing from the north-northwest";"6";"11";"";"";"Overcast (100%) 450 m";"10.0 and more";"10.0";
"29.08.2020 01:20";"13.0";"751.2";"751.6";"88";"Wind blowing from the north-northwest";"5";"";"Light rain";"";"Broken clouds (60-90%) 390 m, overcast (100%) 570 m";"10.0 and more";"11.0";
"29.08.2020 00:50";"13.0";"751.2";"751.6";"88";"Wind blowing from the north-northwest";"6";"";"Light drizzle";"";"Broken clouds (60-90%) 270 m, overcast (100%) 420 m, cumulus congestus of great vertical extent";"5.0";"11.0";
"29.08.2020 00:20";"12.0";"751.2";"751.6";"94";"Wind blowing from the north-west";"5";"11";"Light drizzle";"";"Broken clouds (60-90%) 240 m, broken clouds (60-90%) 360 m, overcast (100%) 510 m, cumulus congestus of great vertical extent";"3.8";"11.0";
"28.08.2020 23:50";"12.0";"751.2";"751.6";"94";"Wind blowing from the north-west";"5";"";"Light drizzle";"";"Broken clouds (60-90%) 270 m, overcast (100%) 720 m";"4.9";"11.0";
"28.08.2020 23:20";"12.0";"750.4";"750.8";"94";"Wind blowing from the north-west";"6";"";"Light drizzle";"Rain, drizzle";"Broken clouds (60-90%) 270 m, broken clouds (60-90%) 360 m, overcast (100%) 1170 m";"4.4";"11.0";
"28.08.2020 22:50";"13.0";"750.4";"750.8";"88";"Wind blowing from the north-west";"8";"";"Rain, drizzle";"";"Broken clouds (60-90%) 240 m, broken clouds (60-90%) 390 m, overcast (100%) 630 m";"4.7";"11.0";
"28.08.2020 22:20";"13.0";"750.4";"750.8";"88";"Wind blowing from the west-northwest";"8";"13";"Light rain";"";"Broken clouds (60-90%) 300 m, broken clouds (60-90%) 420 m, overcast (100%) 630 m";"6.0";"11.0";
"28.08.2020 21:50";"13.0";"750.4";"750.8";"88";"Wind blowing from the west-northwest";"7";"";"Light rain";"Rain";"Broken clouds (60-90%) 300 m, overcast (100%) 540 m, cumulus congestus of great vertical extent";"10.0 and more";"11.0";
"28.08.2020 21:20";"13.0";"750.4";"750.8";"88";"Wind blowing from the west";"8";"13";"Rain";"";"Broken clouds (60-90%) 330 m, broken clouds (60-90%) 510 m, overcast (100%) 840 m, cumulus congestus of great vertical extent";"4.6";"11.0";
"28.08.2020 20:50";"14.0";"750.4";"750.8";"77";"Wind blowing from the west-northwest";"8";"";"Light rain";"";"Broken clouds (60-90%) 570 m, overcast (100%) 810 m, cumulus congestus of great vertical extent";"9.0";"10.0";
"28.08.2020 20:20";"15.0";"750.4";"750.8";"72";"Wind blowing from the west-northwest";"7";"";"";"";"Few clouds (10-30%) 660 m, broken clouds (60-90%) 960 m, cumulus congestus of great vertical extent";"10.0 and more";"10.0";
"28.08.2020 19:50";"15.0";"750.4";"750.8";"72";"Wind blowing from the west-northwest";"7";"";"";"";"Few clouds (10-30%) 660 m";"10.0 and more";"10.0";
"28.08.2020 19:20";"15.0";"750.4";"750.8";"72";"Wind blowing from the west-northwest";"8";"";"";"";"Few clouds (10-30%) 690 m, broken clouds (60-90%) 1440 m";"10.0 and more";"10.0";
"28.08.2020 18:50";"15.0";"750.4";"750.8";"72";"Wind blowing from the north-west";"4";"";"";"";"Few clouds (10-30%) 660 m, overcast (100%) 1320 m";"10.0 and more";"10.0";
