# Weather station Prague / Vaclav Havel (airport), Czech Republic, WMO_ID=11518,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11518&lang=en
#
"Local time in Prague / Vaclav Havel (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2020 13:00";"17.7";"730.9";"762.7";"0.4";"71";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"71.0";"12.4";"No precipitation";"6";"";"";"";"";
"31.08.2020 12:00";"16.5";"730.9";"762.8";"1.2";"79";"Wind blowing from the west-southwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"71.0";"12.9";"No precipitation";"1";"";"";"";"";
"31.08.2020 11:00";"16.3";"730.9";"762.7";"1.5";"77";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"71.0";"12.3";"No precipitation";"1";"";"";"";"";
"31.08.2020 10:00";"15.0";"730.5";"762.5";"1.7";"82";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"71.0";"12.0";"No precipitation";"1";"";"";"";"";
"31.08.2020 09:00";"14.3";"729.7";"761.7";"1.8";"86";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"71.0";"12.0";"No precipitation";"1";"";"";"";"";
"31.08.2020 08:00";"13.4";"729.4";"761.6";"2.1";"89";"Wind blowing from the west-southwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"11.6";"No precipitation";"1";"";"";"";"";
"31.08.2020 07:00";"12.8";"728.8";"761.0";"3.3";"89";"Wind blowing from the west";"5";"";"14";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"12.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"60.0";"11.0";"3.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"12.0";"";"";
"31.08.2020 06:00";"12.5";"727.9";"760.1";"3.4";"89";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"35.0";"10.7";"Trace of precipitation";"1";"";"";"";"";
"31.08.2020 05:00";"12.6";"727.3";"759.4";"3.8";"90";"Wind blowing from the west-northwest";"6";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"15.0";"11.0";"0.5";"1";"";"";"";"";
"31.08.2020 04:00";"12.4";"725.5";"757.6";"2.0";"93";"Wind blowing from the west-northwest";"10";"";"";"100%.";"Drizzle and rain, moderate or heavy. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"6.0";"11.3";"2.0";"1";"";"";"";"";
"31.08.2020 03:00";"13.4";"724.5";"756.4";"1.2";"94";"Wind blowing from the west";"6";"";"12";"100%.";"Drizzle, not freezing, continuous, moderate at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"9.0";"12.5";"0.4";"1";"";"";"";"";
"31.08.2020 02:00";"13.5";"723.5";"755.4";"0.5";"93";"Wind blowing from the south-west";"8";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"15.0";"12.4";"Trace of precipitation";"1";"";"";"";"";
"31.08.2020 01:00";"14.2";"723.5";"755.3";"0.8";"88";"Wind blowing from the south-west";"8";"";"16";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"45.0";"12.2";"Trace of precipitation";"6";"";"";"";"";
"31.08.2020 00:00";"14.9";"723.3";"754.9";"0.8";"89";"Wind blowing from the south-west";"8";"";"13";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"45.0";"13.1";"No precipitation";"1";"";"";"";"";
"30.08.2020 23:00";"15.3";"723.0";"754.6";"1.0";"87";"Wind blowing from the south-southwest";"9";"";"11";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"40.0";"13.2";"No precipitation";"1";"";"";"";"";
"30.08.2020 22:00";"15.7";"722.7";"754.3";"0.8";"88";"Wind blowing from the south-west";"7";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"40.0";"13.7";"No precipitation";"1";"";"";"";"";
"30.08.2020 21:00";"16.4";"722.5";"754.0";"1.0";"87";"Wind blowing from the south-west";"7";"";"";"90  or more, but not 100%";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"30.0";"14.2";"Trace of precipitation";"1";"";"";"";"";
"30.08.2020 20:00";"16.5";"722.0";"753.4";"0.1";"97";"Wind blowing from the west";"2";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"8.0";"16.0";"Trace of precipitation";"1";"";"";"";"";
"30.08.2020 19:00";"16.5";"721.9";"753.4";"0.0";"97";"Wind blowing from the west-northwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"17.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"6.0";"16.0";"1.0";"12";"";"";"";"";
"30.08.2020 18:00";"16.6";"721.5";"752.8";"-0.4";"97";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"7.0";"16.1";"Trace of precipitation";"1";"";"";"";"";
"30.08.2020 17:00";"17.0";"721.9";"753.2";"0.0";"94";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"50-100";"";"";"15.0";"16.0";"No precipitation";"1";"";"";"";"";
"30.08.2020 16:00";"16.8";"721.9";"753.3";"-0.8";"94";"Wind blowing from the north-east";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"50-100";"";"";"18.0";"15.8";"No precipitation";"1";"";"";"";"";
"30.08.2020 15:00";"16.6";"721.9";"753.4";"-1.2";"94";"Wind blowing from the east-northeast";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"25.0";"15.6";"Trace of precipitation";"1";"";"";"";"";
"30.08.2020 14:00";"16.4";"721.9";"753.3";"-1.4";"94";"Wind blowing from the north-east";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"15.0";"15.4";"0.5";"1";"";"";"";"";
"30.08.2020 13:00";"16.1";"722.7";"754.2";"-0.6";"95";"Wind blowing from the east-northeast";"4";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"100-200";"";"";"4.5";"15.3";"0.6";"6";"";"";"";"";
"30.08.2020 12:00";"16.4";"723.1";"754.6";"-0.3";"90";"Wind blowing from the east-northeast";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"15.0";"14.8";"0.3";"1";"";"";"";"";
"30.08.2020 11:00";"16.9";"723.3";"754.7";"-0.5";"83";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"40.0";"13.9";"No precipitation";"1";"";"";"";"";
"30.08.2020 10:00";"16.6";"723.3";"754.8";"-0.2";"84";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"30.0";"13.9";"No precipitation";"1";"";"";"";"";
"30.08.2020 09:00";"15.9";"723.4";"755.0";"-0.1";"86";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"200-300";"";"";"25.0";"13.6";"No precipitation";"1";"";"";"";"";
"30.08.2020 08:00";"15.0";"723.8";"755.5";"0.3";"93";"Wind blowing from the north-northwest";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"100-200";"";"";"20.0";"13.9";"No precipitation";"1";"";"";"";"";
"30.08.2020 07:00";"14.8";"723.5";"755.2";"-0.3";"94";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"100-200";"";"";"20.0";"13.8";"0.4";"12";"Surface of ground moist.";"14.0";"";"";
"30.08.2020 06:00";"14.7";"723.5";"755.2";"-0.5";"90";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"25.0";"13.1";"No precipitation";"1";"";"";"";"";
"30.08.2020 05:00";"14.4";"723.5";"755.2";"-0.8";"92";"Wind blowing from the north-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"25.0";"13.1";"No precipitation";"1";"";"";"";"";
"30.08.2020 04:00";"14.5";"723.8";"755.5";"-0.6";"95";"Wind blowing from the north-northwest";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"18.0";"13.7";"No precipitation";"1";"";"";"";"";
"30.08.2020 03:00";"14.7";"724.0";"755.8";"-0.5";"90";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"30.0";"13.1";"No precipitation";"1";"";"";"";"";
"30.08.2020 02:00";"14.7";"724.3";"756.0";"-0.4";"95";"Wind blowing from the north";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"25.0";"13.9";"Trace of precipitation";"1";"";"";"";"";
"30.08.2020 01:00";"15.0";"724.4";"756.1";"-0.5";"93";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.9";"0.4";"6";"";"";"";"";
"30.08.2020 00:00";"15.0";"724.5";"756.2";"-0.6";"89";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"13.2";"0.1";"1";"";"";"";"";
"29.08.2020 23:00";"15.1";"724.7";"756.4";"-0.4";"90";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"35.0";"13.4";"No precipitation";"1";"";"";"";"";
"29.08.2020 22:00";"15.5";"724.9";"756.6";"0.0";"85";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"35.0";"13.0";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 21:00";"15.7";"725.1";"756.7";"0.5";"93";"Wind blowing from the west-southwest";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"30.0";"14.6";"0.1";"1";"";"";"";"";
"29.08.2020 20:00";"15.9";"725.1";"756.7";"0.6";"90";"Wind blowing from the south";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"30.0";"14.3";"0.2";"1";"";"";"";"";
"29.08.2020 19:00";"16.7";"724.9";"756.4";"0.3";"91";"Wind blowing from the south";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"19.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"15.2";"Trace of precipitation";"12";"";"";"";"";
"29.08.2020 18:00";"17.1";"724.6";"756.1";"0.0";"84";"Wind blowing from the south";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"14.4";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 17:00";"17.9";"724.5";"755.9";"0.0";"74";"Wind blowing from the south";"3";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"60.0";"13.1";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 16:00";"18.3";"724.6";"755.9";"0.3";"72";"Wind blowing from the south";"4";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"13.2";"Trace of precipitation";"1";"";"";"";"";
"29.08.2020 15:00";"19.1";"724.6";"755.8";"0.3";"70";"Wind blowing from the south-southwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"13.4";"No precipitation";"1";"";"";"";"";
"29.08.2020 14:00";"18.5";"724.5";"755.8";"0.0";"74";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"70.0";"13.8";"No precipitation";"1";"";"";"";"";
"29.08.2020 13:00";"18.3";"724.3";"755.6";"0.6";"74";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"60.0";"13.6";"Trace of precipitation";"6";"";"";"";"";
"29.08.2020 12:00";"17.7";"724.3";"755.7";"0.6";"81";"Wind blowing from the south-west";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"60.0";"14.4";"No precipitation";"1";"";"";"";"";
"29.08.2020 11:00";"17.3";"724.5";"755.9";"1.0";"84";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"60.0";"14.5";"No precipitation";"1";"";"";"";"";
"29.08.2020 10:00";"17.0";"723.7";"755.2";"0.6";"83";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"55.0";"14.1";"Trace of precipitation";"1";"";"";"";"";
