"# Weather station Lisbon, Portugal, WMO_ID=8579,selection from 03.04.2020 till 01.09.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=8579&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Lisbon,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
26.08.2020 17:00,29.4,754.7,763.4,-0.3,51,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,18.3,No precipitation,1,,,,
26.08.2020 16:00,31.0,754.8,763.5,-0.4,47,Wind blowing from the north,4,,,, ,,,,,,,,,,,18.5,No precipitation,1,,,,
26.08.2020 15:00,32.2,754.9,763.6,-0.5,42,Wind blowing from the north,5,,,, ,,,,,,,,,,,17.6,No precipitation,1,,,,
26.08.2020 14:00,33.4,755.0,763.6,-0.5,37,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,16.7,No precipitation,1,,,,
26.08.2020 13:00,33.2,755.2,763.9,,37,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.5,No precipitation,1,,,,
26.08.2020 12:00,32.6,755.4,764.0,,37,Wind blowing from the east,1,,,, ,,,,,,,,,,,16.2,No precipitation,6,,,,
26.08.2020 11:00,30.0,755.5,764.2,0.4,44,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.3,No precipitation,1,,,,
26.08.2020 08:00,22.9,755.1,764.0,,71,Wind blowing from the north,3,,,, ,,,,,,,,,,,17.4,No precipitation,1,,,,
26.08.2020 00:00,20.4,754.6,763.6,0.3,82,Wind blowing from the north,4,,,, ,,,,,,,,,,,17.3,No precipitation,6,,,,
25.08.2020 23:00,20.7,754.5,763.6,0.7,83,Wind blowing from the north,3,,,, ,,,,,,,,,,,17.6,No precipitation,1,,,,
25.08.2020 22:00,20.7,754.6,763.7,1.5,84,Wind blowing from the north,3,,,, ,,,,,,,,,,,17.8,No precipitation,1,,,,
25.08.2020 21:00,21.0,754.3,763.4,1.5,81,Wind blowing from the north,4,,,, ,,,,,,,,,,,17.6,,,,,,
25.08.2020 20:00,22.2,753.8,762.8,,74,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,17.4,No precipitation,1,,,,
25.08.2020 19:00,24.1,753.1,762.1,0.6,65,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,17.0,No precipitation,1,,,,
25.08.2020 18:00,26.6,752.8,761.7,0.2,54,Wind blowing from the north-northwest,5,,,, ,,,,33.6,,,,,,,16.6,No precipitation,12,,,,
25.08.2020 16:00,31.6,752.5,761.2,-0.6,33,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,13.6,No precipitation,1,,,,
25.08.2020 15:00,32.6,752.6,761.2,-0.5,30,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
25.08.2020 14:00,33.4,752.7,761.3,-0.7,27,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,11.9,No precipitation,1,,,,
25.08.2020 13:00,32.7,753.1,761.7,-0.2,28,Wind blowing from the north,4,,,, ,,,,,,,,,,,11.8,No precipitation,1,,,,
25.08.2020 12:00,31.5,753.1,761.8,,26,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,9.5,No precipitation,6,,,,
25.08.2020 11:00,29.3,753.4,762.2,0.6,36,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,12.9,No precipitation,1,,,,
25.08.2020 10:00,27.5,753.3,762.1,,43,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,13.7,No precipitation,1,,,,
25.08.2020 08:00,23.1,752.8,761.6,,51,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,12.4,No precipitation,1,,,,
25.08.2020 00:00,20.7,752.2,761.2,0.1,69,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,14.7,No precipitation,6,,,,
24.08.2020 23:00,21.4,752.3,761.4,1.0,65,Wind blowing from the north,3,,,, ,,,,,,,,,,,14.4,No precipitation,1,,,,
24.08.2020 22:00,22.0,752.3,761.4,1.3,64,Wind blowing from the north,3,,,, ,,,,,,,,,,,14.9,No precipitation,1,,,,
24.08.2020 21:00,22.8,752.1,761.2,1.1,60,Wind blowing from the north-east,3,,,, ,,,,,,,,,,,14.6,No precipitation,12,,,,
24.08.2020 20:00,24.1,751.3,760.3,0.3,57,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,15.0,No precipitation,1,,,,
24.08.2020 19:00,26.7,751.0,759.9,-0.1,50,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,15.5,No precipitation,1,,,,
24.08.2020 18:00,29.3,751.0,759.7,-0.3,42,Wind blowing from the north-northwest,5,,,, ,,,,35.4,,,,,,,14.9,No precipitation,12,,,,
24.08.2020 17:00,31.0,751.0,759.7,-0.8,38,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,14.9,No precipitation,1,,,,
24.08.2020 16:00,33.6,751.1,759.7,-1.1,32,Wind blowing from the north,4,,,, ,,,,,,,,,,,14.7,No precipitation,1,,,,
24.08.2020 15:00,34.4,751.3,759.8,-1.1,34,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.2,No precipitation,1,,,,
24.08.2020 14:00,34.8,751.8,760.3,-1.0,28,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,13.7,No precipitation,1,,,,
24.08.2020 13:00,33.6,752.2,760.7,,30,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,13.5,No precipitation,1,,,,
24.08.2020 12:00,32.1,752.4,761.0,,35,Wind blowing from the east,2,,,, ,,,,,,,,,,,14.6,No precipitation,6,,,,
24.08.2020 11:00,29.7,752.8,761.5,,41,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,15.1,No precipitation,1,,,,
24.08.2020 00:00,19.7,754.5,763.6,-1.0,80,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,16.1,No precipitation,6,,,,
23.08.2020 23:00,20.0,754.8,764.0,-0.3,80,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.4,No precipitation,1,,,,
23.08.2020 22:00,20.1,755.3,764.5,0.4,80,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,16.6,No precipitation,1,,,,
23.08.2020 21:00,20.3,755.5,764.6,0.7,79,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.5,No precipitation,12,,,,
23.08.2020 20:00,21.4,755.1,764.2,0.1,71,Wind blowing from the north,5,,,, ,,,,,,,,,,,15.8,No precipitation,1,,,,
23.08.2020 19:00,23.1,754.9,763.9,-0.3,59,Wind blowing from the north-west,7,,,, ,,,,,,,,,,,14.6,No precipitation,1,,,,
23.08.2020 18:00,25.0,754.8,763.8,-0.8,52,Wind blowing from the north-northwest,7,,,, ,,,,31.0,,,,,,,14.4,No precipitation,12,,,,
23.08.2020 17:00,26.1,755.0,763.9,-1.2,45,Wind blowing from the north-northwest,7,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
23.08.2020 16:00,27.4,755.2,764.1,-1.4,37,Wind blowing from the north-northwest,8,,,, ,,,,,,,,,,,11.6,No precipitation,1,,,,
23.08.2020 15:00,29.4,755.6,764.4,-1.3,39,Wind blowing from the north-west,6,,,, ,,,,,,,,,,,14.0,No precipitation,1,,,,
23.08.2020 14:00,29.8,756.2,765.0,-1.3,38,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,14.0,No precipitation,1,,,,
23.08.2020 13:00,29.9,756.6,765.3,-1.0,30,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,10.3,No precipitation,1,,,,
23.08.2020 12:00,29.4,756.9,765.7,,33,Wind blowing from the north,4,,,, ,,,,,,,,,,,11.7,No precipitation,6,,,,
23.08.2020 11:00,27.1,757.5,766.3,,35,Wind blowing from the north,5,,,, ,,,,,,,,,,,10.4,No precipitation,1,,,,
23.08.2020 10:00,26.1,757.6,766.6,,43,Wind blowing from the north,5,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
23.08.2020 00:00,18.5,758.3,767.6,0.3,79,Wind blowing from the north,5,,,, ,,,,,,,,,,,14.8,No precipitation,6,,,,
22.08.2020 23:00,18.7,758.2,767.4,0.5,78,Wind blowing from the north,4,,,, ,,,,,,,,,,,14.8,No precipitation,1,,,,
22.08.2020 22:00,19.0,758.3,767.6,1.0,74,Wind blowing from the north,4,,,, ,,,,,,,,,,,14.2,No precipitation,1,,,,
22.08.2020 21:00,19.7,758.0,767.2,0.8,67,Wind blowing from the north-northwest,7,,,, ,,,,,,,,,,,13.4,No precipitation,12,,,,
22.08.2020 20:00,20.6,757.7,766.9,0.7,64,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,13.6,No precipitation,1,,,,
22.08.2020 19:00,22.5,757.3,766.4,0.3,54,Wind blowing from the north-northwest,6,,,, ,,,,,,,,,,,12.8,No precipitation,1,,,,
22.08.2020 18:00,25.9,757.2,766.1,-0.2,39,Wind blowing from the north-northwest,3,,,, ,,,,30.6,,,,,,,11.0,No precipitation,12,,,,
22.08.2020 17:00,27.5,757.0,765.8,-0.7,37,Wind blowing from the north,5,,,, ,,,,,,,,,,,11.4,No precipitation,1,,,,
22.08.2020 16:00,28.9,757.0,765.7,-1.0,28,Wind blowing from the north,6,,,, ,,,,,,,,,,,8.4,No precipitation,1,,,,
22.08.2020 15:00,30.1,757.4,766.2,-0.9,24,Wind blowing from the north,4,,,, ,,,,,,,,,,,7.6,No precipitation,1,,,,
22.08.2020 14:00,29.7,757.7,766.5,-0.9,28,Wind blowing from the north,4,,,, ,,,,,,,,,,,9.5,No precipitation,1,,,,
22.08.2020 13:00,28.8,758.0,766.8,-0.5,38,Wind blowing from the north,3,,,, ,,,,,,,,,,,12.9,No precipitation,1,,,,
22.08.2020 12:00,28.0,758.3,767.1,,40,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,13.0,No precipitation,6,,,,
22.08.2020 11:00,26.0,758.6,767.5,,45,Wind blowing from the north,4,,,, ,,,,,,,,,,,13.2,No precipitation,1,,,,
22.08.2020 10:00,24.6,758.5,767.5,,51,Wind blowing from the north,4,,,, ,,,,,,,,,,,13.8,No precipitation,1,,,,
22.08.2020 00:00,19.1,756.9,766.1,0.8,85,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.5,No precipitation,6,,,,
21.08.2020 23:00,19.7,756.7,765.8,1.1,83,Wind blowing from the north,3,,,, ,,,,,,,,,,,16.7,No precipitation,1,,,,
21.08.2020 22:00,20.0,756.4,765.7,1.2,82,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,16.9,No precipitation,1,,,,
21.08.2020 21:00,20.3,756.1,765.3,1.1,81,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,16.9,No precipitation,12,,,,
21.08.2020 20:00,21.3,755.6,764.8,0.7,71,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,15.7,No precipitation,1,,,,
21.08.2020 19:00,22.8,755.2,764.2,0.8,61,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,14.8,No precipitation,1,,,,
21.08.2020 18:00,23.7,755.0,764.0,0.7,56,Wind blowing from the north-northwest,5,,,, ,,,,28.9,,,,,,,14.3,No precipitation,12,,,,
21.08.2020 17:00,25.1,754.9,763.8,0.5,46,Wind blowing from the north-northwest,4,,,, ,,,,,,,,,,,12.6,No precipitation,1,,,,
21.08.2020 16:00,27.1,754.4,763.3,0.1,42,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,13.1,No precipitation,1,,,,
21.08.2020 15:00,28.8,754.3,763.0,0.0,36,Wind blowing from the north,3,,,, ,,,,,,,,,,,12.3,No precipitation,1,,,,
21.08.2020 14:00,27.9,754.4,763.2,0.2,39,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,12.5,No precipitation,1,,,,
21.08.2020 13:00,26.9,754.3,763.1,0.3,44,Wind blowing from the north,2,,,, ,,,,,,,,,,,13.5,No precipitation,1,,,,
21.08.2020 12:00,25.4,754.3,763.1,,48,Wind blowing from the north,3,,,, ,,,,,,,,,,,13.6,No precipitation,6,,,,
21.08.2020 11:00,25.3,754.2,763.0,,53,Wind blowing from the north,2,,,, ,,,,,,,,,,,15.1,No precipitation,1,,,,
21.08.2020 10:00,23.5,754.0,762.8,,63,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,16.0,No precipitation,1,,,,
21.08.2020 00:00,19.9,750.8,759.9,0.9,76,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,15.6,No precipitation,6,,,,
20.08.2020 23:00,20.1,750.4,759.5,0.9,79,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,16.3,No precipitation,1,,,,
20.08.2020 22:00,19.8,750.4,759.4,1.8,86,Wind blowing from the north,2,,,, ,,,,,,,,,,,17.3,No precipitation,1,,,,
20.08.2020 21:00,20.3,749.9,759.0,1.4,92,Wind blowing from the north,2,,,, ,,,,,,,,,,,18.9,0.6,12,,,,
20.08.2020 20:00,20.6,749.5,758.6,0.9,96,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,20.0,No precipitation,1,,,,
20.08.2020 19:00,21.6,748.6,757.6,0.0,96,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,20.9,No precipitation,1,,,,
20.08.2020 18:00,22.0,748.5,757.5,-0.2,95,Wind blowing from the south-west,6,,,, ,,,,23.8,,,,,,,21.1,0.6,12,,,,
20.08.2020 17:00,22.4,748.6,757.6,-0.2,92,Wind blowing from the south-west,7,,,, ,,,,,,,,,,,21.0,No precipitation,1,,,,
20.08.2020 16:00,22.2,748.6,757.6,-0.1,94,Wind blowing from the south-west,6,,,, ,,,,,,,,,,,21.2,0.1,1,,,,
20.08.2020 15:00,22.9,748.7,757.6,0.0,87,Wind blowing from the south-southwest,7,,,, ,,,,,,,,,,,20.6,No precipitation,1,,,,
20.08.2020 14:00,23.4,748.8,757.7,0.2,84,Wind blowing from the south-west,7,,,, ,,,,,,,,,,,20.6,No precipitation,1,,,,
20.08.2020 13:00,23.5,748.7,757.6,0.3,86,Wind blowing from the south-west,6,,,, ,,,,,,,,,,,21.1,No precipitation,1,,,,
20.08.2020 12:00,21.9,748.7,757.6,0.7,96,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,21.2,0.5,6,,,,
20.08.2020 11:00,21.6,748.6,757.6,,95,Wind blowing from the south,5,,,, ,,,,,,,,,,,20.8,0.1,1,,,,
20.08.2020 10:00,21.8,748.4,757.3,0.7,96,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,21.2,0.2,1,,,,
20.08.2020 09:00,21.6,748.0,756.9,,97,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,21.1,No precipitation,1,,,,
20.08.2020 07:00,21.2,747.7,756.7,,98,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,20.9,No precipitation,1,,,,
20.08.2020 01:00,21.4,748.1,757.1,-0.5,92,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,20.0,No precipitation,1,,,,
