# Weather station Warsaw / Okecie (airport), Poland, WMO_ID=12375,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=12375&lang=en
#
"Local time in Warsaw / Okecie (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.08.2020 13:00";"17.6";"748.6";"758.0";"1.8";"79";"Wind blowing from the south-west";"4";"";"10";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.9";"Trace of precipitation";"6";"";"";"";"";
"31.08.2020 12:00";"17.8";"748.0";"757.4";"1.8";"80";"Wind blowing from the west-southwest";"4";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"600-1000";"";"";"30.0";"14.3";"";"";"";"";"";"";
"31.08.2020 11:00";"19.1";"747.1";"756.4";"1.7";"72";"Wind blowing from the west-southwest";"4";"";"10";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"13.9";"";"";"";"";"";"";
"31.08.2020 10:00";"19.4";"746.8";"756.1";"1.5";"68";"Wind blowing from the west-southwest";"5";"";"9";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"13.3";"";"";"";"";"";"";
"31.08.2020 09:00";"19.1";"746.2";"755.5";"1.6";"77";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"35.0";"15.0";"";"";"";"";"";"";
"31.08.2020 08:00";"19.2";"745.4";"754.7";"1.1";"79";"Wind blowing from the west-southwest";"4";"";"8";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"15.5";"";"";"";"";"";"";
"31.08.2020 07:00";"18.2";"745.3";"754.6";"1.3";"90";"Wind blowing from the west-southwest";"4";"";"";"90  or more, but not 100%";" ";"";"";"16.1";"18.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"25.0";"16.5";"23.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"15.0";"";"";
"31.08.2020 06:00";"17.8";"744.6";"754.0";"0.8";"92";"Wind blowing from the west-southwest";"3";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"21.0";"16.5";"";"";"";"";"";"";
"31.08.2020 05:00";"18.1";"744.3";"753.6";"0.5";"95";"Wind blowing from the west-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"14.0";"17.3";"";"";"";"";"";"";
"31.08.2020 04:00";"17.5";"744.0";"753.4";"0.0";"96";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"23.0";"16.9";"";"";"";"";"";"";
"31.08.2020 03:00";"16.6";"743.8";"753.2";"-0.3";"99";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"19.0";"16.4";"";"";"";"";"";"";
"31.08.2020 02:00";"16.3";"743.8";"753.1";"-1.2";"98";"Wind blowing from the south-southeast";"1";"";"";"60%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"15.0";"16.0";"";"";"";"";"";"";
"31.08.2020 01:00";"16.8";"744.0";"753.4";"-1.0";"98";"Wind blowing from the south-southeast";"1";"";"22";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"35.0";"16.5";"23.0";"6";"";"";"";"";
"31.08.2020 00:00";"16.7";"744.1";"753.5";"-0.7";"98";"Wind blowing from the east-northeast";"1";"";"";"50%.";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"18.0";"16.4";"";"";"";"";"";"";
"30.08.2020 23:00";"17.2";"745.0";"754.3";"-0.6";"98";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Shower(s).";"Shower(s).";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"90  or more, but not 100%";"100-200";"";"";"30.0";"16.9";"";"";"";"";"";"";
"30.08.2020 22:00";"17.3";"745.0";"754.3";"0.3";"98";"Wind blowing from the east-northeast";"3";"";"22";"90  or more, but not 100%";"Rain shower(s), slight. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"100-200";"Altocumulus translucidus at a single level.";"";"35.0";"17.0";"";"";"";"";"";"";
"30.08.2020 21:00";"17.1";"744.8";"754.2";"-0.3";"98";"Wind blowing from the north-northeast";"4";"";"";"60%.";"Thunderstorm (with or without precipitation). ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"100-200";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"16.8";"";"";"";"";"";"";
"30.08.2020 20:00";"17.2";"745.6";"755.0";"-0.1";"99";"Wind blowing from the west-northwest";"2";"";"22";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"100-200";"";"";"15.0";"17.0";"";"";"";"";"";"";
"30.08.2020 19:00";"18.7";"744.7";"754.0";"-2.0";"94";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.5";"19.4";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"200-300";"";"";"20.0";"17.7";"5.0";"12";"";"";"";"";
"30.08.2020 18:00";"18.9";"745.1";"754.4";"-2.1";"91";"Wind blowing from the north-northeast";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"19.0";"17.4";"";"";"";"";"";"";
"30.08.2020 17:00";"18.8";"745.7";"755.0";"-1.7";"90";"Wind blowing from the north-east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"200-300";"";"";"18.0";"17.1";"";"";"";"";"";"";
"30.08.2020 16:00";"19.1";"746.7";"756.0";"-0.6";"88";"Wind blowing from the north-northeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"19.0";"17.1";"";"";"";"";"";"";
"30.08.2020 15:00";"19.0";"747.2";"756.5";"-0.4";"88";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"200-300";"";"";"19.0";"17.0";"";"";"";"";"";"";
"30.08.2020 14:00";"18.9";"747.4";"756.7";"0.2";"89";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"200-300";"";"";"21.0";"17.0";"";"";"";"";"";"";
"30.08.2020 13:00";"19.3";"747.3";"756.6";"0.1";"87";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"300-600";"";"";"27.0";"17.1";"5.0";"6";"";"";"";"";
"30.08.2020 12:00";"18.8";"747.6";"757.0";"0.6";"88";"Wind blowing from the north";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"30.0";"16.8";"";"";"";"";"";"";
"30.08.2020 11:00";"18.7";"747.2";"756.6";"0.1";"88";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"";"";"35.0";"16.7";"";"";"";"";"";"";
"30.08.2020 10:00";"18.1";"747.2";"756.6";"0.5";"91";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"200-300";"Altocumulus translucidus at a single level.";"";"35.0";"16.6";"";"";"";"";"";"";
"30.08.2020 09:00";"16.8";"747.0";"756.4";"-0.1";"96";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"28.0";"16.2";"";"";"";"";"";"";
"30.08.2020 08:00";"16.6";"747.1";"756.5";"-1.4";"92";"Wind blowing from the north-west";"4";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"";"35.0";"15.3";"";"";"";"";"";"";
"30.08.2020 07:00";"15.5";"746.7";"756.1";"-2.2";"95";"Wind blowing from the east";"5";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"14.4";"18.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"14.0";"14.7";"13.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"13.0";"";"";
"30.08.2020 06:00";"15.4";"747.1";"756.5";"-1.8";"94";"Wind blowing from the north-east";"4";"";"";"90  or more, but not 100%";"Rain shower(s), moderate or heavy. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"";"";"10.0";"14.4";"";"";"";"";"";"";
"30.08.2020 05:00";"15.8";"748.5";"757.9";"0.8";"96";"Wind blowing from the south-southeast";"1";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"16.0";"15.2";"";"";"";"";"";"";
"30.08.2020 04:00";"15.7";"748.9";"758.3";"0.9";"98";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Shower(s).";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"1000-1500";"";"";"9.0";"15.4";"";"";"";"";"";"";
"30.08.2020 03:00";"15.9";"748.9";"758.4";"0.8";"99";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"50-100";"";"";"4.0";"15.7";"";"";"";"";"";"";
"30.08.2020 02:00";"15.4";"747.7";"757.1";"-0.8";"99";"Wind blowing from the east";"2";"";"";"40%.";"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.2";"";"";"";"";"";"";
"30.08.2020 01:00";"15.5";"748.0";"757.5";"-0.4";"99";"Wind blowing from the east";"2";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Shower(s).";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.3";"15.3";"No precipitation";"6";"";"";"";"";
"30.08.2020 00:00";"14.9";"748.1";"757.6";"0.1";"98";"Wind blowing from the east";"2";"";"";"20–30%.";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.1";"14.6";"";"";"";"";"";"";
"29.08.2020 23:00";"16.9";"748.5";"757.9";"0.5";"96";"Wind blowing from the south";"2";"";"";"50%.";"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"16.3";"";"";"";"";"";"";
"29.08.2020 22:00";"16.7";"748.4";"757.9";"0.7";"98";"Wind blowing from the south";"2";"";"";"50%.";"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"9.0";"16.4";"";"";"";"";"";"";
"29.08.2020 21:00";"17.0";"748.0";"757.4";"0.6";"96";"Calm, no wind";"0";"";"";"20–30%.";"More or less continuous shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"5.0";"16.4";"";"";"";"";"";"";
"29.08.2020 20:00";"17.5";"748.0";"757.4";"1.0";"95";"Wind blowing from the south";"1";"";"";"50%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.7";"";"";"";"";"";"";
"29.08.2020 19:00";"18.9";"747.7";"757.0";"0.9";"89";"Wind blowing from the south";"1";"";"";"60%.";"State of sky on the whole unchanged. ";"Shower(s).";"Rain.";"14.8";"21.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"30.0";"17.0";"6.0";"12";"";"";"";"";
"29.08.2020 18:00";"20.0";"747.4";"756.7";"0.8";"84";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"17.2";"";"";"";"";"";"";
"29.08.2020 17:00";"20.9";"747.0";"756.3";"0.5";"79";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"17.1";"";"";"";"";"";"";
"29.08.2020 16:00";"21.3";"746.8";"756.0";"0.8";"79";"Wind blowing from the south";"2";"";"";"70 – 80%.";"Shower(s) of rain. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"35.0";"17.5";"";"";"";"";"";"";
