,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
2245,-2,-1,-1,-1,1,-3,-2,0,1,2,1,0,-2,-1,-1,1,1,1,1,-1,-1
2246,-3,-2,-1,2,2,1,-2,-1,-1,2,3,3,1,-2,-3,-2,-2,-1,-2,-2,-3
2247,-1,0,0,0,-1,-1,-1,2,2,2,2,-1,-2,1,2,3,-1,-2,-2,-2,0
2248,1,1,1,1,0,0,0,1,1,3,3,2,2,-3,-3,1,2,3,3,-2,-3
2249,-1,-2,-2,-2,-1,1,1,2,-1,-2,1,-1,3,2,2,-2,-2,-2,-1,1,2
2250,-1,0,3,2,1,-1,-3,-2,-1,0,2,2,0,-2,-2,0,2,2,1,0,-2
2251,3,3,-3,-3,-3,1,2,2,-2,-2,-3,-1,-2,2,0,1,-1,-1,-2,-1,1
2252,1,3,3,-2,-3,-3,-3,-3,2,0,1,-3,-3,-3,0,0,-2,-1,-3,-3,-3
2253,-3,-3,-3,-1,1,0,-2,-2,-2,-2,1,0,3,1,0,-1,0,2,2,-2,-2
2254,0,-1,-3,-2,-2,1,2,2,2,-1,-2,-2,-2,0,2,2,1,-2,-2,-1,1
2255,2,1,1,1,0,-2,-2,-1,-1,-1,-1,2,2,1,-1,-2,-2,1,1,1,1
2256,-3,-3,1,2,2,2,1,0,0,0,1,2,2,-1,-3,-2,-2,2,2,2,0
2257,-1,-2,-3,-2,-2,1,-1,3,2,2,2,1,3,2,2,1,-3,-2,-1,0,3
2258,-1,-1,-3,-2,-2,1,0,-2,-2,-2,0,1,2,2,0,-1,-1,0,2,2,2
2259,0,2,1,1,-2,-2,-3,-2,0,1,1,-2,-2,-2,-2,0,1,2,1,-2,-1
2260,-2,-2,0,-1,-1,-2,-3,-2,-2,1,-1,3,2,2,2,1,3,2,2,1,-3
2261,-2,-2,1,3,2,0,-2,-2,1,2,3,2,2,-3,-3,-2,-1,1,2,1,0
2262,0,1,1,1,-2,-2,-2,-2,-1,2,2,2,2,-2,-2,-1,1,2,-2,0,-3
2263,2,2,1,-1,2,2,2,-2,-2,-2,-1,-2,-2,-1,1,1,0,1,1,1,0
2264,-1,2,2,2,-2,-2,-2,0,3,2,-2,-2,-3,-2,2,2,2,1,-2,-2,-2
2265,-1,-1,0,0,3,2,2,-1,0,1,2,2,2,0,-3,-2,-2,2,2,0,-3
2266,-2,-2,0,3,3,-2,-3,-3,-3,-3,2,2,2,1,-1,-2,-2,-1,2,2,2
2267,1,3,2,1,-1,-1,1,2,3,2,2,-1,-1,1,3,2,2,0,-3,-3,-2
2268,2,-1,-1,-1,1,2,2,2,1,-2,-2,-2,2,1,1,-2,-2,-2,-1,0,2
2269,-2,0,1,-2,-2,-2,-2,-1,2,3,0,3,-2,-3,0,-1,2,1,1,-2,-2
2270,2,0,-2,-2,0,1,3,2,2,-2,-1,1,2,2,2,-2,-2,0,1,3,2
2271,2,0,-1,-2,-1,1,2,1,-2,-3,-2,-2,1,3,2,-2,-2,-2,0,2,2
2272,2,1,2,-2,-2,-2,-1,0,3,2,1,-1,-3,-2,-1,0,2,2,0,-2,-2
2273,1,-2,-3,-2,-1,2,1,-1,-2,-3,-2,0,2,2,0,-2,-2,1,2,2,2
2274,1,-1,-1,-2,-1,1,2,1,1,0,-2,-1,0,2,2,2,2,1,-1,-1,0
2275,2,2,1,-2,-2,-2,0,2,2,2,-1,-2,-2,-2,1,2,1,-1,-2,-2,0
2276,-1,-2,1,2,3,-1,-2,-2,-2,0,1,1,1,0,0,-1,1,2,3,2,2
2277,-2,-2,-3,-2,0,1,1,-2,-2,-2,-2,0,1,2,1,-2,-1,-1,2,2,2
2278,0,2,2,2,-2,-2,-1,1,1,1,-1,-2,-2,-2,-1,-1,-1,-2,-2,-2,-1
2279,-1,2,1,-2,-2,-3,-2,-1,2,2,1,-1,-1,-1,1,2,3,3,-1,0,-1
2280,-2,-2,1,0,3,1,0,-1,0,2,2,-2,-2,-3,-2,-2,-1,3,2,2,0
2281,0,2,1,2,0,1,1,1,1,1,-2,2,-3,-1,-2,1,1,2,-1,-2,-2
2282,3,2,-1,-1,-1,2,2,2,-1,-2,-2,-2,-1,1,1,2,-1,-2,1,-1,3
2283,-3,-3,-3,2,3,3,3,-3,-3,-3,-3,2,3,3,-2,-3,-2,1,2,3,3
2284,0,1,2,2,-1,-1,-1,0,0,0,-1,-1,1,0,2,1,2,2,1,-2,-2
2285,-2,-2,0,2,2,1,-2,-3,0,2,3,2,1,0,-2,-2,-2,2,2,2,0
2286,-1,-2,-1,2,2,2,2,-2,-2,-2,1,2,3,3,-2,0,0,-1,3,2,2
2287,2,3,2,1,1,1,-1,3,2,-2,-2,-3,-3,2,2,1,-3,-3,-2,2,3
2288,3,3,3,-3,-3,-3,-3,-3,1,2,0,0,1,2,0,-3,-3,-3,-3,-2,0
2289,-1,-1,-2,-1,0,2,1,-1,-1,-2,-1,-1,2,2,0,-1,-2,-1,0,1,2
2290,-3,-3,-2,3,1,-2,-3,-1,2,3,2,-2,0,1,2,3,3,2,-3,-1,2
2291,2,1,0,-3,-2,-2,0,1,0,-2,-2,-2,-2,1,2,2,0,-1,-2,0,0
2292,0,-1,-1,0,2,2,2,2,-1,-1,0,0,3,2,2,-1,0,1,2,2,2
2293,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,0,1,1,2,2,3,2
2294,2,2,0,-2,-2,0,1,3,2,2,-2,-1,1,2,2,2,-2,-2,0,1,3
2295,2,0,-1,0,2,2,2,2,2,2,0,0,0,1,2,2,2,0,0,-2,-2
2296,-1,2,2,2,-2,-2,-2,-1,-2,-2,-1,1,1,0,1,1,1,0,0,2,2
2297,2,2,2,0,-1,-1,0,0,0,-3,-2,-1,1,3,2,-2,-2,-3,-2,2,1
2298,-3,-3,-3,-3,-3,-3,-3,-3,2,-1,3,3,3,3,3,-3,-3,-3,-3,-3,-3
2299,-3,1,-1,2,2,1,0,-1,-2,0,1,2,1,-1,-2,-2,-1,0,2,2,-1
2300,2,2,-1,-2,-2,1,2,2,-1,-2,-3,-2,-2,2,0,0,-1,-1,-1,0,0
2301,2,1,-1,-2,3,3,3,3,3,2,-3,0,2,-2,-3,-3,-3,-3,-2,2,2
2302,-2,0,1,2,2,-1,-2,-1,-1,2,2,0,-1,0,1,2,2,0,-2,0,-3
2303,1,1,-2,-2,-2,2,1,2,0,-2,-2,1,2,2,2,-2,-2,-2,3,3,3
2304,-3,-3,-1,-1,-3,-3,-2,0,2,3,3,3,3,-1,-1,-2,-1,-3,-2,-2,0
2305,-1,-3,-2,0,2,2,-1,-2,-2,-1,2,1,0,-1,-2,-2,-1,2,2,1,-1
2306,-2,-1,2,1,2,-2,-2,-2,-1,0,3,2,1,-1,-3,-2,-1,0,2,2,0
2307,-1,-2,-2,-1,2,1,0,-1,-2,-2,-1,2,2,1,-1,-2,-2,-2,-1,1,1
2308,3,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,2,1,-1,-3,-3,-2,-2
2309,0,-2,-2,0,2,2,1,-2,1,-3,-2,0,1,0,-1,-2,-2,-2,-1,2,1
2310,2,1,-2,-3,-1,2,2,0,-2,-3,-2,-1,3,3,3,2,-3,-3,-3,-1,-1
2311,1,-2,-3,-3,2,2,3,3,-1,1,0,0,0,1,0,-1,-1,-1,2,3,3
2312,-2,-2,-2,0,2,2,0,-2,-2,-1,1,2,2,0,-2,-3,-2,-2,1,2,1
2313,0,-1,-2,-2,-1,-1,-1,-2,-3,-2,-2,-2,2,2,-1,-2,-2,-2,1,3,2
2314,-1,-1,-2,-1,1,1,2,2,2,0,-2,-2,2,2,2,0,-1,-2,-1,1,2
2315,-3,-3,-3,-3,-2,2,2,3,2,0,0,0,1,0,1,1,0,2,3,3,3
2316,-2,-1,-2,-1,-3,-1,1,0,3,2,-1,-2,-2,2,2,2,1,0,-3,-2,2
2317,0,2,2,1,-1,-1,-1,1,2,2,2,2,-1,-3,-2,0,1,1,-2,-2,-2
2318,2,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2,-3,-2
2319,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2,2,2,-1,-1,-3
2320,-2,-2,-2,2,2,2,1,-2,-3,-2,1,2,3,0,-2,-2,-2,1,3,2,-1
2321,-2,-1,2,2,2,-2,-2,-2,0,3,2,-2,-2,-3,-2,2,2,2,1,-2,-2
2322,-2,1,2,3,-1,1,-1,-1,0,2,2,2,2,-2,-2,2,2,2,1,-2,-3
2323,-1,-3,-3,-2,0,2,3,3,3,3,-1,-1,-2,-1,-3,-2,-2,0,0,2,1
2324,1,3,3,3,3,2,1,2,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3
2325,2,-1,-1,-2,2,2,2,-1,-2,-3,-2,0,2,1,-2,0,-3,-1,0,3,2
2326,2,3,3,-2,-1,-2,2,3,2,2,-2,-3,-2,-2,2,3,2,-2,-3,-3,1
2327,1,0,0,-1,1,2,3,2,2,-3,-3,-2,1,3,2,2,-2,-2,-1,2,2
2328,1,2,1,-2,-1,-1,2,2,2,0,-1,-1,1,1,3,1,0,-1,-2,2,2
2329,1,-1,-2,-2,-1,1,2,-1,-2,-2,-2,0,2,2,-1,-2,-2,-2,1,1,1
2330,2,2,-2,-1,0,1,2,2,-1,-1,-1,0,0,0,-1,-1,1,0,2,1,2
2331,-1,-2,-2,-2,0,3,2,0,-2,-3,-2,-1,1,2,2,0,-1,-1,2,2,2
2332,-3,-3,0,2,-2,-3,-3,-3,-3,0,-1,-3,-3,-3,-1,-2,0,2,2,2,2
2333,2,3,3,-2,-3,-2,1,2,3,3,2,-2,-1,-1,3,3,3,2,-2,-3,-3
2334,-1,-1,3,2,-1,-2,-2,-2,3,3,2,0,-3,-1,1,1,3,1,-2,-2,0
2335,-1,-1,0,0,0,-1,-1,1,0,2,1,2,2,1,-2,-2,-1,0,2,3,1
2336,1,-1,-2,-1,1,2,2,-1,-1,-1,2,2,2,1,-1,-3,-2,-2,-1,0,1
2337,-3,-3,-3,-3,-2,2,2,-1,-2,-2,-2,0,0,3,2,-2,-2,-1,0,1,1
2338,3,3,-2,-2,-3,-2,-2,3,3,1,-2,0,-3,-1,2,3,3,3,-2,-2,-3
2339,-3,-2,0,1,3,-1,-2,-2,-2,-2,-1,-2,0,-2,-1,-1,1,1,0,0,0
2340,-2,-2,0,1,2,2,-1,-2,-1,-1,2,2,0,-1,0,1,2,2,0,-2,0
2341,2,-1,-2,-2,1,2,2,-1,-2,-3,-2,-2,2,0,0,-1,-1,-1,0,0,0
2342,-2,-1,2,2,0,-2,-2,-1,2,2,1,-1,-2,-1,-1,2,2,1,0,-3,-2
2343,2,2,2,0,2,3,3,3,-2,-2,-2,-2,-1,-2,-2,-3,-3,-2,-2,2,3
2344,0,-2,-2,-1,-1,-1,-1,2,2,1,-1,-2,-2,1,1,1,1,0,0,0,1
2345,1,2,3,2,3,-1,-2,-1,2,2,2,-2,-2,-2,0,3,2,-2,-2,-3,-2
2346,0,-1,-3,-2,0,2,2,-1,-2,-2,-1,2,1,0,-1,-2,-2,-1,2,2,1
2347,2,-2,-2,-2,-1,0,1,-1,-2,-2,-2,-2,0,1,0,-2,-2,-1,2,1,2
2348,-1,-2,-1,2,1,1,-1,-2,-2,2,2,2,2,-2,-2,0,1,2,2,-2,-2
2349,-3,-2,1,2,2,0,-1,-2,-2,2,1,1,0,-2,-2,0,2,2,1,-2,1
2350,2,2,2,2,-1,-3,-2,0,1,1,-2,-2,-2,-2,1,2,2,2,-1,-1,-1
2351,2,2,2,1,-2,-3,-2,1,2,3,0,-2,-2,-2,1,3,2,-1,-2,-2,-2
2352,0,-1,2,3,3,3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,2,1
2353,-2,-2,-2,2,3,2,2,-2,-3,-2,0,2,2,0,-2,-2,-2,0,2,2,2
2354,-2,0,1,3,2,1,-3,-3,-2,3,3,3,3,-2,-3,-3,2,2,2,-1,-3
2355,-2,-1,0,2,2,2,2,-2,-2,1,2,3,-1,1,-1,-1,0,2,2,2,2
2356,1,-2,-1,2,2,1,-2,-1,-2,2,3,3,3,0,-3,-3,-2,3,2,2,-2
2357,-2,-2,-2,-2,1,2,2,2,-1,-1,-1,2,2,2,2,0,-1,0,2,2,3
2358,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,1,-2,-2,-2,-3,-2,-3
2359,1,0,-1,-2,-2,-1,2,2,1,-1,-2,-2,-2,-1,1,1,-1,-2,-2,-1,0
2360,-2,-2,1,3,2,-1,-2,-2,-2,2,2,2,1,0,-3,-2,-1,2,2,1,0
2361,2,-1,-2,-2,-2,-1,2,3,3,-2,-2,-2,0,3,2,2,-2,-3,-2,0,2
2362,0,-2,-1,-1,2,2,2,3,2,2,2,1,1,1,-2,-2,-2,-1,3,3,2
2363,2,1,0,0,0,1,2,2,-1,-3,-2,-2,2,2,2,0,0,-3,-1,0,2
2364,2,2,2,-1,-2,-2,-2,0,2,2,1,-2,-2,-1,1,2,0,-1,-3,-1,-1
2365,1,-1,-1,0,2,2,2,2,-2,-2,2,2,2,1,-2,-3,-2,3,3,3,3
2366,-3,-3,2,0,1,-3,-3,-3,0,0,-2,-1,-3,-3,-3,1,2,2,2,1,0
2367,2,0,0,0,1,2,2,2,0,0,-2,-2,-2,-2,0,0,-2,-3,-2,-2,-2
2368,3,3,1,-2,0,-3,-1,2,3,3,3,-2,-2,-3,-3,1,-2,0,-3,1,-1
2369,-2,-3,-3,-3,-1,-1,-3,-3,-2,0,2,3,3,3,3,-1,-1,-2,-1,-3,-2
2370,2,0,-2,-2,1,2,2,2,1,-2,-2,-2,1,2,2,1,-2,-2,-1,1,1
2371,1,2,0,-2,-1,1,1,2,2,1,1,0,1,2,1,0,-1,-1,1,2,3
2372,0,1,2,-2,-2,-1,2,2,2,1,-2,-3,-2,-1,2,1,-1,-2,-3,-2,0
2373,-2,-1,3,3,2,1,-3,-3,-1,2,3,1,-2,-3,-3,1,2,3,2,-2,-3
2374,2,0,0,1,2,0,-3,-3,-3,-3,-2,0,2,2,-1,-3,-3,-3,-3,-2,1
2375,2,2,2,1,-2,-2,-2,0,2,2,1,-2,-3,0,2,3,2,1,0,-2,-2
2376,-2,-2,-2,1,3,2,0,-2,-3,0,1,2,1,1,0,-1,1,2,3,-1,-1
2377,2,2,-1,-2,-3,-3,-2,2,2,2,1,-2,-2,-1,2,3,2,2,2,0,2
2378,1,2,2,0,-1,-2,0,0,3,2,1,-2,-1,0,0,3,2,1,-2,0,-2
2379,1,-2,-2,-2,2,1,2,0,-2,-2,1,2,2,2,-2,-2,-2,3,3,3,3
2380,-3,-3,-3,-3,-3,2,2,0,1,1,2,2,3,2,1,-3,-3,-3,1,0,-1
2381,2,2,0,-2,-2,1,2,2,1,-1,-2,3,3,3,-2,-2,-3,-3,-2,2,2
2382,2,3,-1,-2,-1,2,2,2,-2,-2,-2,0,3,2,-2,-2,-3,-2,2,2,2
2383,1,2,2,1,-2,-2,-1,0,2,3,1,1,-2,-3,-1,2,2,2,-2,-1,1
2384,0,2,2,1,-2,-3,0,2,3,2,1,0,-2,-2,-2,2,2,2,0,-2,-3
2385,1,-2,-2,-3,-2,0,1,1,-2,-2,-2,-2,0,1,2,1,-2,-1,-1,2,2
2386,1,1,0,2,3,3,3,3,3,-1,-3,-2,-2,-2,-2,-3,-3,-3,-3,1,2
2387,2,1,-2,-2,-1,2,3,2,2,2,0,2,3,3,3,-2,-2,-2,-2,-1,-2
2388,-2,-2,1,2,2,1,-1,-1,1,1,3,2,1,-1,-1,1,2,3,2,2,-1
2389,0,2,3,2,1,0,-2,-2,-2,2,2,2,0,-2,-3,1,2,3,3,-2,-1
2390,-1,-1,-1,3,3,3,3,-3,-3,-3,-3,-2,3,1,-2,-3,-1,2,3,2,-2
2391,1,1,-2,-2,-2,-1,0,2,2,2,-1,0,1,2,2,2,2,1,-1,-2,-1
2392,1,0,0,0,1,1,3,3,2,2,-3,-3,1,2,3,3,-2,-3,-3,-2,3
2393,-1,2,-1,-1,2,2,2,2,-1,-2,-2,-2,2,3,1,-3,-3,0,3,3,3
2394,2,-1,0,1,2,2,2,2,1,-1,-2,-1,2,1,1,-1,-2,-2,2,2,2
2395,-2,-2,-2,-1,2,2,2,0,-1,-2,2,2,2,2,-2,-2,-2,-2,2,1,1
2396,3,2,-1,-2,-3,-2,-2,2,2,1,-2,-2,-2,2,1,2,0,-2,-1,1,2
2397,2,0,1,-3,-2,0,2,3,2,2,-1,1,2,2,2,-1,-2,-3,-2,-2,-2
2398,0,-2,-3,1,2,3,3,-2,-1,-2,2,3,2,2,-2,-3,-2,-2,2,3,2
2399,-2,0,2,3,-1,2,-1,-1,2,2,2,2,-1,-2,-2,-2,2,3,1,-3,-3
2400,2,2,-2,-2,-2,2,2,2,2,-2,-3,-2,3,3,3,3,-2,-3,-3,-2,0
2401,-2,-1,2,2,2,0,-2,-2,-2,-1,0,-2,0,-3,-1,-2,0,1,-2,-2,-2
2402,2,-3,-3,-3,-2,2,1,-1,-2,-2,-2,2,3,2,2,-2,-3,-2,0,2,2
2403,3,1,1,-2,-3,-1,2,2,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2
2404,2,-1,-3,-3,-2,-1,1,1,-1,-2,-2,-1,2,2,2,2,-2,-2,-2,-2,1
2405,2,2,2,2,-2,-3,-2,-1,0,2,1,1,-1,-1,0,2,2,-1,-2,-2,-2
2406,2,2,1,-2,-3,-2,-1,2,1,-1,-2,-3,-2,0,2,2,0,-2,-2,1,2
2407,-3,-2,2,1,1,-2,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1,-1,-2
2408,3,3,0,-2,-2,-2,1,1,2,1,-3,-3,-3,2,3,2,2,-2,-2,-2,1
2409,2,2,0,-1,-3,-2,0,2,2,-1,-2,-2,-1,2,1,0,-1,-2,-2,-1,2
2410,-3,-3,-3,-3,-2,0,1,-3,-3,-3,-1,0,1,-2,-2,-3,-2,-1,1,1,2
2411,1,-2,-1,-3,0,0,2,3,2,1,-2,-3,-2,0,1,-2,-2,-2,-2,-1,2
2412,-1,-2,-1,-1,2,2,0,-1,0,1,2,2,0,-2,0,-3,-1,0,1,2,2
2413,3,2,2,2,-1,-2,-1,-2,-1,-3,-1,1,0,3,2,-1,-2,-2,2,2,2
2414,1,-1,-2,-2,-1,2,2,2,1,-1,-2,3,3,3,3,3,2,-3,0,2,-2
2415,3,2,0,-3,-1,1,1,3,1,-2,-2,0,3,3,-2,-3,-3,-3,-3,2,2
2416,1,1,1,1,1,-2,2,-3,-1,-2,1,1,2,-1,-2,-2,-2,1,1,2,0
2417,3,2,0,-2,-2,1,2,3,2,2,-3,-3,-2,-1,1,2,1,0,-2,1,3
2418,-3,-1,-1,1,0,0,-1,1,2,2,0,-2,-2,-2,-2,1,2,2,0,-2,-2
2419,-1,0,-2,0,-3,-1,-2,0,1,-2,-2,-2,-2,2,3,2,2,0,-3,-2,2
2420,-2,2,2,2,1,0,-3,-2,-1,2,2,1,0,-2,-2,-1,3,3,2,2,-3
2421,-2,-2,-2,2,3,2,2,0,-3,-2,2,2,2,0,-2,-2,-2,-2,-1,1,2
2422,0,0,3,2,1,-2,-1,0,0,3,2,1,-2,0,-2,2,2,2,1,-2,-2
2423,0,2,3,2,1,-2,-3,-2,0,1,-2,-2,-2,-2,-1,2,3,0,3,-2,-3
2424,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,1,-2,-2,-2,-3,-2,-3,-3,0
2425,-2,-2,1,1,2,-1,-1,-1,1,2,2,2,0,-2,-2,0,1,3,2,2,-2
2426,2,3,3,3,3,-1,-1,-2,-1,-3,-2,-2,0,0,2,1,0,-1,-2,-2,-1
2427,2,2,2,2,3,2,-2,-2,-3,2,2,3,2,1,-2,1,2,3,3,-2,-2
2428,2,3,0,-2,-2,-2,1,3,2,-1,-2,-2,-2,2,2,2,1,0,-3,-2,-1
2429,1,-2,2,3,3,3,-3,-3,-3,-3,-3,1,2,0,-2,-3,1,2,3,3,3
2430,2,2,0,-3,-3,2,2,2,-1,-2,-3,0,-2,0,1,1,1,-1,-2,-1,0
2431,2,1,-3,-3,-1,3,3,3,3,-1,-3,-3,0,2,2,-2,-3,-3,1,-2,2
2432,-2,-2,0,2,3,2,2,-2,-3,-2,-1,2,2,0,-2,-2,-1,2,2,1,-1
2433,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,1,-2,-2,-2,-3,-2,-3,-3,0,0
2434,1,0,-1,-1,2,2,2,1,-2,-2,1,2,2,1,-2,-3,0,2,3,3,3
2435,-1,-2,-2,-2,-1,0,1,2,1,-1,-1,-1,2,2,2,0,-1,-2,0,2,3
2436,2,2,-1,-2,-1,0,1,2,-2,-2,-1,2,2,2,1,-2,-3,-2,-1,2,1
2437,3,2,1,-1,-3,-2,-2,3,3,2,-1,-2,-3,-2,-1,2,2,1,-2,-1,-1
2438,3,3,3,0,-3,-3,-2,3,2,2,-2,-3,-2,0,2,2,2,1,-2,-2,-2
2439,2,2,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2,2,0,-1,-3,-2,2
2440,-1,-2,2,0,1,-1,-1,-2,-1,1,1,1,-1,-1,-2,-1,-1,2,1,1,-1
2441,1,2,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2,-3
2442,1,0,-1,-2,-2,-2,-1,2,1,0,-1,-2,-1,1,2,2,1,-1,-1,1,-1
2443,0,1,-2,-2,-3,-2,-1,1,1,2,2,1,0,2,2,2,2,-2,-2,-2,-1
2444,-2,2,2,2,1,-2,-2,1,2,2,1,-3,-3,-1,3,3,3,3,-1,-3,-3
2445,-3,-3,-3,-3,2,3,2,2,1,-2,-3,-1,2,2,0,-2,-3,-2,-1,3,3
2446,-1,-1,-1,2,2,2,1,-1,-3,-2,-2,-1,0,1,-1,-2,-2,-2,1,2,2
2447,-3,-1,0,2,1,-1,-2,-1,2,2,2,1,-2,-2,-1,2,2,2,2,-2,-3
2448,-3,-2,-2,2,2,2,0,-2,-2,-2,-1,2,1,-2,-2,-3,-2,-1,2,2,1
2449,-2,0,2,2,1,-2,1,-3,-2,0,1,0,-1,-2,-2,-2,-1,2,1,0,-1
2450,-2,-2,2,1,1,-1,-2,-1,1,1,1,1,0,0,2,2,2,2,-1,-2,-2
2451,2,2,2,1,-2,-2,-2,2,2,0,1,-3,-2,0,2,3,2,2,-1,1,2
2452,1,2,1,1,-2,-2,-2,1,1,0,-1,0,-3,-1,0,2,2,2,0,-2,-1
2453,-3,-3,-3,-3,-3,-3,-3,2,2,0,1,1,2,2,3,2,1,-3,-3,-3,1
2454,-3,1,2,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2
2455,1,2,2,1,-2,-2,-2,-2,0,2,2,0,-2,-2,0,1,2,2,-1,-2,-1
2456,-2,-2,-2,-1,1,0,-2,-2,-2,-2,1,1,2,-1,-1,-1,1,2,2,2,0
2457,2,2,-1,-1,-1,0,2,1,2,0,1,1,1,1,1,-2,2,-3,-1,-2,1
2458,2,1,-3,-3,-2,2,3,2,2,0,-3,-3,2,2,2,-1,-2,-3,0,-2,0
2459,-2,-2,2,2,0,1,-3,-2,0,2,3,2,2,-1,1,2,2,2,-1,-2,-3
2460,1,-2,-2,-3,-3,-2,3,2,2,-2,-2,-2,2,3,2,-1,-2,-3,-2,-2,2
2461,0,1,2,1,0,-2,-1,-1,1,1,1,1,-1,-1,0,1,2,1,-1,-2,-2
2462,-2,-2,-1,2,1,-2,-2,-3,-2,-1,2,2,1,-1,-1,-1,1,2,3,3,-1
2463,-1,2,2,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2,2,0,-1,-3,-2
2464,-1,-2,-2,-2,0,0,3,2,-2,-2,-1,0,1,1,1,0,-1,-2,-2,2,2
2465,2,-2,-2,-2,0,2,3,2,2,1,-2,-2,1,1,-2,-2,-3,-3,-2,3,2
2466,-3,-2,-1,2,2,1,0,-2,-2,-1,3,3,2,2,-3,-2,-2,0,-1,-1,-2
2467,-2,-2,2,3,2,0,-2,-3,-2,-2,-2,3,3,3,-2,-3,-2,-1,3,3,2
2468,1,-2,-2,2,3,3,3,3,2,-3,-3,0,-1,-3,-3,-1,-3,-1,0,3,3
2469,2,1,1,-1,-2,-2,0,1,2,1,-2,-2,-2,2,2,1,1,-2,-2,-2,-1
2470,-2,0,0,3,2,1,-2,-1,0,0,3,2,1,-2,0,-2,2,2,2,1,-2
2471,-3,2,3,3,-2,-3,-2,1,2,3,3,2,-2,-1,-1,3,3,3,2,-2,-3
2472,-1,-1,2,3,3,1,-2,-3,-2,-2,-1,-2,-2,-3,-2,-2,2,-1,3,2,2
2473,0,3,2,2,-2,-2,-2,0,2,3,2,2,1,-2,-2,1,1,-2,-2,-3,-3
2474,0,-3,-2,-1,2,1,1,-1,-2,-2,-1,1,2,-1,-2,-2,-2,0,2,2,-1
2475,-1,-2,-1,-1,3,2,2,-2,-2,-3,1,2,3,2,2,-2,-3,1,2,2,2
2476,0,-2,-2,-2,1,1,2,1,-3,-3,-3,2,3,2,2,-2,-2,-2,1,3,2
2477,-2,-3,-1,2,2,2,-2,-1,1,2,2,2,1,0,-3,-2,-1,2,2,0,-1
2478,0,1,-1,-1,-2,2,2,2,1,-2,-2,-2,0,2,2,2,-1,-2,-2,-2,1
2479,1,2,2,1,-2,-3,0,2,3,3,3,2,-3,-3,1,2,1,-1,-3,-3,-1
2480,2,1,-2,-2,-1,2,2,2,2,-2,-2,-1,1,2,2,-2,0,-3,0,-1,1
2481,0,-3,-3,0,2,3,3,3,-3,-3,-3,1,2,2,-2,-2,-3,-1,-2,2,0
2482,-3,-2,0,2,1,1,0,-2,0,1,2,2,1,-2,0,1,1,1,-2,-2,-1
2483,2,0,-1,0,1,2,2,0,-2,0,-3,-1,0,1,2,2,1,1,-2,-1,2
2484,1,2,-1,-2,1,-1,3,2,2,-2,-2,-2,-1,1,2,-1,-2,-1,-1,3,2
2485,-2,-1,2,2,2,0,-1,-2,2,2,2,2,-2,-2,-2,-2,2,1,1,-1,-2
2486,-2,-3,-3,-3,2,2,-1,-2,-3,-2,-2,-1,0,1,0,-2,-1,-1,1,2,1
2487,2,-1,-2,-2,-2,-2,-1,1,-1,-1,-2,-1,1,1,2,-1,-1,-1,1,2,2
2488,1,3,1,-2,-2,0,3,3,-2,-3,-3,-3,-3,2,2,2,1,-1,-2,-2,-1
2489,1,2,2,2,0,-2,-2,0,1,3,2,2,-2,-1,1,2,2,2,-2,-2,0
2490,-2,3,3,2,-1,-2,-3,-2,-1,2,2,1,-2,-1,-1,2,3,3,1,-2,-3
2491,-2,-2,1,2,-1,-2,-2,0,2,2,1,-1,-1,-1,1,2,2,2,2,-1,-3
2492,1,-1,-2,3,3,3,-2,-2,-3,-3,-2,2,2,2,-1,-1,-2,2,2,2,-1
2493,2,2,2,1,-1,-2,3,3,3,3,3,2,-3,0,2,-2,-3,-3,-3,-3,-2
2494,0,3,3,3,1,-1,-3,-3,-3,1,1,0,-3,-3,-2,0,2,2,0,-1,-2
2495,3,2,2,0,-3,-1,-1,1,1,-2,-2,-3,-3,3,3,3,3,1,-2,2,3
2496,0,1,-1,-2,-2,-2,-2,0,1,0,-2,-2,-1,2,1,2,-2,-2,-2,-1,0
2497,-2,2,1,1,-2,-2,-2,-1,0,2,2,2,-1,0,1,2,2,2,2,1,-1
2498,-2,-2,1,1,1,0,-2,-1,-1,0,2,2,1,-2,-2,-1,0,2,2,1,0
