Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1,35,-3,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2
1,36,-1,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2
1,37,0,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2
1,38,-2,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3
1,39,-3,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0
1,40,-3,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1
1,41,-2,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2
1,42,-2,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3
1,43,0,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2
1,44,2,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2
1,45,1,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2
1,46,-1,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2
1,47,-2,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2
1,48,-1,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1
1,49,2,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2
1,50,2,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2
1,51,2,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2
1,52,2,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2
1,53,2,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2
1,54,0,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2
1,55,-2,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2
1,56,-2,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2
1,57,-2,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1
1,58,-3,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2
1,59,0,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0
1,60,1,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1
1,61,2,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1
1,62,3,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2
1,63,2,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2
1,64,2,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2
1,65,2,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1
1,66,2,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2
1,67,-2,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2
1,68,-1,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3
1,69,2,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2
1,70,2,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3
1,71,2,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2
1,72,2,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2
1,73,2,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2
1,74,2,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3
1,75,-2,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3
1,76,-2,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2
1,77,-1,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2
1,78,2,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2
1,79,0,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2
1,80,1,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1
1,81,-1,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1
1,82,-2,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1
1,83,-2,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2
1,84,-2,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2
1,85,-1,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2
1,86,-2,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2
1,87,-2,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2
1,88,-3,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2
1,89,-2,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1
1,90,-3,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2
1,91,2,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2
1,92,2,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2
1,93,-2,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2
1,94,-3,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2
1,95,-3,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3
1,96,-2,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0
1,97,-2,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2
1,98,-2,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2
1,99,-2,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1
1,100,1,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0
1,101,1,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0
1,102,-1,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2
1,103,2,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2
1,104,2,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2
1,105,2,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3
1,106,2,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2
1,107,2,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0
1,108,2,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0
1,109,-1,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2
1,110,-2,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2
1,111,-2,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2
1,112,-2,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1
1,113,2,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2
1,114,2,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2
1,115,3,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2
1,116,0,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1
1,117,2,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2
1,118,2,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3
1,119,1,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0
1,120,0,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1
1,121,0,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2
1,122,2,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2
1,123,2,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0
1,124,2,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2
1,125,3,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3
1,126,-2,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2
1,127,0,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2
1,128,0,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2
1,129,2,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2
1,130,2,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3
1,131,2,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2
1,132,1,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3
1,133,2,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2
1,134,-2,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2
1,135,-2,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2
1,136,-1,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2
1,137,2,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3
1,138,3,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2
1,139,0,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2
1,140,-1,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2
1,141,-2,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0
1,142,-2,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0
1,143,0,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1
1,144,2,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2
1,145,3,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1
1,146,2,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2
1,147,2,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2
1,148,2,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0
1,149,2,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1
1,150,3,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1
1,151,2,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2
1,152,3,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2
1,153,-2,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2
1,154,-2,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2
1,155,2,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1
1,156,-2,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2
1,157,-3,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1
1,158,-2,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1
1,159,-2,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2
1,160,-2,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1
1,161,0,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0
1,162,0,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2
1,163,-1,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3
1,164,-2,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0
1,165,-1,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2
1,166,-2,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1
1,167,-2,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0
1,168,0,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2
1,169,1,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2
1,170,1,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3
1,171,-2,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1
1,172,-2,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1
1,173,-2,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2
1,174,2,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1
1,175,-1,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1
1,176,-2,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2
1,177,1,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2
1,178,1,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2
1,179,2,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1
1,180,-1,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1
1,181,0,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2
1,182,2,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2
1,183,3,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1
1,184,0,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2
1,185,-2,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2
1,186,-1,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2
1,187,0,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2
1,188,2,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2
1,189,2,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2
1,190,3,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2
1,191,-1,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1
1,192,-1,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2
1,193,-2,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2
1,194,1,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2
1,195,1,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3
1,196,2,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1
1,197,2,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2
1,198,2,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2
1,199,1,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2
1,200,1,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2
1,201,-2,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0
1,202,-2,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2
1,203,1,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2
1,204,2,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1
1,205,2,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2
1,206,-2,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2
1,207,-2,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3
1,208,-2,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1
1,209,-2,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1
1,210,-2,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1
1,211,-1,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2
1,212,2,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2
1,213,2,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2
1,214,2,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3
1,215,3,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2
1,216,-1,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2
1,217,2,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2
1,218,2,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1
1,219,2,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2
1,220,2,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2
1,221,0,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2
1,222,-2,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2
1,223,-2,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2
1,224,1,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1
1,225,2,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2
1,226,-2,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1
1,227,-3,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2
1,228,1,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3
1,229,1,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2
1,230,1,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2
1,231,-2,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2
1,232,-2,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2
1,233,-2,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2
1,234,-3,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0
1,235,-2,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1
1,236,-2,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1
1,237,-2,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0
1,238,-1,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0
1,239,2,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2
1,240,2,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2
1,241,2,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2
1,242,2,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0
1,243,2,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1
1,244,1,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1
1,245,2,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2
1,246,1,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2,2
1,247,-2,-3,-2,-2,-2,-2,-2,0,-1,-1,0,0,2,2,2,0,1,-1,2,2,2
