Local time in Bingley,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.12.2020 10:00,5.2,731.4,755.2,1.6,90,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,35.0,3.7,,,,,,
20.12.2020 09:00,4.5,730.9,754.8,1.5,92,Wind blowing from the south-west,5,,,, ,,,,,,,300-600,,,35.0,3.3,,,,,,
20.12.2020 08:00,4.3,730.3,754.3,1.1,92,Wind blowing from the south-southwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,3.1,,,,,,
20.12.2020 07:00,4.3,729.8,753.7,0.8,91,Wind blowing from the south-southwest,6,11,,, ,,,,,,,2500 or more or no clouds.,,,50.0,3.0,,,,,,
20.12.2020 06:00,4.4,729.4,753.3,0.9,91,Wind blowing from the south-west,6,,,, ,,,4.4,,,,300-600,,,50.0,3.1,0.2,12,,,,
20.12.2020 05:00,5.1,729.2,753.0,1.3,91,Wind blowing from the south-southwest,6,,,, ,,,,,,,300-600,,,45.0,3.7,,,,,,
20.12.2020 04:00,5.2,729.0,752.8,1.1,91,Wind blowing from the south-west,6,,,,Rain (not freezing). ,,,,,,,300-600,,,40.0,3.9,,,,,,
20.12.2020 03:00,5.0,728.5,752.3,0.6,93,Wind blowing from the south-southwest,6,11,13,,Drizzle and rain slight. ,,,,,,,200-300,,,12.0,3.9,,,,,,
20.12.2020 02:00,5.3,727.9,751.6,0.5,88,Wind blowing from the south-southwest,9,15,17,,Rain (not freezing). ,,,,,,,300-600,,,35.0,3.4,,,,,,
20.12.2020 01:00,5.4,727.9,751.6,0.8,88,Wind blowing from the south-southwest,7,,,,Rain (not freezing). ,,,,,,,300-600,,,30.0,3.6,,,,,,
20.12.2020 00:00,5.4,727.9,751.6,1.0,88,Wind blowing from the south-west,7,12,,,Rain shower(s) or intermittent rain slight. ,,,,,,,2500 or more or no clouds.,,,40.0,3.5,Trace of precipitation,6,,,,
19.12.2020 23:00,5.5,727.4,751.1,0.8,88,Wind blowing from the south-southwest,7,12,14,, ,,,,,,,2500 or more or no clouds.,,,50.0,3.6,,,,,,
19.12.2020 22:00,5.6,727.1,750.8,0.7,89,Wind blowing from the south-southwest,7,12,14,, ,,,,,,,300-600,,,35.0,3.9,,,,,,
19.12.2020 21:00,5.7,726.9,750.6,0.8,88,Wind blowing from the south-southwest,7,12,,, ,,,,,,,300-600,,,28.0,3.8,,,,,,
19.12.2020 20:00,5.6,726.6,750.3,0.8,88,Wind blowing from the south-southwest,6,,13,,Haze or smoke or dust in suspension in the air visibility equal to or greater than 1 km. ,,,,,,,300-600,,,11.0,3.7,,,,,,
19.12.2020 19:00,6.1,726.4,750.0,1.2,89,Wind blowing from the south-southwest,6,,14,,Rain (not freezing). ,,,,,,,300-600,,,35.0,4.4,,,,,,
19.12.2020 18:00,5.9,726.1,749.8,1.0,89,Wind blowing from the south-southwest,6,,13,,Rain shower(s) or intermittent rain slight. ,,,,8.9,,,1500-2000,,,27.0,4.2,0.6,12,,,,
19.12.2020 17:00,6.8,725.8,749.4,1.0,85,Wind blowing from the south-southwest,7,15,15,,Rain shower(s) or intermittent rain slight. ,,,,,,,600-1000,,,13.0,4.4,,,,,,
19.12.2020 16:00,7.4,725.2,748.7,0.5,80,Wind blowing from the south-southwest,6,12,,,Rain shower(s) or intermittent rain slight. ,,,,,,,2500 or more or no clouds.,,,29.0,4.1,,,,,,
19.12.2020 15:00,7.5,725.1,748.6,0.5,78,Wind blowing from the south-southwest,5,,14,, ,,,,,,,1000-1500,,,35.0,3.8,,,,,,
19.12.2020 14:00,7.8,724.8,748.2,-0.1,77,Wind blowing from the south-southwest,7,,14,, ,,,,,,,1000-1500,,,35.0,3.9,,,,,,
19.12.2020 13:00,8.1,724.7,748.1,-0.1,77,Wind blowing from the south-southwest,8,13,16,, ,,,,,,,600-1000,,,40.0,4.3,,,,,,
19.12.2020 12:00,8.8,724.6,747.9,0.3,76,Wind blowing from the south-southwest,8,14,14,,Rain (not freezing). ,,,,,,,600-1000,,,27.0,4.8,Trace of precipitation,6,,,,
19.12.2020 11:00,8.0,724.9,748.3,1.0,82,Wind blowing from the south,5,,,, ,,,,,,,600-1000,,,35.0,5.0,,,,,,
19.12.2020 10:00,8.3,724.8,748.1,1.0,85,Wind blowing from the south-west,6,,,, ,,,,,,,300-600,,,45.0,5.9,,,,,,
19.12.2020 09:00,8.5,724.3,747.7,0.6,86,Wind blowing from the south-southwest,6,11,,, ,,,,,,,300-600,,,50.0,6.2,,,,,,
19.12.2020 08:00,8.5,723.9,747.2,-0.1,88,Wind blowing from the south,5,,,, ,,,,,,,1000-1500,,,29.0,6.6,,,,,,
19.12.2020 07:00,8.7,723.8,747.1,-0.5,90,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,45.0,7.1,,,,,,
19.12.2020 06:00,8.5,723.7,747.0,-0.8,92,Wind blowing from the south,3,,,,Rain (not freezing). ,,,8.5,,,,1000-1500,,,45.0,7.2,3.0,12,,,,
19.12.2020 05:00,8.7,724.0,747.4,-0.3,91,Wind blowing from the south-southwest,4,,,,Rain not freezing slight. ,,,,,,,1500-2000,,,28.0,7.3,,,,,,
19.12.2020 04:00,9.3,724.3,747.6,-0.3,90,Wind blowing from the south-southwest,5,,,,Rain not freezing slight. ,,,,,,,2000-2500,,,25.0,7.8,,,,,,
19.12.2020 03:00,9.4,724.5,747.7,-0.4,90,Wind blowing from the south-southwest,5,,,,Rain not freezing slight. ,,,,,,,300-600,,,17.0,7.9,,,,,,
19.12.2020 02:00,10.7,724.3,747.5,-0.9,91,Wind blowing from the south,6,,,,Rain shower(s) or intermittent rain moderate. ,,,,,,,300-600,,,6.0,9.2,,,,,,
19.12.2020 01:00,11.4,724.6,747.7,-1.0,83,Wind blowing from the south,6,,13,,Rain (not freezing). ,,,,,,,300-600,,,50.0,8.6,,,,,,
19.12.2020 00:00,11.7,724.9,748.0,-1.1,84,Wind blowing from the south,7,13,13,,Rain (not freezing). ,,,,,,,300-600,,,50.0,9.1,1.0,6,,,,
18.12.2020 23:00,12.0,725.2,748.3,-1.0,84,Wind blowing from the south,7,12,15,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,40.0,9.4,,,,,,
18.12.2020 22:00,12.1,725.6,748.7,-1.1,85,Wind blowing from the south,7,13,14,,Rain (not freezing). ,,,,,,,300-600,,,50.0,9.6,,,,,,
18.12.2020 21:00,11.9,726.0,749.1,-1.0,88,Wind blowing from the south,6,,,,Rain not freezing slight. ,,,,,,,300-600,,,29.0,10.0,,,,,,
18.12.2020 20:00,10.6,726.2,749.5,-1.1,97,Wind blowing from the south-southeast,4,,,,Rain not freezing slight. ,,,,,,,100-200,,,10.0,10.1,,,,,,
18.12.2020 19:00,11.3,726.7,750.0,-0.3,87,Wind blowing from the south,5,,,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,6.0,9.2,,,,,,
18.12.2020 18:00,12.0,727.0,750.2,-0.3,86,Wind blowing from the south,5,10,13,,Drizzle and rain slight. ,,,,12.8,,,300-600,,,15.0,9.7,0.6,12,,,,
18.12.2020 17:00,12.3,727.3,750.4,-0.2,85,Wind blowing from the south,6,14,14,,Rain (not freezing). ,,,,,,,300-600,,,50.0,9.8,,,,,,
18.12.2020 16:00,12.6,727.0,750.1,-1.1,84,Wind blowing from the south,7,14,15,,Rain (not freezing). ,,,,,,,300-600,,,50.0,9.9,,,,,,
18.12.2020 15:00,12.4,727.3,750.4,-1.3,87,Wind blowing from the south,6,13,13,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,50.0,10.2,,,,,,
18.12.2020 14:00,12.1,727.5,750.7,-1.3,89,Wind blowing from the south,5,10,13,,Rain (not freezing). ,,,,,,,300-600,,,50.0,10.3,,,,,,
18.12.2020 13:00,11.8,728.1,751.3,-1.2,90,Wind blowing from the south,6,,,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,30.0,10.2,,,,,,
18.12.2020 12:00,11.7,728.6,751.9,-0.2,89,Wind blowing from the south,5,,,,Drizzle and rain moderate or heavy. ,,,,,,,300-600,,,5.0,10.0,Trace of precipitation,6,,,,
18.12.2020 11:00,11.7,728.8,752.0,-0.3,87,Wind blowing from the south,5,,17,,Drizzle and rain slight. ,,,,,,,300-600,,,7.0,9.6,,,,,,
18.12.2020 10:00,11.5,729.3,752.5,-0.1,88,Wind blowing from the south,9,15,16,, ,,,,,,,300-600,,,50.0,9.5,,,,,,
18.12.2020 09:00,11.5,728.8,752.0,-0.9,89,Wind blowing from the south-southwest,10,16,17,, ,,,,,,,300-600,,,50.0,9.7,,,,,,
18.12.2020 08:00,11.0,729.1,752.4,-0.9,92,Wind blowing from the south-southwest,7,14,14,,Rain (not freezing). ,,,,,,,200-300,,,50.0,9.8,,,,,,
18.12.2020 07:00,10.6,729.4,752.8,-0.5,95,Wind blowing from the south-southwest,7,,13,,Drizzle not freezing slight. ,,,,,,,200-300,,,6.0,9.8,,,,,,
18.12.2020 06:00,10.7,729.7,753.0,-0.6,94,Wind blowing from the south-southwest,6,12,14,,Rain (not freezing). ,,,7.9,,,,200-300,,,50.0,9.7,4.0,12,,,,
18.12.2020 05:00,10.6,730.0,753.4,-0.3,94,Wind blowing from the south-southwest,7,12,13,,Rain (not freezing). ,,,,,,,200-300,,,12.0,9.7,,,,,,
18.12.2020 04:00,10.3,729.9,753.3,-0.6,96,Wind blowing from the south-southwest,7,12,14,,Drizzle not freezing slight. ,,,,,,,200-300,,,16.0,9.7,,,,,,
18.12.2020 03:00,10.2,730.3,753.7,-0.1,95,Wind blowing from the south-southwest,7,13,15,,Drizzle not freezing slight. ,,,,,,,200-300,,,5.0,9.5,,,,,,
18.12.2020 02:00,10.0,730.3,753.7,-0.7,94,Wind blowing from the south-southwest,8,13,16,,Rain not freezing moderate. ,,,,,,,200-300,,,4.4,9.0,,,,,,
18.12.2020 01:00,10.0,730.5,753.9,-1.3,91,Wind blowing from the south-southwest,7,12,17,,Drizzle not freezing slight. ,,,,,,,300-600,,,12.0,8.6,,,,,,
18.12.2020 00:00,9.4,730.4,753.9,-1.7,94,Wind blowing from the south,8,13,15,,Rain not freezing moderate. ,,,,,,,300-600,,,9.0,8.4,2.0,6,,,,
17.12.2020 23:00,9.5,731.0,754.6,-1.7,91,Wind blowing from the south-southwest,8,15,16,,Drizzle not freezing slight. ,,,,,,,300-600,,,10.0,8.1,,,,,,
17.12.2020 22:00,9.5,731.8,755.3,-1.0,89,Wind blowing from the south-southwest,8,15,16,,Drizzle and rain slight. ,,,,,,,300-600,,,19.0,7.7,,,,,,
17.12.2020 21:00,8.7,732.1,755.6,-0.9,93,Wind blowing from the south,7,13,13,,Drizzle not freezing slight. ,,,,,,,300-600,,,12.0,7.6,,,,,,
17.12.2020 20:00,8.3,732.7,756.4,-0.8,90,Wind blowing from the south,6,12,15,,Rain shower(s) or intermittent rain moderate. ,,,,,,,300-600,,,12.0,6.8,,,,,,
17.12.2020 19:00,8.3,732.8,756.4,-0.8,88,Wind blowing from the south,7,14,14,, ,,,,,,,1500-2000,,,30.0,6.4,,,,,,
17.12.2020 18:00,7.9,733.0,756.7,-0.8,91,Wind blowing from the south,7,13,13,,Rain (not freezing). ,,,,8.0,,,300-600,,,24.0,6.5,0.2,12,,,,
17.12.2020 17:00,7.5,733.5,757.3,-0.2,92,Wind blowing from the south-southwest,5,,,,Drizzle not freezing slight. ,,,,,,,200-300,,,15.0,6.3,,,,,,
17.12.2020 16:00,6.9,733.6,757.4,-0.1,94,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,200-300,,,17.0,6.0,,,,,,
17.12.2020 15:00,6.7,733.8,757.6,0.0,93,Wind blowing from the south-southwest,5,,,,Drizzle and rain slight. ,,,,,,,200-300,,,4.3,5.6,,,,,,
17.12.2020 14:00,6.8,733.7,757.6,0.1,88,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,30.0,4.9,,,,,,
17.12.2020 13:00,6.3,733.7,757.6,0.5,89,Wind blowing from the south-west,6,,13,, ,,,,,,,300-600,,,26.0,4.6,,,,,,
17.12.2020 12:00,6.0,733.8,757.6,1.1,90,Wind blowing from the south-west,9,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,4.4,No precipitation,6,,,,
17.12.2020 11:00,5.6,733.6,757.6,1.5,92,Wind blowing from the south-west,8,,,, ,,,,,,,200-300,,,23.0,4.4,,,,,,
17.12.2020 10:00,4.7,733.2,757.1,1.4,96,Wind blowing from the south-west,6,,13,, ,,,,,,,100-200,,,18.0,4.1,,,,,,
17.12.2020 09:00,4.7,732.7,756.7,1.3,97,Wind blowing from the south-west,6,,,, ,,,,,,,100-200,,,11.0,4.2,,,,,,
17.12.2020 08:00,4.5,732.1,756.1,1.4,97,Wind blowing from the south-west,6,,,, ,,,,,,,100-200,,,12.0,4.0,,,,,,
17.12.2020 07:00,4.8,731.8,755.7,1.2,96,Wind blowing from the south-southwest,5,,,, ,,,,,,,100-200,,,11.0,4.2,,,,,,
17.12.2020 06:00,4.8,731.4,755.3,0.9,97,Wind blowing from the south-southwest,5,,,, ,,,4.6,,,,100-200,,,10.0,4.3,Trace of precipitation,12,,,,
17.12.2020 05:00,4.8,730.7,754.6,0.4,95,Wind blowing from the south-west,7,,,, ,,,,,,,200-300,,,15.0,4.1,,,,,,
17.12.2020 04:00,5.0,730.6,754.4,0.6,95,Wind blowing from the south-west,6,,,,Drizzle (not freezing) or snow grains. ,,,,,,,200-300,,,17.0,4.2,,,,,,
17.12.2020 03:00,5.3,730.5,754.3,0.6,94,Wind blowing from the south-southwest,6,,,, ,,,,,,,200-300,,,11.0,4.4,,,,,,
17.12.2020 02:00,4.9,730.3,754.1,0.9,94,Wind blowing from the south-southwest,4,,,, ,,,,,,,200-300,,,20.0,4.0,,,,,,
17.12.2020 01:00,4.8,730.0,753.8,0.8,93,Wind blowing from the south-southwest,6,11,,, ,,,,,,,200-300,,,16.0,3.8,,,,,,
17.12.2020 00:00,4.9,729.9,753.7,0.8,94,Wind blowing from the south-southwest,6,,,, ,,,,,,,200-300,,,16.0,4.0,Trace of precipitation,6,,,,
16.12.2020 23:00,5.0,729.4,753.3,0.8,93,Wind blowing from the south-southwest,6,,,, ,,,,,,,200-300,,,16.0,4.0,,,,,,
16.12.2020 22:00,5.2,729.2,753.0,1.0,93,Wind blowing from the south-southwest,5,,,, ,,,,,,,200-300,,,18.0,4.2,,,,,,
16.12.2020 21:00,5.6,729.1,752.9,1.1,91,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,23.0,4.3,,,,,,
16.12.2020 20:00,5.9,728.6,752.3,0.8,91,Wind blowing from the south-southwest,6,,,, ,,,,,,,300-600,,,24.0,4.6,,,,,,
16.12.2020 19:00,6.3,728.2,751.9,0.7,89,Wind blowing from the south-southwest,6,,,,Rain (not freezing). ,,,,,,,2500 or more or no clouds.,,,35.0,4.6,,,,,,
16.12.2020 18:00,6.3,728.0,751.7,1.3,90,Wind blowing from the south-southwest,5,,,,Rain shower(s) or intermittent rain slight. ,,,,8.2,,,1500-2000,,,23.0,4.7,9.0,12,,,,
16.12.2020 17:00,6.4,727.8,751.4,0.4,90,Wind blowing from the south-southwest,5,,,, ,,,,,,,2500 or more or no clouds.,,,50.0,4.8,,,,,,
16.12.2020 16:00,6.2,727.5,751.2,0.2,94,Wind blowing from the south-southwest,2,,,,Rain (not freezing). ,,,,,,,2500 or more or no clouds.,,,50.0,5.3,,,,,,
16.12.2020 15:00,6.3,726.7,750.4,-0.8,94,Wind blowing from the south-southeast,4,,,,Rain not freezing slight. ,,,,,,,1500-2000,,,50.0,5.4,,,,,,
16.12.2020 14:00,6.6,727.4,751.0,-0.2,94,Wind blowing from the south-southwest,3,,,,Rain not freezing moderate. ,,,,,,,600-1000,,,6.0,5.7,,,,,,
16.12.2020 13:00,7.9,727.3,750.8,-0.3,92,Wind blowing from the south,5,10,,,Rain not freezing moderate. ,,,,,,,300-600,,,4.9,6.7,,,,,,
16.12.2020 12:00,8.1,727.5,751.0,-0.2,90,Wind blowing from the south,6,,,,Rain not freezing slight. ,,,,,,,300-600,,,24.0,6.6,4.0,6,,,,
16.12.2020 11:00,8.0,727.6,751.0,-0.1,90,Wind blowing from the south,7,12,13,,Rain not freezing moderate. ,,,,,,,600-1000,,,8.0,6.4,,,,,,
16.12.2020 10:00,7.8,727.6,751.1,-0.3,89,Wind blowing from the south,7,13,15,,Rain not freezing moderate. ,,,,,,,300-600,,,10.0,6.0,,,,,,
16.12.2020 09:00,7.7,727.7,751.3,-0.3,89,Wind blowing from the south,7,,,,Rain not freezing moderate. ,,,,,,,300-600,,,21.0,6.0,,,,,,
16.12.2020 08:00,7.7,727.7,751.3,-1.0,89,Wind blowing from the south-southeast,6,12,,,Rain not freezing slight. ,,,,,,,600-1000,,,27.0,6.0,,,,,,
16.12.2020 07:00,7.1,727.9,751.5,-1.1,93,Wind blowing from the south-southeast,5,,,,Rain not freezing moderate. ,,,,,,,300-600,,,9.0,6.0,,,,,,
16.12.2020 06:00,6.1,728.0,751.7,-1.5,97,Wind blowing from the south-east,4,,,,Rain (not freezing). ,,,4.2,,,,200-300,,,14.0,5.6,Trace of precipitation,12,,,,
16.12.2020 05:00,6.2,728.7,752.4,-1.2,95,Wind blowing from the south-southeast,5,,,, ,,,,,,,300-600,,,13.0,5.4,,,,,,
16.12.2020 04:00,5.4,729.0,752.8,-1.3,99,Wind blowing from the east-southeast,4,,,,Mist. ,,,,,,,50-100,,,5.0,5.2,,,,,,
16.12.2020 03:00,5.0,729.5,753.3,-0.8,99,Wind blowing from the south-east,4,,,,Mist. ,,,,,,,50-100,,,3.3,4.8,,,,,,
16.12.2020 02:00,5.1,729.9,753.7,-0.6,95,Wind blowing from the east-southeast,4,,,,Mist. ,,,,,,,200-300,,,8.0,4.3,,,,,,
16.12.2020 01:00,4.4,730.3,754.2,-0.2,97,Wind blowing from the south-southeast,4,,,,Mist. ,,,,,,,2500 or more or no clouds.,,,6.0,4.0,,,,,,
16.12.2020 00:00,4.3,730.3,754.3,0.0,93,Wind blowing from the east-southeast,2,,,, ,,,,,,,2500 or more or no clouds.,,,12.0,3.2,No precipitation,6,,,,
15.12.2020 23:00,5.9,730.5,754.3,0.7,87,Wind blowing from the south,3,,,, ,,,,,,,2500 or more or no clouds.,,,26.0,3.9,,,,,,
15.12.2020 22:00,5.7,730.5,754.3,1.0,86,Wind blowing from the south,3,,,, ,,,,,,,600-1000,,,40.0,3.5,,,,,,
15.12.2020 21:00,5.7,730.3,754.1,1.2,87,Wind blowing from the south,4,,,, ,,,,,,,600-1000,,,35.0,3.7,,,,,,
15.12.2020 20:00,6.1,729.8,753.5,1.0,87,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,4.1,,,,,,
15.12.2020 19:00,6.9,729.5,753.2,1.0,85,Wind blowing from the south,4,,,, ,,,,,,,600-1000,,,14.0,4.6,,,,,,
15.12.2020 18:00,6.9,729.1,752.8,1.0,85,Wind blowing from the south,5,,,,Rain (not freezing). ,,,,7.7,,,1000-1500,,,30.0,4.6,Trace of precipitation,12,,,,
15.12.2020 17:00,6.8,728.8,752.4,0.9,87,Wind blowing from the south,4,,,,Rain (not freezing). ,,,,,,,600-1000,,,15.0,4.7,,,,,,
15.12.2020 16:00,6.8,728.5,752.1,0.8,84,Wind blowing from the south-southwest,4,,,, ,,,,,,,1000-1500,,,35.0,4.3,,,,,,
15.12.2020 15:00,7.6,728.1,751.7,0.6,80,Wind blowing from the south-southwest,4,,,, ,,,,,,,300-600,,,40.0,4.3,,,,,,
15.12.2020 14:00,7.4,727.9,751.5,0.6,82,Wind blowing from the south-southwest,5,11,,, ,,,,,,,300-600,,,35.0,4.5,,,,,,
15.12.2020 13:00,7.2,727.7,751.3,0.5,83,Wind blowing from the south-southwest,5,,13,, ,,,,,,,300-600,,,40.0,4.5,,,,,,
15.12.2020 12:00,7.3,727.5,751.0,0.5,82,Wind blowing from the south-west,7,,,, ,,,,,,,300-600,,,35.0,4.4,No precipitation,6,,,,
15.12.2020 11:00,7.0,727.3,751.0,1.2,83,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,4.2,,,,,,
15.12.2020 10:00,5.6,727.2,750.9,1.4,88,Wind blowing from the south-southwest,5,,,, ,,,,,,,,,,45.0,3.8,,,,,,
15.12.2020 09:00,5.0,727.0,750.7,1.5,90,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,3.5,,,,,,
15.12.2020 08:00,5.2,726.1,749.8,0.9,90,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,40.0,3.6,,,,,,
15.12.2020 07:00,5.0,725.8,749.5,0.8,91,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,29.0,3.7,,,,,,
15.12.2020 06:00,5.0,725.5,749.2,0.8,91,Wind blowing from the south-southwest,4,,,, ,,,4.6,,,,300-600,,,22.0,3.6,Trace of precipitation,12,,,,
15.12.2020 05:00,4.7,725.2,748.9,0.6,90,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,35.0,3.2,,,,,,
15.12.2020 04:00,4.8,725.0,748.7,0.8,91,Wind blowing from the south-southwest,4,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,3.4,,,,,,
15.12.2020 03:00,5.3,724.7,748.4,0.6,90,Wind blowing from the south,3,,,, ,,,,,,,600-1000,,,27.0,3.8,,,,,,
15.12.2020 02:00,5.5,724.6,748.3,0.3,87,Wind blowing from the south-southwest,2,,,, ,,,,,,,1000-1500,,,29.0,3.5,,,,,,
15.12.2020 01:00,6.1,724.2,747.7,-0.1,89,Wind blowing from the south-southwest,5,,,,Rain (not freezing). ,,,,,,,2500 or more or no clouds.,,,22.0,4.4,,,,,,
15.12.2020 00:00,4.3,730.3,754.3,6.2,93,Wind blowing from the east-southeast,2,,,, ,,,,,,,2500 or more or no clouds.,,,12.0,3.2,No precipitation,6,,,,
14.12.2020 23:00,6.5,724.3,747.7,0.5,86,Wind blowing from the south-southwest,6,,,, ,,,,,,,300-600,,,22.0,4.3,,,,,,
14.12.2020 22:00,6.8,724.3,747.7,0.8,86,Wind blowing from the south,5,,,, ,,,,,,,300-600,,,25.0,4.6,,,,,,
14.12.2020 21:00,7.2,724.1,747.6,1.0,85,Wind blowing from the south,3,,,,Rain (not freezing). ,,,,,,,300-600,,,22.0,4.8,,,,,,
14.12.2020 20:00,7.0,723.8,747.3,1.2,86,Wind blowing from the south-southwest,6,,,, ,,,,,,,300-600,,,30.0,4.8,,,,,,
14.12.2020 19:00,6.7,723.5,747.0,1.0,87,Wind blowing from the south-southwest,6,,,, ,,,,,,,300-600,,,23.0,4.7,,,,,,
14.12.2020 18:00,6.9,723.1,746.5,1.1,86,Wind blowing from the south-southwest,6,12,,, ,,,,8.7,,,2500 or more or no clouds.,,,35.0,4.7,0.6,12,,,,
14.12.2020 17:00,7.0,722.6,746.1,0.8,84,Wind blowing from the south-southwest,6,,,, ,,,,,,,2500 or more or no clouds.,,,45.0,4.5,,,,,,
14.12.2020 16:00,7.2,722.5,745.9,0.9,85,Wind blowing from the south-southwest,6,12,,, ,,,,,,,600-1000,,,45.0,4.8,,,,,,
14.12.2020 15:00,7.6,722.0,745.3,0.7,86,Wind blowing from the south-southwest,5,,,,Rain (not freezing). ,,,,,,,600-1000,,,45.0,5.3,,,,,,
14.12.2020 14:00,7.8,721.8,745.1,0.6,87,Wind blowing from the south-southwest,5,10,,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,21.0,5.8,,,,,,
14.12.2020 13:00,7.4,721.6,745.0,0.8,89,Wind blowing from the south-southwest,6,13,13,,Rain (not freezing). ,,,,,,,300-600,,,30.0,5.7,,,,,,
14.12.2020 12:00,8.4,721.3,744.5,1.2,82,Wind blowing from the south-southwest,7,12,14,, ,,,,,,,300-600,,,26.0,5.4,Trace of precipitation,6,,,,
14.12.2020 11:00,7.8,721.2,744.5,1.5,84,Wind blowing from the south-southwest,7,12,,,Rain (not freezing). ,,,,,,,300-600,,,28.0,5.2,,,,,,
14.12.2020 10:00,7.7,720.8,744.1,1.4,85,Wind blowing from the south-southwest,7,13,13,, ,,,,,,,300-600,,,26.0,5.3,,,,,,
14.12.2020 09:00,7.4,720.1,743.5,1.2,87,Wind blowing from the south-southwest,7,12,13,,Rain (not freezing). ,,,,,,,300-600,,,23.0,5.3,,,,,,
14.12.2020 08:00,7.7,719.7,743.0,1.1,89,Wind blowing from the south-southwest,6,,13,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,16.0,6.0,,,,,,
14.12.2020 07:00,7.6,719.4,742.6,0.8,87,Wind blowing from the south-southwest,6,13,13,,Rain shower(s) or intermittent rain slight. ,,,,,,,300-600,,,25.0,5.5,,,,,,
14.12.2020 06:00,8.0,718.9,742.1,0.3,85,Wind blowing from the south-southwest,6,14,14,, ,,,7.8,,,,600-1000,,,20.0,5.6,1.0,12,,,,
14.12.2020 05:00,8.4,718.6,741.7,-0.1,86,Wind blowing from the south-southwest,7,,15,,Rain (not freezing). ,,,,,,,1000-1500,,,15.0,6.2,,,,,,
