Local time in Aberdaron,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.11.2020 07:00,8.4,759.7,768.6,3.9,81,Wind blowing from the north-west,15,,,, ,,,,,,,600-1000,,,30.0,5.3,,,,,,
19.11.2020 06:00,8.8,758.5,767.2,4.2,77,Wind blowing from the north-west,15,,,, ,,,8.4,,,,600-1000,,,40.0,4.9,No precipitation,12,,,,
19.11.2020 05:00,8.9,757.1,765.9,3.7,79,Wind blowing from the west-northwest,16,,,, ,,,,,,,300-600,,,30.0,5.4,,,,,,
19.11.2020 04:00,9.0,755.8,764.5,,83,Wind blowing from the west-northwest,17,,,, ,,,,,,,300-600,,,26.0,6.2,,,,,,
19.11.2020 03:00,8.6,754.3,763.0,,84,Wind blowing from the west,20,,,, ,,,,,,,300-600,,,12.0,6.0,,,,,,
19.11.2020 02:00,9.1,753.4,762.1,2.9,77,Wind blowing from the west,18,,,, ,,,,,,,600-1000,,,30.0,5.2,,,,,,
19.11.2020 01:00,9.5,,,,72,Wind blowing from the west,15,,,, ,,,,,,,,,,,4.7,,,,,,
19.11.2020 00:00,8.7,767.2,776.1,17.4,75,Wind blowing from the south-west,8,,,, ,,,,,,,1000-1500,,,27.0,4.4,No precipitation,6,,,,
18.11.2020 23:00,9.9,750.5,759.2,0.5,78,Wind blowing from the west-southwest,19,,,, ,,,,,,,600-1000,,,19.0,6.2,,,,,,
18.11.2020 22:00,9.6,749.8,758.5,-0.2,80,Wind blowing from the west-southwest,20,,,, ,,,,,,,600-1000,,,15.0,6.2,,,,,,
18.11.2020 21:00,9.8,749.8,758.5,-0.3,77,Wind blowing from the west-southwest,22,,,, ,,,,,,,600-1000,,,14.0,5.9,,,,,,
18.11.2020 20:00,9.3,750.0,758.7,0.2,74,Wind blowing from the west-southwest,19,,,, ,,,,,,,600-1000,,,23.0,4.9,,,,,,
18.11.2020 19:00,9.0,750.0,758.7,0.5,73,Wind blowing from the west-southwest,18,,,, ,,,,,,,600-1000,,,30.0,4.4,,,,,,
18.11.2020 18:00,9.5,750.1,758.8,0.7,75,Wind blowing from the west-southwest,16,,,, ,,,,12.8,,,1000-1500,,,22.0,5.3,5.0,12,,,,
18.11.2020 17:00,9.5,749.8,758.4,0.9,69,Wind blowing from the west-southwest,17,,,, ,,,,,,,1000-1500,,,28.0,4.1,,,,,,
18.11.2020 16:00,9.4,749.5,758.2,1.1,75,Wind blowing from the west-southwest,16,,,, ,,,,,,,1000-1500,,,24.0,5.1,,,,,,
18.11.2020 15:00,9.4,749.4,758.0,1.5,71,Wind blowing from the west-southwest,17,,,, ,,,,,,,600-1000,,,29.0,4.3,,,,,,
18.11.2020 14:00,9.7,748.9,757.6,1.8,78,Wind blowing from the west-southwest,15,,,, ,,,,,,,600-1000,,,24.0,6.0,,,,,,
18.11.2020 13:00,9.6,748.4,757.0,2.2,89,Wind blowing from the west,14,,,, ,,,,,,,300-600,,,23.0,7.9,,,,,,
18.11.2020 12:00,10.0,747.9,756.5,,100,Wind blowing from the west,11,,,, ,,,,,,,100-200,,,19.0,10.0,5.0,6,,,,
18.11.2020 11:00,10.2,747.1,755.7,0.0,99,Wind blowing from the west,13,,,, ,,,,,,,Less than  50,,,1.7,10.1,,,,,,
18.11.2020 10:00,12.7,746.2,754.8,-1.4,100,Wind blowing from the south-southwest,17,,,, ,,,,,,,Less than  50,,,0.3,12.7,,,,,,
18.11.2020 09:00,12.4,746.7,755.2,-1.5,99,Wind blowing from the south,16,,,, ,,,,,,,Less than  50,,,0.5,12.3,,,,,,
18.11.2020 08:00,12.3,747.1,755.6,-1.7,99,Wind blowing from the south,16,,,, ,,,,,,,Less than  50,,,1.2,12.2,,,,,,
18.11.2020 07:00,12.1,747.6,756.1,-2.2,99,Wind blowing from the south,15,,,, ,,,,,,,50-100,,,4.4,11.9,,,,,,
18.11.2020 06:00,12.1,748.2,756.7,-2.3,97,Wind blowing from the south,15,,,, ,,,11.2,,,,100-200,,,6.0,11.6,No precipitation,12,,,,
18.11.2020 05:00,12.1,748.8,757.3,-2.5,95,Wind blowing from the south,16,,,, ,,,,,,,100-200,,,14.0,11.3,,,,,,
18.11.2020 04:00,12.2,749.8,758.4,-2.3,94,Wind blowing from the south,15,,,, ,,,,,,,200-300,,,11.0,11.2,,,,,,
18.11.2020 03:00,12.0,750.5,759.1,-2.0,97,Wind blowing from the south,13,,,, ,,,,,,,100-200,,,9.0,11.5,,,,,,
18.11.2020 02:00,11.9,751.3,759.9,-1.7,95,Wind blowing from the south,14,,,, ,,,,,,,200-300,,,4.2,11.1,,,,,,
18.11.2020 01:00,12.0,752.1,760.6,-1.1,92,Wind blowing from the south,14,,,, ,,,,,,,200-300,,,13.0,10.7,,,,,,
18.11.2020 00:00,9.6,,,,72,Wind blowing from the west,17,,,, ,,,,,,,600-1000,,,,4.7,No precipitation,6,,,,
17.11.2020 23:00,11.6,753.0,761.6,-0.4,96,Wind blowing from the south-southwest,15,,,, ,,,,,,,200-300,,,4.0,10.9,,,,,,
17.11.2020 22:00,11.7,753.2,761.8,-0.4,94,Wind blowing from the south,14,,,, ,,,,,,,200-300,,,14.0,10.7,,,,,,
17.11.2020 21:00,11.4,753.3,761.9,-0.1,97,Wind blowing from the south,15,,,, ,,,,,,,200-300,,,13.0,10.9,,,,,,
17.11.2020 20:00,11.2,753.4,762.0,0.0,99,Wind blowing from the south-southwest,15,,,, ,,,,,,,50-100,,,9.0,11.0,,,,,,
17.11.2020 19:00,11.5,753.6,762.2,0.2,100,Wind blowing from the south-southwest,17,,,, ,,,,,,,50-100,,,1.5,11.5,,,,,,
17.11.2020 18:00,12.1,753.4,762.1,0.0,100,Wind blowing from the south-southwest,14,,,, ,,,,12.8,,,50-100,,,7.0,12.1,1.0,12,,,,
17.11.2020 17:00,12.1,753.4,762.1,0.2,100,Wind blowing from the south-southwest,14,,,, ,,,,,,,50-100,,,1.3,12.1,,,,,,
17.11.2020 16:00,12.2,753.4,761.9,0.4,100,Wind blowing from the south-southwest,14,,,, ,,,,,,,50-100,,,0.3,12.2,,,,,,
17.11.2020 15:00,12.3,753.4,761.9,0.4,100,Wind blowing from the south-southwest,14,,,, ,,,,,,,Less than  50,,,0.4,12.3,,,,,,
17.11.2020 14:00,12.5,753.2,761.8,0.4,100,Wind blowing from the south-southwest,13,,,, ,,,,,,,50-100,,,0.2,12.5,,,,,,
17.11.2020 13:00,12.6,753.0,761.5,0.5,100,Wind blowing from the south-southwest,14,,,, ,,,,,,,,,,0.5,12.6,,,,,,
17.11.2020 12:00,12.7,753.0,761.5,1.0,100,Wind blowing from the south-west,15,,,, ,,,,,,,50-100,,,6.0,12.7,No precipitation,6,,,,
17.11.2020 11:00,12.6,752.8,761.4,1.2,100,Wind blowing from the south-southwest,15,,,, ,,,,,,,Less than  50,,,3.8,12.6,,,,,,
17.11.2020 10:00,12.5,752.5,761.0,1.2,99,Wind blowing from the south-west,15,,,, ,,,,,,,,,,0.3,12.4,,,,,,
17.11.2020 09:00,12.4,752.0,760.6,0.7,99,Wind blowing from the south-southwest,15,,,, ,,,,,,,Less than  50,,,5.0,12.3,,,,,,
17.11.2020 08:00,12.1,751.6,760.1,0.6,99,Wind blowing from the south-southwest,17,,,, ,,,,,,,Less than  50,,,2.2,12.0,,,,,,
17.11.2020 07:00,12.0,751.3,759.9,0.1,99,Wind blowing from the south-west,16,,,, ,,,,,,,50-100,,,0.7,11.9,,,,,,
17.11.2020 06:00,12.1,751.3,759.8,0.1,98,Wind blowing from the south-west,16,,,, ,,,11.8,,,,100-200,,,9.0,11.8,No precipitation,12,,,,
17.11.2020 05:00,12.1,751.0,759.5,-0.3,97,Wind blowing from the south-west,18,,,, ,,,,,,,100-200,,,12.0,11.6,,,,,,
17.11.2020 04:00,12.1,751.2,759.7,0.1,97,Wind blowing from the south-west,15,,,, ,,,,,,,100-200,,,9.0,11.6,,,,,,
17.11.2020 03:00,11.9,751.2,759.7,0.3,97,Wind blowing from the south-west,14,,,, ,,,,,,,100-200,,,6.0,11.5,,,,,,
17.11.2020 02:00,11.9,751.3,759.9,0.6,95,Wind blowing from the south-west,15,,,, ,,,,,,,200-300,,,10.0,11.1,,,,,,
17.11.2020 01:00,12.2,751.1,759.7,0.7,94,Wind blowing from the south-west,17,,,, ,,,,,,,100-200,,,11.0,11.2,,,,,,
17.11.2020 00:00,12.1,750.9,759.5,1.2,96,Wind blowing from the south-west,16,,,, ,,,,,,,100-200,,,8.0,11.5,No precipitation,6,,,,
16.11.2020 23:00,12.3,750.7,759.3,1.5,96,Wind blowing from the south-west,15,,,, ,,,,,,,100-200,,,7.0,11.6,,,,,,
16.11.2020 22:00,12.3,750.4,758.9,1.6,96,Wind blowing from the south-west,15,,,, ,,,,,,,100-200,,,7.0,11.7,,,,,,
16.11.2020 21:00,12.4,749.7,758.2,1.3,97,Wind blowing from the south-west,17,,,, ,,,,,,,100-200,,,6.0,11.9,,,,,,
16.11.2020 20:00,12.4,749.2,757.8,1.0,97,Wind blowing from the south-west,16,,,, ,,,,,,,100-200,,,5.0,12.0,,,,,,
16.11.2020 19:00,12.4,748.8,757.3,0.3,97,Wind blowing from the south-west,15,,,, ,,,,,,,100-200,,,5.0,11.9,,,,,,
16.11.2020 18:00,12.4,748.4,757.0,-0.4,97,Wind blowing from the south-west,15,,,, ,,,,12.4,,,100-200,,,8.0,12.0,7.0,12,,,,
16.11.2020 17:00,12.2,748.2,756.7,-1.1,99,Wind blowing from the south-west,16,,,, ,,,,,,,50-100,,,9.0,12.0,,,,,,
16.11.2020 16:00,11.6,748.5,757.0,-1.1,99,Wind blowing from the south-southwest,14,,,, ,,,,,,,50-100,,,4.6,11.5,,,,,,
16.11.2020 15:00,11.1,748.8,757.4,-1.3,99,Wind blowing from the south-southwest,14,,,, ,,,,,,,100-200,,,2.2,10.9,,,,,,
16.11.2020 14:00,10.7,749.3,757.9,-0.8,97,Wind blowing from the south-southwest,13,,,, ,,,,,,,100-200,,,4.0,10.2,,,,,,
16.11.2020 13:00,10.3,749.6,758.2,-0.5,93,Wind blowing from the south-west,13,,,, ,,,,,,,300-600,,,5.0,9.2,,,,,,
16.11.2020 12:00,10.7,750.1,758.7,0.4,81,Wind blowing from the south-west,12,,,, ,,,,,,,600-1000,,,22.0,7.6,No precipitation,6,,,,
16.11.2020 11:00,10.4,750.1,758.7,0.6,81,Wind blowing from the west-southwest,11,,,, ,,,,,,,600-1000,,,24.0,7.3,,,,,,
16.11.2020 10:00,10.2,750.1,758.7,1.4,80,Wind blowing from the west-southwest,11,,,, ,,,,,,,600-1000,,,24.0,6.8,,,,,,
16.11.2020 09:00,9.7,749.7,758.3,1.6,80,Wind blowing from the west-southwest,13,,,, ,,,,,,,2500 or more or no clouds.,,,30.0,6.3,,,,,,
16.11.2020 08:00,9.5,749.5,758.2,2.0,76,Wind blowing from the west-southwest,11,,,, ,,,,,,,600-1000,,,22.0,5.5,,,,,,
16.11.2020 07:00,9.3,748.7,757.3,2.2,73,Wind blowing from the west,12,,,, ,,,,,,,1000-1500,,,30.0,4.6,,,,,,
16.11.2020 06:00,9.3,748.1,756.8,2.5,80,Wind blowing from the west,13,,,, ,,,9.0,,,,600-1000,,,30.0,6.0,No precipitation,12,,,,
16.11.2020 05:00,9.1,747.5,756.1,2.8,77,Wind blowing from the west,13,,,, ,,,,,,,600-1000,,,27.0,5.2,,,,,,
16.11.2020 04:00,9.4,746.5,755.2,3.3,72,Wind blowing from the west,14,,,, ,,,,,,,600-1000,,,35.0,4.6,,,,,,
16.11.2020 03:00,9.8,745.6,754.2,3.6,84,Wind blowing from the west,13,,,, ,,,,,,,300-600,,,30.0,7.2,,,,,,
16.11.2020 02:00,10.6,744.7,753.3,3.9,89,Wind blowing from the west,13,,,, ,,,,,,,300-600,,,28.0,8.8,,,,,,
16.11.2020 01:00,10.6,743.2,751.7,3.4,93,Wind blowing from the west,14,,,, ,,,,,,,200-300,,,25.0,9.5,,,,,,
16.11.2020 00:00,10.7,742.0,750.5,3.1,94,Wind blowing from the west,14,,,, ,,,,,,,200-300,,,26.0,9.7,No precipitation,6,,,,
15.11.2020 23:00,10.8,740.8,749.4,2.8,91,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,24.0,9.3,,,,,,
15.11.2020 22:00,10.5,739.8,748.3,3.2,88,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,18.0,8.6,,,,,,
15.11.2020 21:00,10.2,738.9,747.4,3.8,85,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,20.0,7.7,,,,,,
15.11.2020 20:00,9.9,738.0,746.5,4.1,83,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,20.0,7.2,,,,,,
15.11.2020 19:00,10.0,736.6,745.0,3.5,83,Wind blowing from the west,15,,,, ,,,,,,,300-600,,,17.0,7.3,,,,,,
15.11.2020 18:00,9.9,735.1,743.5,2.8,85,Wind blowing from the west,16,,,, ,,,,10.5,,,300-600,,,22.0,7.4,1.0,12,,,,
15.11.2020 17:00,9.4,733.9,742.3,1.8,86,Wind blowing from the west-southwest,16,,,, ,,,,,,,300-600,,,17.0,7.1,,,,,,
15.11.2020 16:00,9.1,733.1,741.6,1.3,83,Wind blowing from the west-southwest,18,,,, ,,,,,,,300-600,,,20.0,6.3,,,,,,
15.11.2020 15:00,9.4,732.3,740.8,0.7,77,Wind blowing from the west-southwest,17,,,, ,,,,,,,1000-1500,,,28.0,5.6,,,,,,
15.11.2020 14:00,9.7,732.1,740.5,0.8,75,Wind blowing from the south-west,15,,,, ,,,,,,,600-1000,,,23.0,5.4,,,,,,
15.11.2020 13:00,9.9,731.8,740.2,0.5,77,Wind blowing from the south-west,17,,,, ,,,,,,,600-1000,,,24.0,6.0,,,,,,
15.11.2020 12:00,10.0,731.6,740.0,0.9,72,Wind blowing from the south-west,18,,,, ,,,,,,,600-1000,,,29.0,5.2,1.0,6,,,,
15.11.2020 11:00,9.8,731.3,739.7,0.7,70,Wind blowing from the south-west,19,,,, ,,,,,,,1000-1500,,,19.0,4.6,,,,,,
15.11.2020 10:00,9.3,731.3,739.8,1.3,80,Wind blowing from the south-west,17,,,, ,,,,,,,600-1000,,,15.0,6.0,,,,,,
15.11.2020 09:00,8.3,730.7,739.2,0.7,86,Wind blowing from the south-west,18,,,, ,,,,,,,300-600,,,7.0,6.0,,,,,,
15.11.2020 08:00,8.4,730.6,739.0,-0.9,87,Wind blowing from the south-west,15,,,, ,,,,,,,300-600,,,20.0,6.3,,,,,,
15.11.2020 07:00,8.8,730.0,738.4,-2.6,90,Wind blowing from the south-west,17,,,, ,,,,,,,300-600,,,7.0,7.3,,,,,,
15.11.2020 06:00,10.0,730.0,738.4,-3.7,95,Wind blowing from the south,18,,,, ,,,9.9,,,,200-300,,,4.2,9.2,5.0,12,,,,
15.11.2020 05:00,11.0,731.5,739.9,-3.4,96,Wind blowing from the south,12,,,, ,,,,,,,100-200,,,10.0,10.4,,,,,,
15.11.2020 04:00,11.3,732.6,741.0,-3.2,94,Wind blowing from the south,13,,,, ,,,,,,,300-600,,,17.0,10.3,,,,,,
15.11.2020 03:00,11.2,733.7,742.1,-2.9,96,Wind blowing from the south,15,,,, ,,,,,,,200-300,,,8.0,10.5,,,,,,
15.11.2020 02:00,10.8,734.9,743.4,-2.3,97,Wind blowing from the south,14,,,, ,,,,,,,50-100,,,1.4,10.3,,,,,,
15.11.2020 01:00,11.4,735.8,744.3,-1.5,92,Wind blowing from the south,14,,,, ,,,,,,,300-600,,,8.0,10.1,,,,,,
15.11.2020 00:00,10.7,742.0,750.5,4.8,94,Wind blowing from the west,14,,,, ,,,,,,,200-300,,,26.0,9.7,No precipitation,6,,,,
14.11.2020 23:00,11.3,737.2,745.6,0.3,89,Wind blowing from the south-southwest,14,,,, ,,,,,,,300-600,,,11.0,9.6,,,,,,
14.11.2020 22:00,11.3,737.3,745.7,0.8,88,Wind blowing from the south-southwest,15,,,, ,,,,,,,300-600,,,12.0,9.3,,,,,,
14.11.2020 21:00,10.2,737.2,745.6,1.0,89,Wind blowing from the south-southwest,16,,,, ,,,,,,,300-600,,,1.0,8.5,,,,,,
14.11.2020 20:00,11.2,736.9,745.3,0.8,91,Wind blowing from the south-west,18,,,, ,,,,,,,300-600,,,8.0,9.8,,,,,,
14.11.2020 19:00,11.5,736.5,744.9,0.8,86,Wind blowing from the south-southwest,19,,,, ,,,,,,,300-600,,,9.0,9.2,,,,,,
14.11.2020 18:00,11.5,736.2,744.6,0.4,91,Wind blowing from the south-southwest,17,,,, ,,,,12.7,,,300-600,,,9.0,10.1,1.0,12,,,,
14.11.2020 17:00,12.0,736.1,744.5,-0.7,85,Wind blowing from the south-southwest,18,,,, ,,,,,,,300-600,,,11.0,9.6,,,,,,
14.11.2020 16:00,11.8,735.7,744.1,-2.5,93,Wind blowing from the south-southwest,17,,,, ,,,,,,,300-600,,,3.5,10.7,,,,,,
14.11.2020 15:00,12.6,735.8,744.2,-3.6,97,Wind blowing from the south-southwest,17,,,, ,,,,,,,100-200,,,12.0,12.1,,,,,,
14.11.2020 14:00,12.7,736.8,745.2,-3.3,93,Wind blowing from the south,12,,,, ,,,,,,,300-600,,,8.0,11.6,,,,,,
14.11.2020 13:00,12.5,738.2,746.6,-2.3,91,Wind blowing from the south,11,,,, ,,,,,,,300-600,,,20.0,11.0,,,,,,
14.11.2020 12:00,12.2,739.4,747.9,-1.7,92,Wind blowing from the south,10,,,, ,,,,,,,300-600,,,20.0,11.0,No precipitation,6,,,,
14.11.2020 11:00,12.3,740.1,748.6,-1.9,91,Wind blowing from the south,12,,,, ,,,,,,,200-300,,,21.0,10.9,,,,,,
14.11.2020 10:00,12.3,740.5,749.0,-2.1,93,Wind blowing from the south,14,,,, ,,,,,,,300-600,,,18.0,11.2,,,,,,
14.11.2020 09:00,12.4,741.1,749.6,-2.3,99,Wind blowing from the south,10,,,, ,,,,,,,100-200,,,14.0,12.2,,,,,,
14.11.2020 08:00,11.3,742.0,750.5,-2.4,97,Wind blowing from the south-southeast,7,,,, ,,,,,,,100-200,,,16.0,10.8,,,,,,
14.11.2020 07:00,10.3,742.6,751.1,-2.5,95,Wind blowing from the south-east,9,,,, ,,,,,,,200-300,,,21.0,9.6,,,,,,
14.11.2020 06:00,9.6,743.4,752.0,-2.4,95,Wind blowing from the south-southeast,9,,,, ,,,9.1,,,,100-200,,,23.0,8.9,4.0,12,,,,
14.11.2020 05:00,9.4,744.4,753.0,-2.0,95,Wind blowing from the south-southeast,7,,,, ,,,,,,,200-300,,,7.0,8.7,,,,,,
14.11.2020 04:00,9.7,745.1,753.7,-2.1,92,Wind blowing from the south,10,,,, ,,,,,,,200-300,,,10.0,8.5,,,,,,
14.11.2020 03:00,10.3,745.8,754.3,-1.8,90,Wind blowing from the south,10,,,, ,,,,,,,300-600,,,13.0,8.7,,,,,,
14.11.2020 02:00,10.6,746.4,754.9,-1.7,88,Wind blowing from the south,11,,,, ,,,,,,,1000-1500,,,20.0,8.7,,,,,,
14.11.2020 01:00,9.9,747.2,755.8,-1.1,92,Wind blowing from the south,11,,,, ,,,,,,,600-1000,,,23.0,8.7,,,,,,
14.11.2020 00:00,11.6,736.6,745.0,-11.6,88,Wind blowing from the south,15,,,, ,,,,,,,300-600,,,13.0,9.7,0.4,6,,,,
13.11.2020 23:00,10.3,748.1,756.7,-0.2,89,Wind blowing from the south,10,,,, ,,,,,,,600-1000,,,20.0,8.6,,,,,,
13.11.2020 22:00,10.9,748.3,756.8,-0.2,80,Wind blowing from the south-southwest,12,,,, ,,,,,,,600-1000,,,20.0,7.6,,,,,,
13.11.2020 21:00,10.7,748.2,756.7,-0.1,81,Wind blowing from the south-southwest,13,,,, ,,,,,,,600-1000,,,18.0,7.6,,,,,,
13.11.2020 20:00,10.8,748.3,756.9,0.2,81,Wind blowing from the south-southwest,13,,,, ,,,,,,,600-1000,,,20.0,7.6,,,,,,
13.11.2020 19:00,10.7,748.5,757.0,0.2,80,Wind blowing from the south-southwest,12,,,, ,,,,,,,600-1000,,,16.0,7.4,,,,,,
13.11.2020 18:00,10.7,748.3,756.9,0.1,79,Wind blowing from the south-west,12,,,, ,,,,10.8,,,600-1000,,,16.0,7.1,No precipitation,12,,,,
13.11.2020 17:00,10.5,748.1,756.7,0.1,76,Wind blowing from the south-west,14,,,, ,,,,,,,2500 or more or no clouds.,,,24.0,6.4,,,,,,
13.11.2020 16:00,10.3,748.3,756.9,0.7,81,Wind blowing from the south-west,13,,,, ,,,,,,,600-1000,,,20.0,7.1,,,,,,
13.11.2020 15:00,10.4,748.2,756.8,0.8,77,Wind blowing from the south-west,12,,,, ,,,,,,,600-1000,,,24.0,6.5,,,,,,
13.11.2020 14:00,10.2,748.0,756.6,0.6,73,Wind blowing from the west-southwest,13,,,, ,,,,,,,600-1000,,,30.0,5.6,,,,,,
13.11.2020 13:00,10.3,747.6,756.2,0.8,72,Wind blowing from the south-west,13,,,, ,,,,,,,600-1000,,,30.0,5.5,,,,,,
13.11.2020 12:00,10.6,747.4,756.0,0.9,71,Wind blowing from the south-west,15,,,, ,,,,,,,600-1000,,,28.0,5.5,No precipitation,6,,,,
13.11.2020 11:00,10.6,747.4,755.9,1.2,73,Wind blowing from the south-west,14,,,, ,,,,,,,600-1000,,,26.0,5.9,,,,,,
13.11.2020 10:00,10.2,746.8,755.4,1.1,74,Wind blowing from the west-southwest,14,,,, ,,,,,,,600-1000,,,25.0,5.8,,,,,,
13.11.2020 09:00,9.8,746.5,755.1,1.2,74,Wind blowing from the west-southwest,14,,,, ,,,,,,,600-1000,,,24.0,5.3,,,,,,
13.11.2020 08:00,9.5,746.2,754.8,1.5,75,Wind blowing from the west-southwest,13,,,, ,,,,,,,600-1000,,,20.0,5.3,,,,,,
13.11.2020 07:00,9.2,745.7,754.3,1.7,74,Wind blowing from the west-southwest,13,,,, ,,,,,,,1000-1500,,,23.0,4.8,,,,,,
13.11.2020 06:00,9.3,745.3,754.0,1.5,75,Wind blowing from the west-southwest,11,,,, ,,,8.5,,,,1000-1500,,,24.0,5.1,5.0,12,,,,
13.11.2020 05:00,9.5,744.7,753.3,1.1,82,Wind blowing from the west-southwest,13,,,, ,,,,,,,600-1000,,,20.0,6.6,,,,,,
13.11.2020 04:00,9.1,744.0,752.6,0.2,86,Wind blowing from the south-west,12,,,, ,,,,,,,1000-1500,,,19.0,6.9,,,,,,
13.11.2020 03:00,9.1,743.8,752.3,-0.6,95,Wind blowing from the west-southwest,14,,,, ,,,,,,,100-200,,,5.0,8.4,,,,,,
13.11.2020 02:00,9.1,743.6,752.2,-1.5,94,Wind blowing from the south-west,14,,,, ,,,,,,,100-200,,,1.1,8.1,,,,,,
13.11.2020 01:00,11.9,743.8,752.3,-1.8,90,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,16.0,10.3,,,,,,
13.11.2020 00:00,10.2,747.6,756.2,1.4,91,Wind blowing from the south,11,,,, ,,,,,,,300-600,,,21.0,8.7,3.0,6,,,,
12.11.2020 23:00,11.7,745.1,753.7,-1.4,91,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,16.0,10.3,,,,,,
12.11.2020 22:00,11.6,745.6,754.2,-1.5,91,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,12.0,10.1,,,,,,
12.11.2020 21:00,11.5,746.2,754.7,-1.4,92,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,17.0,10.3,,,,,,
12.11.2020 20:00,11.4,746.5,755.1,-1.4,94,Wind blowing from the south,14,,,, ,,,,,,,600-1000,,,16.0,10.5,,,,,,
12.11.2020 19:00,11.2,747.1,755.6,-1.1,94,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,17.0,10.2,,,,,,
12.11.2020 18:00,11.2,747.6,756.1,-0.8,92,Wind blowing from the south,14,,,, ,,,,11.9,,,200-300,,,19.0,9.9,0.4,12,,,,
12.11.2020 17:00,11.5,747.9,756.4,-1.0,88,Wind blowing from the south,16,,,, ,,,,,,,300-600,,,20.0,9.5,,,,,,
12.11.2020 16:00,11.4,748.2,756.7,-1.0,88,Wind blowing from the south,15,,,, ,,,,,,,300-600,,,17.0,9.5,,,,,,
12.11.2020 15:00,11.3,748.4,757.0,-1.4,86,Wind blowing from the south,14,,,, ,,,,,,,300-600,,,23.0,9.0,,,,,,
12.11.2020 14:00,11.4,748.9,757.4,-1.1,83,Wind blowing from the south-southwest,13,,,, ,,,,,,,300-600,,,22.0,8.6,,,,,,
12.11.2020 13:00,11.2,749.2,757.9,-0.7,88,Wind blowing from the south-southwest,12,,,, ,,,,,,,1000-1500,,,25.0,9.3,,,,,,
12.11.2020 12:00,11.7,749.8,758.4,0.0,85,Wind blowing from the south-southwest,12,,,, ,,,,,,,300-600,,,24.0,9.3,0.2,6,,,,
12.11.2020 11:00,11.2,750.0,758.5,0.3,83,Wind blowing from the south-southwest,13,,,, ,,,,,,,300-600,,,28.0,8.3,,,,,,
