Local time in Sennybridge,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.11.2020 16:00,6.6,732.1,760.0,2.1,83,Wind blowing from the west,4,,13,,Rain (not freezing). ,,,,,,,300-600,,,30.0,3.9,,,,,,
18.11.2020 15:00,8.2,731.4,759.1,2.0,95,Wind blowing from the west,4,9,13,,Rain not freezing moderate. ,,,,,,,300-600,,,3.2,7.5,,,,,,
18.11.2020 14:00,8.9,730.8,758.5,0.9,97,Wind blowing from the west,6,12,,,Drizzle not freezing slight. ,,,,,,,100-200,,,9.0,8.5,,,,,,
18.11.2020 13:00,10.5,730.0,757.5,-0.2,98,Wind blowing from the west,6,13,16,,Rain not freezing moderate. ,,,,,,,100-200,,,1.4,10.2,,,,,,
18.11.2020 12:00,12.6,729.4,756.7,-1.0,97,Wind blowing from the south-west,10,17,17,,Precipitation slight or moderate. ,,,,,,,100-200,,,5.0,12.1,1.0,6,,,,
18.11.2020 11:00,12.5,729.9,757.2,-1.0,96,Wind blowing from the south-west,9,14,15,,Precipitation slight or moderate. ,,,,,,,200-300,,,11.0,11.8,,,,,,
18.11.2020 10:00,12.2,730.2,757.5,-1.3,96,Wind blowing from the south-southwest,8,13,16,,Rain not freezing slight. ,,,,,,,200-300,,,5.0,11.6,,,,,,
18.11.2020 09:00,12.1,730.4,757.7,-1.4,97,Wind blowing from the south-southwest,7,,,,Rain not freezing moderate. ,,,,,,,200-300,,,4.5,11.6,,,,,,
18.11.2020 08:00,11.6,730.9,758.4,-1.4,97,Wind blowing from the south-southwest,6,,,,Drizzle and rain slight. ,,,,,,,200-300,,,10.0,11.1,,,,,,
18.11.2020 07:00,11.2,731.5,758.9,-1.3,97,Wind blowing from the south-southwest,7,,,,Drizzle not freezing moderate. ,,,,,,,200-300,,,3.9,10.7,,,,,,
18.11.2020 06:00,11.2,731.8,759.3,-2.1,96,Wind blowing from the south-southwest,8,,15,,Drizzle not freezing moderate. ,,,9.5,,,,200-300,,,5.0,10.6,0.2,12,,,,
18.11.2020 05:00,10.8,732.3,759.8,-2.0,95,Wind blowing from the south-southwest,9,,14,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,9.0,10.1,,,,,,
18.11.2020 04:00,10.5,732.8,760.4,-2.1,94,Wind blowing from the south-southwest,8,,,,Drizzle not freezing slight. ,,,,,,,200-300,,,7.0,9.6,,,,,,
18.11.2020 03:00,10.5,733.9,761.5,-1.4,94,Wind blowing from the south-west,9,14,14,,Drizzle (not freezing) or snow grains. ,,,,,,,200-300,,,8.0,9.6,,,,,,
18.11.2020 02:00,10.6,734.3,761.9,-1.1,91,Wind blowing from the south-west,9,,14,,Drizzle not freezing slight. ,,,,,,,300-600,,,15.0,9.2,,,,,,
18.11.2020 01:00,10.6,734.9,762.6,-1.1,90,Wind blowing from the south-west,8,,,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,23.0,9.0,,,,,,
18.11.2020 00:00,6.7,734.4,762.4,-1.8,90,Wind blowing from the west,6,12,13,,Precipitation slight or moderate. ,,,,,,,300-600,,,5.0,5.1,0.4,6,,,,
17.11.2020 23:00,10.2,735.4,763.0,-1.0,87,Wind blowing from the south-southwest,10,,14,,Precipitation ,,,,,,,300-600,,,29.0,8.1,,,,,,
17.11.2020 22:00,9.9,736.0,763.7,-0.2,90,Wind blowing from the south-west,10,,14,, ,,,,,,,300-600,,,24.0,8.4,,,,,,
17.11.2020 21:00,9.8,736.2,764.0,-0.1,92,Wind blowing from the south-west,9,,15,,Precipitation ,,,,,,,600-1000,,,25.0,8.5,,,,,,
17.11.2020 20:00,9.7,736.4,764.2,0.1,94,Wind blowing from the south-west,9,,14,,Precipitation slight or moderate. ,,,,,,,100-200,,,11.0,8.7,,,,,,
17.11.2020 19:00,9.9,736.2,763.9,0.0,97,Wind blowing from the south-west,10,,16,,Precipitation slight or moderate. ,,,,,,,100-200,,,10.0,9.5,,,,,,
17.11.2020 18:00,10.3,736.3,764.0,0.1,98,Wind blowing from the south-west,11,,16,,Drizzle (not freezing) or snow grains. ,,,,12.0,,,100-200,,,9.0,10.0,5.0,12,,,,
17.11.2020 17:00,10.7,736.3,764.0,0.3,99,Wind blowing from the south-west,9,,15,,Drizzle not freezing moderate. ,,,,,,,50-100,,,2.4,10.6,,,,,,
17.11.2020 16:00,11.1,736.2,763.9,0.4,99,Wind blowing from the south-west,9,14,14,,Rain not freezing moderate. ,,,,,,,100-200,,,1.3,10.9,,,,,,
17.11.2020 15:00,11.4,736.2,763.8,0.4,99,Wind blowing from the south-west,8,,14,,Drizzle not freezing heavy. ,,,,,,,100-200,,,1.5,11.2,,,,,,
17.11.2020 14:00,11.8,736.0,763.5,0.3,98,Wind blowing from the south-west,9,,14,,Drizzle and rain moderate or heavy. ,,,,,,,100-200,,,1.6,11.5,,,,,,
17.11.2020 13:00,12.0,735.8,763.3,0.5,99,Wind blowing from the south-west,9,,14,,Drizzle and rain moderate or heavy. ,,,,,,,100-200,,,1.3,11.8,,,,,,
17.11.2020 12:00,11.9,735.8,763.3,0.5,99,Wind blowing from the south-west,9,,13,,Rain not freezing moderate. ,,,,,,,100-200,,,1.0,11.7,3.0,6,,,,
17.11.2020 11:00,11.8,735.7,763.3,0.9,99,Wind blowing from the south-west,9,,15,,Drizzle not freezing heavy. ,,,,,,,100-200,,,1.8,11.6,,,,,,
17.11.2020 10:00,11.5,735.3,762.9,0.9,99,Wind blowing from the south-west,10,,15,,Drizzle not freezing heavy. ,,,,,,,100-200,,,2.5,11.3,,,,,,
17.11.2020 09:00,11.2,735.3,762.9,1.0,99,Wind blowing from the south-west,8,,15,,Shower(s) or intermittent precipitation. ,,,,,,,100-200,,,2.2,11.0,,,,,,
17.11.2020 08:00,10.8,734.8,762.4,0.7,99,Wind blowing from the south-west,9,,14,,Drizzle and rain moderate or heavy. ,,,,,,,100-200,,,2.3,10.7,,,,,,
17.11.2020 07:00,10.6,734.4,762.1,0.5,99,Wind blowing from the south-west,8,,15,,Drizzle and rain moderate or heavy. ,,,,,,,100-200,,,1.2,10.5,,,,,,
17.11.2020 06:00,10.6,734.3,761.9,0.3,99,Wind blowing from the south-west,9,,16,,Rain not freezing moderate. ,,,10.1,,,,50-100,,,0.9,10.5,8.0,12,,,,
17.11.2020 05:00,10.6,734.1,761.7,0.2,99,Wind blowing from the south-west,9,,14,,Drizzle not freezing heavy. ,,,,,,,100-200,,,2.0,10.5,,,,,,
17.11.2020 04:00,10.2,733.9,761.6,0.0,99,Wind blowing from the west-southwest,8,13,14,,Rain not freezing moderate. ,,,,,,,100-200,,,1.5,10.1,,,,,,
17.11.2020 03:00,10.1,734.0,761.7,0.2,99,Wind blowing from the west-southwest,9,,16,,Drizzle not freezing heavy. ,,,,,,,100-200,,,2.1,9.9,,,,,,
17.11.2020 02:00,10.2,733.9,761.5,0.3,99,Wind blowing from the south-west,10,,15,,Drizzle not freezing heavy. ,,,,,,,100-200,,,2.2,10.1,,,,,,
17.11.2020 01:00,10.4,733.9,761.5,0.6,100,Wind blowing from the west-southwest,10,,15,,Rain not freezing moderate. ,,,,,,,50-100,,,2.0,10.4,,,,,,
17.11.2020 00:00,10.6,733.8,761.4,1.0,100,Wind blowing from the west-southwest,9,14,14,,Drizzle not freezing heavy. ,,,,,,,50-100,,,1.4,10.6,4.0,6,,,,
16.11.2020 23:00,10.8,733.6,761.2,1.1,100,Wind blowing from the west-southwest,8,,14,,Shower(s) or intermittent precipitation. ,,,,,,,50-100,,,1.5,10.8,,,,,,
16.11.2020 22:00,10.9,733.3,760.9,1.2,100,Wind blowing from the west-southwest,8,13,13,,Drizzle and rain moderate or heavy. ,,,,,,,50-100,,,1.2,10.9,,,,,,
16.11.2020 21:00,10.9,732.8,760.3,1.0,100,Wind blowing from the west-southwest,8,,14,,Drizzle not freezing heavy. ,,,,,,,50-100,,,2.0,10.9,,,,,,
16.11.2020 20:00,10.9,732.5,760.0,0.7,100,Wind blowing from the west-southwest,9,15,16,,Drizzle not freezing slight. ,,,,,,,50-100,,,4.1,10.9,,,,,,
16.11.2020 19:00,10.9,732.1,759.5,0.3,99,Wind blowing from the west-southwest,10,,16,,Rain not freezing moderate. ,,,,,,,50-100,,,2.2,10.8,,,,,,
16.11.2020 18:00,10.9,731.8,759.4,-0.1,99,Wind blowing from the south-west,10,15,15,,Precipitation slight or moderate. ,,,,10.9,,,100-200,,,4.1,10.7,7.0,12,,,,
16.11.2020 17:00,10.3,731.8,759.3,-0.3,99,Wind blowing from the south-west,10,16,16,,Rain not freezing moderate. ,,,,,,,100-200,,,2.3,10.1,,,,,,
16.11.2020 16:00,9.7,731.8,759.4,-0.2,99,Wind blowing from the south-west,9,,13,,Rain not freezing slight. ,,,,,,,100-200,,,3.6,9.5,,,,,,
16.11.2020 15:00,9.2,731.9,759.5,-0.3,99,Wind blowing from the south-west,8,,14,,Rain not freezing slight. ,,,,,,,100-200,,,5.0,9.0,,,,,,
16.11.2020 14:00,9.0,732.1,759.8,-0.1,97,Wind blowing from the west-southwest,7,,,,Rain not freezing slight. ,,,,,,,100-200,,,3.5,8.5,,,,,,
16.11.2020 13:00,8.9,732.0,759.7,0.4,89,Wind blowing from the west-southwest,6,,,, ,,,,,,,300-600,,,26.0,7.2,,,,,,
16.11.2020 12:00,8.3,732.2,760.0,0.7,90,Wind blowing from the south-west,6,,,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,26.0,6.7,Trace of precipitation,6,,,,
16.11.2020 11:00,8.0,732.2,760.0,1.4,87,Wind blowing from the south-west,4,,,, ,,,,,,,300-600,,,28.0,6.0,,,,,,
16.11.2020 10:00,7.4,731.6,759.5,1.3,88,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,27.0,5.6,,,,,,
16.11.2020 09:00,6.8,731.5,759.4,2.3,86,Wind blowing from the south-west,3,,,, ,,,,,,,600-1000,,,30.0,4.6,,,,,,
16.11.2020 08:00,6.6,730.8,758.7,1.8,83,Wind blowing from the west-southwest,3,,,, ,,,,,,,600-1000,,,30.0,3.8,,,,,,
16.11.2020 07:00,6.8,730.3,758.2,2.0,81,Wind blowing from the west,2,8,,, ,,,,,,,600-1000,,,35.0,3.7,,,,,,
16.11.2020 06:00,6.6,729.2,757.0,1.9,86,Wind blowing from the west-northwest,2,,,, ,,,6.1,,,,300-600,,,45.0,4.4,4.0,12,,,,
16.11.2020 05:00,6.8,729.0,756.8,2.9,87,Wind blowing from the west-northwest,2,,,, ,,,,,,,300-600,,,28.0,4.7,,,,,,
16.11.2020 04:00,7.3,728.3,756.1,3.4,92,Wind blowing from the west,3,,,,Drizzle (not freezing) or snow grains. ,,,,,,,200-300,,,26.0,6.0,,,,,,
16.11.2020 03:00,7.8,727.3,754.9,3.5,96,Wind blowing from the west,3,9,,,Drizzle (not freezing) or snow grains. ,,,,,,,200-300,,,13.0,7.2,,,,,,
16.11.2020 02:00,8.2,726.1,753.6,3.3,98,Wind blowing from the west,3,8,,,Drizzle and rain slight. ,,,,,,,100-200,,,6.0,7.9,,,,,,
16.11.2020 01:00,8.4,724.9,752.4,3.0,99,Wind blowing from the west,4,11,,,Rain not freezing moderate. ,,,,,,,100-200,,,1.2,8.2,,,,,,
16.11.2020 00:00,7.9,723.8,751.3,3.0,99,Wind blowing from the west-southwest,5,,,,Rain not freezing moderate. ,,,,,,,50-100,,,1.0,7.8,0.8,6,,,,
15.11.2020 23:00,7.2,722.8,750.3,2.8,95,Wind blowing from the west-southwest,6,,,,Drizzle and rain slight. ,,,,,,,200-300,,,22.0,6.5,,,,,,
15.11.2020 22:00,7.0,721.9,749.3,3.0,93,Wind blowing from the west,5,,,,Rain not freezing slight. ,,,,,,,300-600,,,12.0,6.0,,,,,,
15.11.2020 21:00,6.9,720.8,748.3,3.0,92,Wind blowing from the west-southwest,7,,,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,26.0,5.7,,,,,,
15.11.2020 20:00,6.9,720.0,747.4,3.2,94,Wind blowing from the west-southwest,6,,,,Rain (not freezing). ,,,,,,,600-1000,,,15.0,6.0,,,,,,
15.11.2020 19:00,6.4,718.9,746.4,2.4,93,Wind blowing from the west-southwest,7,,,,Rain not freezing slight. ,,,,,,,600-1000,,,9.0,5.4,,,,,,
15.11.2020 18:00,6.1,717.8,745.2,2.2,93,Wind blowing from the west-southwest,7,,13,,Rain not freezing slight. ,,,,9.7,,,600-1000,,,5.0,5.0,7.0,12,,,,
15.11.2020 17:00,6.2,716.8,744.2,1.4,89,Wind blowing from the south-west,8,,,, ,,,,,,,600-1000,,,28.0,4.5,,,,,,
15.11.2020 16:00,5.7,716.5,743.9,1.0,90,Wind blowing from the west-southwest,6,,13,,Rain (not freezing). ,,,,,,,2000-2500,,,40.0,4.2,,,,,,
15.11.2020 15:00,6.4,715.6,743.0,0.0,91,Wind blowing from the south-west,7,,,,Rain (not freezing). ,,,,,,,600-1000,,,30.0,5.0,,,,,,
15.11.2020 14:00,6.2,715.4,742.8,-0.1,91,Wind blowing from the south-west,6,,,,Rain (not freezing). ,,,,,,,300-600,,,45.0,4.9,,,,,,
15.11.2020 13:00,5.0,715.5,742.9,0.2,95,Wind blowing from the south-southwest,9,,14,,Rain not freezing slight. ,,,,,,,300-600,,,19.0,4.3,,,,,,
15.11.2020 12:00,6.3,715.6,743.0,0.1,85,Wind blowing from the south-west,8,,,,Rain not freezing heavy. ,,,,,,,600-1000,,,0.9,4.0,4.0,6,,,,
15.11.2020 11:00,6.6,715.5,742.8,0.6,87,Wind blowing from the south-west,6,,,,Rain (not freezing). ,,,,,,,600-1000,,,30.0,4.6,,,,,,
15.11.2020 10:00,6.1,715.3,742.7,0.9,91,Wind blowing from the south-west,6,,14,,Rain shower(s) or intermittent rain slight. ,,,,,,,600-1000,,,5.0,4.7,,,,,,
15.11.2020 09:00,6.4,715.5,742.9,1.2,84,Wind blowing from the south-west,10,,14,,Precipitation ,,,,,,,600-1000,,,35.0,3.9,,,,,,
15.11.2020 08:00,6.6,714.9,742.2,-0.1,94,Wind blowing from the south-west,10,15,17,,Rain (not freezing). ,,,,,,,200-300,,,30.0,5.7,,,,,,
15.11.2020 07:00,7.3,714.4,741.7,-2.0,93,Wind blowing from the west-southwest,12,18,19,,Rain not freezing heavy. ,,,,,,,200-300,,,1.9,6.3,,,,,,
15.11.2020 06:00,9.8,714.3,741.3,-3.5,92,Wind blowing from the south-southwest,10,,15,,Rain not freezing slight. ,,,8.9,,,,200-300,,,30.0,8.6,1.0,12,,,,
15.11.2020 05:00,9.4,715.0,742.0,-3.6,94,Wind blowing from the south,6,,,,Shower(s) or intermittent precipitation. ,,,,,,,200-300,,,3.4,8.5,,,,,,
15.11.2020 04:00,9.5,716.4,743.5,-3.1,90,Wind blowing from the south,8,,,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,29.0,7.9,,,,,,
15.11.2020 03:00,9.4,717.8,744.9,-2.3,89,Wind blowing from the south-southwest,8,14,14,,Precipitation ,,,,,,,300-600,,,27.0,7.6,,,,,,
15.11.2020 02:00,9.6,718.6,745.8,-2.0,92,Wind blowing from the south-southwest,8,13,13,,Precipitation slight or moderate. ,,,,,,,300-600,,,7.0,8.3,,,,,,
15.11.2020 01:00,9.2,719.5,746.8,-1.4,93,Wind blowing from the south-southwest,9,,14,,Rain not freezing slight. ,,,,,,,200-300,,,19.0,8.1,,,,,,
15.11.2020 00:00,9.0,720.1,747.4,-0.8,95,Wind blowing from the south-southwest,8,,14,,Rain (not freezing). ,,,,,,,300-600,,,25.0,8.2,1.0,6,,,,
14.11.2020 23:00,9.2,720.6,747.8,-0.2,90,Wind blowing from the south-west,9,15,15,,Precipitation ,,,,,,,1000-1500,,,22.0,7.6,,,,,,
14.11.2020 22:00,9.2,720.9,748.1,0.2,91,Wind blowing from the south-west,9,,14,,Precipitation ,,,,,,,300-600,,,19.0,7.8,,,,,,
14.11.2020 21:00,9.4,720.9,748.1,0.2,92,Wind blowing from the south-west,9,,14,,Precipitation ,,,,,,,300-600,,,17.0,8.2,,,,,,
14.11.2020 20:00,9.1,720.8,748.0,0.6,95,Wind blowing from the south-west,8,,14,,Rain (not freezing). ,,,,,,,200-300,,,17.0,8.4,,,,,,
14.11.2020 19:00,9.5,720.7,748.0,0.7,91,Wind blowing from the south-west,9,,14,,Rain not freezing slight. ,,,,,,,300-600,,,6.0,8.1,,,,,,
14.11.2020 18:00,9.8,720.7,747.9,1.2,92,Wind blowing from the south-west,7,,16,,Drizzle and rain slight. ,,,,13.3,,,300-600,,,12.0,8.5,12.0,12,,,,
14.11.2020 17:00,10.5,720.2,747.4,-0.8,91,Wind blowing from the south-west,9,,15,,Precipitation ,,,,,,,300-600,,,15.0,9.1,,,,,,
14.11.2020 16:00,11.6,720.0,747.0,-1.4,96,Wind blowing from the south-west,11,17,20,,Drizzle not freezing slight. ,,,,,,,200-300,,,23.0,10.9,,,,,,
14.11.2020 15:00,12.1,719.5,746.4,-3.2,95,Wind blowing from the south,10,15,17,,Rain not freezing slight. ,,,,,,,200-300,,,3.4,11.3,,,,,,
14.11.2020 14:00,12.3,721.0,747.9,-2.4,97,Wind blowing from the south-southwest,8,,13,,Rain not freezing heavy. ,,,,,,,200-300,,,0.9,11.8,,,,,,
14.11.2020 13:00,13.3,721.4,748.3,-2.4,88,Wind blowing from the south,8,13,13,,Drizzle (not freezing) or snow grains. ,,,,,,,300-600,,,60.0,11.3,,,,,,
14.11.2020 12:00,13.1,722.7,749.6,-1.5,88,Wind blowing from the south-southwest,8,13,14,,Rain (not freezing). ,,,,,,,300-600,,,45.0,11.1,0.8,6,,,,
14.11.2020 11:00,12.7,723.4,750.4,-1.4,92,Wind blowing from the south-southwest,8,,14,,Rain (not freezing). ,,,,,,,300-600,,,70.0,11.5,,,,,,
14.11.2020 10:00,12.3,723.8,750.8,-1.4,97,Wind blowing from the south-southwest,8,,13,,Rain not freezing slight. ,,,,,,,200-300,,,9.0,11.8,,,,,,
14.11.2020 09:00,12.1,724.2,751.3,-1.4,97,Wind blowing from the south-southwest,7,,,,Drizzle not freezing moderate. ,,,,,,,200-300,,,7.0,11.6,,,,,,
14.11.2020 08:00,12.0,724.8,751.9,-1.5,96,Wind blowing from the south,6,11,,,Drizzle not freezing slight. ,,,,,,,200-300,,,45.0,11.3,,,,,,
14.11.2020 07:00,10.2,725.2,752.5,-2.0,100,Wind blowing from the south,8,,,,Drizzle (not freezing) or snow grains. ,,,,,,,100-200,,,35.0,10.2,,,,,,
14.11.2020 06:00,8.9,725.6,753.1,-2.6,100,Wind blowing from the south,8,,,,Rain shower(s) or intermittent rain moderate. ,,,6.6,,,,50-100,,,4.8,8.9,1.0,12,,,,
14.11.2020 05:00,8.2,726.3,753.8,-2.8,99,Wind blowing from the south-southeast,8,,,,Drizzle (not freezing) or snow grains. ,,,,,,,50-100,,,5.0,8.0,,,,,,
14.11.2020 04:00,7.6,727.2,754.8,-2.5,97,Wind blowing from the south-southeast,7,,,,Drizzle not freezing slight. ,,,,,,,200-300,,,26.0,7.1,,,,,,
14.11.2020 03:00,7.2,728.2,755.8,-1.9,95,Wind blowing from the south,3,,,,Rain (not freezing). ,,,,,,,200-300,,,13.0,6.4,,,,,,
14.11.2020 02:00,7.4,729.1,756.7,-1.5,89,Wind blowing from the south,3,,,,Rain not freezing slight. ,,,,,,,1000-1500,,,28.0,5.7,,,,,,
14.11.2020 01:00,7.8,729.7,757.4,-1.0,88,Wind blowing from the south,5,,,, ,,,,,,,1000-1500,,,30.0,5.9,,,,,,
14.11.2020 00:00,9.0,720.1,747.4,-10.7,95,Wind blowing from the south-southwest,8,,14,,Rain (not freezing). ,,,,,,,300-600,,,25.0,8.2,1.0,6,,,,
13.11.2020 23:00,7.6,730.6,758.4,-0.3,91,Wind blowing from the south,5,,,, ,,,,,,,1000-1500,,,22.0,6.2,,,,,,
13.11.2020 22:00,6.9,730.7,758.6,-0.2,95,Wind blowing from the south,5,,,,Drizzle (not freezing) or snow grains. ,,,,,,,1000-1500,,,25.0,6.1,,,,,,
13.11.2020 21:00,7.3,730.8,758.6,0.0,91,Wind blowing from the south,4,,,, ,,,,,,,600-1000,,,30.0,5.9,,,,,,
13.11.2020 20:00,6.8,730.9,758.8,0.4,96,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,300-600,,,24.0,6.2,,,,,,
13.11.2020 19:00,6.7,730.9,758.8,0.4,94,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,1000-1500,,,25.0,5.8,,,,,,
13.11.2020 18:00,6.8,730.8,758.6,0.4,95,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,8.6,,,300-600,,,12.0,6.0,0.4,12,,,,
13.11.2020 17:00,7.0,730.5,758.4,0.2,95,Wind blowing from the south-southwest,3,,,,Rain (not freezing). ,,,,,,,300-600,,,22.0,6.2,,,,,,
13.11.2020 16:00,7.1,730.5,758.3,0.5,93,Wind blowing from the south-southwest,4,,,,Rain (not freezing). ,,,,,,,600-1000,,,26.0,6.1,,,,,,
13.11.2020 15:00,7.6,730.4,758.2,0.4,92,Wind blowing from the south-west,7,,,,Rain not freezing slight. ,,,,,,,300-600,,,22.0,6.3,,,,,,
13.11.2020 14:00,8.1,730.3,758.0,0.6,84,Wind blowing from the south-west,6,,,, ,,,,,,,300-600,,,35.0,5.6,,,,,,
13.11.2020 13:00,8.2,730.0,757.8,0.7,83,Wind blowing from the south-west,8,,,, ,,,,,,,300-600,,,30.0,5.5,,,,,,
13.11.2020 12:00,8.3,730.0,757.7,1.1,84,Wind blowing from the south-west,6,,,, ,,,,,,,300-600,,,27.0,5.7,0.2,6,,,,
13.11.2020 11:00,8.4,729.7,757.4,1.3,84,Wind blowing from the south-west,6,,,, ,,,,,,,600-1000,,,26.0,5.9,,,,,,
13.11.2020 10:00,7.5,729.3,757.0,1.5,93,Wind blowing from the south-west,4,,,, ,,,,,,,2500 or more or no clouds.,,,27.0,6.4,,,,,,
13.11.2020 09:00,5.9,728.9,756.8,1.2,95,Wind blowing from the south-west,5,,,,Rain (not freezing). ,,,,,,,200-300,,,40.0,5.2,,,,,,
