Local time in Lake Vyrnwy,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
18.11.2020 23:00,6.1,725.7,758.3,-0.4,90,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,3.5,4.6,,,,,,
18.11.2020 22:00,6.4,725.8,758.5,0.0,87,Wind blowing from the south-west,15,,,, ,,,,,,,300-600,,,2.3,4.4,,,,,,
18.11.2020 21:00,6.7,725.9,758.5,0.3,78,Wind blowing from the south-west,12,,,, ,,,,,,,600-1000,,,30.0,3.1,,,,,,
18.11.2020 20:00,6.6,726.1,758.6,0.6,79,Wind blowing from the south-west,13,,,, ,,,,,,,600-1000,,,30.0,3.2,,,,,,
18.11.2020 19:00,6.6,725.8,758.5,0.8,79,Wind blowing from the south-west,10,,,, ,,,,,,,600-1000,,,28.0,3.1,,,,,,
18.11.2020 18:00,6.4,725.6,758.2,1.0,79,Wind blowing from the south-west,11,,,, ,,,,12.6,,,600-1000,,,26.0,3.0,4.0,12,,,,
18.11.2020 17:00,6.1,725.5,758.2,1.2,80,Wind blowing from the south-west,10,,,, ,,,,,,,600-1000,,,30.0,2.8,,,,,,
18.11.2020 16:00,6.4,725.0,757.6,1.4,77,Wind blowing from the west-southwest,10,,,, ,,,,,,,600-1000,,,40.0,2.6,,,,,,
18.11.2020 15:00,7.4,724.6,757.0,1.7,88,Wind blowing from the west-southwest,9,,,, ,,,,,,,300-600,,,35.0,5.6,,,,,,
18.11.2020 14:00,8.2,724.3,756.6,0.9,97,Wind blowing from the west-southwest,7,,,, ,,,,,,,200-300,,,2.1,7.7,,,,,,
18.11.2020 13:00,9.8,723.6,755.7,-0.4,95,Wind blowing from the west-southwest,10,,,, ,,,,,,,100-200,,,1.6,9.0,,,,,,
18.11.2020 12:00,12.3,722.9,754.7,-1.5,96,Wind blowing from the south-southwest,12,,,, ,,,,,,,200-300,,,1.5,11.6,1.0,6,,,,
18.11.2020 11:00,12.5,723.4,755.2,-1.5,93,Wind blowing from the south-southwest,12,,,, ,,,,,,,300-600,,,7.0,11.4,,,,,,
18.11.2020 10:00,12.0,724.0,755.8,-1.4,96,Wind blowing from the south-southwest,9,,,, ,,,,,,,200-300,,,2.1,11.4,,,,,,
18.11.2020 09:00,11.6,724.4,756.4,-1.5,94,Wind blowing from the south-southwest,8,,,, ,,,,,,,200-300,,,35.0,10.6,,,,,,
18.11.2020 08:00,11.5,724.9,756.9,-1.5,92,Wind blowing from the south,10,,,, ,,,,,,,200-300,,,71.0,10.2,,,,,,
18.11.2020 07:00,11.1,725.4,757.4,-1.9,93,Wind blowing from the south,9,,,, ,,,,,,,200-300,,,60.0,10.0,,,,,,
18.11.2020 06:00,10.7,725.9,758.0,-2.1,93,Wind blowing from the south,9,,,, ,,,9.1,,,,200-300,,,40.0,9.6,0.2,12,,,,
18.11.2020 05:00,10.4,726.4,758.5,-2.1,92,Wind blowing from the south,9,,,, ,,,,,,,200-300,,,30.0,9.2,,,,,,
18.11.2020 04:00,10.2,727.3,759.5,-1.8,92,Wind blowing from the south,8,,,, ,,,,,,,200-300,,,40.0,9.0,,,,,,
18.11.2020 03:00,10.0,728.0,760.3,-1.5,94,Wind blowing from the south,9,,,, ,,,,,,,200-300,,,11.0,9.1,,,,,,
18.11.2020 02:00,9.9,728.5,760.9,-1.1,92,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,18.0,8.7,,,,,,
18.11.2020 01:00,9.6,729.1,761.5,-0.9,93,Wind blowing from the south-southwest,9,,,, ,,,,,,,200-300,,,13.0,8.5,,,,,,
18.11.2020 00:00,9.7,729.5,761.9,-0.9,92,Wind blowing from the south-southwest,10,,,, ,,,,,,,300-600,,,21.0,8.4,0.2,6,,,,
17.11.2020 23:00,9.6,729.6,762.0,-0.8,92,Wind blowing from the south-southwest,10,,,, ,,,,,,,300-600,,,35.0,8.3,,,,,,
17.11.2020 22:00,9.4,730.0,762.4,-0.1,92,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,30.0,8.2,,,,,,
17.11.2020 21:00,9.2,730.4,762.9,0.2,95,Wind blowing from the south-southwest,7,,,, ,,,,,,,300-600,,,23.0,8.4,,,,,,
17.11.2020 20:00,10.1,730.4,762.7,0.2,95,Wind blowing from the south-southwest,10,,,, ,,,,,,,200-300,,,5.0,9.3,,,,,,
17.11.2020 19:00,10.6,730.1,762.4,0.1,98,Wind blowing from the south-southwest,8,,,, ,,,,,,,100-200,,,30.0,10.3,,,,,,
17.11.2020 18:00,10.9,730.2,762.4,0.3,99,Wind blowing from the south-southwest,7,,,, ,,,,12.1,,,100-200,,,1.6,10.7,4.0,12,,,,
17.11.2020 17:00,11.2,730.2,762.4,0.4,99,Wind blowing from the south-west,7,,,, ,,,,,,,100-200,,,2.0,11.0,,,,,,
17.11.2020 16:00,11.5,730.0,762.2,0.6,98,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,2.5,11.2,,,,,,
17.11.2020 15:00,11.8,729.9,762.0,0.6,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,2.5,11.5,,,,,,
17.11.2020 14:00,12.0,729.8,761.9,0.4,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,1.3,11.7,,,,,,
17.11.2020 13:00,12.1,729.4,761.5,0.1,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,2.9,11.8,,,,,,
17.11.2020 12:00,11.9,729.3,761.4,0.2,99,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,1.3,11.7,2.0,6,,,,
17.11.2020 11:00,11.5,729.4,761.5,0.9,99,Wind blowing from the south-southwest,8,,,, ,,,,,,,100-200,,,1.7,11.4,,,,,,
17.11.2020 10:00,11.3,729.3,761.5,1.0,99,Wind blowing from the south-southwest,8,,,, ,,,,,,,100-200,,,2.3,11.1,,,,,,
17.11.2020 09:00,10.8,729.1,761.3,1.1,99,Wind blowing from the south-southwest,7,,,, ,,,,,,,100-200,,,2.2,10.7,,,,,,
17.11.2020 08:00,10.6,728.5,760.7,0.6,99,Wind blowing from the south-southwest,9,,,, ,,,,,,,100-200,,,1.7,10.5,,,,,,
17.11.2020 07:00,10.5,728.3,760.6,0.6,99,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,1.5,10.3,,,,,,
17.11.2020 06:00,10.4,728.0,760.3,0.2,99,Wind blowing from the south-west,10,,,, ,,,9.7,,,,100-200,,,1.3,10.2,13.0,12,,,,
17.11.2020 05:00,10.1,727.9,760.3,0.3,99,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,4.5,9.9,,,,,,
17.11.2020 04:00,9.9,727.7,760.0,0.1,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,2.4,9.6,,,,,,
17.11.2020 03:00,9.8,727.8,760.1,0.4,98,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,1.4,9.5,,,,,,
17.11.2020 02:00,10.2,727.6,759.8,0.4,99,Wind blowing from the south-west,11,,,, ,,,,,,,100-200,,,1.4,10.0,,,,,,
17.11.2020 01:00,10.3,727.6,759.8,0.9,99,Wind blowing from the south-west,11,,,, ,,,,,,,100-200,,,1.2,10.1,,,,,,
17.11.2020 00:00,10.6,727.4,759.6,1.2,97,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,1.3,10.2,8.0,6,,,,
16.11.2020 23:00,10.9,727.2,759.4,1.4,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,1.9,10.6,,,,,,
16.11.2020 22:00,10.7,726.7,758.9,1.2,99,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,1.7,10.5,,,,,,
16.11.2020 21:00,10.8,726.2,758.3,1.0,98,Wind blowing from the south-west,10,,,, ,,,,,,,100-200,,,1.9,10.5,,,,,,
16.11.2020 20:00,10.9,725.8,757.8,0.6,97,Wind blowing from the south-west,10,,,, ,,,,,,,200-300,,,1.5,10.5,,,,,,
16.11.2020 19:00,10.8,725.5,757.6,0.0,97,Wind blowing from the south-west,10,,,, ,,,,,,,200-300,,,1.3,10.4,,,,,,
16.11.2020 18:00,10.2,725.2,757.3,-0.1,99,Wind blowing from the south-west,10,,,, ,,,,10.2,,,100-200,,,1.6,10.0,5.0,12,,,,
16.11.2020 17:00,9.2,725.2,757.6,-0.2,99,Wind blowing from the south-west,8,,,, ,,,,,,,100-200,,,1.8,9.0,,,,,,
16.11.2020 16:00,8.7,725.5,757.8,0.1,99,Wind blowing from the south-west,9,,,, ,,,,,,,100-200,,,1.9,8.5,,,,,,
16.11.2020 15:00,8.3,725.3,757.7,-0.5,98,Wind blowing from the south-west,11,,,, ,,,,,,,100-200,,,3.3,8.0,,,,,,
16.11.2020 14:00,8.3,725.4,757.8,-0.4,96,Wind blowing from the south-west,11,,,, ,,,,,,,200-300,,,2.6,7.7,,,,,,
16.11.2020 13:00,8.5,725.4,757.8,0.1,86,Wind blowing from the west-southwest,9,,,, ,,,,,,,300-600,,,11.0,6.3,,,,,,
16.11.2020 12:00,8.0,725.8,758.2,0.9,85,Wind blowing from the south-west,7,,,, ,,,,,,,600-1000,,,27.0,5.6,No precipitation,6,,,,
16.11.2020 11:00,7.8,725.8,758.2,1.5,85,Wind blowing from the south-west,4,,,, ,,,,,,,300-600,,,30.0,5.4,,,,,,
16.11.2020 10:00,7.2,725.3,757.8,1.6,84,Wind blowing from the west-southwest,7,,,, ,,,,,,,600-1000,,,22.0,4.6,,,,,,
16.11.2020 09:00,6.7,724.9,757.4,2.1,84,Wind blowing from the west-southwest,9,,,, ,,,,,,,600-1000,,,27.0,4.1,,,,,,
16.11.2020 08:00,6.2,724.3,757.0,2.9,87,Wind blowing from the west,8,,,, ,,,,,,,300-600,,,30.0,4.2,,,,,,
16.11.2020 07:00,6.3,723.7,756.2,2.8,84,Wind blowing from the west,10,,,, ,,,,,,,600-1000,,,30.0,3.8,,,,,,
16.11.2020 06:00,6.1,722.8,755.3,2.5,84,Wind blowing from the west,9,,,, ,,,5.9,,,,300-600,,,28.0,3.6,9.0,12,,,,
16.11.2020 05:00,6.8,721.4,753.7,2.5,93,Wind blowing from the west,13,,,, ,,,,,,,300-600,,,6.0,5.7,,,,,,
16.11.2020 04:00,7.6,720.9,753.1,3.0,94,Wind blowing from the west,12,,,, ,,,,,,,200-300,,,6.0,6.7,,,,,,
16.11.2020 03:00,8.2,720.3,752.4,3.5,94,Wind blowing from the west,11,,,, ,,,,,,,300-600,,,5.0,7.3,,,,,,
16.11.2020 02:00,8.8,718.9,750.9,3.0,94,Wind blowing from the west,10,,,, ,,,,,,,300-600,,,7.0,7.8,,,,,,
16.11.2020 01:00,9.0,717.9,749.8,3.1,92,Wind blowing from the west,11,,,, ,,,,,,,300-600,,,20.0,7.8,,,,,,
16.11.2020 00:00,8.4,716.8,748.9,2.9,92,Wind blowing from the west-southwest,10,,,, ,,,,,,,300-600,,,4.2,7.2,6.0,6,,,,
15.11.2020 23:00,8.0,715.9,747.9,3.1,90,Wind blowing from the west-southwest,11,,,, ,,,,,,,300-600,,,5.0,6.5,,,,,,
15.11.2020 22:00,7.5,714.8,746.8,3.3,88,Wind blowing from the west-southwest,12,,,, ,,,,,,,300-600,,,12.0,5.7,,,,,,
15.11.2020 21:00,7.4,713.9,745.9,3.5,88,Wind blowing from the west-southwest,12,,,, ,,,,,,,300-600,,,28.0,5.6,,,,,,
15.11.2020 20:00,7.1,712.8,744.7,3.2,93,Wind blowing from the west-southwest,14,,,, ,,,,,,,600-1000,,,2.9,6.0,,,,,,
15.11.2020 19:00,7.1,711.5,743.4,2.2,91,Wind blowing from the west-southwest,13,,,, ,,,,,,,300-600,,,3.5,5.7,,,,,,
15.11.2020 18:00,6.0,710.4,742.4,1.1,94,Wind blowing from the south-west,9,,,, ,,,,8.6,,,300-600,,,4.6,5.1,15.0,12,,,,
15.11.2020 17:00,6.0,709.6,741.5,0.5,90,Wind blowing from the south-west,11,,,, ,,,,,,,600-1000,,,6.0,4.4,,,,,,
15.11.2020 16:00,5.7,709.3,741.2,0.3,93,Wind blowing from the south-west,9,,,, ,,,,,,,300-600,,,18.0,4.6,,,,,,
15.11.2020 15:00,4.4,709.3,741.4,0.3,92,Wind blowing from the west-southwest,8,,,, ,,,,,,,300-600,,,9.0,3.2,,,,,,
15.11.2020 14:00,5.4,709.1,741.1,0.0,89,Wind blowing from the south-west,8,,,, ,,,,,,,600-1000,,,7.0,3.7,,,,,,
15.11.2020 13:00,6.5,709.0,740.9,0.3,90,Wind blowing from the south-southwest,8,,,, ,,,,,,,600-1000,,,35.0,4.9,,,,,,
15.11.2020 12:00,5.5,709.0,741.1,0.9,88,Wind blowing from the south-west,12,,,, ,,,,,,,600-1000,,,8.0,3.6,8.0,6,,,,
15.11.2020 11:00,6.4,709.1,740.9,1.0,93,Wind blowing from the south-southwest,8,,,, ,,,,,,,300-600,,,21.0,5.3,,,,,,
15.11.2020 10:00,4.9,708.7,740.8,0.6,95,Wind blowing from the south-west,9,,,, ,,,,,,,300-600,,,6.0,4.2,,,,,,
15.11.2020 09:00,5.8,708.1,740.0,-0.7,93,Wind blowing from the south-southwest,11,,,, ,,,,,,,300-600,,,2.8,4.7,,,,,,
15.11.2020 08:00,6.3,708.1,739.9,-1.8,96,Wind blowing from the south-west,11,,,, ,,,,,,,200-300,,,8.0,5.7,,,,,,
15.11.2020 07:00,8.4,708.1,739.6,-2.9,99,Wind blowing from the south,6,,,, ,,,,,,,50-100,,,8.0,8.2,,,,,,
15.11.2020 06:00,8.6,708.8,740.4,-3.3,95,Wind blowing from the south,6,,,, ,,,7.9,,,,200-300,,,14.0,7.8,0.6,12,,,,
15.11.2020 05:00,8.5,709.9,741.6,-3.0,94,Wind blowing from the south,7,,,, ,,,,,,,200-300,,,5.0,7.6,,,,,,
15.11.2020 04:00,8.8,711.0,742.7,-2.5,93,Wind blowing from the south,4,,,, ,,,,,,,200-300,,,40.0,7.7,,,,,,
15.11.2020 03:00,8.8,712.1,743.8,-1.9,91,Wind blowing from the south,7,,,, ,,,,,,,200-300,,,14.0,7.4,,,,,,
15.11.2020 02:00,8.8,712.9,744.7,-1.3,89,Wind blowing from the south-southwest,7,,,, ,,,,,,,300-600,,,29.0,7.0,,,,,,
15.11.2020 01:00,8.7,713.5,745.3,-0.7,90,Wind blowing from the south,8,,,, ,,,,,,,300-600,,,6.0,7.1,,,,,,
15.11.2020 00:00,8.4,716.8,748.9,2.6,92,Wind blowing from the west-southwest,10,,,, ,,,,,,,300-600,,,4.2,7.2,6.0,6,,,,
14.11.2020 23:00,8.5,714.2,746.0,-0.1,94,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,27.0,7.5,,,,,,
14.11.2020 22:00,8.6,714.2,746.1,-0.2,89,Wind blowing from the south-southwest,13,,,, ,,,,,,,300-600,,,22.0,6.8,,,,,,
14.11.2020 21:00,8.7,714.2,746.0,-0.1,90,Wind blowing from the south-southwest,13,,,, ,,,,,,,300-600,,,24.0,7.1,,,,,,
14.11.2020 20:00,8.3,714.3,746.2,0.5,93,Wind blowing from the south-southwest,12,,,, ,,,,,,,300-600,,,24.0,7.2,,,,,,
14.11.2020 19:00,9.1,714.4,746.2,0.9,90,Wind blowing from the south-southwest,9,,,, ,,,,,,,600-1000,,,20.0,7.5,,,,,,
14.11.2020 18:00,9.7,714.3,746.0,-0.1,89,Wind blowing from the south-west,11,,,, ,,,,12.5,,,300-600,,,23.0,8.0,5.0,12,,,,
14.11.2020 17:00,10.5,713.8,745.4,-1.5,89,Wind blowing from the south-southwest,9,,,, ,,,,,,,600-1000,,,24.0,8.7,,,,,,
14.11.2020 16:00,11.3,713.5,745.0,-2.7,97,Wind blowing from the south,9,,,, ,,,,,,,100-200,,,2.6,10.9,,,,,,
14.11.2020 15:00,11.6,714.4,745.9,-2.7,93,Wind blowing from the south,7,,,, ,,,,,,,300-600,,,10.0,10.5,,,,,,
14.11.2020 14:00,12.3,715.3,746.7,-2.6,87,Wind blowing from the south,8,,,, ,,,,,,,600-1000,,,40.0,10.2,,,,,,
14.11.2020 13:00,12.0,716.2,747.8,-2.4,87,Wind blowing from the south-southwest,9,,,, ,,,,,,,600-1000,,,65.0,9.9,,,,,,
14.11.2020 12:00,11.5,717.1,748.8,-2.1,100,Wind blowing from the south,4,,,, ,,,,,,,50-100,,,29.0,11.5,0.8,6,,,,
14.11.2020 11:00,9.5,717.9,749.8,-2.1,100,Wind blowing from the south-east,2,,,, ,,,,,,,50-100,,,4.1,9.5,,,,,,
14.11.2020 10:00,8.6,718.6,750.7,-1.8,100,Wind blowing from the east-southeast,3,,,, ,,,,,,,Less than  50,,,0.2,8.6,,,,,,
14.11.2020 09:00,6.9,719.2,751.3,-1.8,100,Wind blowing from the south,2,,,, ,,,,,,,,,,less than 0.1,6.9,,,,,,
14.11.2020 08:00,6.9,720.0,752.3,-1.7,100,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,less than 0.1,6.9,,,,,,
14.11.2020 07:00,6.4,720.4,752.8,-1.8,100,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,0.1,6.4,,,,,,
14.11.2020 06:00,6.0,721.0,753.4,-2.1,99,Wind blowing from the south-southeast,3,,,, ,,,4.5,,,,Less than  50,,,0.8,5.9,3.0,12,,,,
14.11.2020 05:00,6.0,721.7,754.2,-2.0,99,Wind blowing from the south,4,,,, ,,,,,,,50-100,,,4.5,5.8,,,,,,
14.11.2020 04:00,6.1,722.2,754.8,-2.1,97,Wind blowing from the south,5,,,, ,,,,,,,600-1000,,,11.0,5.7,,,,,,
14.11.2020 03:00,6.2,723.1,755.6,-1.8,98,Wind blowing from the south,4,,,, ,,,,,,,300-600,,,7.0,5.9,,,,,,
14.11.2020 02:00,6.3,723.7,756.1,-1.5,97,Wind blowing from the south,4,,,, ,,,,,,,300-600,,,11.0,5.9,,,,,,
14.11.2020 01:00,6.1,724.3,756.9,-1.1,99,Wind blowing from the south,4,,,, ,,,,,,,50-100,,,8.0,6.0,,,,,,
14.11.2020 00:00,8.4,714.0,745.9,-11.3,89,Wind blowing from the south-southwest,8,,,, ,,,,,,,300-600,,,30.0,6.7,0.6,6,,,,
13.11.2020 23:00,5.5,725.2,757.9,-0.2,97,Wind blowing from the south,4,,,, ,,,,,,,600-1000,,,24.0,5.1,,,,,,
13.11.2020 22:00,4.7,725.4,758.2,0.1,99,Wind blowing from the south,3,,,, ,,,,,,,300-600,,,21.0,4.5,,,,,,
13.11.2020 21:00,4.6,725.3,758.1,0.2,98,Wind blowing from the south,2,,,, ,,,,,,,100-200,,,0.2,4.3,,,,,,
13.11.2020 20:00,5.7,725.4,758.0,0.5,95,Wind blowing from the south-southwest,3,,,, ,,,,,,,300-600,,,22.0,5.0,,,,,,
13.11.2020 19:00,6.0,725.3,757.9,0.7,95,Wind blowing from the south-southwest,5,,,, ,,,,,,,300-600,,,21.0,5.3,,,,,,
13.11.2020 18:00,6.0,725.1,757.7,0.7,96,Wind blowing from the south-southwest,4,,,, ,,,,8.2,,,300-600,,,24.0,5.4,4.0,12,,,,
13.11.2020 17:00,6.2,724.9,757.6,0.6,96,Wind blowing from the south-southwest,4,,,, ,,,,,,,300-600,,,2.5,5.6,,,,,,
13.11.2020 16:00,6.4,724.6,757.1,0.6,93,Wind blowing from the south-west,6,,,, ,,,,,,,600-1000,,,4.3,5.3,,,,,,
13.11.2020 15:00,7.1,724.4,756.9,0.7,89,Wind blowing from the south-west,8,,,, ,,,,,,,300-600,,,8.0,5.4,,,,,,
13.11.2020 14:00,6.7,724.3,756.8,0.8,94,Wind blowing from the south-west,5,,,, ,,,,,,,300-600,,,23.0,5.8,,,,,,
13.11.2020 13:00,6.7,724.0,756.4,0.8,88,Wind blowing from the south-west,10,,,, ,,,,,,,600-1000,,,1.7,4.8,,,,,,
13.11.2020 12:00,7.7,723.7,756.1,0.9,87,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,25.0,5.7,1.0,6,,,,
13.11.2020 11:00,6.7,723.5,756.0,1.2,96,Wind blowing from the south-west,5,,,, ,,,,,,,600-1000,,,17.0,6.1,,,,,,
13.11.2020 10:00,5.5,723.2,755.8,1.3,97,Wind blowing from the south-southwest,4,,,, ,,,,,,,200-300,,,4.4,5.1,,,,,,
13.11.2020 09:00,5.4,722.8,755.4,1.5,97,Wind blowing from the south-southwest,5,,,, ,,,,,,,1000-1500,,,35.0,5.0,,,,,,
13.11.2020 08:00,4.8,722.3,754.9,1.5,98,Wind blowing from the south-west,4,,,, ,,,,,,,100-200,,,23.0,4.5,,,,,,
13.11.2020 07:00,4.4,721.9,754.5,2.0,98,Wind blowing from the south-southwest,5,,,, ,,,,,,,200-300,,,6.0,4.1,,,,,,
13.11.2020 06:00,4.4,721.3,753.9,0.9,93,Wind blowing from the south-west,5,,,, ,,,4.4,,,,600-1000,,,25.0,3.4,6.0,12,,,,
13.11.2020 05:00,5.6,720.8,753.4,-0.6,92,Wind blowing from the west-southwest,10,,,, ,,,,,,,600-1000,,,2.9,4.4,,,,,,
13.11.2020 04:00,8.3,719.9,752.0,-2.3,95,Wind blowing from the south-southwest,10,,,, ,,,,,,,100-200,,,2.4,7.5,,,,,,
13.11.2020 03:00,8.9,720.4,752.5,-2.3,95,Wind blowing from the south,8,,,, ,,,,,,,300-600,,,7.0,8.2,,,,,,
13.11.2020 02:00,8.8,721.4,753.5,-1.8,94,Wind blowing from the south,6,,,, ,,,,,,,300-600,,,50.0,7.9,,,,,,
13.11.2020 01:00,8.9,722.2,754.4,-1.2,94,Wind blowing from the south,5,,,, ,,,,,,,200-300,,,18.0,7.9,,,,,,
13.11.2020 00:00,5.8,724.9,757.6,1.2,98,Wind blowing from the south,4,,,, ,,,,,,,100-200,,,5.0,5.5,No precipitation,6,,,,
12.11.2020 23:00,8.7,723.2,755.5,-1.1,94,Wind blowing from the south,7,,,, ,,,,,,,300-600,,,50.0,7.7,,,,,,
12.11.2020 22:00,8.8,723.4,755.7,-1.2,92,Wind blowing from the south,9,,,, ,,,,,,,300-600,,,30.0,7.6,,,,,,
12.11.2020 21:00,8.5,723.7,755.9,-1.1,94,Wind blowing from the south,8,,,, ,,,,,,,100-200,,,40.0,7.5,,,,,,
12.11.2020 20:00,8.3,724.3,756.6,-1.0,95,Wind blowing from the south,6,,,, ,,,,,,,200-300,,,17.0,7.6,,,,,,
12.11.2020 19:00,8.7,724.6,756.8,-0.4,88,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,45.0,6.8,,,,,,
12.11.2020 18:00,8.6,724.8,757.1,-0.6,90,Wind blowing from the south-southwest,8,,,, ,,,,9.9,,,300-600,,,45.0,7.0,0.4,12,,,,
12.11.2020 17:00,8.5,725.3,757.6,-0.3,87,Wind blowing from the south-southwest,7,,,, ,,,,,,,300-600,,,55.0,6.5,,,,,,
12.11.2020 16:00,8.6,725.0,757.3,-0.8,87,Wind blowing from the south-southwest,10,,,, ,,,,,,,600-1000,,,45.0,6.5,,,,,,
12.11.2020 15:00,8.4,725.4,757.7,-0.9,92,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,55.0,7.1,,,,,,
12.11.2020 14:00,9.2,725.6,757.9,-0.8,83,Wind blowing from the south-west,7,,,, ,,,,,,,600-1000,,,45.0,6.4,,,,,,
12.11.2020 13:00,9.3,725.8,758.0,-0.5,85,Wind blowing from the south-southwest,7,,,, ,,,,,,,300-600,,,45.0,6.9,,,,,,
12.11.2020 12:00,8.9,726.3,758.6,0.2,86,Wind blowing from the south-southwest,9,,,, ,,,,,,,300-600,,,35.0,6.6,0.4,6,,,,
12.11.2020 11:00,7.5,726.4,759.0,0.8,90,Wind blowing from the south-west,6,,,, ,,,,,,,300-600,,,30.0,5.9,,,,,,
