Total errors 48773

04/03/2020 | Date                                     | Spain
04/06/2020 | Country                                  | Spain
04/06/2020 | Cases                                    | Spain
04/06/2020 | Cumulative Cases                         | Spain
04/06/2020 | Deaths                                   | Spain
04/06/2020 | Cumulative Deaths                        | Spain
04/06/2020 | Tests                                    | Spain
04/06/2020 | Cumulative Tests                         | Spain
04/06/2020 | Meeting Friends/Family (indoor)          | Spain
04/06/2020 | Meeting Friends/Family (outdoor)         | Spain
04/06/2020 | Domestic Travel                          | Spain
04/06/2020 | International Travel                     | Spain
04/06/2020 | Cafes and Restaurants                    | Spain
04/06/2020 | Pubs and bars                            | Spain
04/06/2020 | Sports and leisure                       | Spain
04/06/2020 | Schools Closure                          | Spain
04/06/2020 | Temperature                              | Spain
04/06/2020 | Humidity                                 | Spain
04/06/2020 | Nursing & Care Home Visit                | Spain
04/07/2020 | Date                                     | Spain
04/07/2020 | Country                                  | Spain
04/07/2020 | Cases                                    | Spain
04/07/2020 | Cumulative Cases                         | Spain
04/07/2020 | Deaths                                   | Spain
04/07/2020 | Cumulative Deaths                        | Spain
04/07/2020 | Tests                                    | Spain
04/07/2020 | Cumulative Tests                         | Spain
04/07/2020 | Meeting Friends/Family (indoor)          | Spain
04/07/2020 | Meeting Friends/Family (outdoor)         | Spain
04/07/2020 | Domestic Travel                          | Spain
04/07/2020 | International Travel                     | Spain
04/07/2020 | Cafes and Restaurants                    | Spain
04/07/2020 | Pubs and bars                            | Spain
04/07/2020 | Sports and leisure                       | Spain
04/07/2020 | Schools Closure                          | Spain
04/07/2020 | Temperature                              | Spain
04/07/2020 | Humidity                                 | Spain
04/07/2020 | Nursing & Care Home Visit                | Spain
04/08/2020 | Date                                     | Spain
04/08/2020 | Country                                  | Spain
04/08/2020 | Cases                                    | Spain
04/08/2020 | Cumulative Cases                         | Spain
04/08/2020 | Deaths                                   | Spain
04/08/2020 | Cumulative Deaths                        | Spain
04/08/2020 | Tests                                    | Spain
04/08/2020 | Cumulative Tests                         | Spain
04/08/2020 | Meeting Friends/Family (indoor)          | Spain
04/08/2020 | Meeting Friends/Family (outdoor)         | Spain
04/08/2020 | Domestic Travel                          | Spain
04/08/2020 | International Travel                     | Spain
04/08/2020 | Cafes and Restaurants                    | Spain
04/08/2020 | Pubs and bars                            | Spain
04/08/2020 | Sports and leisure                       | Spain
04/08/2020 | Schools Closure                          | Spain
04/08/2020 | Temperature                              | Spain
04/08/2020 | Humidity                                 | Spain
04/08/2020 | Nursing & Care Home Visit                | Spain
04/09/2020 | Date                                     | Spain
04/09/2020 | Country                                  | Spain
04/09/2020 | Cases                                    | Spain
04/09/2020 | Cumulative Cases                         | Spain
04/09/2020 | Deaths                                   | Spain
04/09/2020 | Cumulative Deaths                        | Spain
04/09/2020 | Tests                                    | Spain
04/09/2020 | Cumulative Tests                         | Spain
04/09/2020 | Meeting Friends/Family (indoor)          | Spain
04/09/2020 | Meeting Friends/Family (outdoor)         | Spain
04/09/2020 | Domestic Travel                          | Spain
04/09/2020 | International Travel                     | Spain
04/09/2020 | Cafes and Restaurants                    | Spain
04/09/2020 | Pubs and bars                            | Spain
04/09/2020 | Sports and leisure                       | Spain
04/09/2020 | Schools Closure                          | Spain
04/09/2020 | Temperature                              | Spain
04/09/2020 | Humidity                                 | Spain
04/09/2020 | Nursing & Care Home Visit                | Spain
04/10/2020 | Date                                     | Spain
04/10/2020 | Country                                  | Spain
04/10/2020 | Cases                                    | Spain
04/10/2020 | Cumulative Cases                         | Spain
04/10/2020 | Deaths                                   | Spain
04/10/2020 | Cumulative Deaths                        | Spain
04/10/2020 | Tests                                    | Spain
04/10/2020 | Cumulative Tests                         | Spain
04/10/2020 | Meeting Friends/Family (indoor)          | Spain
04/10/2020 | Meeting Friends/Family (outdoor)         | Spain
04/10/2020 | Domestic Travel                          | Spain
04/10/2020 | International Travel                     | Spain
04/10/2020 | Cafes and Restaurants                    | Spain
04/10/2020 | Pubs and bars                            | Spain
04/10/2020 | Sports and leisure                       | Spain
04/10/2020 | Schools Closure                          | Spain
04/10/2020 | Temperature                              | Spain
04/10/2020 | Humidity                                 | Spain
04/10/2020 | Nursing & Care Home Visit                | Spain
04/11/2020 | Date                                     | Spain
04/11/2020 | Country                                  | Spain
04/11/2020 | Cases                                    | Spain
04/11/2020 | Cumulative Cases                         | Spain
04/11/2020 | Deaths                                   | Spain
04/11/2020 | Cumulative Deaths                        | Spain
04/11/2020 | Tests                                    | Spain
04/11/2020 | Cumulative Tests                         | Spain
04/11/2020 | Meeting Friends/Family (indoor)          | Spain
04/11/2020 | Meeting Friends/Family (outdoor)         | Spain
04/11/2020 | Domestic Travel                          | Spain
04/11/2020 | International Travel                     | Spain
04/11/2020 | Cafes and Restaurants                    | Spain
04/11/2020 | Pubs and bars                            | Spain
04/11/2020 | Sports and leisure                       | Spain
04/11/2020 | Schools Closure                          | Spain
04/11/2020 | Temperature                              | Spain
04/11/2020 | Humidity                                 | Spain
04/11/2020 | Nursing & Care Home Visit                | Spain
04/12/2020 | Date                                     | Spain
04/12/2020 | Country                                  | Spain
04/12/2020 | Cases                                    | Spain
04/12/2020 | Cumulative Cases                         | Spain
04/12/2020 | Deaths                                   | Spain
04/12/2020 | Cumulative Deaths                        | Spain
04/12/2020 | Tests                                    | Spain
04/12/2020 | Cumulative Tests                         | Spain
04/12/2020 | Meeting Friends/Family (indoor)          | Spain
04/12/2020 | Meeting Friends/Family (outdoor)         | Spain
04/12/2020 | Domestic Travel                          | Spain
04/12/2020 | International Travel                     | Spain
04/12/2020 | Cafes and Restaurants                    | Spain
04/12/2020 | Pubs and bars                            | Spain
04/12/2020 | Sports and leisure                       | Spain
04/12/2020 | Schools Closure                          | Spain
04/12/2020 | Temperature                              | Spain
04/12/2020 | Humidity                                 | Spain
04/12/2020 | Nursing & Care Home Visit                | Spain
04/13/2020 | Date                                     | Spain
04/13/2020 | Country                                  | Spain
04/13/2020 | Cases                                    | Spain
04/13/2020 | Cumulative Cases                         | Spain
04/13/2020 | Deaths                                   | Spain
04/13/2020 | Cumulative Deaths                        | Spain
04/13/2020 | Tests                                    | Spain
04/13/2020 | Cumulative Tests                         | Spain
04/13/2020 | Meeting Friends/Family (indoor)          | Spain
04/13/2020 | Meeting Friends/Family (outdoor)         | Spain
04/13/2020 | Domestic Travel                          | Spain
04/13/2020 | International Travel                     | Spain
04/13/2020 | Cafes and Restaurants                    | Spain
04/13/2020 | Pubs and bars                            | Spain
04/13/2020 | Sports and leisure                       | Spain
04/13/2020 | Schools Closure                          | Spain
04/13/2020 | Temperature                              | Spain
04/13/2020 | Humidity                                 | Spain
04/13/2020 | Nursing & Care Home Visit                | Spain
04/14/2020 | Date                                     | Spain
04/14/2020 | Country                                  | Spain
04/14/2020 | Cases                                    | Spain
04/14/2020 | Cumulative Cases                         | Spain
04/14/2020 | Deaths                                   | Spain
04/14/2020 | Cumulative Deaths                        | Spain
04/14/2020 | Tests                                    | Spain
04/14/2020 | Cumulative Tests                         | Spain
04/14/2020 | Meeting Friends/Family (indoor)          | Spain
04/14/2020 | Meeting Friends/Family (outdoor)         | Spain
04/14/2020 | Domestic Travel                          | Spain
04/14/2020 | International Travel                     | Spain
04/14/2020 | Cafes and Restaurants                    | Spain
04/14/2020 | Pubs and bars                            | Spain
04/14/2020 | Sports and leisure                       | Spain
04/14/2020 | Schools Closure                          | Spain
04/14/2020 | Temperature                              | Spain
04/14/2020 | Humidity                                 | Spain
04/14/2020 | Nursing & Care Home Visit                | Spain
04/15/2020 | Date                                     | Spain
04/15/2020 | Country                                  | Spain
04/15/2020 | Cases                                    | Spain
04/15/2020 | Cumulative Cases                         | Spain
04/15/2020 | Deaths                                   | Spain
04/15/2020 | Cumulative Deaths                        | Spain
04/15/2020 | Tests                                    | Spain
04/15/2020 | Cumulative Tests                         | Spain
04/15/2020 | Meeting Friends/Family (indoor)          | Spain
04/15/2020 | Meeting Friends/Family (outdoor)         | Spain
04/15/2020 | Domestic Travel                          | Spain
04/15/2020 | International Travel                     | Spain
04/15/2020 | Cafes and Restaurants                    | Spain
04/15/2020 | Pubs and bars                            | Spain
04/15/2020 | Sports and leisure                       | Spain
04/15/2020 | Schools Closure                          | Spain
04/15/2020 | Temperature                              | Spain
04/15/2020 | Humidity                                 | Spain
04/15/2020 | Nursing & Care Home Visit                | Spain
04/16/2020 | Date                                     | Spain
04/16/2020 | Country                                  | Spain
04/16/2020 | Cases                                    | Spain
04/16/2020 | Cumulative Cases                         | Spain
04/16/2020 | Deaths                                   | Spain
04/16/2020 | Cumulative Deaths                        | Spain
04/16/2020 | Tests                                    | Spain
04/16/2020 | Cumulative Tests                         | Spain
04/16/2020 | Meeting Friends/Family (indoor)          | Spain
04/16/2020 | Meeting Friends/Family (outdoor)         | Spain
04/16/2020 | Domestic Travel                          | Spain
04/16/2020 | International Travel                     | Spain
04/16/2020 | Cafes and Restaurants                    | Spain
04/16/2020 | Pubs and bars                            | Spain
04/16/2020 | Sports and leisure                       | Spain
04/16/2020 | Schools Closure                          | Spain
04/16/2020 | Temperature                              | Spain
04/16/2020 | Humidity                                 | Spain
04/16/2020 | Nursing & Care Home Visit                | Spain
04/17/2020 | Date                                     | Spain
04/17/2020 | Country                                  | Spain
04/17/2020 | Cases                                    | Spain
04/17/2020 | Cumulative Cases                         | Spain
04/17/2020 | Deaths                                   | Spain
04/17/2020 | Cumulative Deaths                        | Spain
04/17/2020 | Tests                                    | Spain
04/17/2020 | Cumulative Tests                         | Spain
04/17/2020 | Meeting Friends/Family (indoor)          | Spain
04/17/2020 | Meeting Friends/Family (outdoor)         | Spain
04/17/2020 | Domestic Travel                          | Spain
04/17/2020 | International Travel                     | Spain
04/17/2020 | Cafes and Restaurants                    | Spain
04/17/2020 | Pubs and bars                            | Spain
04/17/2020 | Sports and leisure                       | Spain
04/17/2020 | Schools Closure                          | Spain
04/17/2020 | Temperature                              | Spain
04/17/2020 | Humidity                                 | Spain
04/17/2020 | Nursing & Care Home Visit                | Spain
04/18/2020 | Date                                     | Spain
04/18/2020 | Country                                  | Spain
04/18/2020 | Cases                                    | Spain
04/18/2020 | Cumulative Cases                         | Spain
04/18/2020 | Deaths                                   | Spain
04/18/2020 | Cumulative Deaths                        | Spain
04/18/2020 | Tests                                    | Spain
04/18/2020 | Cumulative Tests                         | Spain
04/18/2020 | Meeting Friends/Family (indoor)          | Spain
04/18/2020 | Meeting Friends/Family (outdoor)         | Spain
04/18/2020 | Domestic Travel                          | Spain
04/18/2020 | International Travel                     | Spain
04/18/2020 | Cafes and Restaurants                    | Spain
04/18/2020 | Pubs and bars                            | Spain
04/18/2020 | Sports and leisure                       | Spain
04/18/2020 | Schools Closure                          | Spain
04/18/2020 | Temperature                              | Spain
04/18/2020 | Humidity                                 | Spain
04/18/2020 | Nursing & Care Home Visit                | Spain
04/19/2020 | Date                                     | Spain
04/19/2020 | Country                                  | Spain
04/19/2020 | Cases                                    | Spain
04/19/2020 | Cumulative Cases                         | Spain
04/19/2020 | Deaths                                   | Spain
04/19/2020 | Cumulative Deaths                        | Spain
04/19/2020 | Tests                                    | Spain
04/19/2020 | Cumulative Tests                         | Spain
04/19/2020 | Meeting Friends/Family (indoor)          | Spain
04/19/2020 | Meeting Friends/Family (outdoor)         | Spain
04/19/2020 | Domestic Travel                          | Spain
04/19/2020 | International Travel                     | Spain
04/19/2020 | Cafes and Restaurants                    | Spain
04/19/2020 | Pubs and bars                            | Spain
04/19/2020 | Sports and leisure                       | Spain
04/19/2020 | Schools Closure                          | Spain
04/19/2020 | Temperature                              | Spain
04/19/2020 | Humidity                                 | Spain
04/19/2020 | Nursing & Care Home Visit                | Spain
04/20/2020 | Date                                     | Spain
04/20/2020 | Country                                  | Spain
04/20/2020 | Cases                                    | Spain
04/20/2020 | Cumulative Cases                         | Spain
04/20/2020 | Deaths                                   | Spain
04/20/2020 | Cumulative Deaths                        | Spain
04/20/2020 | Tests                                    | Spain
04/20/2020 | Cumulative Tests                         | Spain
04/20/2020 | Meeting Friends/Family (indoor)          | Spain
04/20/2020 | Meeting Friends/Family (outdoor)         | Spain
04/20/2020 | Domestic Travel                          | Spain
04/20/2020 | International Travel                     | Spain
04/20/2020 | Cafes and Restaurants                    | Spain
04/20/2020 | Pubs and bars                            | Spain
04/20/2020 | Sports and leisure                       | Spain
04/20/2020 | Schools Closure                          | Spain
04/20/2020 | Temperature                              | Spain
04/20/2020 | Humidity                                 | Spain
04/20/2020 | Nursing & Care Home Visit                | Spain
04/21/2020 | Date                                     | Spain
04/21/2020 | Country                                  | Spain
04/21/2020 | Cases                                    | Spain
04/21/2020 | Cumulative Cases                         | Spain
04/21/2020 | Deaths                                   | Spain
04/21/2020 | Cumulative Deaths                        | Spain
04/21/2020 | Tests                                    | Spain
04/21/2020 | Cumulative Tests                         | Spain
04/21/2020 | Meeting Friends/Family (indoor)          | Spain
04/21/2020 | Meeting Friends/Family (outdoor)         | Spain
04/21/2020 | Domestic Travel                          | Spain
04/21/2020 | International Travel                     | Spain
04/21/2020 | Cafes and Restaurants                    | Spain
04/21/2020 | Pubs and bars                            | Spain
04/21/2020 | Sports and leisure                       | Spain
04/21/2020 | Schools Closure                          | Spain
04/21/2020 | Temperature                              | Spain
04/21/2020 | Humidity                                 | Spain
04/21/2020 | Nursing & Care Home Visit                | Spain
04/22/2020 | Date                                     | Spain
04/22/2020 | Country                                  | Spain
04/22/2020 | Cases                                    | Spain
04/22/2020 | Cumulative Cases                         | Spain
04/22/2020 | Deaths                                   | Spain
04/22/2020 | Cumulative Deaths                        | Spain
04/22/2020 | Tests                                    | Spain
04/22/2020 | Cumulative Tests                         | Spain
04/22/2020 | Meeting Friends/Family (indoor)          | Spain
04/22/2020 | Meeting Friends/Family (outdoor)         | Spain
04/22/2020 | Domestic Travel                          | Spain
04/22/2020 | International Travel                     | Spain
04/22/2020 | Cafes and Restaurants                    | Spain
04/22/2020 | Pubs and bars                            | Spain
04/22/2020 | Sports and leisure                       | Spain
04/22/2020 | Schools Closure                          | Spain
04/22/2020 | Temperature                              | Spain
04/22/2020 | Humidity                                 | Spain
04/22/2020 | Nursing & Care Home Visit                | Spain
04/23/2020 | Date                                     | Spain
04/23/2020 | Country                                  | Spain
04/23/2020 | Cases                                    | Spain
04/23/2020 | Cumulative Cases                         | Spain
04/23/2020 | Deaths                                   | Spain
04/23/2020 | Cumulative Deaths                        | Spain
04/23/2020 | Tests                                    | Spain
04/23/2020 | Cumulative Tests                         | Spain
04/23/2020 | Meeting Friends/Family (indoor)          | Spain
04/23/2020 | Meeting Friends/Family (outdoor)         | Spain
04/23/2020 | Domestic Travel                          | Spain
04/23/2020 | International Travel                     | Spain
04/23/2020 | Cafes and Restaurants                    | Spain
04/23/2020 | Pubs and bars                            | Spain
04/23/2020 | Sports and leisure                       | Spain
04/23/2020 | Schools Closure                          | Spain
04/23/2020 | Temperature                              | Spain
04/23/2020 | Humidity                                 | Spain
04/23/2020 | Nursing & Care Home Visit                | Spain
04/24/2020 | Date                                     | Spain
04/24/2020 | Country                                  | Spain
04/24/2020 | Cases                                    | Spain
04/24/2020 | Cumulative Cases                         | Spain
04/24/2020 | Deaths                                   | Spain
04/24/2020 | Cumulative Deaths                        | Spain
04/24/2020 | Tests                                    | Spain
04/24/2020 | Cumulative Tests                         | Spain
04/24/2020 | Meeting Friends/Family (indoor)          | Spain
04/24/2020 | Meeting Friends/Family (outdoor)         | Spain
04/24/2020 | Domestic Travel                          | Spain
04/24/2020 | International Travel                     | Spain
04/24/2020 | Cafes and Restaurants                    | Spain
04/24/2020 | Pubs and bars                            | Spain
04/24/2020 | Sports and leisure                       | Spain
04/24/2020 | Schools Closure                          | Spain
04/24/2020 | Temperature                              | Spain
04/24/2020 | Humidity                                 | Spain
04/24/2020 | Nursing & Care Home Visit                | Spain
04/25/2020 | Date                                     | Spain
04/25/2020 | Country                                  | Spain
04/25/2020 | Cases                                    | Spain
04/25/2020 | Cumulative Cases                         | Spain
04/25/2020 | Deaths                                   | Spain
04/25/2020 | Cumulative Deaths                        | Spain
04/25/2020 | Tests                                    | Spain
04/25/2020 | Cumulative Tests                         | Spain
04/25/2020 | Meeting Friends/Family (indoor)          | Spain
04/25/2020 | Meeting Friends/Family (outdoor)         | Spain
04/25/2020 | Domestic Travel                          | Spain
04/25/2020 | International Travel                     | Spain
04/25/2020 | Cafes and Restaurants                    | Spain
04/25/2020 | Pubs and bars                            | Spain
04/25/2020 | Sports and leisure                       | Spain
04/25/2020 | Schools Closure                          | Spain
04/25/2020 | Temperature                              | Spain
04/25/2020 | Humidity                                 | Spain
04/25/2020 | Nursing & Care Home Visit                | Spain
04/26/2020 | Date                                     | Spain
04/26/2020 | Country                                  | Spain
04/26/2020 | Cases                                    | Spain
04/26/2020 | Cumulative Cases                         | Spain
04/26/2020 | Deaths                                   | Spain
04/26/2020 | Cumulative Deaths                        | Spain
04/26/2020 | Tests                                    | Spain
04/26/2020 | Cumulative Tests                         | Spain
04/26/2020 | Meeting Friends/Family (indoor)          | Spain
04/26/2020 | Meeting Friends/Family (outdoor)         | Spain
04/26/2020 | Domestic Travel                          | Spain
04/26/2020 | International Travel                     | Spain
04/26/2020 | Cafes and Restaurants                    | Spain
04/26/2020 | Pubs and bars                            | Spain
04/26/2020 | Sports and leisure                       | Spain
04/26/2020 | Schools Closure                          | Spain
04/26/2020 | Temperature                              | Spain
04/26/2020 | Humidity                                 | Spain
04/26/2020 | Nursing & Care Home Visit                | Spain
04/27/2020 | Date                                     | Spain
04/27/2020 | Country                                  | Spain
04/27/2020 | Cases                                    | Spain
04/27/2020 | Cumulative Cases                         | Spain
04/27/2020 | Deaths                                   | Spain
04/27/2020 | Cumulative Deaths                        | Spain
04/27/2020 | Tests                                    | Spain
04/27/2020 | Cumulative Tests                         | Spain
04/27/2020 | Meeting Friends/Family (indoor)          | Spain
04/27/2020 | Meeting Friends/Family (outdoor)         | Spain
04/27/2020 | Domestic Travel                          | Spain
04/27/2020 | International Travel                     | Spain
04/27/2020 | Cafes and Restaurants                    | Spain
04/27/2020 | Pubs and bars                            | Spain
04/27/2020 | Sports and leisure                       | Spain
04/27/2020 | Schools Closure                          | Spain
04/27/2020 | Temperature                              | Spain
04/27/2020 | Humidity                                 | Spain
04/27/2020 | Nursing & Care Home Visit                | Spain
04/28/2020 | Date                                     | Spain
04/28/2020 | Country                                  | Spain
04/28/2020 | Cases                                    | Spain
04/28/2020 | Cumulative Cases                         | Spain
04/28/2020 | Deaths                                   | Spain
04/28/2020 | Cumulative Deaths                        | Spain
04/28/2020 | Tests                                    | Spain
04/28/2020 | Cumulative Tests                         | Spain
04/28/2020 | Meeting Friends/Family (indoor)          | Spain
04/28/2020 | Meeting Friends/Family (outdoor)         | Spain
04/28/2020 | Domestic Travel                          | Spain
04/28/2020 | International Travel                     | Spain
04/28/2020 | Cafes and Restaurants                    | Spain
04/28/2020 | Pubs and bars                            | Spain
04/28/2020 | Sports and leisure                       | Spain
04/28/2020 | Schools Closure                          | Spain
04/28/2020 | Temperature                              | Spain
04/28/2020 | Humidity                                 | Spain
04/28/2020 | Nursing & Care Home Visit                | Spain
04/29/2020 | Date                                     | Spain
04/29/2020 | Country                                  | Spain
04/29/2020 | Cases                                    | Spain
04/29/2020 | Cumulative Cases                         | Spain
04/29/2020 | Deaths                                   | Spain
04/29/2020 | Cumulative Deaths                        | Spain
04/29/2020 | Tests                                    | Spain
04/29/2020 | Cumulative Tests                         | Spain
04/29/2020 | Meeting Friends/Family (indoor)          | Spain
04/29/2020 | Meeting Friends/Family (outdoor)         | Spain
04/29/2020 | Domestic Travel                          | Spain
04/29/2020 | International Travel                     | Spain
04/29/2020 | Cafes and Restaurants                    | Spain
04/29/2020 | Pubs and bars                            | Spain
04/29/2020 | Sports and leisure                       | Spain
04/29/2020 | Schools Closure                          | Spain
04/29/2020 | Temperature                              | Spain
04/29/2020 | Humidity                                 | Spain
04/29/2020 | Nursing & Care Home Visit                | Spain
04/30/2020 | Date                                     | Spain
04/30/2020 | Country                                  | Spain
04/30/2020 | Cases                                    | Spain
04/30/2020 | Cumulative Cases                         | Spain
04/30/2020 | Deaths                                   | Spain
04/30/2020 | Cumulative Deaths                        | Spain
04/30/2020 | Tests                                    | Spain
04/30/2020 | Cumulative Tests                         | Spain
04/30/2020 | Meeting Friends/Family (indoor)          | Spain
04/30/2020 | Meeting Friends/Family (outdoor)         | Spain
04/30/2020 | Domestic Travel                          | Spain
04/30/2020 | International Travel                     | Spain
04/30/2020 | Cafes and Restaurants                    | Spain
04/30/2020 | Pubs and bars                            | Spain
04/30/2020 | Sports and leisure                       | Spain
04/30/2020 | Schools Closure                          | Spain
04/30/2020 | Temperature                              | Spain
04/30/2020 | Humidity                                 | Spain
04/30/2020 | Nursing & Care Home Visit                | Spain
05/01/2020 | Date                                     | Spain
05/01/2020 | Country                                  | Spain
05/01/2020 | Cases                                    | Spain
05/01/2020 | Cumulative Cases                         | Spain
05/01/2020 | Deaths                                   | Spain
05/01/2020 | Cumulative Deaths                        | Spain
05/01/2020 | Tests                                    | Spain
05/01/2020 | Cumulative Tests                         | Spain
05/01/2020 | Meeting Friends/Family (indoor)          | Spain
05/01/2020 | Meeting Friends/Family (outdoor)         | Spain
05/01/2020 | Domestic Travel                          | Spain
05/01/2020 | International Travel                     | Spain
05/01/2020 | Cafes and Restaurants                    | Spain
05/01/2020 | Pubs and bars                            | Spain
05/01/2020 | Sports and leisure                       | Spain
05/01/2020 | Schools Closure                          | Spain
05/01/2020 | Temperature                              | Spain
05/01/2020 | Humidity                                 | Spain
05/01/2020 | Nursing & Care Home Visit                | Spain
05/02/2020 | Date                                     | Spain
05/02/2020 | Country                                  | Spain
05/02/2020 | Cases                                    | Spain
05/02/2020 | Cumulative Cases                         | Spain
05/02/2020 | Deaths                                   | Spain
05/02/2020 | Cumulative Deaths                        | Spain
05/02/2020 | Tests                                    | Spain
05/02/2020 | Cumulative Tests                         | Spain
05/02/2020 | Meeting Friends/Family (indoor)          | Spain
05/02/2020 | Meeting Friends/Family (outdoor)         | Spain
05/02/2020 | Domestic Travel                          | Spain
05/02/2020 | International Travel                     | Spain
05/02/2020 | Cafes and Restaurants                    | Spain
05/02/2020 | Pubs and bars                            | Spain
05/02/2020 | Sports and leisure                       | Spain
05/02/2020 | Schools Closure                          | Spain
05/02/2020 | Temperature                              | Spain
05/02/2020 | Humidity                                 | Spain
05/02/2020 | Nursing & Care Home Visit                | Spain
05/03/2020 | Date                                     | Spain
05/03/2020 | Country                                  | Spain
05/03/2020 | Cases                                    | Spain
05/03/2020 | Cumulative Cases                         | Spain
05/03/2020 | Deaths                                   | Spain
05/03/2020 | Cumulative Deaths                        | Spain
05/03/2020 | Tests                                    | Spain
05/03/2020 | Cumulative Tests                         | Spain
05/03/2020 | Meeting Friends/Family (indoor)          | Spain
05/03/2020 | Meeting Friends/Family (outdoor)         | Spain
05/03/2020 | Domestic Travel                          | Spain
05/03/2020 | International Travel                     | Spain
05/03/2020 | Cafes and Restaurants                    | Spain
05/03/2020 | Pubs and bars                            | Spain
05/03/2020 | Sports and leisure                       | Spain
05/03/2020 | Schools Closure                          | Spain
05/03/2020 | Temperature                              | Spain
05/03/2020 | Humidity                                 | Spain
05/03/2020 | Nursing & Care Home Visit                | Spain
05/04/2020 | Date                                     | Spain
05/04/2020 | Country                                  | Spain
05/04/2020 | Cases                                    | Spain
05/04/2020 | Cumulative Cases                         | Spain
05/04/2020 | Deaths                                   | Spain
05/04/2020 | Cumulative Deaths                        | Spain
05/04/2020 | Tests                                    | Spain
05/04/2020 | Cumulative Tests                         | Spain
05/04/2020 | Meeting Friends/Family (indoor)          | Spain
05/04/2020 | Meeting Friends/Family (outdoor)         | Spain
05/04/2020 | Domestic Travel                          | Spain
05/04/2020 | International Travel                     | Spain
05/04/2020 | Cafes and Restaurants                    | Spain
05/04/2020 | Pubs and bars                            | Spain
05/04/2020 | Sports and leisure                       | Spain
05/04/2020 | Schools Closure                          | Spain
05/04/2020 | Temperature                              | Spain
05/04/2020 | Humidity                                 | Spain
05/04/2020 | Nursing & Care Home Visit                | Spain
05/05/2020 | Date                                     | Spain
05/05/2020 | Country                                  | Spain
05/05/2020 | Cases                                    | Spain
05/05/2020 | Cumulative Cases                         | Spain
05/05/2020 | Deaths                                   | Spain
05/05/2020 | Cumulative Deaths                        | Spain
05/05/2020 | Tests                                    | Spain
05/05/2020 | Cumulative Tests                         | Spain
05/05/2020 | Meeting Friends/Family (indoor)          | Spain
05/05/2020 | Meeting Friends/Family (outdoor)         | Spain
05/05/2020 | Domestic Travel                          | Spain
05/05/2020 | International Travel                     | Spain
05/05/2020 | Cafes and Restaurants                    | Spain
05/05/2020 | Pubs and bars                            | Spain
05/05/2020 | Sports and leisure                       | Spain
05/05/2020 | Schools Closure                          | Spain
05/05/2020 | Temperature                              | Spain
05/05/2020 | Humidity                                 | Spain
05/05/2020 | Nursing & Care Home Visit                | Spain
05/06/2020 | Date                                     | Spain
05/06/2020 | Country                                  | Spain
05/06/2020 | Cases                                    | Spain
05/06/2020 | Cumulative Cases                         | Spain
05/06/2020 | Deaths                                   | Spain
05/06/2020 | Cumulative Deaths                        | Spain
