Local time in Berlin / Tempelhof,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 01:00,15.4,753.1,757.4,,93,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,14.3,7.0,6,,,,
31.08.2020 00:00,15.8,752.9,757.3,,93,Wind blowing from the north,2,,,, ,,,,,,,,,,,14.6,,,,,,
30.08.2020 23:00,15.8,752.8,757.1,,92,Wind blowing from the north,3,,,, ,,,,,,,,,,,14.5,,,,,,
30.08.2020 22:00,15.8,752.3,756.7,,94,Wind blowing from the north-east,4,,,, ,,,,,,,,,,,14.8,,,,,,
30.08.2020 21:00,16.4,752.6,757.0,,93,Wind blowing from the north,4,,,, ,,,,,,,,,,,15.2,,,,,,
30.08.2020 20:00,16.6,752.5,756.8,,96,Wind blowing from the north,3,,,, ,,,,,,,,,,,15.9,,,,,,
30.08.2020 19:00,17.6,751.9,756.2,,93,Wind blowing from the north,2,,,, ,,,15.7,23.6,,,,,,,16.4,5.0,12,,,,
30.08.2020 18:00,17.8,751.6,755.8,,90,Calm no wind,0,,,, ,,,,,,,,,,,16.1,,,,,,
30.08.2020 17:00,17.8,751.3,755.6,,88,Wind blowing from the east,1,,,, ,,,,,,,,,,,15.7,,,,,,
30.08.2020 16:00,18.2,751.6,755.9,,81,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,14.8,,,,,,
30.08.2020 15:00,22.6,751.3,755.5,,49,Wind blowing from the east,4,,,, ,,,,,,,,,,,11.2,,,,,,
30.08.2020 14:00,23.2,751.4,755.6,,49,Wind blowing from the east,3,,,, ,,,,,,,,,,,12.0,,,,,,
30.08.2020 13:00,22.8,751.6,755.8,,54,Wind blowing from the east-northeast,3,,,, ,,,,,,,,,,,13.1,No precipitation,6,,,,
30.08.2020 12:00,22.9,751.8,756.0,,52,Wind blowing from the east,3,,,, ,,,,,,,,,,,12.5,,,,,,
30.08.2020 11:00,22.4,751.9,756.1,,50,Wind blowing from the east,2,,,, ,,,,,,,,,,,11.4,,,,,,
30.08.2020 10:00,20.9,751.6,755.9,,58,Wind blowing from the north-northeast,1,,,, ,,,12.9,,,,,,,,12.2,,,,,,
30.08.2020 09:00,19.5,751.7,756.0,,65,Wind blowing from the north,1,,,, ,,,,,,,,,,,12.7,,,,,,
30.08.2020 08:00,16.9,751.7,756.1,,77,Wind blowing from the east,2,,,, ,,,,,,,,,,,12.9,,,,,,
30.08.2020 07:00,15.7,751.6,755.9,,85,Wind blowing from the east,2,,,, ,,,12.9,21.6,,,,,,,13.1,Trace of precipitation,12,,,,
30.08.2020 06:00,12.9,751.3,755.7,,90,Wind blowing from the east,1,,,, ,,,,,,,,,,,11.3,,,,,,
30.08.2020 05:00,14.5,751.3,755.7,,87,Wind blowing from the east-northeast,1,,,, ,,,,,,,,,,,12.3,,,,,,
30.08.2020 04:00,15.1,751.3,755.7,,83,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,12.3,,,,,,
30.08.2020 03:00,15.5,751.0,755.4,,81,Calm no wind,0,,,, ,,,,,,,,,,,12.3,,,,,,
30.08.2020 02:00,15.4,751.1,755.5,,81,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,12.2,,,,,,
30.08.2020 01:00,15.8,751.3,755.6,,79,Wind blowing from the south,1,,,, ,,,,,,,,,,,12.2,Trace of precipitation,6,,,,
30.08.2020 00:00,16.2,751.3,755.7,,76,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,11.9,,,,,,
29.08.2020 23:00,16.6,751.3,755.6,,70,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,11.0,,,,,,
29.08.2020 22:00,17.5,751.3,755.5,,68,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,11.5,,,,,,
29.08.2020 21:00,20.0,751.3,755.5,,54,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.4,,,,,,
29.08.2020 20:00,20.9,751.0,755.3,,51,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,10.3,,,,,,
29.08.2020 19:00,21.6,750.5,754.8,,48,Wind blowing from the south-southeast,2,,,, ,,,16.0,23.7,,,,,,,10.0,No precipitation,12,,,,
29.08.2020 18:00,22.6,750.2,754.4,,42,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,9.0,,,,,,
29.08.2020 17:00,23.2,750.2,754.4,,43,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.9,,,,,,
29.08.2020 16:00,22.7,750.0,754.2,,42,Wind blowing from the west,1,,,, ,,,,,,,,,,,9.2,,,,,,
29.08.2020 15:00,23.7,749.8,754.0,,40,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,9.2,,,,,,
29.08.2020 14:00,22.8,749.8,754.0,,47,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,10.9,,,,,,
29.08.2020 13:00,21.7,749.7,754.0,,50,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,10.7,No precipitation,6,,,,
29.08.2020 12:00,20.9,749.7,754.0,,56,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.7,,,,,,
29.08.2020 11:00,20.2,749.4,753.7,,60,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,12.1,,,,,,
29.08.2020 10:00,19.0,749.2,753.4,,67,Wind blowing from the west,3,,,, ,,,15.0,,,,,,,,12.7,,,,,,
29.08.2020 09:00,17.2,748.9,753.1,,75,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,12.6,,,,,,
29.08.2020 08:00,16.4,748.5,752.8,,79,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,12.8,,,,,,
29.08.2020 07:00,16.0,748.0,752.4,,80,Wind blowing from the west-southwest,2,,,, ,,,15.0,20.6,,,,,,,12.5,No precipitation,12,,,,
29.08.2020 06:00,15.5,747.5,751.9,,84,Wind blowing from the west-southwest,1,,,, ,,,,,,,,,,,12.7,,,,,,
29.08.2020 05:00,15.7,747.4,751.7,,84,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,13.0,,,,,,
29.08.2020 04:00,15.9,746.8,751.0,,79,Wind blowing from the north-west,1,,,, ,,,,,,,,,,,12.3,,,,,,
29.08.2020 03:00,16.5,746.7,751.0,,79,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.9,,,,,,
29.08.2020 02:00,18.1,746.5,750.8,,75,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,13.6,,,,,,
29.08.2020 01:00,18.3,746.4,750.7,,78,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,14.4,No precipitation,6,,,,
29.08.2020 00:00,18.6,746.4,750.7,,77,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,14.4,,,,,,
28.08.2020 23:00,18.6,746.8,751.0,,77,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,14.5,,,,,,
28.08.2020 22:00,18.7,746.9,751.2,,75,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,14.1,,,,,,
28.08.2020 21:00,18.0,747.0,751.3,,73,Calm no wind,0,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 20:00,19.0,746.9,751.2,,67,Wind blowing from the east,2,,,, ,,,,,,,,,,,12.6,,,,,,
28.08.2020 19:00,20.7,747.3,751.6,,59,Wind blowing from the east-southeast,1,,,, ,,,14.0,23.2,,,,,,,12.4,0.1,12,,,,
28.08.2020 18:00,22.1,747.4,751.6,,50,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.1,,,,,,
28.08.2020 17:00,22.8,747.6,751.8,,45,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,10.3,,,,,,
28.08.2020 16:00,22.6,747.7,751.9,,45,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,10.1,,,,,,
28.08.2020 15:00,22.7,747.8,752.0,,52,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,12.4,,,,,,
28.08.2020 14:00,22.0,748.3,752.5,,62,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,14.3,,,,,,
28.08.2020 13:00,19.4,748.7,753.0,,70,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,13.8,0.1,6,,,,
28.08.2020 12:00,18.5,748.8,753.1,,74,Wind blowing from the south,4,,,, ,,,,,,,,,,,13.7,,,,,,
28.08.2020 11:00,17.8,749.1,753.4,,76,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,13.4,,,,,,
28.08.2020 10:00,14.8,750.0,754.3,,83,Wind blowing from the south-east,5,,,, ,,,12.3,,,,,,,,11.9,,,,,,
28.08.2020 09:00,14.8,750.4,754.7,,77,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,10.8,,,,,,
28.08.2020 08:00,14.4,750.7,755.1,,78,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,10.5,,,,,,
28.08.2020 07:00,14.0,750.8,755.2,,79,Wind blowing from the south-southeast,4,,,, ,,,12.3,17.8,,,,,,,10.3,0.3,12,,,,
28.08.2020 06:00,14.1,751.6,756.0,,77,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,10.1,,,,,,
28.08.2020 05:00,13.8,752.2,756.5,,78,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,9.9,,,,,,
28.08.2020 04:00,13.1,752.4,756.7,,83,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,10.2,,,,,,
28.08.2020 03:00,13.1,753.3,757.7,,84,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,10.4,,,,,,
28.08.2020 02:00,13.2,753.9,758.3,,83,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,10.3,,,,,,
28.08.2020 01:00,12.5,754.4,758.8,,87,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,10.3,No precipitation,6,,,,
28.08.2020 00:00,12.8,754.6,759.0,,84,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.1,,,,,,
27.08.2020 23:00,13.7,755.4,759.8,,82,Wind blowing from the south,1,,,, ,,,,,,,,,,,10.7,,,,,,
27.08.2020 22:00,13.8,755.4,759.8,,82,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,10.7,,,,,,
27.08.2020 21:00,14.0,755.5,759.9,,79,Calm no wind,0,,,, ,,,,,,,,,,,10.4,,,,,,
27.08.2020 20:00,15.9,755.6,760.0,,70,Calm no wind,0,,,, ,,,,,,,,,,,10.4,,,,,,
27.08.2020 19:00,17.8,755.8,760.2,,58,Wind blowing from the west,3,,,, ,,,15.4,20.0,,,,,,,9.5,No precipitation,12,,,,
27.08.2020 18:00,18.0,755.8,760.2,,58,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,9.5,,,,,,
27.08.2020 17:00,18.3,756.1,760.4,,55,Wind blowing from the west-northwest,6,,,, ,,,,,,,,,,,9.0,,,,,,
27.08.2020 16:00,18.6,756.1,760.4,,53,Wind blowing from the west,7,,,, ,,,,,,,,,,,8.9,,,,,,
27.08.2020 15:00,18.7,756.0,760.3,,56,Wind blowing from the west-northwest,7,,,, ,,,,,,,,,,,9.7,,,,,,
27.08.2020 14:00,18.7,755.9,760.3,,55,Wind blowing from the west-northwest,8,,,, ,,,,,,,,,,,9.5,,,,,,
27.08.2020 13:00,18.4,755.8,760.2,,58,Wind blowing from the west,7,,,, ,,,,,,,,,,,10.0,Trace of precipitation,6,,,,
27.08.2020 12:00,18.3,755.8,760.1,,57,Wind blowing from the west,8,,,, ,,,,,,,,,,,9.7,,,,,,
27.08.2020 11:00,18.4,755.6,760.0,,59,Wind blowing from the west-northwest,8,,,, ,,,,,,,,,,,10.1,,,,,,
27.08.2020 10:00,17.5,755.4,759.7,,64,Wind blowing from the west-northwest,9,,,, ,,,15.4,,,,,,,,10.5,,,,,,
27.08.2020 09:00,16.8,755.0,759.4,,69,Wind blowing from the west-northwest,8,,,, ,,,,,,,,,,,11.1,,,,,,
27.08.2020 08:00,16.1,754.7,759.1,,72,Wind blowing from the west-northwest,9,,,, ,,,,,,,,,,,11.0,,,,,,
27.08.2020 07:00,15.8,754.4,758.8,,78,Wind blowing from the west,8,,,, ,,,15.4,18.1,,,,,,,12.0,2.0,12,,,,
27.08.2020 06:00,15.5,754.0,758.3,,83,Wind blowing from the west,8,,,, ,,,,,,,,,,,12.6,,,,,,
27.08.2020 05:00,16.0,753.2,757.6,,83,Wind blowing from the west,9,,,, ,,,,,,,,,,,13.1,,,,,,
27.08.2020 04:00,15.8,752.7,757.0,,89,Wind blowing from the west,7,,,, ,,,,,,,,,,,14.0,,,,,,
27.08.2020 03:00,15.6,752.6,757.0,,93,Wind blowing from the west,7,,,, ,,,,,,,,,,,14.4,,,,,,
27.08.2020 02:00,15.9,752.4,756.7,,92,Wind blowing from the west,7,,,, ,,,,,,,,,,,14.6,,,,,,
27.08.2020 01:00,15.9,752.2,756.5,,94,Wind blowing from the west,6,,,, ,,,,,,,,,,,14.9,2.0,6,,,,
27.08.2020 00:00,16.1,751.9,756.2,,93,Wind blowing from the west,7,,,, ,,,,,,,,,,,15.0,,,,,,
26.08.2020 23:00,16.5,751.6,755.9,,87,Wind blowing from the west,6,,,, ,,,,,,,,,,,14.4,,,,,,
26.08.2020 22:00,16.1,751.2,755.5,,91,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,14.7,,,,,,
26.08.2020 21:00,16.0,750.7,755.1,,91,Wind blowing from the west,6,,,, ,,,,,,,,,,,14.6,,,,,,
26.08.2020 20:00,17.6,750.1,754.3,,77,Wind blowing from the west,9,,,, ,,,,,,,,,,,13.5,,,,,,
26.08.2020 19:00,17.9,749.5,753.7,,74,Wind blowing from the west,10,,,, ,,,15.5,21.5,,,,,,,13.2,5.0,12,,,,
26.08.2020 18:00,18.6,748.9,753.2,,69,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,12.7,,,,,,
26.08.2020 17:00,17.6,748.9,753.1,,77,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,13.4,,,,,,
26.08.2020 16:00,18.3,748.6,752.9,,70,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,12.8,,,,,,
26.08.2020 15:00,18.0,748.5,752.8,,74,Wind blowing from the west-southwest,8,,,, ,,,,,,,,,,,13.2,,,,,,
26.08.2020 14:00,16.9,748.5,752.8,,85,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,14.4,,,,,,
26.08.2020 13:00,16.5,748.3,752.6,,86,Wind blowing from the south-west,7,,,, ,,,,,,,,,,,14.1,4.0,6,,,,
26.08.2020 12:00,15.6,748.4,752.8,,91,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,14.1,,,,,,
26.08.2020 11:00,15.9,748.3,752.7,,89,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,14.0,,,,,,
26.08.2020 10:00,17.2,748.1,752.4,,76,Wind blowing from the west,7,,,, ,,,17.2,,,,,,,,13.0,,,,,,
26.08.2020 09:00,20.7,747.1,751.4,,55,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,11.4,,,,,,
26.08.2020 08:00,21.5,746.9,751.1,,48,Wind blowing from the west-southwest,6,,,, ,,,,,,,,,,,10.1,,,,,,
26.08.2020 07:00,19.5,747.4,751.6,,60,Wind blowing from the west,5,,,, ,,,17.2,21.4,,,,,,,11.5,0.3,12,,,,
26.08.2020 06:00,17.5,747.5,751.8,,76,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,13.2,,,,,,
26.08.2020 05:00,17.4,747.7,751.9,,79,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,13.6,,,,,,
26.08.2020 04:00,18.5,747.9,752.2,,65,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,11.7,,,,,,
26.08.2020 03:00,18.1,747.2,751.5,,67,Wind blowing from the south-southeast,4,,,, ,,,,,,,,,,,11.8,,,,,,
26.08.2020 02:00,18.1,748.3,752.5,,68,Wind blowing from the south-southeast,5,,,, ,,,,,,,,,,,12.1,,,,,,
26.08.2020 01:00,18.5,749.4,753.7,,68,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,12.5,0.2,6,,,,
26.08.2020 00:00,19.0,750.4,754.7,,67,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,12.7,,,,,,
25.08.2020 23:00,19.9,751.2,755.5,,59,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,11.6,,,,,,
25.08.2020 22:00,19.9,751.6,755.9,,60,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,11.8,,,,,,
25.08.2020 21:00,19.8,751.9,756.2,,62,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,12.3,,,,,,
25.08.2020 20:00,19.8,752.4,756.7,,63,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,12.6,,,,,,
25.08.2020 19:00,21.4,752.8,757.0,,49,Wind blowing from the south,2,,,, ,,,15.0,23.6,,,,,,,10.1,Trace of precipitation,12,,,,
25.08.2020 18:00,21.9,753.0,757.3,,45,Wind blowing from the south,2,,,, ,,,,,,,,,,,9.4,,,,,,
25.08.2020 17:00,22.1,753.6,757.9,,44,Wind blowing from the south,3,,,, ,,,,,,,,,,,9.1,,,,,,
25.08.2020 16:00,22.8,754.0,758.2,,39,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,8.1,,,,,,
25.08.2020 15:00,22.9,754.4,758.7,,40,Wind blowing from the west,4,,,, ,,,,,,,,,,,8.4,,,,,,
25.08.2020 14:00,23.0,755.0,759.3,,41,Wind blowing from the west,3,,,, ,,,,,,,,,,,9.0,,,,,,
25.08.2020 13:00,22.0,755.4,759.7,,44,Wind blowing from the west,2,,,, ,,,,,,,,,,,9.3,No precipitation,6,,,,
25.08.2020 12:00,21.3,755.8,760.1,,48,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,9.9,,,,,,
25.08.2020 11:00,19.0,756.1,760.5,,58,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,10.4,,,,,,
25.08.2020 10:00,18.6,756.4,760.7,,61,Wind blowing from the west,4,,,, ,,,13.5,,,,,,,,10.8,,,,,,
25.08.2020 09:00,17.3,756.2,760.6,,72,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,12.1,,,,,,
25.08.2020 08:00,15.8,756.1,760.4,,78,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,12.0,,,,,,
25.08.2020 07:00,15.0,755.9,760.3,,80,Wind blowing from the west,3,,,, ,,,13.5,20.9,,,,,,,11.6,No precipitation,12,,,,
25.08.2020 06:00,13.8,755.8,760.2,,83,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.0,,,,,,
25.08.2020 05:00,13.7,755.7,760.1,,83,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,10.9,,,,,,
25.08.2020 04:00,14.1,755.7,760.1,,82,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,11.1,,,,,,
25.08.2020 03:00,14.6,755.9,760.3,,81,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.4,,,,,,
25.08.2020 02:00,15.5,755.9,760.3,,77,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,11.5,,,,,,
25.08.2020 01:00,16.1,756.1,760.4,,74,Wind blowing from the west,4,,,, ,,,,,,,,,,,11.5,No precipitation,6,,,,
25.08.2020 00:00,16.3,756.1,760.4,,75,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,11.9,,,,,,
24.08.2020 23:00,16.4,755.9,760.3,,77,Wind blowing from the west,3,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 22:00,16.5,756.0,760.3,,76,Wind blowing from the west,4,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 21:00,16.7,755.9,760.3,,75,Wind blowing from the north-west,5,,,, ,,,,,,,,,,,12.2,,,,,,
24.08.2020 20:00,18.8,755.5,759.9,,63,Wind blowing from the west-northwest,8,,,, ,,,,,,,,,,,11.6,,,,,,
24.08.2020 19:00,21.0,754.9,759.1,,50,Wind blowing from the west,4,,,, ,,,16.4,23.2,,,,,,,10.1,No precipitation,12,,,,
24.08.2020 18:00,21.7,754.8,759.1,,48,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,10.1,,,,,,
24.08.2020 17:00,19.7,755.0,759.3,,63,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 16:00,22.3,755.1,759.4,,46,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,10.2,,,,,,
24.08.2020 15:00,22.2,755.5,759.7,,47,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,10.4,,,,,,
24.08.2020 14:00,22.0,755.8,760.0,,48,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,10.4,,,,,,
24.08.2020 13:00,20.9,756.2,760.5,,58,Wind blowing from the south-southwest,4,,,, ,,,,,,,,,,,12.2,No precipitation,6,,,,
24.08.2020 12:00,21.2,756.4,760.6,,53,Wind blowing from the south-west,5,,,, ,,,,,,,,,,,11.3,,,,,,
24.08.2020 11:00,21.1,756.7,760.9,,53,Wind blowing from the west,5,,,, ,,,,,,,,,,,11.2,,,,,,
24.08.2020 10:00,19.8,756.9,761.2,,61,Wind blowing from the west,4,,,, ,,,15.4,,,,,,,,12.1,,,,,,
24.08.2020 09:00,19.1,756.8,761.2,,66,Wind blowing from the west,3,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 08:00,17.5,756.8,761.2,,73,Wind blowing from the west,5,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 07:00,16.4,756.7,761.1,,82,Wind blowing from the west,3,,,, ,,,15.4,22.4,,,,,,,13.2,No precipitation,12,,,,
24.08.2020 06:00,15.5,756.7,761.1,,85,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 05:00,15.9,756.7,761.0,,83,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,12.9,,,,,,
24.08.2020 04:00,16.4,756.7,761.0,,80,Wind blowing from the west,4,,,, ,,,,,,,,,,,12.9,,,,,,
24.08.2020 03:00,17.0,756.7,761.0,,76,Wind blowing from the west,4,,,, ,,,,,,,,,,,12.8,,,,,,
24.08.2020 02:00,17.6,756.5,760.9,,72,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,12.4,,,,,,
24.08.2020 01:00,18.2,756.4,760.8,,67,Wind blowing from the west,6,,,, ,,,,,,,,,,,12.0,No precipitation,6,,,,
24.08.2020 00:00,18.7,756.4,760.8,,64,Wind blowing from the west,4,,,, ,,,,,,,,,,,11.8,,,,,,
23.08.2020 23:00,18.9,756.2,760.6,,61,Wind blowing from the west,5,,,, ,,,,,,,,,,,11.2,,,,,,
23.08.2020 22:00,19.1,756.2,760.6,,58,Wind blowing from the west,5,,,, ,,,,,,,,,,,10.6,,,,,,
23.08.2020 21:00,20.2,756.1,760.3,,52,Wind blowing from the west,4,,,, ,,,,,,,,,,,9.9,,,,,,
23.08.2020 20:00,21.0,755.8,760.1,,46,Wind blowing from the west,4,,,, ,,,,,,,,,,,8.9,,,,,,
23.08.2020 19:00,22.4,755.4,759.7,,41,Wind blowing from the west,5,,,, ,,,17.5,25.1,,,,,,,8.4,No precipitation,12,,,,
23.08.2020 18:00,23.9,755.1,759.4,,37,Wind blowing from the west,4,,,, ,,,,,,,,,,,8.3,,,,,,
23.08.2020 17:00,24.4,755.2,759.4,,41,Wind blowing from the west,6,,,, ,,,,,,,,,,,10.1,,,,,,
23.08.2020 16:00,24.2,755.2,759.5,,42,Wind blowing from the west,6,,,, ,,,,,,,,,,,10.4,,,,,,
23.08.2020 15:00,23.8,755.4,759.7,,44,Wind blowing from the west-northwest,7,,,, ,,,,,,,,,,,10.8,,,,,,
23.08.2020 14:00,24.4,755.6,759.9,,42,Wind blowing from the west,7,,,, ,,,,,,,,,,,10.7,,,,,,
23.08.2020 13:00,23.7,755.8,760.1,,41,Wind blowing from the west,8,,,, ,,,,,,,,,,,9.6,No precipitation,6,,,,
23.08.2020 12:00,24.0,755.8,760.0,,38,Wind blowing from the west,7,,,, ,,,,,,,,,,,8.8,,,,,,
23.08.2020 11:00,23.7,755.8,760.1,,41,Wind blowing from the west-southwest,7,,,, ,,,,,,,,,,,9.8,,,,,,
23.08.2020 10:00,23.0,756.0,760.3,,47,Wind blowing from the west-southwest,5,,,, ,,,16.2,,,,,,,,11.0,,,,,,
23.08.2020 09:00,21.2,756.1,760.3,,62,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,13.5,,,,,,
