Local time in Tirana (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td,
31.08.2020 12:50,35.0,754.9,757.7,26,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,13.0,
31.08.2020 12:20,35.0,754.9,757.7,32,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 11:50,35.0,755.4,758.2,36,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,18.0,
31.08.2020 11:20,34.0,755.4,758.2,41,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
31.08.2020 10:50,33.0,755.4,758.2,38,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 10:20,33.0,756.2,759.0,38,variable wind direction,2,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 09:50,32.0,756.2,759.0,41,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 09:20,32.0,756.2,759.0,38,Wind blowing from the east-southeast,1,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 08:50,29.0,756.2,759.0,43,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
31.08.2020 08:20,28.0,756.2,759.0,45,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
31.08.2020 07:50,26.0,756.1,759.0,54,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 07:20,23.0,756.1,759.0,69,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 06:50,21.0,756.1,759.0,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 06:20,20.0,756.8,759.7,83,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 05:50,18.0,756.8,759.7,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,15.0,
31.08.2020 05:20,18.0,756.8,759.7,83,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,15.0,
31.08.2020 04:50,18.0,756.8,759.7,88,Wind blowing from the east-southeast,1,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 04:20,18.0,756.8,759.7,83,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
31.08.2020 03:50,18.0,756.8,759.7,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 03:20,18.0,756.8,759.7,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 02:50,18.0,756.8,759.7,88,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 02:20,19.0,756.8,759.7,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
31.08.2020 01:50,19.0,756.8,759.7,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 01:20,19.0,757.6,760.5,88,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 00:50,19.0,757.6,760.5,88,Calm no wind,0,,,,No Significant Clouds,10.0 and more,17.0,
31.08.2020 00:20,21.0,757.6,760.5,78,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 23:50,19.0,757.6,760.5,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 23:20,21.0,757.6,760.5,83,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 22:50,21.0,757.6,760.5,83,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 22:20,22.0,757.6,760.5,73,Calm no wind,0,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 21:50,23.0,757.6,760.5,74,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 21:20,22.0,757.6,760.5,73,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 20:50,23.0,757.6,760.5,74,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 20:20,23.0,757.6,760.5,78,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
30.08.2020 19:50,24.0,757.6,760.5,83,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,21.0,
30.08.2020 19:20,25.0,756.8,759.7,74,Wind blowing from the west-northwest,1,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 18:50,25.0,756.8,759.7,74,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 18:20,26.0,756.8,759.7,65,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,19.0,
30.08.2020 17:50,28.0,756.9,759.7,58,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
30.08.2020 17:20,30.0,756.9,759.7,49,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 16:50,32.0,756.2,759.0,43,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 16:20,33.0,756.2,759.0,46,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 15:50,34.0,756.2,759.0,41,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
30.08.2020 15:20,34.0,756.2,759.0,39,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 14:50,35.0,756.2,759.0,36,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 14:20,34.0,756.2,759.0,36,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 13:50,34.0,756.2,759.0,41,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,19.0,
30.08.2020 13:20,34.0,756.9,759.7,44,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 12:50,35.0,756.9,759.7,41,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 12:20,34.0,756.9,759.7,44,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,20.0,
30.08.2020 11:50,34.0,756.2,759.0,36,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 11:20,33.0,756.9,759.7,36,variable wind direction,2,,,,No Significant Clouds,10.0 and more,16.0,
30.08.2020 10:50,32.0,756.9,759.7,36,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 10:20,32.0,756.9,759.7,38,variable wind direction,2,,,,No Significant Clouds,10.0 and more,16.0,
30.08.2020 09:50,31.0,756.9,759.7,43,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,17.0,
30.08.2020 09:20,31.0,756.9,759.7,46,Calm no wind,0,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 08:50,29.0,756.9,759.7,51,Calm no wind,0,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 08:20,28.0,756.9,759.7,55,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
30.08.2020 07:50,26.0,756.8,759.7,54,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
30.08.2020 07:20,24.0,756.8,759.7,61,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,16.0,
30.08.2020 06:50,22.0,756.1,759.0,69,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
30.08.2020 06:20,20.0,756.1,759.0,73,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 05:50,18.0,756.1,759.0,83,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 05:20,18.0,756.1,759.0,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 04:50,17.0,756.1,759.0,83,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,14.0,
30.08.2020 04:20,18.0,756.1,759.0,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 03:50,18.0,756.1,759.0,83,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 03:20,19.0,755.3,758.2,73,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,14.0,
30.08.2020 02:50,19.0,755.3,758.2,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 02:20,19.0,755.3,758.2,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 01:50,19.0,755.3,758.2,78,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 01:20,19.0,755.3,758.2,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 00:50,19.0,756.1,759.0,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
30.08.2020 00:20,19.0,756.1,759.0,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 23:50,20.0,755.3,758.2,73,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 23:20,21.0,755.3,758.2,73,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 22:50,23.0,755.3,758.2,61,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 22:20,23.0,755.3,758.2,61,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 21:50,21.0,755.3,758.2,73,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 21:20,22.0,755.3,758.2,69,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 20:50,23.0,755.3,758.2,61,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 20:20,23.0,755.3,758.2,65,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 19:50,23.0,755.3,758.2,61,Calm no wind,0,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 19:20,24.0,754.8,757.7,57,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 18:50,26.0,754.9,757.7,39,variable wind direction,1,,,,No Significant Clouds,10.0 and more,11.0,
29.08.2020 18:20,30.0,754.9,757.7,31,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,11.0,
29.08.2020 17:50,30.0,754.9,757.7,33,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,12.0,
29.08.2020 17:20,32.0,754.9,757.7,29,Wind blowing from the west-southwest,2,,,,No Significant Clouds,10.0 and more,12.0,
29.08.2020 16:50,33.0,754.9,757.7,24,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,10.0,
29.08.2020 16:20,34.0,754.9,757.7,26,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,12.0,
29.08.2020 15:50,34.0,754.1,756.9,28,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,13.0,
29.08.2020 15:20,33.0,754.1,756.9,28,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,12.0,
29.08.2020 14:50,34.0,754.9,757.7,26,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,12.0,
29.08.2020 14:20,34.0,754.9,757.7,24,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,11.0,
29.08.2020 13:50,35.0,754.9,757.7,26,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,13.0,
29.08.2020 13:20,34.0,754.9,757.7,30,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,14.0,
29.08.2020 12:50,35.0,754.9,757.7,32,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 12:20,34.0,754.9,757.7,32,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 11:50,34.0,754.9,757.7,32,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 11:20,33.0,754.9,757.7,32,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,14.0,
29.08.2020 10:50,33.0,754.9,757.7,34,variable wind direction,2,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 10:20,33.0,754.9,757.7,36,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 09:50,32.0,755.4,758.2,41,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 09:20,31.0,754.9,757.7,40,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 08:50,29.0,754.9,757.7,45,Calm no wind,0,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 08:20,27.0,754.9,757.7,51,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 07:50,26.0,754.9,757.7,58,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 07:20,24.0,754.8,757.7,69,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,18.0,
29.08.2020 06:50,22.0,754.8,757.7,78,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,18.0,
29.08.2020 06:20,20.0,754.8,757.7,83,Wind blowing from the east-southeast,1,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 05:50,19.0,754.8,757.7,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 05:20,18.0,754.8,757.7,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 04:50,18.0,754.8,757.7,88,Wind blowing from the south-east,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 04:20,18.0,754.8,757.7,88,Wind blowing from the west,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 03:50,19.0,754.0,756.9,83,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 03:20,20.0,754.0,756.9,73,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0,
29.08.2020 02:50,21.0,754.0,756.9,73,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,16.0,
29.08.2020 02:20,20.0,754.0,756.9,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 01:50,20.0,754.0,756.9,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 01:20,21.0,754.0,756.9,78,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0,
29.08.2020 00:50,22.0,754.8,757.7,78,Wind blowing from the south-southeast,1,,,,Few clouds (10-30%) 2940 m,10.0 and more,18.0,
29.08.2020 00:20,22.0,754.8,757.7,78,Wind blowing from the south-southeast,1,,,,Few clouds (10-30%) 2940 m,10.0 and more,18.0,
28.08.2020 23:50,21.0,754.8,757.7,88,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 23:20,22.0,754.8,757.7,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 22:50,21.0,754.8,757.7,88,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 22:20,22.0,754.0,756.9,83,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 21:50,22.0,754.8,757.7,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 21:20,23.0,754.0,756.9,83,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 20:50,23.0,754.0,756.9,89,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 20:20,23.0,754.8,757.7,89,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 19:50,24.0,754.0,756.9,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 19:20,24.0,754.0,756.9,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 18:50,25.0,754.0,756.9,74,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 18:20,27.0,754.1,756.9,70,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 17:50,27.0,754.1,756.9,66,Wind blowing from the north-west,2,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 17:20,29.0,754.1,756.9,58,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 16:50,29.0,754.1,756.9,55,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 16:20,31.0,754.1,756.9,52,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 15:50,33.0,754.1,756.9,46,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 15:20,34.0,754.1,756.9,41,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 14:50,34.0,754.1,756.9,41,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 14:20,34.0,754.1,756.9,39,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 13:50,34.0,754.1,756.9,41,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 13:20,33.0,754.1,756.9,44,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 12:50,35.0,754.9,757.7,44,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,21.0,
28.08.2020 12:20,33.0,754.9,757.7,44,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 11:50,34.0,754.9,757.7,36,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0,
28.08.2020 11:20,33.0,754.9,757.7,41,Calm no wind,0,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 10:50,32.0,754.9,757.7,41,variable wind direction,2,,,,No Significant Clouds,10.0 and more,17.0,
28.08.2020 10:20,31.0,755.4,758.2,46,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 09:50,31.0,755.4,758.2,49,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 09:20,29.0,755.4,758.2,51,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 08:50,28.0,755.4,758.2,55,Wind blowing from the east-northeast,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 08:20,27.0,755.4,758.2,62,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 07:50,26.0,755.3,758.2,65,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 07:20,24.0,755.3,758.2,74,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 06:50,22.0,755.3,758.2,83,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 06:20,21.0,755.3,758.2,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 05:50,20.0,755.3,758.2,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 05:20,19.0,755.3,758.2,94,Wind blowing from the west-southwest,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 04:50,19.0,755.3,758.2,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 04:20,20.0,755.3,758.2,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 03:50,20.0,755.3,758.2,88,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 03:20,19.0,755.3,758.2,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0,
28.08.2020 02:50,20.0,755.3,758.2,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 02:20,20.0,755.3,758.2,94,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 01:50,20.0,755.3,758.2,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 01:20,21.0,755.3,758.2,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
28.08.2020 00:50,22.0,755.3,758.2,88,Wind blowing from the south-southwest,3,,,,No Significant Clouds,10.0 and more,20.0,
28.08.2020 00:20,21.0,755.3,758.2,88,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 23:50,21.0,755.3,758.2,88,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 23:20,21.0,755.3,758.2,88,Wind blowing from the south,2,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 22:50,22.0,756.1,759.0,88,Wind blowing from the south,1,,,,No Significant Clouds,10.0 and more,20.0,
27.08.2020 22:20,22.0,756.1,759.0,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,20.0,
27.08.2020 21:50,22.0,756.1,759.0,88,Wind blowing from the south-southeast,1,,,,No Significant Clouds,10.0 and more,20.0,
27.08.2020 21:20,23.0,756.1,759.0,89,variable wind direction,1,,,,No Significant Clouds,10.0 and more,21.0,
27.08.2020 20:50,23.0,756.1,759.0,89,Calm no wind,0,,,,No Significant Clouds,10.0 and more,21.0,
27.08.2020 20:20,23.0,756.1,759.0,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,20.0,
27.08.2020 19:50,24.0,756.1,759.0,83,Wind blowing from the north,1,,,,No Significant Clouds,10.0 and more,21.0,
27.08.2020 19:20,25.0,756.1,759.0,79,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,21.0,
27.08.2020 18:50,24.0,756.1,759.0,74,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 18:20,24.0,756.1,759.0,74,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 17:50,27.0,756.2,759.0,62,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 17:20,27.0,756.2,759.0,62,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 16:50,29.0,756.2,759.0,55,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 16:20,29.0,756.2,759.0,51,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 15:50,30.0,756.2,759.0,52,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 15:20,30.0,756.2,759.0,52,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 14:50,32.0,756.2,759.0,46,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 14:20,32.0,756.2,759.0,43,Wind blowing from the north-northwest,5,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 13:50,32.0,756.2,759.0,43,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 13:20,32.0,756.2,759.0,43,Wind blowing from the north-northwest,4,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 12:50,33.0,756.2,759.0,44,Wind blowing from the north,4,,,,No Significant Clouds,10.0 and more,19.0,
27.08.2020 12:20,33.0,756.2,759.0,41,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 11:50,32.0,756.2,759.0,41,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,17.0,
27.08.2020 11:20,31.0,756.9,759.7,40,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,16.0,
27.08.2020 10:50,31.0,756.9,759.7,43,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,17.0,
27.08.2020 10:20,31.0,756.9,759.7,46,Wind blowing from the north-northwest,3,,,,No Significant Clouds,10.0 and more,18.0,
27.08.2020 09:50,29.0,756.9,759.7,51,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,18.0,
