Local time in Vienna,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 01:00,18.1,742.7,758.2,1.6,65,Wind blowing from the west,8,,21,, ,,,,,,,,,,,11.3,No precipitation,6,,,,
31.08.2020 00:00,18.5,742.4,757.9,1.9,65,Wind blowing from the west,8,,21,, ,,,,,,,,,,,11.7,,,,,,
30.08.2020 23:00,19.0,741.8,757.3,2.0,63,Wind blowing from the west,8,,20,, ,,,,,,,,,,,11.8,,,,,,
30.08.2020 22:00,19.9,741.1,756.6,2.7,62,Wind blowing from the west,8,,15,, ,,,,,,,,,,,12.3,,,,,,
30.08.2020 21:00,20.5,740.5,755.9,2.6,62,Wind blowing from the west,7,,15,, ,,,,,,,,,,,12.9,,,,,,
30.08.2020 20:00,21.9,739.8,755.1,1.4,65,Wind blowing from the south-west,4,,,, ,,,,,,,,,,,15.0,,,,,,
30.08.2020 19:00,22.3,738.4,753.7,0.7,74,Wind blowing from the south,6,,16,, ,Showers or intermittent precipitation.,,19.7,30.0,,,,,,,17.4,2.0,12,,,,
30.08.2020 18:00,22.6,737.9,753.1,0.3,72,Wind blowing from the south,6,,,, ,,,,,,,,,,,17.3,,,,,,
30.08.2020 17:00,23.7,738.4,753.6,1.0,77,Wind blowing from the south,3,,,,Precipitation ,Precipitation,,,,,,,,,,19.5,2.0,1,,,,
30.08.2020 16:00,27.6,737.7,752.6,-0.1,54,Wind blowing from the south,6,,16,,Precipitation ,,,,,,,,,,,17.6,Trace of precipitation,3,,,,
30.08.2020 15:00,28.9,737.6,752.5,-0.2,46,Wind blowing from the south,8,,16,, ,,,,,,,,,,,16.1,,,,,,
30.08.2020 14:00,29.5,737.4,752.2,-0.4,44,Wind blowing from the south,10,,16,, ,,,,,,,,,,,15.9,,,,,,
30.08.2020 13:00,26.5,737.8,752.8,-0.9,56,Wind blowing from the south-southeast,5,,,, ,Precipitation,,,,,,,,,,17.1,0.1,6,,,,
30.08.2020 12:00,24.5,737.8,752.8,-0.8,67,Wind blowing from the south-southeast,6,,,, ,,,,,,,,,,,18.0,Trace of precipitation,1,,,,
30.08.2020 11:00,23.3,737.8,753.0,,77,Wind blowing from the south-southeast,1,,,,Precipitation ,,,,,,,,,,,19.0,0.1,1,,,,
30.08.2020 10:00,23.4,738.7,753.9,0.5,71,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,17.8,,,,,,
30.08.2020 09:00,23.0,738.6,753.7,0.1,70,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,17.3,,,,,,
30.08.2020 07:00,20.0,738.2,753.5,0.0,84,Wind blowing from the south-southeast,3,,,, ,Precipitation,,18.8,23.4,,,,,,,17.2,6.0,12,,,,
30.08.2020 06:00,19.0,738.5,753.9,0.1,88,Calm no wind,0,,,, ,,,,,,,,,,,17.0,,,,,,
30.08.2020 05:00,18.9,738.3,753.7,-0.1,89,Wind blowing from the south-southeast,1,,,, ,,,,,,,,,,,17.1,,,,,,
30.08.2020 04:00,18.9,738.2,753.6,-1.4,90,Wind blowing from the south,2,,,, ,Precipitation,,,,,,,,,,17.3,4.0,3,,,,
30.08.2020 03:00,19.1,738.4,753.7,-0.9,90,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,17.4,,,,,,
30.08.2020 02:00,18.8,738.4,753.7,-0.6,92,Wind blowing from the east-northeast,3,,,,Precipitation ,Precipitation,,,,,,,,,,17.5,4.0,1,,,,
30.08.2020 01:00,19.8,739.6,754.9,0.1,83,Wind blowing from the west-northwest,2,,,, ,Showers or intermittent precipitation.,,,,,,,,,,16.9,2.0,6,,,,
30.08.2020 00:00,20.2,739.3,754.7,-0.2,82,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,17.1,,,,,,
29.08.2020 23:00,20.4,739.0,754.3,-1.1,82,Wind blowing from the east-northeast,1,,,,Precipitation ,,,,,,,,,,,17.2,1.0,1,,,,
29.08.2020 22:00,21.4,739.5,754.8,0.3,78,Wind blowing from the west-southwest,1,,,,Shower(s) or intermittent precipitation. ,Precipitation,,,,,,,,,,17.3,0.5,3,,,,
29.08.2020 21:00,21.7,739.5,754.8,-0.3,74,Calm no wind,0,,,,Precipitation ,,,,,,,,,,,16.9,0.2,1,,,,
29.08.2020 20:00,23.1,740.1,755.3,0.1,64,Wind blowing from the south,4,,,, ,,,,,,,,,,,16.0,,,,,,
29.08.2020 19:00,23.2,739.2,754.4,-0.7,60,Wind blowing from the north-northwest,2,,,, ,,,21.0,24.4,,,,,,,15.1,Trace of precipitation,12,,,,
29.08.2020 18:00,23.8,739.8,754.9,-0.2,58,Calm no wind,0,,,, ,,,,,,,,,,,15.0,Trace of precipitation,1,,,,
29.08.2020 17:00,23.5,740.0,755.2,-0.4,59,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,15.0,Trace of precipitation,1,,,,
29.08.2020 16:00,23.9,739.9,755.0,-0.7,56,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,14.6,Trace of precipitation,3,,,,
29.08.2020 15:00,24.0,740.0,755.2,-0.6,54,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,14.2,,,,,,
29.08.2020 14:00,23.6,740.4,755.6,-0.2,55,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,14.0,,,,,,
29.08.2020 13:00,23.2,740.6,755.8,0.3,54,Wind blowing from the north,2,,,, ,,,,,,,,,,,13.3,No precipitation,6,,,,
29.08.2020 12:00,22.9,740.6,755.8,0.4,57,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,13.9,,,,,,
29.08.2020 11:00,22.4,740.6,755.9,0.9,60,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,14.1,,,,,,
29.08.2020 10:00,22.2,740.3,755.6,0.7,59,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,13.9,,,,,,
29.08.2020 09:00,21.3,740.2,755.5,1.0,65,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,14.4,,,,,,
29.08.2020 08:00,21.4,739.7,755.0,0.7,67,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,15.1,,,,,,
29.08.2020 07:00,21.2,739.6,754.9,0.9,66,Wind blowing from the west-northwest,2,,13,, ,,,20.7,26.4,,,,,,,14.5,No precipitation,12,,,,
29.08.2020 06:00,20.9,739.2,754.5,0.3,65,Wind blowing from the west,2,,,, ,,,,,,,,,,,14.0,,,,,,
29.08.2020 05:00,20.8,739.0,754.3,0.0,67,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,14.4,,,,,,
29.08.2020 04:00,20.9,738.7,754.0,-0.4,67,Wind blowing from the west,1,,,, ,,,,,,,,,,,14.6,,,,,,
29.08.2020 03:00,21.0,738.9,754.2,-0.2,66,Wind blowing from the west,2,,,, ,,,,,,,,,,,14.3,,,,,,
29.08.2020 02:00,21.2,739.0,754.3,0.9,64,Wind blowing from the west,3,,,, ,,,,,,,,,,,14.1,,,,,,
29.08.2020 01:00,21.5,739.1,754.4,1.4,61,Wind blowing from the west-northwest,5,,13,, ,,,,,,,,,,,13.6,No precipitation,6,,,,
29.08.2020 00:00,22.1,739.1,754.3,1.0,61,Wind blowing from the west,7,,,, ,,,,,,,,,,,14.3,,,,,,
28.08.2020 23:00,24.6,738.1,753.1,0.0,58,Wind blowing from the south-southwest,4,,13,, ,,,,,,,,,,,15.9,,,,,,
28.08.2020 22:00,25.0,737.7,752.8,-0.1,56,Wind blowing from the south,8,,13,, ,,,,,,,,,,,15.7,,,,,,
28.08.2020 21:00,25.2,738.1,753.1,0.2,55,Wind blowing from the south-southeast,6,,,, ,,,,,,,,,,,15.5,,,,,,
28.08.2020 20:00,25.7,738.1,753.2,-0.3,54,Wind blowing from the south-southeast,6,,13,, ,,,,,,,,,,,15.6,,,,,,
28.08.2020 19:00,26.3,737.8,752.8,-1.2,51,Wind blowing from the south-southeast,8,,15,, ,,,18.0,30.7,,,,,,,15.4,No precipitation,12,,,,
28.08.2020 18:00,27.2,737.9,752.9,-1.4,48,Wind blowing from the south,7,,15,, ,,,,,,,,,,,15.2,,,,,,
28.08.2020 17:00,28.2,738.4,753.4,-1.3,44,Wind blowing from the south-east,6,,14,, ,,,,,,,,,,,14.9,,,,,,
28.08.2020 16:00,29.0,739.0,754.0,-1.3,40,Wind blowing from the south-southeast,7,,14,, ,,,,,,,,,,,13.9,,,,,,
28.08.2020 15:00,30.3,739.3,754.2,-1.8,35,Wind blowing from the south-southeast,7,,,, ,,,,,,,,,,,13.2,,,,,,
28.08.2020 14:00,30.4,739.7,754.6,-2.2,35,Wind blowing from the south-southeast,6,,,, ,,,,,,,,,,,13.3,,,,,,
28.08.2020 13:00,28.7,740.3,755.2,-2.0,38,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.0,No precipitation,6,,,,
28.08.2020 12:00,26.8,741.1,756.2,-1.7,40,Wind blowing from the south,4,,,, ,,,,,,,,,,,12.0,,,,,,
28.08.2020 11:00,25.7,741.9,757.0,-1.3,40,Wind blowing from the south,3,,,, ,,,,,,,,,,,11.0,,,,,,
28.08.2020 10:00,23.7,742.3,757.6,-1.1,43,Wind blowing from the south,4,,,, ,,,,,,,,,,,10.2,,,,,,
28.08.2020 09:00,21.6,742.8,758.2,-0.8,46,Wind blowing from the south-east,4,,,, ,,,,,,,,,,,9.6,,,,,,
28.08.2020 08:00,20.3,743.2,758.6,-0.5,51,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,9.8,,,,,,
28.08.2020 07:00,18.5,743.4,758.9,-0.7,57,Wind blowing from the south-east,2,,,, ,,,15.7,23.7,,,,,,,9.7,No precipitation,12,,,,
28.08.2020 06:00,16.1,743.6,759.3,-0.5,71,Calm no wind,0,,,, ,,,,,,,,,,,10.8,,,,,,
28.08.2020 05:00,16.5,743.7,759.4,-0.7,69,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 04:00,16.0,744.1,759.7,-0.5,70,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,10.5,,,,,,
28.08.2020 03:00,16.1,744.1,759.8,-0.9,71,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 02:00,17.0,744.4,760.1,-0.6,69,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.2,,,,,,
28.08.2020 01:00,17.7,744.6,760.2,-0.5,67,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,11.5,No precipitation,6,,,,
28.08.2020 00:00,18.2,745.0,760.6,-0.3,66,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,11.6,,,,,,
27.08.2020 23:00,18.9,745.0,760.6,-0.3,63,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,11.6,,,,,,
27.08.2020 22:00,20.9,745.1,760.6,0.3,48,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,9.4,,,,,,
27.08.2020 21:00,21.9,745.3,760.7,0.6,44,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,9.0,,,,,,
27.08.2020 20:00,22.7,745.3,760.7,0.3,41,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,8.9,,,,,,
27.08.2020 19:00,23.6,744.8,760.1,-0.1,44,Wind blowing from the west,3,,,, ,,,20.1,26.7,,,,,,,10.6,No precipitation,12,,,,
27.08.2020 18:00,24.1,744.7,760.0,-0.5,42,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,10.2,,,,,,
27.08.2020 17:00,24.7,745.0,760.3,-0.6,39,Wind blowing from the west,4,,,, ,,,,,,,,,,,9.8,,,,,,
27.08.2020 16:00,25.6,744.9,760.1,-1.0,37,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,9.8,,,,,,
27.08.2020 15:00,26.0,745.2,760.4,-1.2,35,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,9.4,,,,,,
27.08.2020 14:00,25.4,745.6,760.8,-0.9,36,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.4,,,,,,
27.08.2020 13:00,24.4,745.9,761.2,-0.9,38,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.2,No precipitation,6,,,,
27.08.2020 12:00,24.1,746.4,761.7,-0.4,39,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,9.1,,,,,,
27.08.2020 11:00,22.8,746.5,761.9,-0.2,41,Wind blowing from the west-northwest,7,,13,, ,,,,,,,,,,,9.0,,,,,,
27.08.2020 10:00,22.0,746.8,762.3,0.2,45,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.6,,,,,,
27.08.2020 09:00,20.8,746.8,762.4,0.6,48,Wind blowing from the west-northwest,7,,,, ,,,,,,,,,,,9.3,,,,,,
27.08.2020 08:00,21.1,746.7,762.2,0.8,46,Wind blowing from the west-northwest,6,,,, ,,,,,,,,,,,9.1,,,,,,
27.08.2020 07:00,20.2,746.6,762.1,0.7,49,Wind blowing from the west-northwest,6,,15,, ,,,19.3,28.0,,,,,,,9.1,No precipitation,12,,,,
27.08.2020 06:00,19.4,746.2,761.8,0.3,50,Wind blowing from the west,5,,,, ,,,,,,,,,,,8.8,,,,,,
27.08.2020 05:00,19.7,745.9,761.5,0.0,49,Wind blowing from the west-northwest,6,,15,, ,,,,,,,,,,,8.6,,,,,,
27.08.2020 04:00,20.2,745.9,761.5,0.2,46,Wind blowing from the west,5,,,, ,,,,,,,,,,,8.3,,,,,,
27.08.2020 03:00,20.8,745.9,761.5,0.3,44,Wind blowing from the west,4,,,, ,,,,,,,,,,,8.2,,,,,,
27.08.2020 02:00,21.2,745.9,761.3,0.6,43,Wind blowing from the west,5,,,, ,,,,,,,,,,,8.0,,,,,,
27.08.2020 01:00,21.2,745.7,761.2,0.9,43,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,8.0,No precipitation,6,,,,
27.08.2020 00:00,22.0,745.6,761.1,1.7,40,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,7.8,,,,,,
26.08.2020 23:00,23.3,745.3,760.6,2.1,36,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,7.2,,,,,,
26.08.2020 22:00,24.5,744.8,760.1,2.3,32,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,6.6,,,,,,
26.08.2020 21:00,25.3,743.9,759.1,2.0,33,Wind blowing from the west,2,,,, ,,,,,,,,,,,7.9,,,,,,
26.08.2020 20:00,26.6,743.2,758.3,1.6,30,Wind blowing from the west,3,,,, ,,,,,,,,,,,7.4,,,,,,
26.08.2020 19:00,27.8,742.5,757.6,,28,Wind blowing from the west,4,,18,, ,,,17.5,31.7,,,,,,,7.8,No precipitation,12,,,,
26.08.2020 18:00,29.2,741.9,756.9,0.2,27,Wind blowing from the west,5,,,, ,,,,,,,,,,,8.3,,,,,,
26.08.2020 17:00,30.3,741.6,756.5,-0.3,28,Wind blowing from the west,5,,,, ,,,,,,,,,,,9.8,,,,,,
26.08.2020 16:00,30.6,741.7,756.6,,31,Wind blowing from the west,5,,18,, ,,,,,,,,,,,11.8,,,,,,
26.08.2020 15:00,31.2,741.7,756.6,-0.9,24,Wind blowing from the west-southwest,9,,18,, ,,,,,,,,,,,8.6,,,,,,
26.08.2020 14:00,30.3,741.9,756.8,-0.8,31,Wind blowing from the west,7,,14,, ,,,,,,,,,,,11.2,,,,,,
26.08.2020 13:00,29.2,742.3,757.3,-0.8,35,Wind blowing from the west,6,,17,, ,,,,,,,,,,,12.0,No precipitation,6,,,,
26.08.2020 12:00,28.4,742.6,757.6,-0.6,37,Wind blowing from the west,6,,17,, ,,,,,,,,,,,12.2,,,,,,
26.08.2020 11:00,27.2,742.7,757.8,-0.2,36,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,11.0,,,,,,
26.08.2020 10:00,24.7,743.1,758.3,0.3,43,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.3,,,,,,
26.08.2020 09:00,19.6,743.2,758.6,0.3,62,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.1,,,,,,
26.08.2020 08:00,18.1,742.9,758.4,0.0,66,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,11.7,,,,,,
26.08.2020 07:00,17.6,742.8,758.4,-0.5,67,Wind blowing from the west-southwest,1,,,, ,,,16.7,24.6,,,,,,,11.4,Trace of precipitation,12,,,,
26.08.2020 06:00,17.0,742.9,758.5,-0.5,70,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,11.5,Trace of precipitation,1,,,,
26.08.2020 05:00,17.1,742.9,758.5,-0.6,71,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.7,,,,,,
26.08.2020 04:00,16.8,743.3,759.0,-0.4,73,Wind blowing from the south,1,,,, ,,,,,,,,,,,11.8,,,,,,
26.08.2020 03:00,17.1,743.4,759.0,-0.7,71,Wind blowing from the south-southwest,1,,,, ,,,,,,,,,,,11.8,,,,,,
26.08.2020 02:00,17.3,743.5,759.1,-0.9,72,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.1,,,,,,
26.08.2020 01:00,17.7,743.7,759.3,-0.7,70,Wind blowing from the south-west,2,,,, ,,,,,,,,,,,12.2,No precipitation,6,,,,
26.08.2020 00:00,19.6,744.1,759.7,-0.5,62,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,12.0,,,,,,
25.08.2020 23:00,20.7,744.4,759.8,-0.3,56,Wind blowing from the south,2,,,, ,,,,,,,,,,,11.7,,,,,,
25.08.2020 22:00,21.5,744.4,759.9,0.0,52,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,11.3,,,,,,
25.08.2020 21:00,22.5,744.6,760.0,0.2,48,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,11.0,,,,,,
25.08.2020 20:00,23.5,744.7,760.0,-0.1,44,Wind blowing from the south-southeast,3,,,, ,,,,,,,,,,,10.5,,,,,,
25.08.2020 19:00,24.5,744.4,759.7,-0.6,36,Wind blowing from the west-southwest,1,,,, ,,,18.3,26.8,,,,,,,8.5,No precipitation,12,,,,
25.08.2020 18:00,25.2,744.4,759.7,-0.8,34,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,8.2,,,,,,
25.08.2020 17:00,25.6,744.8,760.0,-0.8,31,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,7.4,,,,,,
25.08.2020 16:00,26.2,745.0,760.3,-1.0,33,Wind blowing from the west,4,,,, ,,,,,,,,,,,8.7,,,,,,
25.08.2020 15:00,25.8,745.2,760.4,-1.0,38,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.4,,,,,,
25.08.2020 14:00,24.3,745.6,760.9,-0.9,42,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,10.5,,,,,,
25.08.2020 13:00,23.9,746.0,761.3,-0.7,39,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,9.0,No precipitation,6,,,,
25.08.2020 12:00,23.3,746.2,761.6,-0.5,42,Wind blowing from the north-west,4,,,, ,,,,,,,,,,,9.6,,,,,,
25.08.2020 11:00,22.6,746.5,761.8,-0.1,44,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,9.6,,,,,,
25.08.2020 10:00,21.5,746.7,762.1,0.2,46,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,9.5,,,,,,
25.08.2020 09:00,20.8,746.7,762.2,0.5,49,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.6,,,,,,
25.08.2020 08:00,20.7,746.6,762.1,0.7,50,Wind blowing from the north-west,3,,,, ,,,,,,,,,,,9.9,,,,,,
25.08.2020 07:00,19.0,746.5,762.1,0.6,60,Wind blowing from the west-northwest,2,,,, ,,,17.1,22.6,,,,,,,11.0,No precipitation,12,,,,
25.08.2020 06:00,17.3,746.2,761.8,0.0,70,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.7,,,,,,
25.08.2020 05:00,17.1,745.9,761.6,-0.3,69,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.3,,,,,,
25.08.2020 04:00,17.9,745.9,761.5,0.0,66,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,11.5,,,,,,
25.08.2020 03:00,18.7,746.2,761.8,0.2,63,Wind blowing from the west,2,,,, ,,,,,,,,,,,11.4,,,,,,
25.08.2020 02:00,18.9,746.2,761.8,0.1,62,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,11.4,,,,,,
25.08.2020 01:00,19.3,745.9,761.5,-0.1,60,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,11.4,No precipitation,6,,,,
25.08.2020 00:00,20.1,746.0,761.5,0.1,57,Wind blowing from the west,4,,,, ,,,,,,,,,,,11.2,,,,,,
24.08.2020 23:00,20.8,746.1,761.5,0.4,55,Wind blowing from the west,4,,,, ,,,,,,,,,,,11.5,,,,,,
24.08.2020 22:00,21.1,746.0,761.5,0.6,54,Wind blowing from the west,5,,,, ,,,,,,,,,,,11.4,,,,,,
24.08.2020 21:00,20.8,745.9,761.3,0.3,58,Wind blowing from the south-west,3,,,, ,,,,,,,,,,,12.3,,,,,,
24.08.2020 20:00,21.9,745.7,761.2,-0.1,53,Wind blowing from the west-southwest,2,,,, ,,,,,,,,,,,11.9,,,,,,
24.08.2020 19:00,22.5,745.4,760.8,-0.5,52,Wind blowing from the south-west,3,,,, ,Precipitation,,20.1,24.1,,,,,,,12.2,Trace of precipitation,12,,,,
24.08.2020 18:00,23.1,745.6,760.9,-0.5,48,Wind blowing from the west,4,,,, ,,,,,,,,,,,11.6,,,,,,
24.08.2020 17:00,23.4,745.8,761.2,-0.6,48,Wind blowing from the west-southwest,5,,,, ,,,,,,,,,,,11.6,,,,,,
24.08.2020 16:00,23.2,745.9,761.3,-0.8,51,Wind blowing from the west-southwest,4,,,, ,Precipitation,,,,,,,,,,12.5,Trace of precipitation,3,,,,
24.08.2020 15:00,23.3,746.1,761.5,-1.0,51,Wind blowing from the south-west,3,,,,Precipitation ,,,,,,,,,,,12.6,Trace of precipitation,1,,,,
24.08.2020 14:00,23.5,746.4,761.8,-1.0,45,Wind blowing from the west-southwest,3,,,, ,,,,,,,,,,,10.9,Trace of precipitation,1,,,,
24.08.2020 13:00,23.9,746.7,762.0,,46,Wind blowing from the west,3,,,, ,,,,,,,,,,,11.4,Trace of precipitation,6,,,,
24.08.2020 12:00,23.6,747.1,762.4,-0.4,45,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,11.1,Trace of precipitation,1,,,,
24.08.2020 11:00,22.8,747.4,762.8,0.0,53,Wind blowing from the west,2,,,, ,,,,,,,,,,,12.8,,,,,,
24.08.2020 10:00,22.2,747.7,763.1,,57,Wind blowing from the west-northwest,2,,,, ,,,,,,,,,,,13.3,,,,,,
24.08.2020 09:00,21.3,747.5,763.0,,60,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,13.3,,,,,,
24.08.2020 08:00,20.3,747.4,763.0,0.5,64,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,13.2,,,,,,
24.08.2020 07:00,20.2,747.4,762.9,0.5,65,Wind blowing from the west-northwest,3,,,, ,,,19.0,24.5,,,,,,,13.3,No precipitation,12,,,,
24.08.2020 06:00,19.1,747.2,762.8,0.1,69,Wind blowing from the west,3,,,, ,,,,,,,,,,,13.2,,,,,,
24.08.2020 05:00,19.6,746.9,762.4,0.0,66,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,13.0,,,,,,
24.08.2020 04:00,19.7,746.9,762.4,,66,Wind blowing from the west-northwest,3,,,, ,,,,,,,,,,,13.1,,,,,,
24.08.2020 03:00,20.1,747.1,762.6,0.1,64,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,13.1,,,,,,
24.08.2020 02:00,20.5,746.9,762.4,0.1,63,Wind blowing from the west-northwest,5,,,, ,,,,,,,,,,,13.2,,,,,,
24.08.2020 01:00,21.0,746.8,762.2,0.2,61,Wind blowing from the west-northwest,6,,,, ,,,,,,,,,,,13.2,No precipitation,6,,,,
24.08.2020 00:00,21.3,747.0,762.4,0.6,63,Wind blowing from the west,5,,,, ,,,,,,,,,,,14.0,,,,,,
23.08.2020 23:00,21.7,746.8,762.3,0.4,63,Wind blowing from the west-northwest,4,,,, ,,,,,,,,,,,14.3,,,,,,
