,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action to Next Point
645,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3108,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2816,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1635,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
248,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1040,-3,-3,-3,-2,-1,-1,1,1,2,3,3
122,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
534,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
3171,-3,-3,-2,-1,-1,1,1,2,3,3,3
1754,-1,-1,1,1,2,3,3,3,3,2,1
1982,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2371,-3,-3,-2,-1,-1,1,1,2,3,3,3
1205,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3339,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
345,-1,1,1,2,3,3,3,3,2,1,1
2044,-1,-1,1,1,2,3,3,3,3,2,1
2408,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
501,-3,-3,-2,-1,-1,1,1,2,3,3,3
922,-3,-2,-1,-1,1,1,2,3,3,3,3
1405,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1934,-1,-1,1,1,2,3,3,3,3,2,1
1647,1,2,3,3,3,3,2,1,1,-1,-1
314,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2241,-3,-3,-2,-1,-1,1,1,2,3,3,3
2089,3,3,3,3,2,1,1,-1,-1,-2,-3
1795,-1,1,1,2,3,3,3,3,2,1,1
2363,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
847,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1337,1,2,3,3,3,3,2,1,1,-1,-1
2481,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2391,-3,-3,-2,-1,-1,1,1,2,3,3,3
269,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
542,-3,-2,-1,-1,1,1,2,3,3,3,3
1139,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
631,-3,-3,-2,-1,-1,1,1,2,3,3,3
2354,-1,-1,1,1,2,3,3,3,3,2,1
3402,-3,-2,-1,-1,1,1,2,3,3,3,3
3227,1,2,3,3,3,3,2,1,1,-1,-1
2005,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1310,-3,-3,-3,-2,-1,-1,1,1,2,3,3
618,2,3,3,3,3,2,1,1,-1,-1,-2
558,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2256,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
790,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3013,-2,-1,-1,1,1,2,3,3,3,3,2
1904,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
453,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
28,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2098,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1719,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1286,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2884,-1,-1,1,1,2,3,3,3,3,2,1
1963,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
474,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
565,-1,1,1,2,3,3,3,3,2,1,1
2273,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2983,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
469,3,3,3,3,2,1,1,-1,-1,-2,-3
2519,3,3,3,3,2,1,1,-1,-1,-2,-3
2281,-3,-3,-2,-1,-1,1,1,2,3,3,3
706,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
161,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1090,3,3,3,2,1,1,-1,-1,-2,-3,-3
973,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3187,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1738,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1956,1,1,2,3,3,3,3,2,1,1,-1
3146,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2128,2,3,3,3,3,2,1,1,-1,-1,-2
2501,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2790,3,3,3,2,1,1,-1,-1,-2,-3,-3
1565,-1,1,1,2,3,3,3,3,2,1,1
2046,1,1,2,3,3,3,3,2,1,1,-1
3068,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
147,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1200,3,3,3,2,1,1,-1,-1,-2,-3,-3
2355,-1,1,1,2,3,3,3,3,2,1,1
3058,2,3,3,3,3,2,1,1,-1,-1,-2
800,3,3,3,2,1,1,-1,-1,-2,-3,-3
1843,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1977,1,2,3,3,3,3,2,1,1,-1,-1
2141,-3,-3,-2,-1,-1,1,1,2,3,3,3
2034,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
3420,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2043,-2,-1,-1,1,1,2,3,3,3,3,2
293,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
287,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
3195,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3244,-1,-1,1,1,2,3,3,3,3,2,1
1210,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3331,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1828,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1175,-1,1,1,2,3,3,3,3,2,1,1
1844,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
24,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
836,1,1,2,3,3,3,3,2,1,1,-1
1858,2,3,3,3,3,2,1,1,-1,-1,-2
3133,-2,-1,-1,1,1,2,3,3,3,3,2
178,2,3,3,3,3,2,1,1,-1,-1,-2
915,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2968,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2373,-2,-1,-1,1,1,2,3,3,3,3,2
3338,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1111,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1392,-3,-2,-1,-1,1,1,2,3,3,3,3
792,-3,-2,-1,-1,1,1,2,3,3,3,3
1632,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
446,1,1,2,3,3,3,3,2,1,1,-1
884,-1,-1,1,1,2,3,3,3,3,2,1
1513,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2002,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1973,-2,-1,-1,1,1,2,3,3,3,3,2
173,-2,-1,-1,1,1,2,3,3,3,3,2
3325,-1,1,1,2,3,3,3,3,2,1,1
1927,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
427,1,2,3,3,3,3,2,1,1,-1,-1
1660,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3432,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1047,1,2,3,3,3,3,2,1,1,-1,-1
1615,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3194,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
799,3,3,3,3,2,1,1,-1,-1,-2,-3
2078,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1172,-3,-2,-1,-1,1,1,2,3,3,3,3
2384,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2786,1,1,2,3,3,3,3,2,1,1,-1
239,3,3,3,3,2,1,1,-1,-1,-2,-3
3014,-1,-1,1,1,2,3,3,3,3,2,1
2,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2811,3,3,2,1,1,-1,-1,-2,-3,-3,-3
1094,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1444,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2749,3,3,3,3,2,1,1,-1,-1,-2,-3
2414,-1,-1,1,1,2,3,3,3,3,2,1
2285,-1,1,1,2,3,3,3,3,2,1,1
1478,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2296,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2658,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1128,2,3,3,3,3,2,1,1,-1,-1,-2
960,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1448,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
62,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
760,3,3,3,2,1,1,-1,-1,-2,-3,-3
1891,-3,-3,-2,-1,-1,1,1,2,3,3,3
186,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2542,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1486,1,1,2,3,3,3,3,2,1,1,-1
2120,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2276,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
1053,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
322,-3,-2,-1,-1,1,1,2,3,3,3,3
1547,1,2,3,3,3,3,2,1,1,-1,-1
170,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2743,-2,-1,-1,1,1,2,3,3,3,3,2
2614,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
225,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
298,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
3074,-1,-1,1,1,2,3,3,3,3,2,1
2359,3,3,3,3,2,1,1,-1,-1,-2,-3
1868,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
843,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1019,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1374,-1,-1,1,1,2,3,3,3,3,2,1
1715,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3024,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2351,-3,-3,-2,-1,-1,1,1,2,3,3,3
1530,3,3,3,2,1,1,-1,-1,-2,-3,-3
12,-3,-2,-1,-1,1,1,2,3,3,3,3
2292,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1044,-1,-1,1,1,2,3,3,3,3,2,1
2931,-3,-3,-2,-1,-1,1,1,2,3,3,3
2340,3,3,3,2,1,1,-1,-1,-2,-3,-3
3056,1,1,2,3,3,3,3,2,1,1,-1
2706,1,1,2,3,3,3,3,2,1,1,-1
2868,2,3,3,3,3,2,1,1,-1,-1,-2
331,3,3,2,1,1,-1,-1,-2,-3,-3,-3
3016,1,1,2,3,3,3,3,2,1,1,-1
85,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2948,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2872,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
100,3,3,3,2,1,1,-1,-1,-2,-3,-3
1520,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2808,2,3,3,3,3,2,1,1,-1,-1,-2
219,3,3,3,3,2,1,1,-1,-1,-2,-3
1224,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
319,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2806,1,1,2,3,3,3,3,2,1,1,-1
671,-3,-3,-2,-1,-1,1,1,2,3,3,3
965,-1,1,1,2,3,3,3,3,2,1,1
440,-3,-3,-3,-2,-1,-1,1,1,2,3,3
2468,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1249,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1418,2,3,3,3,3,2,1,1,-1,-1,-2
2644,-1,-1,1,1,2,3,3,3,3,2,1
243,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1542,-3,-2,-1,-1,1,1,2,3,3,3,3
945,-1,1,1,2,3,3,3,3,2,1,1
2502,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1954,-1,-1,1,1,2,3,3,3,3,2,1
1930,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1239,3,3,3,3,2,1,1,-1,-1,-2,-3
2262,-3,-2,-1,-1,1,1,2,3,3,3,3
447,1,2,3,3,3,3,2,1,1,-1,-1
543,-2,-1,-1,1,1,2,3,3,3,3,2
8,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
562,-3,-2,-1,-1,1,1,2,3,3,3,3
1739,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2493,-2,-1,-1,1,1,2,3,3,3,3,2
1351,-3,-3,-2,-1,-1,1,1,2,3,3,3
889,3,3,3,3,2,1,1,-1,-1,-2,-3
2836,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2123,-2,-1,-1,1,1,2,3,3,3,3,2
3027,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
180,3,3,3,2,1,1,-1,-1,-2,-3,-3
872,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1477,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
1325,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1916,1,1,2,3,3,3,3,2,1,1,-1
3006,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
3076,1,1,2,3,3,3,3,2,1,1,-1
1758,2,3,3,3,3,2,1,1,-1,-1,-2
2349,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
507,1,2,3,3,3,3,2,1,1,-1,-1
1182,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2350,-3,-3,-3,-2,-1,-1,1,1,2,3,3
3270,3,3,3,2,1,1,-1,-1,-2,-3,-3
208,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1085,-1,1,1,2,3,3,3,3,2,1,1
2061,-3,-3,-2,-1,-1,1,1,2,3,3,3
2001,3,3,2,1,1,-1,-1,-2,-3,-3,-3
328,2,3,3,3,3,2,1,1,-1,-1,-2
2982,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2525,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3011,-3,-3,-2,-1,-1,1,1,2,3,3,3
1173,-2,-1,-1,1,1,2,3,3,3,3,2
2773,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2185,-1,1,1,2,3,3,3,3,2,1,1
2902,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
1558,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2754,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
297,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
979,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1335,-1,1,1,2,3,3,3,3,2,1,1
3034,-1,-1,1,1,2,3,3,3,3,2,1
435,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1229,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2765,-1,1,1,2,3,3,3,3,2,1,1
1933,-2,-1,-1,1,1,2,3,3,3,3,2
1407,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
3189,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2441,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2676,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
783,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2266,1,1,2,3,3,3,3,2,1,1,-1
754,-1,-1,1,1,2,3,3,3,3,2,1
1298,2,3,3,3,3,2,1,1,-1,-1,-2
86,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
935,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2168,2,3,3,3,3,2,1,1,-1,-1,-2
3044,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2023,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3411,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2750,3,3,3,2,1,1,-1,-1,-2,-3,-3
2329,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
418,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
2202,-3,-2,-1,-1,1,1,2,3,3,3,3
1218,2,3,3,3,3,2,1,1,-1,-1,-2
2905,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
3442,-3,-2,-1,-1,1,1,2,3,3,3,3
1296,1,1,2,3,3,3,3,2,1,1,-1
194,-1,-1,1,1,2,3,3,3,3,2,1
492,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
918,-2,-3,-3,-3,-3,-2,-1,-1,1,1,2
1644,-1,-1,1,1,2,3,3,3,3,2,1
1992,-3,-2,-1,-1,1,1,2,3,3,3,3
244,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1871,-3,-3,-2,-1,-1,1,1,2,3,3,3
2826,1,1,2,3,3,3,3,2,1,1,-1
1007,1,2,3,3,3,3,2,1,1,-1,-1
1714,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
1592,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
2597,1,2,3,3,3,3,2,1,1,-1,-1
135,-1,1,1,2,3,3,3,3,2,1,1
1329,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2794,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
233,-2,-1,-1,1,1,2,3,3,3,3,2
471,3,3,2,1,1,-1,-1,-2,-3,-3,-3
613,-2,-1,-1,1,1,2,3,3,3,3,2
1284,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
107,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
3134,-1,-1,1,1,2,3,3,3,3,2,1
946,1,1,2,3,3,3,3,2,1,1,-1
1133,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
3046,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
302,-3,-2,-1,-1,1,1,2,3,3,3,3
3427,1,2,3,3,3,3,2,1,1,-1,-1
579,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
924,-1,-1,1,1,2,3,3,3,3,2,1
2715,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1912,-3,-2,-1,-1,1,1,2,3,3,3,3
1607,1,2,3,3,3,3,2,1,1,-1,-1
484,-1,-1,1,1,2,3,3,3,3,2,1
2668,2,3,3,3,3,2,1,1,-1,-1,-2
896,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
103,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
1003,-2,-1,-1,1,1,2,3,3,3,3,2
3152,-3,-2,-1,-1,1,1,2,3,3,3,3
1427,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2106,1,1,2,3,3,3,3,2,1,1,-1
2101,-3,-3,-2,-1,-1,1,1,2,3,3,3
1277,1,2,3,3,3,3,2,1,1,-1,-1
431,3,3,2,1,1,-1,-1,-2,-3,-3,-3
794,-1,-1,1,1,2,3,3,3,3,2,1
2712,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3259,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1433,-2,-1,-1,1,1,2,3,3,3,3,2
3099,3,3,3,3,2,1,1,-1,-1,-2,-3
2770,3,3,3,2,1,1,-1,-1,-2,-3,-3
158,2,3,3,3,3,2,1,1,-1,-1,-2
2707,1,2,3,3,3,3,2,1,1,-1,-1
994,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
681,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2174,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
383,-2,-1,-1,1,1,2,3,3,3,3,2
2791,3,3,2,1,1,-1,-1,-2,-3,-3,-3
2400,3,3,3,2,1,1,-1,-1,-2,-3,-3
2691,3,3,2,1,1,-1,-1,-2,-3,-3,-3
739,3,3,3,3,2,1,1,-1,-1,-2,-3
3192,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
3126,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
373,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
801,3,3,2,1,1,-1,-1,-2,-3,-3,-3
347,1,2,3,3,3,3,2,1,1,-1,-1
1769,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
1920,3,3,3,2,1,1,-1,-1,-2,-3,-3
2883,-2,-1,-1,1,1,2,3,3,3,3,2
2084,-1,-1,1,1,2,3,3,3,3,2,1
2221,-3,-3,-2,-1,-1,1,1,2,3,3,3
2653,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
32,-3,-2,-1,-1,1,1,2,3,3,3,3
564,-1,-1,1,1,2,3,3,3,3,2,1
2319,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
33,-2,-1,-1,1,1,2,3,3,3,3,2
845,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
159,3,3,3,3,2,1,1,-1,-1,-2,-3
720,3,3,3,2,1,1,-1,-1,-2,-3,-3
3330,3,3,3,2,1,1,-1,-1,-2,-3,-3
1556,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
999,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
3306,1,1,2,3,3,3,3,2,1,1,-1
423,-2,-1,-1,1,1,2,3,3,3,3,2
2439,3,3,3,3,2,1,1,-1,-1,-2,-3
2196,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
195,-1,1,1,2,3,3,3,3,2,1,1
626,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
35,-1,1,1,2,3,3,3,3,2,1,1
3426,1,1,2,3,3,3,3,2,1,1,-1
1326,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
2641,-3,-3,-2,-1,-1,1,1,2,3,3,3
1171,-3,-3,-2,-1,-1,1,1,2,3,3,3
545,-1,1,1,2,3,3,3,3,2,1,1
235,-1,1,1,2,3,3,3,3,2,1,1
1854,-1,-1,1,1,2,3,3,3,3,2,1
2207,1,2,3,3,3,3,2,1,1,-1,-1
775,-1,1,1,2,3,3,3,3,2,1,1
282,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
831,-3,-3,-2,-1,-1,1,1,2,3,3,3
2086,1,1,2,3,3,3,3,2,1,1,-1
391,3,3,2,1,1,-1,-1,-2,-3,-3,-3
596,1,1,2,3,3,3,3,2,1,1,-1
1157,-1,-2,-3,-3,-3,-3,-2,-1,-1,1,1
2409,-3,-3,-3,-3,-2,-1,-1,1,1,2,3
2935,-1,1,1,2,3,3,3,3,2,1,1
1471,3,3,2,1,1,-1,-1,-2,-3,-3,-3
806,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1,1
3413,2,1,1,-1,-1,-2,-3,-3,-3,-3,-2
2035,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
2405,1,-1,-1,-2,-3,-3,-3,-3,-2,-1,-1
1744,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
2950,-3,-3,-3,-2,-1,-1,1,1,2,3,3
1543,-2,-1,-1,1,1,2,3,3,3,3,2
1028,2,3,3,3,3,2,1,1,-1,-1,-2
104,1,1,-1,-1,-2,-3,-3,-3,-3,-2,-1
907,1,2,3,3,3,3,2,1,1,-1,-1
2083,-2,-1,-1,1,1,2,3,3,3,3,2
2072,3,2,1,1,-1,-1,-2,-3,-3,-3,-3
