"# Weather station Chisinau, Moldova, WMO_ID=33815,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=33815&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Chisinau,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.08.2020 08:00,18.7,749.2,763.4,0.1,98,Wind blowing from the south,3,,,100%.,Fog or ice fog. ,Drizzle.,Fog or ice fog or thick haze.,17.0,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,300-600,,,10.0,18.3,Trace of precipitation,12,,,,
30.08.2020 05:00,17.1,749.1,763.3,1.1,92,Wind blowing from the south-east,2,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,15.8,,,,,,
30.08.2020 02:00,18.3,748.0,763.3,-0.3,76,Wind blowing from the south-southwest,2,,,no clouds, ,,,,,,,,,,20.0,14.0,,,,,,
29.08.2020 23:00,21.1,748.3,762.7,1.2,54,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,20.0,11.4,,,,,,
29.08.2020 20:00,24.9,747.1,761.5,0.6,36,Wind blowing from the south-southeast,5,,,no clouds, ,,,,32.0,,,,,,20.0,8.9,,,,,,
29.08.2020 17:00,30.9,746.5,760.6,-0.6,30,Wind blowing from the south,5,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.2,,,,,,
29.08.2020 14:00,31.6,747.1,761.3,-0.7,25,Wind blowing from the south-southwest,6,,,60%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,9.3,,,,,,
29.08.2020 11:00,28.9,747.8,761.9,0.3,34,Wind blowing from the south,6,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",20.0,11.4,,,,,,
29.08.2020 08:00,19.5,747.5,762.1,0.1,71,Wind blowing from the south,2,,,40%., ,,,14.8,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.1,,,,,,
29.08.2020 05:00,15.8,747.4,761.9,0.8,66,Wind blowing from the south,1,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.4,,,,,,
29.08.2020 02:00,18.8,746.6,761.8,-0.3,50,Wind blowing from the south-southeast,1,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.2,,,,,,
28.08.2020 23:00,20.3,746.9,761.1,0.2,46,Wind blowing from the east,3,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.2,,,,,,
28.08.2020 20:00,23.3,746.7,760.4,1.6,37,Wind blowing from the north,2,,,40%., ,,,,27.7,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrus spissatus cumulonimbogenitus.,20.0,7.8,,,,,,
28.08.2020 17:00,26.8,745.1,759.4,-0.2,30,Wind blowing from the north,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,7.7,,,,,,
28.08.2020 14:00,26.8,745.3,759.7,-0.3,30,Wind blowing from the west,4,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,7.7,,,,,,
28.08.2020 11:00,23.8,745.6,760.3,-0.5,36,Wind blowing from the west-southwest,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.0,,,,,,
28.08.2020 08:00,19.6,746.1,760.7,1.1,56,Wind blowing from the north-northwest,2,,,70 – 80%., ,,,17.8,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,10.6,,,,,,
28.08.2020 05:00,18.0,745.0,759.8,-0.2,61,Wind blowing from the north-west,1,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,10.4,,,,,,
28.08.2020 02:00,19.2,745.2,759.7,1.0,54,Wind blowing from the west,1,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,2000-2500,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.5,,,,,,
27.08.2020 23:00,20.9,744.2,759.0,0.1,46,Wind blowing from the north,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.9,,,,,,
27.08.2020 20:00,23.6,744.1,757.6,2.1,45,Wind blowing from the north,3,,,20–30%., ,,,,30.4,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,10.8,,,,,,
27.08.2020 17:00,28.0,742.0,756.3,-0.4,31,Wind blowing from the north-west,4,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.5,,,,,,
27.08.2020 14:00,30.1,742.4,756.7,-1.9,29,Wind blowing from the west-southwest,5,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,600-1000,,,20.0,10.4,,,,,,
27.08.2020 11:00,26.8,744.3,758.2,-0.1,37,Wind blowing from the west-southwest,3,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,10.8,,,,,,
27.08.2020 08:00,20.5,744.4,759.5,-0.3,58,Wind blowing from the west,1,,,70 – 80%., ,,,15.9,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,11.9,,,,,,
27.08.2020 05:00,17.6,744.7,759.3,-0.2,60,Wind blowing from the west-northwest,2,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.6,,,,,,
27.08.2020 02:00,18.2,744.9,759.4,-0.1,52,Wind blowing from the south-west,1,,,60%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,8.2,,,,,,
26.08.2020 23:00,20.0,745.0,759.6,-0.4,45,Wind blowing from the south-southwest,1,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,7.7,,,,,,
26.08.2020 20:00,22.8,745.4,760.0,-0.1,35,Wind blowing from the north-west,1,,,70 – 80%., ,,,,26.2,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,6.7,,,,,,
26.08.2020 17:00,25.9,745.5,759.9,-0.4,31,Wind blowing from the west-southwest,3,,,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,7.5,,,,,,
26.08.2020 14:00,24.8,745.9,760.9,-0.7,37,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.1,,,,,,
26.08.2020 11:00,22.1,746.6,761.5,-1.0,51,Wind blowing from the north,4,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.4,,,,,,
26.08.2020 08:00,16.8,747.6,762.1,1.7,79,Wind blowing from the north-northwest,5,,,20–30%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,15.1,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.1,3,12,,,,
26.08.2020 05:00,16.1,745.9,761.2,0.4,90,Wind blowing from the north-northwest,4,,,100%.,State of sky on the whole unchanged. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,600-1000,,,20.0,14.5,,,,,,
26.08.2020 02:00,16.2,745.5,760.7,-0.6,94,Wind blowing from the north-west,3,,,100%.,"Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,600-1000,,,20.0,15.2,,,,,,
25.08.2020 23:00,17.4,746.1,760.3,3.4,85,Wind blowing from the north-northwest,2,,13,100%.,"Rain shower(s), slight. ",Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",100%.,600-1000,,,20.0,14.9,,,,,,
25.08.2020 20:00,25.6,742.7,757.3,-0.9,51,Wind blowing from the west,4,,,100%., ,,,,29.7,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.6,,,,,,
25.08.2020 17:00,29.0,743.6,757.5,0.1,35,Wind blowing from the south,2,,,70 – 80%., ,,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.9,,,,,,
25.08.2020 14:00,28.2,743.5,758.2,-1.5,40,Wind blowing from the south,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,13.4,,,,,,
25.08.2020 11:00,25.4,745.0,760.2,-1.1,59,Wind blowing from the south-west,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,16.9,,,,,,
25.08.2020 08:00,19.0,746.1,761.2,0.5,89,Wind blowing from the south-southeast,2,,,100%.,Shower(s) of rain. ,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,18.3,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,17.2,0.5,12,,,,
25.08.2020 05:00,19.2,745.6,760.5,-1.2,84,Wind blowing from the north-west,2,,,100%.,Shower(s) of rain. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,16.5,,,,,,
25.08.2020 02:00,19.9,746.8,761.3,0.3,77,Wind blowing from the north,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,15.7,,,,,,
24.08.2020 23:00,21.0,746.5,760.9,0.2,75,Wind blowing from the north-northwest,3,,,100%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,16.4,,,,,,
24.08.2020 20:00,25.1,746.3,760.2,1.0,36,Wind blowing from the north-west,1,,,100%., ,,,,29.3,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,9.0,,,,,,
24.08.2020 17:00,28.6,745.3,759.2,-1.5,36,Wind blowing from the south,1,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.1,,,,,,
24.08.2020 14:00,28.6,746.8,760.3,0.1,39,Wind blowing from the south,3,,,100%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.3,,,,,,
24.08.2020 11:00,27.1,746.7,760.9,0.5,43,Wind blowing from the south,4,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,13.3,,,,,,
24.08.2020 08:00,21.9,746.2,761.6,1.0,71,Wind blowing from the south,3,,,50%., ,,,17.2,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,16.3,,,,,,
24.08.2020 05:00,18.1,745.2,760.0,-1.5,87,Wind blowing from the south-southeast,2,,,no clouds, ,,,,,,,,,,20.0,15.9,,,,,,
24.08.2020 02:00,18.8,746.7,761.7,-0.4,81,Wind blowing from the south,2,,,no clouds, ,,,,,,,,,,20.0,15.5,,,,,,
23.08.2020 23:00,21.0,747.1,761.5,0.5,67,Wind blowing from the south,3,,,no clouds, ,,,,,,,,,,20.0,14.6,,,,,,
23.08.2020 20:00,24.5,746.6,760.8,0.8,46,Wind blowing from the east-southeast,4,,,"10%  or less, but not 0", ,,,,29.1,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.1,,,,,,
23.08.2020 17:00,28.4,745.8,760.7,-1.9,33,Wind blowing from the east-southeast,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,10.5,,,,,,
23.08.2020 14:00,28.1,747.7,761.7,-0.6,36,Wind blowing from the east-southeast,4,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,11.7,,,,,,
23.08.2020 11:00,25.0,748.3,762.6,0.3,46,Wind blowing from the south-southeast,4,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,12.6,,,,,,
23.08.2020 08:00,19.3,748.0,763.2,-0.9,68,Wind blowing from the east-southeast,2,,,no clouds, ,,,16.8,,,,,,,20.0,13.1,,,,,,
23.08.2020 05:00,17.2,748.9,763.2,1.2,74,Wind blowing from the north-northeast,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.4,,,,,,
23.08.2020 02:00,18.5,747.7,763.1,0.0,69,Wind blowing from the east,2,,,no clouds, ,,,,,,,,,,20.0,12.6,,,,,,
22.08.2020 23:00,21.1,747.7,762.5,0.8,55,Wind blowing from the east,3,,,no clouds, ,,,,,,,,,,20.0,11.8,,,,,,
22.08.2020 20:00,25.8,746.9,761.1,0.2,37,Wind blowing from the east-northeast,2,,,40%., ,,,,30.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,9.9,,,,,,
22.08.2020 17:00,28.7,746.7,760.9,-0.3,31,Wind blowing from the north,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,10.0,,,,,,
22.08.2020 14:00,29.6,747.0,761.8,-0.5,32,Wind blowing from the north,4,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,11.2,,,,,,
22.08.2020 11:00,26.9,747.5,762.1,-1.0,41,Wind blowing from the north-northwest,5,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,12.6,,,,,,
22.08.2020 08:00,22.5,748.5,763.2,0.2,60,Wind blowing from the north-northwest,4,,,no clouds, ,,,20.5,,,,,,,20.0,14.4,,,,,,
22.08.2020 05:00,21.1,748.3,762.8,0.5,61,Wind blowing from the north-northwest,4,,,no clouds, ,,,,,,,,,,20.0,13.3,,,,,,
22.08.2020 02:00,22.5,747.8,762.7,-0.2,54,Wind blowing from the north-northwest,3,,,no clouds, ,,,,,,,,,,20.0,12.7,,,,,,
21.08.2020 23:00,24.2,748.0,762.4,0.0,47,Wind blowing from the north-northwest,3,,,no clouds, ,,,,,,,,,,20.0,12.1,,,,,,
21.08.2020 20:00,26.6,748.0,762.0,2.7,42,Wind blowing from the north-northwest,4,,,no clouds, ,,,,31.8,,,,,,20.0,12.7,,,,,,
21.08.2020 17:00,30.9,745.3,759.6,-0.9,28,Wind blowing from the north-northwest,5,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,10.3,,,,,,
21.08.2020 14:00,31.1,746.2,760.9,-1.6,34,Wind blowing from the north-west,5,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,13.3,,,,,,
21.08.2020 11:00,28.4,747.8,761.3,1.6,46,Wind blowing from the north-northwest,5,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.",20.0,15.6,,,,,,
21.08.2020 08:00,22.6,746.2,760.9,0.5,66,Wind blowing from the north,4,,,no clouds, ,,,19.9,,,,,,,20.0,15.9,,,,,,
21.08.2020 05:00,20.1,745.7,760.3,0.7,69,Wind blowing from the north-northwest,6,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",20.0,14.2,,,,,,
21.08.2020 02:00,21.4,745.0,759.0,1.9,60,Wind blowing from the north-northwest,7,,,no clouds, ,,,,,,,,,,20.0,13.2,,,,,,
