"# Weather station Rome / Fiumicino (airport), Italy, METAR=LIRF,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LIRF&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Rome / Fiumicino (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.08.2020 13:50,18.0,758.0,758.2,100,Wind blowing from the east,6,,Light rain,Rain,"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 840 m",10.0 and more,18.0
31.08.2020 13:20,18.0,759.5,759.7,100,Wind blowing from the east,6,,Light rain,Rain,Scattered clouds (40-50%) 540 m,8,18.0
31.08.2020 12:50,18.0,759.5,759.7,94,Wind blowing from the east-northeast,4,,Rain,,Few clouds (10-30%) 540 m,8,17.0
31.08.2020 12:20,18.0,761.0,761.2,94,Wind blowing from the west,3,,Rain,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 750 m",7,17.0
31.08.2020 11:50,19.0,761.8,762.0,88,Wind blowing from the west,6,,Rain,,"Scattered clouds (40-50%) 540 m, scattered clouds (40-50%) 900 m",6,17.0
31.08.2020 11:20,19.0,761.0,761.2,94,Wind blowing from the west-southwest,4,,Rain,,"Scattered clouds (40-50%) 750 m, broken clouds (60-90%) 1200 m",5,18.0
31.08.2020 10:50,19.0,761.0,761.2,94,Wind blowing from the west-southwest,4,,Light rain,Rain,"Few clouds (10-30%) 510 m, scattered clouds (40-50%) 750 m",7,18.0
31.08.2020 10:20,19.0,761.0,761.2,94,Wind blowing from the west-southwest,4,,Rain,,"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 750 m",4,18.0
31.08.2020 09:50,20.0,760.3,760.5,88,Wind blowing from the east-southeast,2,,"Light shower(s), rain",,"Scattered clouds (40-50%) 360 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 750 m",9,18.0
31.08.2020 09:20,20.0,760.3,760.5,88,Wind blowing from the east,5,,,,"Scattered clouds (40-50%) 540 m, broken clouds (60-90%) 750 m",10.0 and more,18.0
31.08.2020 08:50,20.0,760.3,760.5,94,Wind blowing from the east,3,,Light rain,Rain,"Scattered clouds (40-50%) 660 m, scattered clouds (40-50%) 1650 m",10.0 and more,19.0
31.08.2020 08:20,19.0,761.0,761.2,100,Wind blowing from the south-east,4,,Rain,,"Scattered clouds (40-50%) 660 m, scattered clouds (40-50%) 1050 m",6,19.0
31.08.2020 07:50,20.0,761.0,761.2,94,Wind blowing from the south-east,2,,Rain,,"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1350 m",5,19.0
31.08.2020 07:20,20.0,761.0,761.2,94,Wind blowing from the east,3,,Rain,,Scattered clouds (40-50%) 600 m,6,19.0
31.08.2020 06:50,21.0,761.0,761.2,94,Wind blowing from the east-southeast,3,,Light rain,"Thunderstorm, rain","Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1440 m",5,20.0
31.08.2020 06:20,21.0,760.3,760.5,88,Wind blowing from the east-southeast,3,,"Thunderstorm, rain",,"Few clouds (10-30%) 450 m, cumulonimbus clouds , broken clouds (60-90%) 900 m",3,19.0
31.08.2020 05:50,21.0,759.5,759.7,94,Wind blowing from the north-east,3,,Light rain,,Scattered clouds (40-50%) 1500 m,8,20.0
31.08.2020 05:20,22.0,760.3,760.5,88,Wind blowing from the north-west,3,,Light rain,,Few clouds (10-30%) 1500 m,10.0 and more,20.0
31.08.2020 04:50,22.0,759.5,759.7,88,Wind blowing from the north-west,3,,,,Few clouds (10-30%) 1500 m,10.0 and more,20.0
31.08.2020 04:20,23.0,759.5,759.7,78,variable wind direction,1,,,,Scattered clouds (40-50%) 1500 m,10.0 and more,19.0
31.08.2020 03:50,23.0,758.8,759.0,78,Wind blowing from the east-southeast,3,,,,Few clouds (10-30%) 1500 m,10.0 and more,19.0
31.08.2020 03:20,23.0,758.8,759.0,78,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,19.0
31.08.2020 02:50,23.0,759.5,759.7,78,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,19.0
31.08.2020 02:20,24.0,759.5,759.7,74,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,19.0
31.08.2020 01:50,23.0,759.5,759.7,78,Wind blowing from the west-southwest,3,,,,Scattered clouds (40-50%) 1500 m,10.0 and more,19.0
31.08.2020 01:20,23.0,759.5,759.7,78,variable wind direction,1,,,,Scattered clouds (40-50%) 1350 m,10.0 and more,19.0
31.08.2020 00:50,24.0,759.5,759.7,74,Wind blowing from the west,2,,,,Scattered clouds (40-50%) 1350 m,10.0 and more,19.0
31.08.2020 00:20,22.0,759.5,759.7,83,variable wind direction,1,,,,Few clouds (10-30%) 1350 m,10.0 and more,19.0
30.08.2020 23:50,23.0,759.5,759.7,78,Wind blowing from the west-southwest,2,,,,Scattered clouds (40-50%) 1500 m,10.0 and more,19.0
30.08.2020 23:20,23.0,759.5,759.7,78,variable wind direction,1,,,,Scattered clouds (40-50%) 1350 m,10.0 and more,19.0
30.08.2020 22:50,24.0,758.8,759.0,74,Wind blowing from the west-southwest,2,,,,Few clouds (10-30%) 1200 m,10.0 and more,19.0
30.08.2020 22:20,24.0,758.8,759.0,69,variable wind direction,1,,Light drizzle,,Few clouds (10-30%) 1500 m,10.0 and more,18.0
30.08.2020 21:50,25.0,758.8,759.0,61,variable wind direction,1,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 21:20,25.0,758.8,759.0,61,variable wind direction,1,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 20:50,25.0,758.8,759.0,61,variable wind direction,1,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 20:20,25.0,758.8,759.0,61,variable wind direction,1,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 19:50,25.0,758.8,759.0,61,variable wind direction,1,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 19:20,25.0,758.0,758.2,61,variable wind direction,1,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,17.0
30.08.2020 18:50,26.0,758.0,758.2,58,variable wind direction,1,,,,Broken clouds (60-90%) 1200 m,10.0 and more,17.0
30.08.2020 18:20,26.0,758.0,758.2,58,Wind blowing from the west,3,,,,Scattered clouds (40-50%) 1200 m,10.0 and more,17.0
30.08.2020 17:50,26.0,758.0,758.2,61,Wind blowing from the west,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,18.0
30.08.2020 17:20,26.0,758.0,758.2,65,Wind blowing from the west,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,19.0
30.08.2020 16:50,26.0,757.5,757.7,70,Wind blowing from the west,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,20.0
30.08.2020 16:20,26.0,757.5,757.7,70,Wind blowing from the west,4,,,,No Significant Clouds,10.0 and more,20.0
30.08.2020 15:50,26.0,757.5,757.7,79,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,22.0
30.08.2020 15:20,27.0,756.7,756.9,74,Wind blowing from the west,5,,,,No Significant Clouds,10.0 and more,22.0
30.08.2020 14:50,26.0,756.7,756.9,79,Wind blowing from the west-southwest,5,,In the vicinity shower(s),,"Few clouds (10-30%) 450 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 1050 m",10.0 and more,22.0
30.08.2020 14:20,29.0,756.7,756.9,79,Wind blowing from the south,7,,"Light shower(s), rain",,"Scattered clouds (40-50%) 450 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 750 m",10.0 and more,25.0
30.08.2020 13:50,29.0,756.7,756.9,79,Wind blowing from the south,7,,,,"Scattered clouds (40-50%) 450 m, scattered clouds (40-50%) 900 m",10.0 and more,25.0
30.08.2020 13:20,29.0,756.0,756.2,74,Wind blowing from the south-southeast,8,,,,"Few clouds (10-30%) 450 m, scattered clouds (40-50%) 750 m",10.0 and more,24.0
30.08.2020 12:50,30.0,756.7,756.9,75,Wind blowing from the south,7,12,,,Few clouds (10-30%) 600 m,10.0 and more,25.0
30.08.2020 12:20,30.0,756.0,756.2,75,Wind blowing from the south,9,14,,,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 900 m",9,25.0
30.08.2020 11:50,28.0,756.0,756.2,79,Wind blowing from the south-southeast,10,15,,,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 900 m",10.0 and more,24.0
30.08.2020 11:20,30.0,756.0,756.2,70,Wind blowing from the south-southeast,8,13,,,"Scattered clouds (40-50%) 600 m, scattered clouds (40-50%) 900 m",10.0 and more,24.0
30.08.2020 10:50,29.0,756.0,756.2,74,Wind blowing from the south-southeast,7,12,,,"Few clouds (10-30%) 660 m, broken clouds (60-90%) 1050 m",10.0 and more,24.0
30.08.2020 10:20,29.0,756.0,756.2,74,Wind blowing from the south-southeast,8,14,,,"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 1140 m",9,24.0
30.08.2020 09:50,28.0,756.0,756.2,84,Wind blowing from the south,6,,,,"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1140 m",9,25.0
30.08.2020 09:20,28.0,756.0,756.2,79,Wind blowing from the south-southeast,8,,,,Scattered clouds (40-50%) 900 m,10.0 and more,24.0
30.08.2020 08:50,28.0,755.2,755.4,79,Wind blowing from the south-southeast,9,,,,"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1200 m",9,24.0
30.08.2020 08:20,28.0,754.4,754.6,79,Wind blowing from the south-east,8,,,,"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1200 m",9,24.0
30.08.2020 07:50,26.0,755.2,755.4,84,Wind blowing from the south-east,8,,,,"Scattered clouds (40-50%) 900 m, broken clouds (60-90%) 1200 m",9,23.0
30.08.2020 07:20,26.0,755.2,755.4,74,Wind blowing from the south,4,,"Light shower(s), rain",,Broken clouds (60-90%) 900 m,8,21.0
30.08.2020 06:50,26.0,754.4,754.6,70,Wind blowing from the south-east,6,,,,Scattered clouds (40-50%) 900 m,10.0 and more,20.0
30.08.2020 06:20,25.0,754.4,754.6,79,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 900 m,10.0 and more,21.0
30.08.2020 05:50,25.0,755.2,755.4,79,Wind blowing from the south-southeast,6,,Light rain,"Thunderstorm, rain",No Significant Clouds,10.0 and more,21.0
30.08.2020 05:20,26.0,756.0,756.2,74,Wind blowing from the south,5,,"Thunderstorm, rain",,"Scattered clouds (40-50%) 900 m, cumulonimbus clouds , broken clouds (60-90%) 1500 m",7,21.0
30.08.2020 04:50,27.0,755.2,755.4,54,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 04:20,27.0,754.4,754.6,54,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 03:50,27.0,754.4,754.6,58,Wind blowing from the south-east,6,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 03:20,27.0,754.4,754.6,62,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,19.0
30.08.2020 02:50,27.0,754.4,754.6,62,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,19.0
30.08.2020 02:20,27.0,753.7,753.9,70,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,21.0
30.08.2020 01:50,27.0,754.4,754.6,74,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,22.0
30.08.2020 01:20,27.0,754.4,754.6,74,Wind blowing from the south-east,7,,,,Few clouds (10-30%) 840 m,10.0 and more,22.0
30.08.2020 00:50,27.0,755.2,755.4,79,Wind blowing from the south-southeast,7,,,,Few clouds (10-30%) 750 m,10.0 and more,23.0
30.08.2020 00:20,27.0,754.4,754.6,79,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 23:50,27.0,754.4,754.6,74,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 23:20,27.0,753.7,753.9,74,Wind blowing from the south-east,9,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 22:50,27.0,753.7,753.9,74,Wind blowing from the south-east,9,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 22:20,27.0,754.4,754.6,74,Wind blowing from the south-east,9,14,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 21:50,27.0,754.4,754.6,70,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 21:20,27.0,754.4,754.6,74,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 20:50,27.0,753.7,753.9,74,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 20:20,28.0,753.7,753.9,70,Wind blowing from the south-east,8,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 19:50,28.0,753.7,753.9,66,Wind blowing from the south-east,8,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 19:20,28.0,752.9,753.1,66,Wind blowing from the south-east,8,13,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 18:50,28.0,752.9,753.1,66,Wind blowing from the south-east,8,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 18:20,29.0,752.9,753.1,62,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 17:50,29.0,752.9,753.1,58,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,20.0
29.08.2020 17:20,30.0,752.9,753.1,55,Wind blowing from the south-east,11,,,,No Significant Clouds,10.0 and more,20.0
29.08.2020 16:50,30.0,752.9,753.1,55,Wind blowing from the south-southeast,10,,,,No Significant Clouds,10.0 and more,20.0
29.08.2020 16:20,30.0,752.9,753.1,55,Wind blowing from the south-east,9,14,,,No Significant Clouds,10.0 and more,20.0
29.08.2020 15:50,30.0,753.7,753.9,59,Wind blowing from the south-southeast,9,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 15:20,30.0,753.7,753.9,59,Wind blowing from the south-southeast,9,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 14:50,29.0,753.7,753.9,66,Wind blowing from the south-southeast,8,14,,Thunderstorm,Few clouds (10-30%) 1200 m,10.0 and more,22.0
29.08.2020 14:20,28.0,754.4,754.6,70,Wind blowing from the south-southeast,7,,"Thunderstorm, in the vicinity shower(s)",,"Few clouds (10-30%) 300 m, cumulonimbus clouds",10.0 and more,22.0
29.08.2020 13:50,29.0,754.4,754.6,62,Wind blowing from the south,5,,,,Few clouds (10-30%) 1200 m,10.0 and more,21.0
29.08.2020 13:20,29.0,754.4,754.6,70,Wind blowing from the south,5,,,,Few clouds (10-30%) 1140 m,10.0 and more,23.0
29.08.2020 12:50,30.0,754.4,754.6,62,Wind blowing from the south-southeast,8,13,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 12:20,31.0,753.7,753.9,59,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 11:50,30.0,753.7,753.9,55,Wind blowing from the south,7,13,,,No Significant Clouds,10.0 and more,20.0
29.08.2020 11:20,31.0,754.4,754.6,49,Wind blowing from the south,7,,,,No Significant Clouds,10.0 and more,19.0
29.08.2020 10:50,31.0,754.4,754.6,46,Wind blowing from the south-southeast,8,14,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 10:20,31.0,754.4,754.6,46,Wind blowing from the south-southeast,9,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 09:50,31.0,754.4,754.6,46,Wind blowing from the south-southeast,6,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 09:20,31.0,754.4,754.6,46,Wind blowing from the south-east,7,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 08:50,30.0,754.4,754.6,49,Wind blowing from the south-east,8,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 08:20,29.0,754.4,754.6,51,Wind blowing from the south-east,6,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 07:50,28.0,754.4,754.6,55,Wind blowing from the south-east,6,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 07:20,27.0,754.4,754.6,58,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 06:50,25.0,754.4,754.6,65,Wind blowing from the east-southeast,5,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 06:20,24.0,754.4,754.6,74,Wind blowing from the east-southeast,4,,,,No Significant Clouds,10.0 and more,19.0
29.08.2020 05:50,24.0,754.4,754.6,83,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 05:20,23.0,754.4,754.6,89,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,21.0
29.08.2020 04:50,23.0,754.4,754.6,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 04:20,24.0,754.4,754.6,89,Wind blowing from the east-southeast,4,,,,No Significant Clouds,10.0 and more,22.0
29.08.2020 03:50,24.0,754.4,754.6,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 03:20,24.0,755.2,755.4,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 02:50,24.0,755.2,755.4,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 02:20,24.0,755.2,755.4,94,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 01:50,24.0,755.2,755.4,94,Wind blowing from the south-east,5,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 01:20,24.0,755.2,755.4,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 00:50,24.0,755.2,755.4,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
29.08.2020 00:20,24.0,755.2,755.4,94,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
28.08.2020 23:50,25.0,755.2,755.4,89,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,23.0
28.08.2020 23:20,25.0,755.2,755.4,83,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,22.0
28.08.2020 22:50,25.0,755.2,755.4,83,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,22.0
28.08.2020 22:20,25.0,755.2,755.4,74,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 21:50,25.0,756.0,756.2,74,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 21:20,26.0,756.0,756.2,70,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 20:50,26.0,756.0,756.2,74,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,21.0
28.08.2020 20:20,26.0,756.0,756.2,70,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 19:50,27.0,756.0,756.2,66,Wind blowing from the south-east,2,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 19:20,27.0,756.0,756.2,62,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 18:50,28.0,756.0,756.2,51,Wind blowing from the south-southeast,2,,,,No Significant Clouds,10.0 and more,17.0
28.08.2020 18:20,29.0,756.0,756.2,48,Wind blowing from the south-southeast,3,,,,No Significant Clouds,10.0 and more,17.0
28.08.2020 17:50,29.0,756.0,756.2,48,Wind blowing from the south-southeast,3,,,,No Significant Clouds,10.0 and more,17.0
28.08.2020 17:20,29.0,756.0,756.2,51,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,18.0
28.08.2020 16:50,29.0,756.0,756.2,51,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,18.0
28.08.2020 16:20,29.0,756.7,756.9,55,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 15:50,30.0,756.7,756.9,55,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 15:20,30.0,756.7,756.9,52,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 14:50,29.0,756.7,756.9,55,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 14:20,29.0,756.7,756.9,55,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 13:50,30.0,756.7,756.9,52,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 13:20,30.0,756.7,756.9,55,Wind blowing from the south,4,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 12:50,30.0,757.5,757.7,52,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,19.0
28.08.2020 12:20,30.0,757.5,757.7,55,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 11:50,30.0,757.5,757.7,59,Wind blowing from the south,5,,,,Few clouds (10-30%) 750 m,10.0 and more,21.0
28.08.2020 11:20,29.0,757.5,757.7,62,Wind blowing from the south,5,,,,Few clouds (10-30%) 750 m,10.0 and more,21.0
28.08.2020 10:50,29.0,757.5,757.7,66,Wind blowing from the south,5,,,,Few clouds (10-30%) 600 m,10.0 and more,22.0
28.08.2020 10:20,29.0,757.5,757.7,62,Wind blowing from the south,6,,,,Scattered clouds (40-50%) 750 m,10.0 and more,21.0
28.08.2020 09:50,28.0,757.5,757.7,70,Wind blowing from the south,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,22.0
28.08.2020 09:20,28.0,757.5,757.7,70,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,22.0
28.08.2020 08:50,27.0,757.5,757.7,74,Wind blowing from the south-southeast,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,22.0
28.08.2020 08:20,28.0,757.5,757.7,70,Wind blowing from the south-east,5,,,,Scattered clouds (40-50%) 600 m,10.0 and more,22.0
28.08.2020 07:50,27.0,757.5,757.7,70,Wind blowing from the east-southeast,3,,,,Scattered clouds (40-50%) 420 m,10.0 and more,21.0
28.08.2020 07:20,25.0,757.5,757.7,74,Wind blowing from the east-southeast,3,,,,Few clouds (10-30%) 750 m,10.0 and more,20.0
28.08.2020 06:50,25.0,757.5,757.7,69,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,19.0
28.08.2020 06:20,23.0,757.5,757.7,78,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,19.0
28.08.2020 05:50,23.0,757.5,757.7,78,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,19.0
28.08.2020 05:20,24.0,757.5,757.7,74,Wind blowing from the east,3,,,,Scattered clouds (40-50%) 900 m,10.0 and more,19.0
28.08.2020 04:50,23.0,757.5,757.7,83,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,20.0
28.08.2020 04:20,23.0,757.5,757.7,83,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,20.0
28.08.2020 03:50,23.0,757.5,757.7,83,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,20.0
28.08.2020 03:20,23.0,757.5,757.7,83,Wind blowing from the east,3,,,,Few clouds (10-30%) 900 m,10.0 and more,20.0
28.08.2020 02:50,24.0,758.0,758.2,78,Wind blowing from the east,3,,,,Scattered clouds (40-50%) 900 m,10.0 and more,20.0
28.08.2020 02:20,24.0,758.0,758.2,83,Wind blowing from the east,2,,,,Few clouds (10-30%) 900 m,10.0 and more,21.0
28.08.2020 01:50,23.0,758.0,758.2,89,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,21.0
28.08.2020 01:20,24.0,758.0,758.2,83,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,21.0
28.08.2020 00:50,23.0,758.8,759.0,89,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,21.0
28.08.2020 00:20,24.0,758.8,759.0,83,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,21.0
27.08.2020 23:50,24.0,758.8,759.0,83,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,21.0
