"# Weather station Ljubljana, Slovenia, WMO_ID=14015,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=14015&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Ljubljana,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.08.2020 16:00,22.4,730.2,755.5,1.0,71,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,16.8,,,,,,
30.08.2020 15:00,21.8,730.5,755.8,,82,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,18.5,,,,,,
30.08.2020 14:00,21.1,729.5,754.9,,82,Wind blowing from the south,1,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",,,,,,,,,,20.0,17.8,,,Surface of ground wet (standing water in small or large pools on surface).,,,
30.08.2020 13:00,23.8,729.2,754.3,-0.6,76,Wind blowing from the south,1,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",,,,,,,,,,20.0,19.2,5,6,Surface of ground wet (standing water in small or large pools on surface).,,,
30.08.2020 12:00,24.3,729.2,754.3,,73,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,19.1,,,,,,
30.08.2020 11:00,21.5,729.7,755.0,,87,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,19.2,,,,,,
30.08.2020 10:00,21.5,729.8,755.1,0.1,84,Wind blowing from the east-northeast,2,,,"90  or more, but not 100%",Shower(s) of rain. ,Thunderstorm(s) with or without precipitation.,"Snow, or rain and snow mixed.",,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",18.0,18.7,,,,,,
30.08.2020 09:00,20.1,729.8,755.2,,89,Wind blowing from the north-east,0,,,"90  or more, but not 100%",Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,100-200,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",15.0,18.2,,,,,,
30.08.2020 08:00,19.5,729.7,755.2,,86,Wind blowing from the north,1,,,100%.,"Rain shower(s), moderate or heavy. ",,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,100-200,Altostratus opacus or Nimbostratus.,,15.0,17.1,,,,,,
30.08.2020 07:00,19.1,729.7,755.2,0.4,87,Wind blowing from the west,1,,,70 – 80%.,Clouds generally forming or developing. ,Thunderstorm(s) with or without precipitation.,Shower(s).,17.6,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25.0,16.9,3,12,Surface of ground wet (standing water in small or large pools on surface).,15.0,,
30.08.2020 06:00,17.6,728.7,754.3,,94,Wind blowing from the north-northeast,1,,,20–30%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",25.0,16.6,,,,,,
30.08.2020 05:00,17.9,729.4,755.1,,92,Wind blowing from the north,0,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25.0,16.6,,,,,,
30.08.2020 04:00,18.1,729.3,754.9,-0.9,90,Wind blowing from the south-southwest,2,,,, ,,,,,,,,,,,16.5,,,,,,
30.08.2020 03:00,18.1,729.4,755.1,,91,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,16.6,,,,,,
30.08.2020 02:00,18.7,728.9,754.4,,92,Wind blowing from the north-northwest,1,,,, ,,,,,,,,,,,17.4,,,,,,
30.08.2020 01:00,19.4,730.2,755.7,1.4,88,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,17.4,,,,,,
30.08.2020 00:00,20.1,730.6,756.1,,83,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,17.1,,,,,,
29.08.2020 23:00,21.8,730.1,755.4,,81,Wind blowing from the north,4,,,, ,,,,,,,,,,,18.4,,,,,,
29.08.2020 22:00,22.0,728.8,754.0,1.2,79,Wind blowing from the north,2,,,, ,,,,,,,,,,,18.1,,,,,,
29.08.2020 21:00,22.7,728.2,753.3,,75,Wind blowing from the north,1,,,70 – 80%., ,,,,,,,,,,25.0,18.0,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
29.08.2020 20:00,23.5,727.9,753.0,,71,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,,,,,,,25.0,17.9,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
29.08.2020 19:00,24.2,727.6,752.6,-0.5,68,Wind blowing from the north,1,,,70 – 80%., ,,,,30.7,,,,,,30.0,18.0,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
29.08.2020 18:00,25.4,727.5,752.4,,67,Wind blowing from the north,2,,,, ,,,,,,,,,,,18.8,,,,,,
29.08.2020 17:00,27.2,727.9,752.7,,58,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,18.2,,,,,,
29.08.2020 16:00,27.5,728.1,752.8,-0.4,54,Wind blowing from the north,2,,,, ,,,,,,,,,,,17.4,,,,,,
29.08.2020 15:00,27.5,728.1,752.8,,54,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,17.4,,,,,,
29.08.2020 14:00,29.9,728.2,752.8,,41,Wind blowing from the south-southwest,1,,,70 – 80%., ,,,,,,,,,,30.0,15.4,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
29.08.2020 13:00,29.4,728.5,753.1,-1.0,44,Wind blowing from the south-southwest,3,,,"90  or more, but not 100%", ,,,,,,,,,,30.0,15.9,No precipitation,6,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
29.08.2020 12:00,28.4,728.8,753.6,,48,Wind blowing from the south,2,,,, ,,,,,,,,,,,16.3,,,,,,
29.08.2020 11:00,28.3,728.9,753.7,,51,Wind blowing from the south,2,,,, ,,,,,,,,,,,17.3,,,,,,
29.08.2020 10:00,25.8,729.5,754.5,0.4,61,Wind blowing from the north-northeast,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.8,,,,,,
29.08.2020 09:00,24.2,729.3,754.3,,66,Wind blowing from the north-east,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.5,,,,,,
29.08.2020 08:00,22.1,729.1,754.4,,75,Wind blowing from the north-northwest,0,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.4,,,,,,
29.08.2020 07:00,20.8,729.1,754.5,0.6,81,Wind blowing from the south-southeast,1,,,70 – 80%., ,,,19.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.4,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,16.0,,
29.08.2020 06:00,20.1,729.1,754.5,,84,Wind blowing from the north,0,,,60%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.3,,,,,,
29.08.2020 05:00,20.2,728.9,754.3,,82,Wind blowing from the west-northwest,0,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.1,,,,,,
29.08.2020 04:00,20.3,728.5,753.9,-0.4,82,Wind blowing from the east-northeast,0,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,17.2,,,,,,
29.08.2020 03:00,20.3,728.7,754.1,,82,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,17.2,,,,,,
29.08.2020 02:00,19.9,728.8,754.2,,83,Wind blowing from the north,0,,,, ,,,,,,,,,,,17.0,,,,,,
29.08.2020 01:00,20.0,728.9,754.3,-0.6,84,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,17.2,,,,,,
29.08.2020 00:00,20.5,729.2,754.6,,86,Wind blowing from the north,1,,,, ,,,,,,,,,,,18.1,,,,,,
28.08.2020 23:00,20.9,729.4,754.8,,84,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,18.0,,,,,,
28.08.2020 22:00,21.9,729.5,754.8,0.1,79,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,18.0,,,,,,
28.08.2020 21:00,22.8,729.7,754.9,,73,Wind blowing from the west-southwest,2,,,70 – 80%., ,,,,,,,,,,25.0,17.7,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
28.08.2020 20:00,23.6,729.9,755.0,,64,Wind blowing from the north-west,0,,,60%., ,,,,,,,,,,25.0,16.4,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
28.08.2020 19:00,24.3,729.4,754.5,-0.3,64,Wind blowing from the south-southwest,1,,,50%., ,,,,28.9,,,,,,25.0,17.1,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
28.08.2020 18:00,26.2,729.4,754.3,,56,Wind blowing from the west,1,,,, ,,,,,,,,,,,16.8,,,,,,
28.08.2020 17:00,27.7,729.5,754.3,,54,Wind blowing from the south-west,1,,,, ,,,,,,,,,,,17.6,,,,,,
28.08.2020 16:00,27.8,729.7,754.6,-1.3,53,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,17.4,,,,,,
28.08.2020 15:00,28.0,730.0,754.7,,51,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,17.0,,,,,,
28.08.2020 14:00,28.6,730.3,755.1,,50,Wind blowing from the east-southeast,1,,,40%., ,,,,,,,,,,30.0,17.2,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
28.08.2020 13:00,27.8,731.0,755.8,-1.8,53,Wind blowing from the east-northeast,2,,,60%., ,,,,,,,,,,30.0,17.2,No precipitation,6,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
28.08.2020 12:00,26.8,731.5,756.5,,53,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,16.5,,,,,,
28.08.2020 11:00,25.6,732.3,757.3,,57,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,16.5,,,,,,
28.08.2020 10:00,23.6,732.8,758.1,-0.8,61,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,15.6,,,,,,
28.08.2020 09:00,21.5,733.3,758.8,,72,Wind blowing from the north,0,,,, ,,,,,,,,,,,16.3,,,,,,
28.08.2020 08:00,19.7,733.6,759.2,,81,Wind blowing from the east-northeast,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,1000-1500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,16.3,,,,,,
28.08.2020 07:00,18.2,733.6,759.4,,87,Wind blowing from the north-east,1,,,50%.,Mist. ,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,16.9,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,200-300,Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",1.2,15.9,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,12.0,,
28.08.2020 06:00,17.2,733.5,759.4,,90,Wind blowing from the north-northwest,0,,,50%.,Mist. ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,200-300,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",1.2,15.5,,,,,,
28.08.2020 05:00,17.0,733.3,759.2,,91,Wind blowing from the north-east,0,,,20–30%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ",,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",20.0,15.5,,,,,,
28.08.2020 04:00,17.5,733.3,759.1,-0.5,87,"Calm, no wind",0,,,, ,,,,,,,,,,,15.3,,,,,,
28.08.2020 03:00,18.0,733.6,759.4,,85,"Calm, no wind",0,,,, ,,,,,,,,,,,15.5,,,,,,
28.08.2020 02:00,18.4,733.8,759.5,,87,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,16.1,,,,,,
28.08.2020 01:00,19.0,733.8,759.5,-0.2,82,Wind blowing from the north,0,,,, ,,,,,,,,,,,15.9,,,,,,
28.08.2020 00:00,19.8,733.9,759.6,,77,"Calm, no wind",0,,,, ,,,,,,,,,,,15.7,,,,,,
27.08.2020 23:00,20.5,734.1,759.7,,75,Wind blowing from the north,1,,,, ,,,,,,,,,,,15.9,,,,,,
27.08.2020 22:00,21.4,734.0,759.5,0.7,73,Wind blowing from the north,1,,,, ,,,,,,,,,,,16.4,,,,,,
27.08.2020 21:00,22.0,734.1,759.5,,72,Wind blowing from the north-east,2,,,20–30%., ,,,,,,,,,,25.0,16.6,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
27.08.2020 20:00,23.4,733.8,759.1,,66,Wind blowing from the north-east,0,,,20–30%., ,,,,,,,,,,25.0,16.6,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
27.08.2020 19:00,25.0,733.3,758.5,-0.4,57,Wind blowing from the east-southeast,1,,,20–30%.,Cloud development not observed or not observable. ,,,,28.3,,,,,,40.0,16.0,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
27.08.2020 18:00,26.6,733.3,758.4,,50,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,15.4,,,,,,
27.08.2020 17:00,27.1,733.5,758.5,,48,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,15.1,,,,,,
27.08.2020 16:00,27.5,733.7,758.7,-1.5,44,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,14.1,,,,,,
27.08.2020 15:00,27.7,734.1,759.1,,43,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,14.0,,,,,,
27.08.2020 14:00,27.9,734.6,759.6,,40,Wind blowing from the south-east,2,,,"10%  or less, but not 0", ,,,,,,,,,,40.0,13.2,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
27.08.2020 13:00,27.1,735.2,760.3,-1.7,41,Wind blowing from the east-southeast,3,,,50%., ,,,,,,,,,,40.0,12.7,No precipitation,6,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,,,
27.08.2020 12:00,26.2,735.6,760.8,,42,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,12.1,,,,,,
27.08.2020 11:00,26.2,736.3,761.5,,46,Wind blowing from the east,2,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",40.0,13.7,,,,,,
27.08.2020 10:00,24.3,736.9,762.2,,62,Wind blowing from the north-northeast,1,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",40.0,16.6,,,,,,
27.08.2020 09:00,22.2,736.8,762.3,,67,Wind blowing from the north-northeast,1,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40.0,15.8,,,,,,
27.08.2020 08:00,19.2,736.9,762.7,,78,Wind blowing from the east-northeast,1,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40.0,15.2,,,,,,
27.08.2020 07:00,18.0,737.0,763.0,1.0,83,Wind blowing from the north,0,,,"10%  or less, but not 0", ,,,16.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",1000-1500,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",40.0,15.0,No precipitation,12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,11.0,,
27.08.2020 06:00,16.6,736.5,762.5,,90,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",40.0,14.9,,,,,,
27.08.2020 05:00,16.1,736.3,762.4,,90,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0",,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",40.0,14.5,,,,,,
27.08.2020 04:00,16.6,736.0,762.0,0.7,89,Wind blowing from the north-northeast,1,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,14.8,,,,,,
27.08.2020 03:00,17.5,735.8,761.8,,86,Wind blowing from the north-northeast,0,,,, ,,,,,,,,,,,15.1,,,,,,
27.08.2020 02:00,17.5,735.5,761.4,,86,"Calm, no wind",0,,,, ,,,,,,,,,,,15.2,,,,,,
27.08.2020 01:00,18.1,735.3,761.2,0.5,84,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,15.3,,,,,,
27.08.2020 00:00,18.9,735.4,761.2,,80,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,15.3,,,,,,
