"# Weather station London / St. James's Park, UK, WMO_ID=3770,selection from 03.04.2020 till 01.09.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3770&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in London / St. James's Park,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 11:00,15.3,,,,47,,,,,, ,,,,,,,,,,,3.9,,,,,,
31.08.2020 10:00,16.1,,,,61,,,,,, ,,,,,,,,,,,8.6,,,,,,
31.08.2020 09:00,14.2,,,,73,,,,,, ,,,,,,,,,,,9.3,,,,,,
31.08.2020 08:00,12.6,,,,76,,,,,, ,,,,,,,,,,,8.5,,,,,,
31.08.2020 07:00,11.0,,,,93,,,,,, ,,,,,,,,,,,9.9,,,,,,
31.08.2020 06:00,8.5,,,,95,,,,,, ,,,8.1,,,,,,,,7.8,No precipitation,12,,,,
31.08.2020 05:00,8.5,,,,94,,,,,, ,,,,,,,,,,,7.6,,,,,,
31.08.2020 04:00,9.2,,,,91,,,,,, ,,,,,,,,,,,7.8,,,,,,
31.08.2020 03:00,10.2,,,,87,,,,,, ,,,,,,,,,,,8.1,,,,,,
31.08.2020 02:00,11.7,,,,79,,,,,, ,,,,,,,,,,,8.2,,,,,,
31.08.2020 01:00,12.2,,,,76,,,,,, ,,,,,,,,,,,8.1,,,,,,
31.08.2020 00:00,12.3,,,,74,,,,,, ,,,,,,,,,,,7.7,No precipitation,6,,,,
30.08.2020 23:00,13.1,,,,70,,,,,, ,,,,,,,,,,,7.7,,,,,,
30.08.2020 22:00,13.4,,,,67,,,,,, ,,,,,,,,,,,7.4,,,,,,
30.08.2020 21:00,13.8,,,,62,,,,,, ,,,,,,,,,,,6.7,,,,,,
30.08.2020 20:00,14.2,,,,59,,,,,, ,,,,,,,,,,,6.3,,,,,,
30.08.2020 19:00,14.8,,,,58,,,,,, ,,,,,,,,,,,6.6,,,,,,
30.08.2020 18:00,15.6,,,,53,,,,,, ,,,,16.9,,,,,,,5.9,No precipitation,12,,,,
30.08.2020 17:00,16.3,,,,51,,,,,, ,,,,,,,,,,,6.2,,,,,,
30.08.2020 16:00,16.3,,,,55,,,,,, ,,,,,,,,,,,7.1,,,,,,
30.08.2020 15:00,16.7,,,,53,,,,,, ,,,,,,,,,,,7.1,,,,,,
30.08.2020 14:00,16.1,,,,57,,,,,, ,,,,,,,,,,,7.5,,,,,,
30.08.2020 13:00,15.4,,,,61,,,,,, ,,,,,,,,,,,7.9,,,,,,
30.08.2020 12:00,15.6,,,,64,,,,,, ,,,,,,,,,,,8.7,No precipitation,6,,,,
30.08.2020 11:00,15.8,,,,64,,,,,, ,,,,,,,,,,,9.0,,,,,,
30.08.2020 10:00,15.5,,,,66,,,,,, ,,,,,,,,,,,9.2,,,,,,
30.08.2020 09:00,15.0,,,,69,,,,,, ,,,,,,,,,,,9.3,,,,,,
30.08.2020 08:00,13.2,,,,75,,,,,, ,,,,,,,,,,,8.8,,,,,,
30.08.2020 07:00,12.4,,,,76,,,,,, ,,,,,,,,,,,8.3,,,,,,
30.08.2020 06:00,12.4,,,,79,,,,,, ,,,12.4,,,,,,,,8.8,No precipitation,12,,,,
30.08.2020 05:00,12.6,,,,79,,,,,, ,,,,,,,,,,,9.0,,,,,,
30.08.2020 04:00,12.7,,,,81,,,,,, ,,,,,,,,,,,9.5,,,,,,
30.08.2020 03:00,12.6,,,,82,,,,,, ,,,,,,,,,,,9.6,,,,,,
30.08.2020 02:00,12.6,,,,82,,,,,, ,,,,,,,,,,,9.5,,,,,,
30.08.2020 01:00,12.6,,,,80,,,,,, ,,,,,,,,,,,9.3,,,,,,
30.08.2020 00:00,12.5,,,,80,,,,,, ,,,,,,,,,,,9.1,No precipitation,6,,,,
29.08.2020 23:00,12.7,,,,80,,,,,, ,,,,,,,,,,,9.3,,,,,,
29.08.2020 22:00,12.8,,,,84,,,,,, ,,,,,,,,,,,10.1,,,,,,
29.08.2020 21:00,12.8,,,,87,,,,,, ,,,,,,,,,,,10.7,,,,,,
29.08.2020 20:00,12.6,,,,87,,,,,, ,,,,,,,,,,,10.5,,,,,,
29.08.2020 19:00,12.6,,,,85,,,,,, ,,,,,,,,,,,10.1,,,,,,
29.08.2020 18:00,13.3,,,,80,,,,,, ,,,,15.7,,,,,,,9.8,No precipitation,12,,,,
29.08.2020 17:00,14.3,,,,73,,,,,, ,,,,,,,,,,,9.4,,,,,,
29.08.2020 16:00,14.0,,,,74,,,,,, ,,,,,,,,,,,9.3,,,,,,
29.08.2020 15:00,14.6,,,,70,,,,,, ,,,,,,,,,,,9.2,,,,,,
29.08.2020 14:00,15.4,,,,67,,,,,, ,,,,,,,,,,,9.2,,,,,,
29.08.2020 13:00,15.1,,,,68,,,,,, ,,,,,,,,,,,9.1,,,,,,
29.08.2020 12:00,15.2,,,,69,,,,,, ,,,,,,,,,,,9.4,No precipitation,6,,,,
29.08.2020 11:00,14.6,,,,68,,,,,, ,,,,,,,,,,,8.7,,,,,,
29.08.2020 10:00,13.7,,,,71,,,,,, ,,,,,,,,,,,8.5,,,,,,
29.08.2020 09:00,13.5,,,,73,,,,,, ,,,,,,,,,,,8.7,,,,,,
29.08.2020 08:00,13.4,,,,75,,,,,, ,,,,,,,,,,,9.1,,,,,,
29.08.2020 07:00,13.4,,,,77,,,,,, ,,,,,,,,,,,9.4,,,,,,
29.08.2020 06:00,13.1,,,,83,,,,,, ,,,11.9,,,,,,,,10.2,3,12,,,,
29.08.2020 05:00,13.0,,,,83,,,,,, ,,,,,,,,,,,10.1,,,,,,
29.08.2020 04:00,12.8,,,,83,,,,,, ,,,,,,,,,,,10.0,,,,,,
29.08.2020 03:00,12.7,,,,83,,,,,, ,,,,,,,,,,,9.9,,,,,,
29.08.2020 02:00,12.8,,,,81,,,,,, ,,,,,,,,,,,9.6,,,,,,
29.08.2020 01:00,12.3,,,,87,,,,,, ,,,,,,,,,,,10.2,,,,,,
29.08.2020 00:00,12.0,,,,89,,,,,, ,,,,,,,,,,,10.2,3,6,,,,
28.08.2020 23:00,12.1,,,,91,,,,,, ,,,,,,,,,,,10.6,,,,,,
28.08.2020 22:00,12.1,,,,91,,,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 21:00,13.0,,,,82,,,,,, ,,,,,,,,,,,10.0,,,,,,
28.08.2020 20:00,14.2,,,,74,,,,,, ,,,,,,,,,,,9.5,,,,,,
28.08.2020 19:00,14.7,,,,74,,,,,, ,,,,,,,,,,,10.1,,,,,,
28.08.2020 18:00,15.5,,,,75,,,,,, ,,,,20.3,,,,,,,11.0,0.8,12,,,,
28.08.2020 17:00,16.2,,,,74,,,,,, ,,,,,,,,,,,11.5,,,,,,
28.08.2020 16:00,16.1,,,,71,,,,,, ,,,,,,,,,,,10.9,,,,,,
28.08.2020 15:00,16.8,,,,67,,,,,, ,,,,,,,,,,,10.7,,,,,,
28.08.2020 14:00,17.8,,,,68,,,,,, ,,,,,,,,,,,11.7,,,,,,
28.08.2020 13:00,18.0,,,,66,,,,,, ,,,,,,,,,,,11.4,,,,,,
28.08.2020 12:00,18.5,,,,62,,,,,, ,,,,,,,,,,,11.0,0.8,6,,,,
28.08.2020 11:00,19.1,,,,66,,,,,, ,,,,,,,,,,,12.5,,,,,,
28.08.2020 10:00,17.1,,,,68,,,,,, ,,,,,,,,,,,11.2,,,,,,
28.08.2020 09:00,15.4,,,,91,,,,,, ,,,,,,,,,,,13.9,,,,,,
28.08.2020 08:00,14.7,,,,90,,,,,, ,,,,,,,,,,,13.0,,,,,,
28.08.2020 07:00,14.0,,,,94,,,,,, ,,,,,,,,,,,13.1,,,,,,
28.08.2020 06:00,13.6,,,,95,,,,,, ,,,13.4,,,,,,,,12.8,4,12,,,,
28.08.2020 05:00,13.5,,,,94,,,,,, ,,,,,,,,,,,12.5,,,,,,
28.08.2020 04:00,13.8,,,,92,,,,,, ,,,,,,,,,,,12.5,,,,,,
28.08.2020 03:00,14.3,,,,91,,,,,, ,,,,,,,,,,,12.8,,,,,,
28.08.2020 02:00,14.1,,,,94,,,,,, ,,,,,,,,,,,13.1,,,,,,
28.08.2020 01:00,13.9,,,,94,,,,,, ,,,,,,,,,,,12.9,,,,,,
28.08.2020 00:00,13.7,,,,95,,,,,, ,,,,,,,,,,,12.9,4,6,,,,
27.08.2020 23:00,14.6,,,,92,,,,,, ,,,,,,,,,,,13.3,,,,,,
27.08.2020 22:00,14.8,,,,93,,,,,, ,,,,,,,,,,,13.7,,,,,,
27.08.2020 21:00,15.2,,,,93,,,,,, ,,,,,,,,,,,14.1,,,,,,
27.08.2020 20:00,15.8,,,,93,,,,,, ,,,,,,,,,,,14.7,,,,,,
27.08.2020 19:00,15.8,,,,94,,,,,, ,,,,,,,,,,,14.9,,,,,,
27.08.2020 18:00,15.7,,,,92,,,,,, ,,,,,,,,,,,14.4,,,,,,
27.08.2020 17:00,15.7,,,,91,,,,,, ,,,,,,,,,,,14.2,,,,,,
27.08.2020 16:00,15.9,,,,89,,,,,, ,,,,,,,,,,,14.1,,,,,,
27.08.2020 15:00,16.4,,,,81,,,,,, ,,,,,,,,,,,13.1,,,,,,
27.08.2020 14:00,17.5,,,,70,,,,,, ,,,,,,,,,,,12.0,,,,,,
27.08.2020 10:00,17.5,,,,64,,,,,, ,,,,,,,,,,,10.6,,,,,,
27.08.2020 09:00,17.4,,,,67,,,,,, ,,,,,,,,,,,11.2,,,,,,
27.08.2020 08:00,15.6,,,,77,,,,,, ,,,,,,,,,,,11.5,,,,,,
27.08.2020 07:00,14.3,,,,83,,,,,, ,,,,,,,,,,,11.5,,,,,,
27.08.2020 06:00,13.8,,,,84,,,,,, ,,,13.2,,,,,,,,11.2,No precipitation,12,,,,
27.08.2020 05:00,13.3,,,,87,,,,,, ,,,,,,,,,,,11.1,,,,,,
27.08.2020 04:00,13.8,,,,85,,,,,, ,,,,,,,,,,,11.3,,,,,,
27.08.2020 03:00,13.8,,,,86,,,,,, ,,,,,,,,,,,11.5,,,,,,
27.08.2020 02:00,14.1,,,,83,,,,,, ,,,,,,,,,,,11.2,,,,,,
27.08.2020 01:00,14.5,,,,80,,,,,, ,,,,,,,,,,,11.1,,,,,,
27.08.2020 00:00,14.8,,,,78,,,,,, ,,,,,,,,,,,11.0,No precipitation,6,,,,
26.08.2020 23:00,15.4,,,,77,,,,,, ,,,,,,,,,,,11.3,,,,,,
26.08.2020 22:00,16.9,,,,69,,,,,, ,,,,,,,,,,,11.2,,,,,,
26.08.2020 21:00,17.3,,,,71,,,,,, ,,,,,,,,,,,12.0,,,,,,
26.08.2020 20:00,17.2,,,,75,,,,,, ,,,,,,,,,,,12.7,,,,,,
26.08.2020 19:00,18.9,,,,63,,,,,, ,,,,,,,,,,,11.6,,,,,,
26.08.2020 18:00,20.3,,,,57,,,,,, ,,,,,,,,,,,11.5,,,,,,
26.08.2020 17:00,20.6,,,,54,,,,,, ,,,,,,,,,,,10.9,,,,,,
26.08.2020 16:00,20.9,,,,55,,,,,, ,,,,,,,,,,,11.4,,,,,,
26.08.2020 15:00,21.0,,,,53,,,,,, ,,,,,,,,,,,10.9,,,,,,
26.08.2020 14:00,21.1,,,,52,,,,,, ,,,,,,,,,,,10.7,,,,,,
26.08.2020 13:00,20.7,,,,54,,,,,, ,,,,,,,,,,,11.1,,,,,,
26.08.2020 12:00,20.6,,,,54,,,,,, ,,,,,,,,,,,10.9,,,,,,
26.08.2020 10:00,18.6,,,,64,,,,,, ,,,,,,,,,,,11.5,,,,,,
26.08.2020 09:00,18.4,,,,61,,,,,, ,,,,,,,,,,,10.6,,,,,,
26.08.2020 08:00,17.3,,,,65,,,,,, ,,,,,,,,,,,10.6,,,,,,
26.08.2020 07:00,16.0,,,,70,,,,,, ,,,,,,,,,,,10.5,,,,,,
26.08.2020 06:00,16.0,,,,71,,,,,, ,,,16.0,,,,,,,,10.6,1,12,,,,
26.08.2020 05:00,16.1,,,,71,,,,,, ,,,,,,,,,,,10.7,,,,,,
26.08.2020 04:00,16.5,,,,70,,,,,, ,,,,,,,,,,,11.0,,,,,,
26.08.2020 03:00,16.8,,,,72,,,,,, ,,,,,,,,,,,11.6,,,,,,
26.08.2020 02:00,17.0,,,,72,,,,,, ,,,,,,,,,,,11.8,,,,,,
26.08.2020 01:00,16.9,,,,73,,,,,, ,,,,,,,,,,,12.0,,,,,,
26.08.2020 00:00,14.8,,,,78,,,,,, ,,,,,,,,,,,11.0,No precipitation,6,,,,
25.08.2020 23:00,17.4,,,,71,,,,,, ,,,,,,,,,,,12.1,,,,,,
25.08.2020 22:00,17.5,,,,72,,,,,, ,,,,,,,,,,,12.3,,,,,,
25.08.2020 21:00,17.7,,,,74,,,,,, ,,,,,,,,,,,12.9,,,,,,
25.08.2020 20:00,17.5,,,,78,,,,,, ,,,,,,,,,,,13.6,,,,,,
25.08.2020 19:00,17.6,,,,82,,,,,, ,,,,,,,,,,,14.5,,,,,,
25.08.2020 18:00,19.1,,,,74,,,,,, ,,,,21.9,,,,,,,14.3,2,12,,,,
25.08.2020 17:00,20.5,,,,67,,,,,, ,,,,,,,,,,,14.1,,,,,,
25.08.2020 16:00,21.6,,,,63,,,,,, ,,,,,,,,,,,14.3,,,,,,
25.08.2020 15:00,21.3,,,,65,,,,,, ,,,,,,,,,,,14.4,,,,,,
25.08.2020 14:00,20.2,,,,71,,,,,, ,,,,,,,,,,,14.8,,,,,,
25.08.2020 13:00,20.4,,,,69,,,,,, ,,,,,,,,,,,14.6,,,,,,
25.08.2020 12:00,20.4,,,,76,,,,,, ,,,,,,,,,,,15.9,2,6,,,,
25.08.2020 11:00,19.0,,,,86,,,,,, ,,,,,,,,,,,16.6,,,,,,
25.08.2020 10:00,17.0,,,,89,,,,,, ,,,,,,,,,,,15.1,,,,,,
25.08.2020 09:00,16.4,,,,88,,,,,, ,,,,,,,,,,,14.4,,,,,,
25.08.2020 08:00,15.9,,,,90,,,,,, ,,,,,,,,,,,14.3,,,,,,
25.08.2020 07:00,15.8,,,,93,,,,,, ,,,,,,,,,,,14.7,,,,,,
25.08.2020 06:00,16.0,,,,90,,,,,, ,,,16.0,,,,,,,,14.4,4,12,,,,
25.08.2020 05:00,16.3,,,,91,,,,,, ,,,,,,,,,,,14.9,,,,,,
25.08.2020 04:00,16.4,,,,94,,,,,, ,,,,,,,,,,,15.4,,,,,,
25.08.2020 03:00,16.4,,,,93,,,,,, ,,,,,,,,,,,15.3,,,,,,
25.08.2020 02:00,16.7,,,,90,,,,,, ,,,,,,,,,,,15.1,,,,,,
25.08.2020 01:00,16.9,,,,89,,,,,, ,,,,,,,,,,,15.1,,,,,,
25.08.2020 00:00,16.6,,,,90,,,,,, ,,,,,,,,,,,15.0,0.2,6,,,,
24.08.2020 23:00,16.5,,,,89,,,,,, ,,,,,,,,,,,14.6,,,,,,
24.08.2020 22:00,16.2,,,,90,,,,,, ,,,,,,,,,,,14.5,,,,,,
24.08.2020 21:00,16.6,,,,88,,,,,, ,,,,,,,,,,,14.6,,,,,,
24.08.2020 20:00,16.6,,,,86,,,,,, ,,,,,,,,,,,14.3,,,,,,
24.08.2020 19:00,17.2,,,,92,,,,,, ,,,,,,,,,,,15.9,,,,,,
24.08.2020 18:00,17.1,,,,85,,,,,, ,,,,23.1,,,,,,,14.6,1,12,,,,
24.08.2020 17:00,19.2,,,,77,,,,,, ,,,,,,,,,,,15.0,,,,,,
24.08.2020 16:00,20.2,,,,68,,,,,, ,,,,,,,,,,,14.1,,,,,,
24.08.2020 15:00,22.0,,,,55,,,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 14:00,22.1,,,,55,,,,,, ,,,,,,,,,,,12.5,,,,,,
24.08.2020 13:00,20.6,,,,61,,,,,, ,,,,,,,,,,,12.7,,,,,,
24.08.2020 12:00,20.9,,,,55,,,,,, ,,,,,,,,,,,11.4,No precipitation,6,,,,
24.08.2020 11:00,19.3,,,,61,,,,,, ,,,,,,,,,,,11.6,,,,,,
24.08.2020 10:00,18.2,,,,64,,,,,, ,,,,,,,,,,,11.2,,,,,,
24.08.2020 09:00,18.2,,,,68,,,,,, ,,,,,,,,,,,12.2,,,,,,
24.08.2020 08:00,15.6,,,,80,,,,,, ,,,,,,,,,,,12.1,,,,,,
24.08.2020 07:00,15.1,,,,84,,,,,, ,,,,,,,,,,,12.4,,,,,,
24.08.2020 06:00,14.7,,,,85,,,,,, ,,,13.4,,,,,,,,12.2,No precipitation,12,,,,
24.08.2020 05:00,14.6,,,,83,,,,,, ,,,,,,,,,,,11.7,,,,,,
24.08.2020 04:00,14.5,,,,82,,,,,, ,,,,,,,,,,,11.4,,,,,,
24.08.2020 03:00,13.8,,,,85,,,,,, ,,,,,,,,,,,11.3,,,,,,
24.08.2020 02:00,13.7,,,,83,,,,,, ,,,,,,,,,,,10.9,,,,,,
24.08.2020 01:00,14.1,,,,81,,,,,, ,,,,,,,,,,,10.9,,,,,,
24.08.2020 00:00,14.7,,,,78,,,,,, ,,,,,,,,,,,10.8,No precipitation,6,,,,
23.08.2020 23:00,15.5,,,,73,,,,,, ,,,,,,,,,,,10.7,,,,,,
23.08.2020 22:00,16.3,,,,68,,,,,, ,,,,,,,,,,,10.4,,,,,,
23.08.2020 21:00,17.1,,,,64,,,,,, ,,,,,,,,,,,10.3,,,,,,
23.08.2020 20:00,17.6,,,,60,,,,,, ,,,,,,,,,,,9.8,,,,,,
23.08.2020 19:00,18.4,,,,58,,,,,, ,,,,,,,,,,,10.0,,,,,,
23.08.2020 18:00,19.9,,,,55,,,,,, ,,,,22.7,,,,,,,10.5,No precipitation,12,,,,
23.08.2020 17:00,20.9,,,,55,,,,,, ,,,,,,,,,,,11.6,,,,,,
23.08.2020 16:00,21.3,,,,59,,,,,, ,,,,,,,,,,,12.9,,,,,,
23.08.2020 15:00,21.3,,,,61,,,,,, ,,,,,,,,,,,13.5,,,,,,
23.08.2020 14:00,21.4,,,,60,,,,,, ,,,,,,,,,,,13.2,,,,,,
23.08.2020 13:00,20.6,,,,58,,,,,, ,,,,,,,,,,,12.1,,,,,,
23.08.2020 12:00,19.7,,,,63,,,,,, ,,,,,,,,,,,12.4,No precipitation,6,,,,
23.08.2020 11:00,19.2,,,,64,,,,,, ,,,,,,,,,,,12.3,,,,,,
23.08.2020 10:00,18.7,,,,67,,,,,, ,,,,,,,,,,,12.5,,,,,,
23.08.2020 09:00,19.1,,,,70,,,,,, ,,,,,,,,,,,13.5,,,,,,
23.08.2020 08:00,17.4,,,,77,,,,,, ,,,,,,,,,,,13.3,,,,,,
23.08.2020 07:00,16.1,,,,83,,,,,, ,,,,,,,,,,,13.2,,,,,,
23.08.2020 06:00,15.4,,,,84,,,,,, ,,,15.4,,,,,,,,12.7,No precipitation,12,,,,
23.08.2020 05:00,15.7,,,,82,,,,,, ,,,,,,,,,,,12.6,,,,,,
23.08.2020 04:00,15.9,,,,78,,,,,, ,,,,,,,,,,,12.1,,,,,,
23.08.2020 03:00,15.8,,,,79,,,,,, ,,,,,,,,,,,12.1,,,,,,
23.08.2020 02:00,16.1,,,,75,,,,,, ,,,,,,,,,,,11.6,,,,,,
23.08.2020 01:00,16.3,,,,73,,,,,, ,,,,,,,,,,,11.5,,,,,,
23.08.2020 00:00,16.3,,,,75,,,,,, ,,,,,,,,,,,11.8,No precipitation,6,,,,
22.08.2020 23:00,16.6,,,,77,,,,,, ,,,,,,,,,,,12.5,,,,,,
22.08.2020 22:00,16.8,,,,75,,,,,, ,,,,,,,,,,,12.4,,,,,,
22.08.2020 21:00,17.8,,,,70,,,,,, ,,,,,,,,,,,12.3,,,,,,
22.08.2020 20:00,18.2,,,,70,,,,,, ,,,,,,,,,,,12.6,,,,,,
22.08.2020 19:00,19.1,,,,65,,,,,, ,,,,,,,,,,,12.3,,,,,,
22.08.2020 18:00,19.7,,,,63,,,,,, ,,,,23.0,,,,,,,12.4,No precipitation,12,,,,
22.08.2020 17:00,19.7,,,,63,,,,,, ,,,,,,,,,,,12.5,,,,,,
22.08.2020 16:00,21.4,,,,50,,,,,, ,,,,,,,,,,,10.4,,,,,,
22.08.2020 15:00,20.8,,,,56,,,,,, ,,,,,,,,,,,11.7,,,,,,
22.08.2020 14:00,21.7,,,,48,,,,,, ,,,,,,,,,,,10.3,,,,,,
22.08.2020 13:00,22.4,,,,45,,,,,, ,,,,,,,,,,,9.8,,,,,,
22.08.2020 12:00,22.0,,,,50,,,,,, ,,,,,,,,,,,11.1,No precipitation,6,,,,
22.08.2020 11:00,22.0,,,,53,,,,,, ,,,,,,,,,,,12.0,,,,,,
22.08.2020 10:00,19.5,,,,62,,,,,, ,,,,,,,,,,,12.0,,,,,,
22.08.2020 09:00,19.1,,,,62,,,,,, ,,,,,,,,,,,11.6,,,,,,
22.08.2020 08:00,18.4,,,,70,,,,,, ,,,,,,,,,,,12.9,,,,,,
22.08.2020 07:00,17.5,,,,76,,,,,, ,,,,,,,,,,,13.2,,,,,,
22.08.2020 06:00,17.1,,,,77,,,,,, ,,,16.7,,,,,,,,13.0,No precipitation,12,,,,
22.08.2020 05:00,16.9,,,,80,,,,,, ,,,,,,,,,,,13.4,,,,,,
22.08.2020 04:00,17.2,,,,78,,,,,, ,,,,,,,,,,,13.4,,,,,,
22.08.2020 03:00,16.9,,,,79,,,,,, ,,,,,,,,,,,13.2,,,,,,
22.08.2020 02:00,17.6,,,,75,,,,,, ,,,,,,,,,,,13.1,,,,,,
22.08.2020 01:00,17.4,,,,75,,,,,, ,,,,,,,,,,,12.8,,,,,,
22.08.2020 00:00,18.2,,,,72,,,,,, ,,,,,,,,,,,13.0,No precipitation,6,,,,
21.08.2020 23:00,18.4,,,,73,,,,,, ,,,,,,,,,,,13.5,,,,,,
21.08.2020 22:00,18.4,,,,75,,,,,, ,,,,,,,,,,,13.8,,,,,,
21.08.2020 21:00,18.8,,,,71,,,,,, ,,,,,,,,,,,13.3,,,,,,
21.08.2020 20:00,19.5,,,,67,,,,,, ,,,,,,,,,,,13.1,,,,,,
21.08.2020 19:00,20.1,,,,63,,,,,, ,,,,,,,,,,,12.7,,,,,,
21.08.2020 18:00,21.1,,,,60,,,,,, ,,,,23.1,,,,,,,12.9,No precipitation,12,,,,
21.08.2020 17:00,22.1,,,,54,,,,,, ,,,,,,,,,,,12.4,,,,,,
21.08.2020 16:00,21.9,,,,57,,,,,, ,,,,,,,,,,,12.9,,,,,,
21.08.2020 15:00,22.7,,,,56,,,,,, ,,,,,,,,,,,13.4,,,,,,
21.08.2020 14:00,22.1,,,,58,,,,,, ,,,,,,,,,,,13.4,,,,,,
21.08.2020 13:00,21.6,,,,58,,,,,, ,,,,,,,,,,,13.0,,,,,,
21.08.2020 12:00,22.3,,,,56,,,,,, ,,,,,,,,,,,13.0,No precipitation,6,,,,
21.08.2020 11:00,21.8,,,,59,,,,,, ,,,,,,,,,,,13.4,,,,,,
21.08.2020 10:00,21.9,,,,61,,,,,, ,,,,,,,,,,,13.9,,,,,,
21.08.2020 09:00,20.6,,,,68,,,,,, ,,,,,,,,,,,14.4,,,,,,
21.08.2020 08:00,20.1,,,,66,,,,,, ,,,,,,,,,,,13.5,,,,,,
21.08.2020 07:00,19.9,,,,67,,,,,, ,,,,,,,,,,,13.6,,,,,,
21.08.2020 06:00,19.7,,,,69,,,,,, ,,,18.8,,,,,,,,13.8,No precipitation,12,,,,
21.08.2020 05:00,19.4,,,,69,,,,,, ,,,,,,,,,,,13.6,,,,,,
21.08.2020 04:00,19.4,,,,68,,,,,, ,,,,,,,,,,,13.4,,,,,,
21.08.2020 03:00,19.9,,,,70,,,,,, ,,,,,,,,,,,14.3,,,,,,
21.08.2020 02:00,20.0,,,,79,,,,,, ,,,,,,,,,,,16.3,,,,,,
21.08.2020 01:00,20.3,,,,78,,,,,, ,,,,,,,,,,,16.4,,,,,,
21.08.2020 00:00,19.6,,,,77,,,,,, ,,,,,,,,,,,15.4,No precipitation,6,,,,
20.08.2020 23:00,19.3,,,,72,,,,,, ,,,,,,,,,,,14.0,,,,,,
20.08.2020 22:00,19.3,,,,67,,,,,, ,,,,,,,,,,,12.9,,,,,,
20.08.2020 21:00,19.1,,,,59,,,,,, ,,,,,,,,,,,10.9,,,,,,
20.08.2020 20:00,19.4,,,,58,,,,,, ,,,,,,,,,,,10.9,,,,,,
20.08.2020 19:00,20.9,,,,47,,,,,, ,,,,,,,,,,,9.2,,,,,,
20.08.2020 18:00,21.8,,,,47,,,,,, ,,,,25.7,,,,,,,9.9,No precipitation,12,,,,
20.08.2020 17:00,23.4,,,,44,,,,,, ,,,,,,,,,,,10.3,,,,,,
20.08.2020 16:00,24.7,,,,42,,,,,, ,,,,,,,,,,,11.0,,,,,,
20.08.2020 15:00,24.4,,,,42,,,,,, ,,,,,,,,,,,10.6,,,,,,
20.08.2020 14:00,25.2,,,,46,,,,,, ,,,,,,,,,,,12.6,,,,,,
20.08.2020 13:00,24.5,,,,49,,,,,, ,,,,,,,,,,,13.1,,,,,,
20.08.2020 12:00,23.8,,,,59,,,,,, ,,,,,,,,,,,15.4,No precipitation,6,,,,
20.08.2020 11:00,22.9,,,,64,,,,,, ,,,,,,,,,,,15.7,,,,,,
20.08.2020 10:00,20.8,,,,70,,,,,, ,,,,,,,,,,,15.2,,,,,,
