"# Weather station Bratislava (airport), Slovakia, METAR=LZIB,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LZIB&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Bratislava (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
30.08.2020 17:20,25.0,743.5,754.6,65,Wind blowing from the south,7,,"Thunderstorm, rain",,"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 750 m, cumulonimbus clouds , broken clouds (60-90%) 2100 m",10.0 and more,18.0
30.08.2020 17:13,28.0,742.9,753.9,51,Wind blowing from the south-southeast,5,,"Shower(s), rain, in the vicinity thunderstorm",,"Scattered clouds (40-50%) 720 m, few clouds (10-30%) 900 m, cumulonimbus clouds , broken clouds (60-90%) 2160 m",10.0 and more,17.0
30.08.2020 17:00,28.0,742.9,753.9,48,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 1800 m, cumulonimbus clouds , broken clouds (60-90%) 2910 m",10.0 and more,16.0
30.08.2020 16:30,29.0,743.0,753.9,45,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 16:00,29.0,743.0,753.9,45,Wind blowing from the south-southeast,6,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 15:30,30.0,743.0,753.9,43,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 15:00,30.0,743.0,753.9,43,Wind blowing from the south,7,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 14:30,30.0,743.0,753.9,43,Wind blowing from the south,7,,,,No Significant Clouds,10.0 and more,16.0
30.08.2020 14:00,30.0,743.0,753.9,46,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 13:30,29.0,743.0,753.9,48,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 13:00,29.0,743.0,753.9,48,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 12:30,29.0,743.0,753.9,48,Wind blowing from the south-southeast,8,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 12:00,29.0,743.7,754.6,48,Wind blowing from the south-southeast,7,,,,Few clouds (10-30%) 1200 m,10.0 and more,17.0
30.08.2020 11:30,28.0,743.6,754.6,55,Wind blowing from the south-southeast,5,,,,Few clouds (10-30%) 1110 m,10.0 and more,18.0
30.08.2020 11:00,27.0,744.4,755.4,58,Wind blowing from the south,4,,,,Few clouds (10-30%) 1020 m,10.0 and more,18.0
30.08.2020 10:30,26.0,744.4,755.4,58,Wind blowing from the south-southeast,6,,,,Few clouds (10-30%) 1020 m,10.0 and more,17.0
30.08.2020 10:00,26.0,743.6,754.6,61,Wind blowing from the south-east,5,,,,Few clouds (10-30%) 960 m,10.0 and more,18.0
30.08.2020 09:30,25.0,744.3,755.4,61,Wind blowing from the south-southeast,5,,,,Few clouds (10-30%) 870 m,10.0 and more,17.0
30.08.2020 09:00,24.0,743.5,754.6,69,Wind blowing from the east-southeast,3,,,,Few clouds (10-30%) 750 m,10.0 and more,18.0
30.08.2020 08:30,23.0,743.5,754.6,74,Wind blowing from the south-east,3,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 08:00,22.0,743.4,754.6,78,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 07:30,21.0,742.7,753.9,83,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 07:00,21.0,743.4,754.6,83,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 06:30,20.0,743.3,754.6,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 06:00,19.0,743.3,754.6,88,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 05:30,18.0,742.6,753.9,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 05:00,18.0,742.6,753.9,94,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 04:30,19.0,742.6,753.9,88,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 04:00,19.0,742.6,753.9,88,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 03:30,19.0,742.6,753.9,88,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 03:00,19.0,742.6,753.9,88,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 02:30,19.0,743.3,754.6,88,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 02:00,19.0,744.1,755.4,88,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 01:30,20.0,744.1,755.4,88,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 01:00,19.0,743.3,754.6,88,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,17.0
30.08.2020 00:30,19.0,743.3,754.6,94,variable wind direction,1,,,,No Significant Clouds,10.0 and more,18.0
30.08.2020 00:00,19.0,743.3,754.6,88,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,17.0
29.08.2020 23:30,19.0,743.3,754.6,88,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,17.0
29.08.2020 23:00,20.0,743.3,754.6,83,variable wind direction,1,,,,Few clouds (10-30%) 1380 m,10.0 and more,17.0
29.08.2020 22:30,20.0,743.3,754.6,88,variable wind direction,1,,,,Few clouds (10-30%) 1380 m,10.0 and more,18.0
29.08.2020 22:00,20.0,743.3,754.6,83,Wind blowing from the north-east,2,,,"Thunderstorm, rain",Few clouds (10-30%) 1380 m,10.0 and more,17.0
29.08.2020 21:30,20.0,743.3,754.6,78,Wind blowing from the west,5,,"Thunderstorm, rain",,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , broken clouds (60-90%) 1560 m",10.0 and more,16.0
29.08.2020 21:00,20.0,743.3,754.6,78,Wind blowing from the north,3,,"Light thunderstorm, rain",,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , broken clouds (60-90%) 2850 m",10.0 and more,16.0
29.08.2020 20:33,23.0,745.0,756.2,69,Wind blowing from the west-southwest,11,20,"Light thunderstorm, rain",,"Few clouds (10-30%) 780 m, few clouds (10-30%) 1350 m, cumulonimbus clouds , broken clouds (60-90%) 2340 m",10.0 and more,17.0
29.08.2020 20:30,22.0,743.4,754.6,78,Wind blowing from the north,2,,"Light thunderstorm, rain",,"Few clouds (10-30%) 780 m, few clouds (10-30%) 1200 m, cumulonimbus clouds , broken clouds (60-90%) 2340 m",10.0 and more,18.0
29.08.2020 20:14,23.0,743.5,754.6,74,Wind blowing from the north-northwest,2,,Thunderstorm,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds",10.0 and more,18.0
29.08.2020 20:00,23.0,743.5,754.6,74,Wind blowing from the north-west,2,,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds",10.0 and more,18.0
29.08.2020 19:30,23.0,743.5,754.6,74,Wind blowing from the west-southwest,1,,,,No Significant Clouds,10.0 and more,18.0
29.08.2020 19:00,23.0,743.5,754.6,74,Wind blowing from the north-northeast,3,,,,Few clouds (10-30%) 990 m,10.0 and more,18.0
29.08.2020 18:30,24.0,743.5,754.6,69,Wind blowing from the north-northwest,2,,,,Few clouds (10-30%) 990 m,10.0 and more,18.0
29.08.2020 18:00,25.0,743.5,754.6,65,Wind blowing from the north-northeast,2,,In the vicinity shower(s),,"Few clouds (10-30%) 990 m, scattered clouds (40-50%) 2100 m",10.0 and more,18.0
29.08.2020 17:30,25.0,744.3,755.4,61,Wind blowing from the north-west,2,,In the vicinity shower(s),,No Significant Clouds,10.0 and more,17.0
29.08.2020 17:00,26.0,744.4,755.4,58,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,17.0
29.08.2020 16:30,26.0,743.6,754.6,58,variable wind direction,1,,,,No Significant Clouds,10.0 and more,17.0
29.08.2020 16:00,27.0,744.4,755.4,51,variable wind direction,1,,,,No Significant Clouds,10.0 and more,16.0
29.08.2020 15:30,27.0,744.4,755.4,54,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,17.0
29.08.2020 15:00,27.0,744.4,755.4,51,variable wind direction,2,,,,Scattered clouds (40-50%) 1380 m,10.0 and more,16.0
29.08.2020 14:30,27.0,744.4,755.4,51,Wind blowing from the north-east,3,,,,Scattered clouds (40-50%) 1290 m,10.0 and more,16.0
29.08.2020 14:00,27.0,744.4,755.4,51,Wind blowing from the west-southwest,2,,,,"Few clouds (10-30%) 1290 m, scattered clouds (40-50%) 1440 m",10.0 and more,16.0
29.08.2020 13:30,26.0,744.4,755.4,54,Wind blowing from the south-west,3,,,,"Few clouds (10-30%) 1230 m, scattered clouds (40-50%) 1350 m",10.0 and more,16.0
29.08.2020 13:00,26.0,744.4,755.4,54,Wind blowing from the south-east,2,,,,"Few clouds (10-30%) 1230 m, scattered clouds (40-50%) 1560 m",10.0 and more,16.0
29.08.2020 12:30,25.0,744.3,755.4,57,Wind blowing from the east,2,,,,"Few clouds (10-30%) 1230 m, scattered clouds (40-50%) 1350 m",10.0 and more,16.0
29.08.2020 12:00,25.0,744.3,755.4,57,variable wind direction,2,,,,"Few clouds (10-30%) 1140 m, broken clouds (60-90%) 1200 m",10.0 and more,16.0
29.08.2020 11:30,25.0,744.3,755.4,57,variable wind direction,1,,,,Broken clouds (60-90%) 1170 m,10.0 and more,16.0
29.08.2020 11:00,24.0,744.3,755.4,57,variable wind direction,1,,,,Broken clouds (60-90%) 1200 m,10.0 and more,15.0
29.08.2020 10:30,23.0,744.2,755.4,61,variable wind direction,2,,,,Broken clouds (60-90%) 1200 m,10.0 and more,15.0
29.08.2020 10:00,23.0,744.2,755.4,61,variable wind direction,1,,,,Scattered clouds (40-50%) 1140 m,10.0 and more,15.0
29.08.2020 09:30,22.0,744.2,755.4,65,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 09:00,23.0,744.2,755.4,57,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 08:30,22.0,744.2,755.4,65,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 08:00,21.0,744.2,755.4,69,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 07:30,21.0,743.4,754.6,69,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 07:00,19.0,743.3,754.6,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 06:30,18.0,743.3,754.6,83,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 06:00,18.0,743.3,754.6,83,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 05:30,17.0,742.5,753.9,83,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 05:00,18.0,743.3,754.6,78,Wind blowing from the north-west,1,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 04:30,18.0,742.6,753.9,78,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 04:00,18.0,742.6,753.9,78,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 03:30,19.0,742.6,753.9,78,variable wind direction,1,,,,No Significant Clouds,10.0 and more,15.0
29.08.2020 03:00,19.0,742.6,753.9,73,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,14.0
29.08.2020 02:30,20.0,743.3,754.6,69,Wind blowing from the north-northwest,2,,,,Scattered clouds (40-50%) 1410 m,10.0 and more,14.0
29.08.2020 02:00,20.0,743.3,754.6,69,Wind blowing from the north,2,,,,Scattered clouds (40-50%) 1380 m,10.0 and more,14.0
29.08.2020 01:30,19.0,743.3,754.6,73,Wind blowing from the north,2,,,,Broken clouds (60-90%) 1320 m,10.0 and more,14.0
29.08.2020 01:00,20.0,743.3,754.6,69,Wind blowing from the north-northeast,2,,,,Broken clouds (60-90%) 1380 m,10.0 and more,14.0
29.08.2020 00:30,20.0,743.3,754.6,69,Wind blowing from the north,3,,,,"Few clouds (10-30%) 1410 m, broken clouds (60-90%) 2460 m",10.0 and more,14.0
29.08.2020 00:00,21.0,743.4,754.6,64,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 23:30,21.0,743.4,754.6,64,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 23:00,21.0,743.4,754.6,64,variable wind direction,1,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 22:30,20.0,743.3,754.6,73,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,15.0
28.08.2020 22:00,21.0,742.7,753.9,64,Wind blowing from the east-southeast,3,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 21:30,21.0,743.4,754.6,64,Wind blowing from the east-southeast,2,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 21:00,22.0,743.4,754.6,61,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 20:30,23.0,743.5,754.6,57,Wind blowing from the south-southeast,4,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 20:00,22.0,743.4,754.6,61,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 19:30,24.0,743.5,754.6,54,Wind blowing from the east-southeast,4,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 19:00,24.0,743.5,754.6,50,Wind blowing from the east-southeast,4,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 18:30,25.0,743.5,754.6,47,Wind blowing from the south-east,4,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 18:00,26.0,743.6,754.6,45,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 17:30,27.0,744.4,755.4,42,Wind blowing from the south-southeast,5,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 17:00,27.0,744.4,755.4,42,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 16:30,28.0,744.4,755.4,40,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 16:00,27.0,745.2,756.2,42,Wind blowing from the south-southeast,6,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 15:30,28.0,745.2,756.2,40,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 15:00,28.0,745.2,756.2,37,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 14:30,29.0,745.3,756.2,37,Wind blowing from the south,6,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 14:00,28.0,745.2,756.2,40,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 13:30,28.0,745.9,756.9,40,Wind blowing from the south,6,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 13:00,27.0,745.9,756.9,42,Wind blowing from the south-southeast,7,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 12:30,27.0,745.9,756.9,42,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 12:00,26.0,746.6,757.7,42,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 11:30,25.0,746.6,757.7,44,Wind blowing from the south,5,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 11:00,25.0,747.1,758.2,44,Wind blowing from the south-southeast,4,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 10:30,24.0,747.0,758.2,44,Wind blowing from the east,4,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 10:00,22.0,747.8,759.0,53,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 09:30,21.0,747.7,759.0,53,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 09:00,20.0,747.7,759.0,56,Wind blowing from the east-northeast,4,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 08:30,19.0,747.6,759.0,60,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 08:00,18.0,748.3,759.7,64,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 07:30,17.0,748.2,759.7,64,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 07:00,16.0,748.2,759.7,68,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 06:30,15.0,748.2,759.7,72,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 06:00,13.0,748.1,759.7,77,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 05:30,12.0,748.1,759.7,82,Wind blowing from the north-east,1,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 05:00,12.0,748.1,759.7,82,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 04:30,12.0,748.1,759.7,82,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 04:00,12.0,748.1,759.7,82,Wind blowing from the north-east,2,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 03:30,13.0,748.1,759.7,77,variable wind direction,1,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 03:00,13.0,748.1,759.7,77,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 02:30,13.0,748.1,759.7,77,variable wind direction,1,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 02:00,13.0,748.1,759.7,77,Wind blowing from the north-northeast,1,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 01:30,13.0,748.1,759.7,77,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 01:00,13.0,748.9,760.5,82,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 00:30,14.0,748.9,760.5,77,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,10.0
