"# Weather station Paris, France, WMO_ID=7156,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=7156&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Paris,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.08.2020 08:00,14.3,758.6,765.7,0.6,75,Wind blowing from the north,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.9,No precipitation,1,,,,
31.08.2020 07:00,13.5,758.3,765.4,0.4,82,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,,,13.5,17.1,,,,,,20.0,10.5,Trace of precipitation,12,,,,
31.08.2020 06:00,13.6,758.2,765.2,0.5,87,Wind blowing from the north-northwest,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,14.0,11.5,No precipitation,1,,,,
31.08.2020 05:00,13.9,758.0,765.1,0.4,83,Wind blowing from the north-northwest,3,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,1,,,,
31.08.2020 04:00,14.4,757.9,764.8,0.4,82,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.4,No precipitation,3,,,,
31.08.2020 03:00,14.5,757.7,764.7,0.4,82,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
31.08.2020 02:00,14.6,757.6,764.5,0.5,82,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.6,No precipitation,1,,,,
31.08.2020 01:00,14.7,757.5,764.5,0.7,82,Wind blowing from the north,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.7,Trace of precipitation,6,,,,
31.08.2020 00:00,14.7,757.3,764.2,0.9,82,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.7,No precipitation,1,,,,
30.08.2020 23:00,15.5,757.1,764.1,1.6,78,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.7,No precipitation,1,,,,
30.08.2020 22:00,16.1,756.8,763.8,1.9,77,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.1,Trace of precipitation,3,,,,
30.08.2020 21:00,16.7,756.4,763.3,2.1,79,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,16.0,13.0,No precipitation,1,,,,
30.08.2020 20:00,17.1,755.5,762.4,1.8,77,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.0,No precipitation,1,,,,
30.08.2020 19:00,17.1,754.9,761.8,1.8,79,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,,,13.8,21.6,,,,,,20.0,13.4,0.6,12,,,,
30.08.2020 18:00,17.7,754.3,761.2,1.7,82,Wind blowing from the north-northeast,6,,12,,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,,,,15.0,14.6,0.4,1,,,,
30.08.2020 17:00,18.4,753.7,760.6,1.2,74,Wind blowing from the north,6,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.7,No precipitation,1,,,,
30.08.2020 16:00,20.3,753.1,759.9,1.2,68,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,14.2,No precipitation,3,,,,
30.08.2020 15:00,21.2,752.6,759.4,1.3,60,Wind blowing from the north-east,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.1,No precipitation,1,,,,
30.08.2020 14:00,20.8,752.5,759.3,1.2,61,Wind blowing from the north-northeast,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.0,No precipitation,1,,,,
30.08.2020 13:00,19.0,751.9,758.8,0.6,73,Wind blowing from the north,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,14.0,0.2,6,,,,
30.08.2020 12:00,19.6,751.3,758.2,0.4,67,Wind blowing from the north,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.3,0.2,1,,,,
30.08.2020 11:00,17.7,751.3,758.2,0.4,78,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.8,No precipitation,1,,,,
30.08.2020 10:00,15.9,751.3,758.2,0.3,89,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,14.1,Trace of precipitation,3,,,,
30.08.2020 09:00,15.1,750.9,757.8,0.2,89,Wind blowing from the north-west,3,,,,"Drizzle and rain, slight. ",,,,,,,,,,15.0,13.3,Trace of precipitation,1,,,,
30.08.2020 08:00,14.5,750.9,757.9,0.3,89,Wind blowing from the west-northwest,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,19.0,12.7,No precipitation,1,,,,
30.08.2020 07:00,13.8,751.0,757.9,0.5,89,Wind blowing from the north-west,3,,6,,Cloud development not observed or not observable. ,,,13.1,16.1,,,,,,20.0,12.0,No precipitation,12,,,,
30.08.2020 06:00,13.6,750.7,757.7,-0.2,87,Wind blowing from the north-west,2,,,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
30.08.2020 05:00,13.3,750.6,757.6,-0.4,87,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.2,No precipitation,1,,,,
30.08.2020 04:00,13.3,750.5,757.5,-0.7,85,Wind blowing from the north-west,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.8,No precipitation,3,,,,
30.08.2020 03:00,13.5,750.9,757.9,0.0,83,Wind blowing from the north-northwest,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.7,No precipitation,1,,,,
30.08.2020 02:00,14.0,751.0,758.0,0.3,81,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.8,No precipitation,1,,,,
30.08.2020 01:00,14.2,751.2,758.2,0.7,81,Wind blowing from the north-northwest,4,,,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.0,No precipitation,6,,,,
30.08.2020 00:00,14.4,750.9,757.9,0.6,79,Wind blowing from the north,5,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.8,No precipitation,1,,,,
29.08.2020 23:00,14.7,750.7,757.6,0.9,78,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.9,No precipitation,1,,,,
29.08.2020 22:00,15.3,750.5,757.4,1.2,74,Wind blowing from the north,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.7,No precipitation,3,,,,
29.08.2020 21:00,15.5,750.3,757.2,1.4,77,Wind blowing from the north-northwest,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
29.08.2020 20:00,15.6,749.8,756.7,1.2,79,Wind blowing from the north-west,3,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.0,No precipitation,1,,,,
29.08.2020 19:00,16.1,749.3,756.2,1.0,71,Wind blowing from the north,5,,12,,Cloud development not observed or not observable. ,,,12.8,18.2,,,,,,20.0,10.8,2,12,,,,
29.08.2020 18:00,16.3,748.9,755.8,0.9,78,Wind blowing from the north-west,4,,12,,Cloud development not observed or not observable. ,,,,,,,,,,19.0,12.5,No precipitation,1,,,,
29.08.2020 17:00,16.9,748.6,755.4,0.8,74,Wind blowing from the north-northwest,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.2,No precipitation,1,,,,
29.08.2020 16:00,16.5,748.3,755.2,0.7,75,Wind blowing from the north-northwest,6,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.1,2,3,,,,
29.08.2020 15:00,16.9,748.0,754.8,0.6,72,Wind blowing from the north-west,5,,12,,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,,,,20.0,11.8,Trace of precipitation,1,,,,
29.08.2020 14:00,15.6,747.8,754.7,0.4,88,Wind blowing from the west,3,,9,,"Rain, not freezing, intermittent, slight at time of observation. ",,,,,,,,,,20.0,13.6,2,1,,,,
29.08.2020 13:00,16.9,747.6,754.4,0.1,75,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,19.0,12.4,Trace of precipitation,6,,,,
29.08.2020 12:00,17.8,747.4,754.3,0.1,64,Wind blowing from the west-southwest,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.9,No precipitation,1,,,,
29.08.2020 11:00,17.5,747.4,754.2,0.5,61,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.9,No precipitation,1,,,,
29.08.2020 10:00,15.9,747.5,754.4,0.8,68,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.0,No precipitation,3,,,,
29.08.2020 09:00,14.5,747.3,754.2,1.0,81,Wind blowing from the west,2,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,1,,,,
29.08.2020 08:00,13.6,746.9,753.8,0.8,87,Wind blowing from the west,3,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
29.08.2020 07:00,12.8,746.7,753.7,0.5,91,Wind blowing from the west,3,,,,Cloud development not observed or not observable. ,,,12.3,16.8,,,,,,20.0,11.4,No precipitation,12,,,,
29.08.2020 06:00,12.4,746.3,753.3,0.1,91,Wind blowing from the west,2,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.0,No precipitation,1,,,,
29.08.2020 05:00,12.7,746.1,753.1,-0.2,90,Wind blowing from the south-west,3,,6,,Cloud development not observed or not observable. ,,,,,,,,,,17.0,11.1,No precipitation,1,,,,
29.08.2020 04:00,13.1,746.2,753.1,-0.2,88,Wind blowing from the south-west,2,,6,,Cloud development not observed or not observable. ,,,,,,,,,,10.0,11.2,No precipitation,3,,,,
29.08.2020 03:00,13.8,746.2,753.1,-0.1,86,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
29.08.2020 02:00,14.0,746.3,753.2,0.2,85,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
29.08.2020 01:00,14.1,746.4,753.3,0.3,83,Wind blowing from the west-southwest,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,6,,,,
29.08.2020 00:00,14.2,746.3,753.2,0.4,82,Wind blowing from the south-west,2,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.2,No precipitation,1,,,,
28.08.2020 23:00,14.7,746.1,753.0,0.5,79,Wind blowing from the west,4,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,1,,,,
28.08.2020 22:00,15.1,746.1,753.0,0.7,78,Wind blowing from the south-west,2,,,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,3,,,,
28.08.2020 21:00,15.7,745.9,752.8,0.6,74,Wind blowing from the west-southwest,4,,12,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,1,,,,
28.08.2020 20:00,16.0,745.6,752.4,0.9,69,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.3,No precipitation,1,,,,
28.08.2020 19:00,16.8,745.4,752.2,0.6,65,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,,,15.1,22.5,,,,,,20.0,10.2,1,12,,,,
28.08.2020 18:00,17.0,745.3,752.2,0.2,66,Wind blowing from the west-northwest,4,,19,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.6,0.4,1,,,,
28.08.2020 17:00,22.2,744.7,751.4,-0.8,46,Wind blowing from the west,3,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.0,No precipitation,1,,,,
28.08.2020 16:00,21.9,744.8,751.5,-1.1,53,Wind blowing from the north-west,3,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.9,0.2,3,,,,
28.08.2020 15:00,20.2,745.1,751.9,-1.0,56,Wind blowing from the north-west,4,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,1,,,,
28.08.2020 14:00,19.8,745.5,752.2,-1.0,70,Wind blowing from the south-west,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,14.2,0.2,1,,,,
28.08.2020 13:00,18.7,745.9,752.8,-1.1,74,Wind blowing from the south-west,6,,12,,"Rain, not freezing, intermittent, moderate at time of observation. ",,,,,,,,,,6.0,14.0,0.6,6,,,,
28.08.2020 12:00,18.2,746.1,752.9,-1.1,70,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.6,No precipitation,1,,,,
28.08.2020 11:00,18.1,746.5,753.4,-0.9,73,Wind blowing from the south-west,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.2,No precipitation,1,,,,
28.08.2020 10:00,17.2,747.0,753.8,-0.6,76,Wind blowing from the south-west,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.9,No precipitation,3,,,,
28.08.2020 09:00,16.5,747.2,754.0,-0.6,80,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.0,No precipitation,1,,,,
28.08.2020 08:00,15.5,747.4,754.3,-0.6,82,Wind blowing from the south-west,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.4,No precipitation,1,,,,
28.08.2020 07:00,15.1,747.6,754.5,-0.7,85,Wind blowing from the south-west,3,,8,,Cloud development not observed or not observable. ,,,15.1,23.8,,,,,,20.0,12.6,0.4,12,,,,
28.08.2020 06:00,15.4,747.8,754.7,-1.0,87,Wind blowing from the south-west,4,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.2,No precipitation,1,,,,
28.08.2020 05:00,16.1,748.0,754.9,-1.1,87,Wind blowing from the south-west,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.9,No precipitation,1,,,,
28.08.2020 04:00,17.0,748.3,755.1,-1.1,81,Wind blowing from the west-southwest,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.7,No precipitation,3,,,,
28.08.2020 03:00,17.6,748.8,755.6,-0.7,75,Wind blowing from the west-southwest,2,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.1,No precipitation,1,,,,
28.08.2020 02:00,18.0,749.1,755.9,-0.4,72,Wind blowing from the west,2,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.9,No precipitation,1,,,,
28.08.2020 01:00,18.4,749.4,756.2,-0.1,71,Wind blowing from the west-northwest,3,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.0,0.4,6,,,,
28.08.2020 00:00,19.1,749.5,756.4,0.0,72,Wind blowing from the west,2,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.9,No precipitation,1,,,,
27.08.2020 23:00,19.5,749.5,756.3,-0.1,71,Wind blowing from the west,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,14.1,No precipitation,1,,,,
27.08.2020 22:00,20.5,749.5,756.2,0.0,79,Wind blowing from the west,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,16.7,0.4,3,,,,
27.08.2020 21:00,20.7,749.5,756.2,-0.4,77,Wind blowing from the south-west,4,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,16.5,No precipitation,1,,,,
27.08.2020 20:00,21.5,749.6,756.4,-1.1,77,Wind blowing from the west-southwest,4,,14,,Cloud development not observed or not observable. ,,,,,,,,,,18.0,17.3,0.4,1,,,,
27.08.2020 19:00,23.8,749.5,756.2,-1.9,56,Wind blowing from the south-west,6,,14,,Cloud development not observed or not observable. ,,,15.0,26.6,,,,,,20.0,14.5,No precipitation,12,,,,
27.08.2020 18:00,25.2,749.9,756.6,-2.5,46,Wind blowing from the south-west,5,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.8,No precipitation,1,,,,
27.08.2020 17:00,25.1,750.7,757.3,-2.4,43,Wind blowing from the south-west,5,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.6,No precipitation,1,,,,
27.08.2020 16:00,26.4,751.4,758.1,-2.3,35,Wind blowing from the south-west,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.7,No precipitation,3,,,,
27.08.2020 15:00,26.0,752.4,759.1,-2.2,36,Wind blowing from the south-southwest,4,,12,,Cloud development not observed or not observable. ,,,,,,,,,,19.0,9.8,No precipitation,1,,,,
27.08.2020 14:00,25.2,753.1,759.8,-2.4,41,Wind blowing from the south-west,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.0,No precipitation,1,,,,
27.08.2020 13:00,24.2,753.7,760.4,-2.2,47,Wind blowing from the south-southwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.2,No precipitation,6,,,,
27.08.2020 12:00,23.2,754.6,761.3,-1.7,47,Wind blowing from the south-southwest,3,,8,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,1,,,,
27.08.2020 11:00,21.4,755.5,762.4,-0.9,55,Wind blowing from the south-east,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.0,No precipitation,1,,,,
27.08.2020 10:00,20.1,755.9,762.7,-1.0,57,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,3,,,,
27.08.2020 09:00,16.9,756.3,763.2,-0.9,72,Wind blowing from the south-southeast,2,,5,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.8,No precipitation,1,,,,
27.08.2020 08:00,15.7,756.4,763.3,-0.9,80,Wind blowing from the south-southeast,2,,4,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.3,No precipitation,1,,,,
27.08.2020 07:00,15.1,756.9,763.9,-0.4,83,Wind blowing from the south,2,,3,,Cloud development not observed or not observable. ,,,14.3,22.1,,,,,,16.0,12.2,No precipitation,12,,,,
27.08.2020 06:00,14.7,757.2,764.2,-0.7,82,Wind blowing from the south-southwest,2,,3,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.7,No precipitation,1,,,,
27.08.2020 05:00,14.3,757.3,764.2,-0.6,82,Wind blowing from the south-southwest,2,,4,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,1,,,,
27.08.2020 04:00,14.5,757.3,764.3,-0.9,80,Wind blowing from the south-southwest,2,,3,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,3,,,,
27.08.2020 03:00,15.1,757.9,764.8,-0.6,78,Wind blowing from the south-southwest,2,,3,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.3,No precipitation,1,,,,
27.08.2020 02:00,15.6,757.9,764.9,-0.8,73,"Calm, no wind",0,,,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.8,No precipitation,1,,,,
27.08.2020 01:00,16.1,758.2,765.2,-0.5,69,Wind blowing from the north,2,,4,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.4,No precipitation,6,,,,
27.08.2020 00:00,17.4,758.5,765.4,0.3,67,Wind blowing from the north,3,,6,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.2,No precipitation,1,,,,
26.08.2020 23:00,18.1,758.7,765.6,1.1,63,Wind blowing from the north,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.9,No precipitation,1,,,,
26.08.2020 22:00,19.0,758.7,765.6,1.3,60,Wind blowing from the north,5,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,3,,,,
26.08.2020 21:00,20.4,758.2,765.1,1.1,52,Wind blowing from the north-west,3,,7,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.2,No precipitation,1,,,,
26.08.2020 20:00,21.3,757.6,764.5,0.6,48,Wind blowing from the north-west,2,,,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.8,No precipitation,1,,,,
26.08.2020 19:00,22.2,757.4,764.2,0.3,45,Wind blowing from the north-west,3,,,,Cloud development not observed or not observable. ,,,16.5,24.3,,,,,,20.0,9.7,No precipitation,12,,,,
26.08.2020 18:00,23.0,757.1,763.9,0.2,43,Wind blowing from the north-west,3,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.7,No precipitation,1,,,,
26.08.2020 17:00,23.6,757.0,763.8,0.1,41,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.6,No precipitation,1,,,,
26.08.2020 16:00,23.9,757.1,763.9,0.3,42,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.2,No precipitation,3,,,,
26.08.2020 15:00,23.3,756.9,763.7,-0.1,44,Wind blowing from the west-northwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.4,No precipitation,1,,,,
26.08.2020 14:00,23.0,756.9,763.7,0.2,44,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,10.1,No precipitation,1,,,,
26.08.2020 13:00,22.3,756.8,763.6,0.6,45,Wind blowing from the west,5,,15,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.8,No precipitation,6,,,,
26.08.2020 12:00,20.7,757.0,763.9,1.2,50,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,9.9,No precipitation,1,,,,
26.08.2020 11:00,19.9,756.7,763.6,1.3,56,Wind blowing from the west,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,19.0,10.9,No precipitation,1,,,,
26.08.2020 10:00,19.1,756.2,763.1,1.6,60,Wind blowing from the west,5,,12,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.1,No precipitation,3,,,,
26.08.2020 09:00,17.9,755.8,762.7,1.8,66,Wind blowing from the west,5,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,11.5,No precipitation,1,,,,
26.08.2020 08:00,17.1,755.4,762.3,2.0,74,Wind blowing from the west,5,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.4,No precipitation,1,,,,
26.08.2020 07:00,16.5,754.6,761.5,1.2,76,Wind blowing from the west-southwest,5,,11,,Cloud development not observed or not observable. ,,,16.2,25.3,,,,,,20.0,12.3,No precipitation,12,,,,
26.08.2020 06:00,16.3,754.0,760.9,0.9,76,Wind blowing from the west-southwest,4,,11,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.1,No precipitation,1,,,,
26.08.2020 05:00,16.5,753.4,760.3,0.9,76,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.3,No precipitation,1,,,,
26.08.2020 04:00,17.1,753.4,760.3,1.4,76,Wind blowing from the west,5,,9,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,12.8,No precipitation,3,,,,
26.08.2020 03:00,17.5,753.1,760.0,1.5,76,Wind blowing from the west-southwest,4,,10,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.2,No precipitation,1,,,,
26.08.2020 02:00,18.3,752.5,759.4,1.3,72,Wind blowing from the west-southwest,4,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.2,No precipitation,1,,,,
26.08.2020 01:00,19.1,752.0,758.8,1.3,69,Wind blowing from the west-southwest,5,,13,,Cloud development not observed or not observable. ,,,,,,,,,,20.0,13.3,No precipitation,6,,,,
