"# Weather station Madrid / Cuatro Vientos (airport), Spain, METAR=LEVS,selection from 03.04.2020 till 31.08.2020, all days",,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=LEVS&lang=en,,,,,,,,,,,,
#,,,,,,,,,,,,
Local time in Madrid / Cuatro Vientos (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
31.08.2020 02:00,15.0,705.9,765.8,51,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 01:30,16.0,705.4,765.0,48,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,5.0
31.08.2020 01:00,16.0,705.4,765.0,45,Wind blowing from the east-northeast,4,,,,No Significant Clouds,10.0 and more,4.0
31.08.2020 00:30,17.0,705.6,765.0,42,Wind blowing from the north-east,4,,,,No Significant Clouds,10.0 and more,4.0
31.08.2020 00:00,18.0,705.8,765.0,37,variable wind direction,3,,,,No Significant Clouds,10.0 and more,3.0
30.08.2020 23:30,18.0,705.8,765.0,34,Wind blowing from the north-northeast,2,,,,No Significant Clouds,10.0 and more,2.0
30.08.2020 23:00,18.0,705.1,764.3,34,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,2.0
30.08.2020 22:30,18.0,705.1,764.3,32,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,1.0
30.08.2020 22:00,18.0,705.1,764.3,32,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,1.0
30.08.2020 21:30,19.0,704.6,763.5,32,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,2.0
30.08.2020 21:00,19.0,704.6,763.5,32,Wind blowing from the north,3,,,,Few clouds (10-30%) 1740 m,10.0 and more,2.0
30.08.2020 20:30,20.0,704.1,762.8,30,Wind blowing from the north,3,,,,Few clouds (10-30%) 1740 m,10.0 and more,2.0
30.08.2020 20:00,20.0,704.1,762.8,30,Wind blowing from the north,4,,,,Few clouds (10-30%) 1740 m,10.0 and more,2.0
30.08.2020 19:30,22.0,703.8,762.0,27,Wind blowing from the north,4,,,,Few clouds (10-30%) 1740 m,10.0 and more,2.0
30.08.2020 19:00,22.0,703.8,762.0,27,Wind blowing from the north,2,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 18:30,22.0,703.8,762.0,27,Wind blowing from the north-northeast,3,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 18:00,22.0,703.8,762.0,27,variable wind direction,1,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 17:30,22.0,703.8,762.0,25,variable wind direction,1,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,1.0
30.08.2020 17:00,22.0,703.8,762.0,27,Wind blowing from the east-northeast,3,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 16:30,23.0,703.2,761.2,23,Wind blowing from the north-east,3,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,1.0
30.08.2020 16:00,25.0,704.3,762.0,22,Wind blowing from the west-southwest,2,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 15:30,24.0,704.1,762.0,24,"Calm, no wind",0,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 15:00,23.0,703.9,762.0,23,variable wind direction,3,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,1.0
30.08.2020 14:30,23.0,703.9,762.0,25,variable wind direction,2,,,,Scattered clouds (40-50%) 1740 m,10.0 and more,2.0
30.08.2020 14:00,24.0,704.1,762.0,25,variable wind direction,2,,,,Few clouds (10-30%) 1740 m,10.0 and more,3.0
30.08.2020 13:30,22.0,704.5,762.8,29,variable wind direction,3,,,,Few clouds (10-30%) 1740 m,10.0 and more,3.0
30.08.2020 13:00,22.0,704.5,762.8,29,variable wind direction,2,,,,Few clouds (10-30%) 1740 m,10.0 and more,3.0
30.08.2020 12:30,22.0,704.5,762.8,31,variable wind direction,2,,,,Few clouds (10-30%) 1740 m,10.0 and more,4.0
30.08.2020 12:00,20.0,704.1,762.8,35,Wind blowing from the north-east,3,,,,Few clouds (10-30%) 1680 m,10.0 and more,4.0
30.08.2020 11:30,19.0,703.9,762.8,37,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 11:00,19.0,703.9,762.8,40,variable wind direction,3,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 10:30,18.0,703.7,762.8,43,variable wind direction,3,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 10:00,18.0,703.7,762.8,43,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 09:30,17.0,703.5,762.8,45,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 09:00,16.0,703.3,762.8,48,variable wind direction,2,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 08:30,16.0,703.3,762.8,48,variable wind direction,1,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 08:00,16.0,702.6,762.0,48,"Calm, no wind",0,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 07:30,14.0,702.2,762.0,51,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 07:00,13.0,702.0,762.0,55,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 06:30,12.0,701.8,762.0,58,Wind blowing from the east,2,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 06:00,13.0,701.3,761.2,55,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 05:30,13.0,701.3,761.2,59,Wind blowing from the east-northeast,2,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 05:00,14.0,701.5,761.2,51,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 04:30,14.0,701.5,761.2,51,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 04:00,14.0,701.5,761.2,48,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,3.0
30.08.2020 03:30,14.0,701.5,761.2,48,variable wind direction,1,,,,No Significant Clouds,10.0 and more,3.0
30.08.2020 03:00,14.0,701.5,761.2,48,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,3.0
30.08.2020 02:30,15.0,701.0,760.5,45,variable wind direction,2,,,,No Significant Clouds,10.0 and more,3.0
30.08.2020 02:00,15.0,701.0,760.5,48,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,4.0
30.08.2020 01:30,15.0,701.0,760.5,51,variable wind direction,2,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 01:00,15.0,701.0,760.5,51,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,5.0
30.08.2020 00:30,16.0,701.2,760.5,52,Wind blowing from the north-northeast,3,,,,No Significant Clouds,10.0 and more,6.0
30.08.2020 00:00,16.0,701.2,760.5,52,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 23:30,17.0,701.4,760.5,49,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 23:00,17.0,700.7,759.7,49,variable wind direction,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 22:30,17.0,700.7,759.7,49,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 22:00,17.0,700.7,759.7,49,Wind blowing from the north,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 21:30,18.0,700.2,759.0,43,Wind blowing from the north,5,10,,,No Significant Clouds,10.0 and more,5.0
29.08.2020 21:00,18.0,700.2,759.0,43,Wind blowing from the north,4,,,,"Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 1500 m",10.0 and more,5.0
29.08.2020 20:30,19.0,700.4,759.0,43,Wind blowing from the north,4,,,,"Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 1350 m",10.0 and more,6.0
29.08.2020 20:00,20.0,699.9,758.2,40,Wind blowing from the north,3,,,,"Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 1350 m",10.0 and more,6.0
29.08.2020 19:30,21.0,700.1,758.2,35,Wind blowing from the north,4,9,,,"Few clouds (10-30%) 1050 m, scattered clouds (40-50%) 1350 m",10.0 and more,5.0
29.08.2020 19:00,21.0,700.1,758.2,33,Wind blowing from the north,3,,,,"Few clouds (10-30%) 1050 m, cumulus congestus of great vertical extent , scattered clouds (40-50%) 1350 m",10.0 and more,4.0
29.08.2020 18:30,21.0,699.6,757.7,35,Wind blowing from the north,5,,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1350 m",10.0 and more,5.0
29.08.2020 18:00,23.0,700.0,757.7,29,Wind blowing from the north-west,5,,,,Scattered clouds (40-50%) 1050 m,10.0 and more,4.0
29.08.2020 17:30,23.0,700.0,757.7,29,Wind blowing from the north-northwest,5,10,,,Scattered clouds (40-50%) 1350 m,10.0 and more,4.0
29.08.2020 17:00,24.0,699.4,756.9,25,Wind blowing from the west,7,,,,Scattered clouds (40-50%) 1350 m,10.0 and more,3.0
29.08.2020 16:30,24.0,699.4,756.9,27,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1350 m",10.0 and more,4.0
29.08.2020 16:00,23.0,699.2,756.9,27,Wind blowing from the west-northwest,4,,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1350 m",10.0 and more,3.0
29.08.2020 15:30,24.0,699.4,756.9,27,Wind blowing from the north-northwest,4,10,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1260 m",10.0 and more,4.0
29.08.2020 15:00,23.0,700.0,757.7,27,Wind blowing from the west-northwest,6,11,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1260 m",10.0 and more,3.0
29.08.2020 14:30,23.0,700.0,757.7,27,Wind blowing from the west-northwest,5,,,,"Few clouds (10-30%) 1200 m, cumulonimbus clouds , scattered clouds (40-50%) 1260 m",10.0 and more,3.0
29.08.2020 14:00,24.0,700.2,757.7,27,Wind blowing from the west-northwest,5,,,,Scattered clouds (40-50%) 1050 m,10.0 and more,4.0
29.08.2020 13:30,24.0,700.2,757.7,27,Wind blowing from the north-northwest,4,,,,Scattered clouds (40-50%) 900 m,10.0 and more,4.0
29.08.2020 13:00,24.0,700.2,757.7,25,variable wind direction,3,8,,,Scattered clouds (40-50%) 900 m,10.0 and more,3.0
29.08.2020 12:30,22.0,699.8,757.7,31,Wind blowing from the west-northwest,4,,,,Few clouds (10-30%) 900 m,10.0 and more,4.0
29.08.2020 12:00,22.0,699.8,757.7,31,variable wind direction,3,,,,Few clouds (10-30%) 900 m,10.0 and more,4.0
29.08.2020 11:30,22.0,699.8,757.7,31,Wind blowing from the north,3,9,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
29.08.2020 11:00,21.0,699.6,757.7,33,Wind blowing from the north-northwest,4,,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
29.08.2020 10:30,21.0,699.6,757.7,35,Wind blowing from the north,4,,,,Few clouds (10-30%) 1050 m,10.0 and more,5.0
29.08.2020 10:00,20.0,699.4,757.7,35,Wind blowing from the north,4,,,,Few clouds (10-30%) 900 m,10.0 and more,4.0
29.08.2020 09:30,19.0,699.2,757.7,37,Wind blowing from the north,4,,,,Few clouds (10-30%) 1200 m,10.0 and more,4.0
29.08.2020 09:00,18.0,699.0,757.7,40,Wind blowing from the north,4,,,,Few clouds (10-30%) 1200 m,10.0 and more,4.0
29.08.2020 08:30,18.0,699.0,757.7,43,variable wind direction,2,,,,Few clouds (10-30%) 1350 m,10.0 and more,5.0
29.08.2020 08:00,17.0,698.1,756.9,45,variable wind direction,2,,,,Few clouds (10-30%) 1350 m,10.0 and more,5.0
29.08.2020 07:30,16.0,697.9,756.9,45,Wind blowing from the north,4,,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
29.08.2020 07:00,16.0,697.9,756.9,45,Wind blowing from the north,3,,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
29.08.2020 06:30,17.0,697.4,756.2,45,Wind blowing from the north,3,,,,Few clouds (10-30%) 1050 m,10.0 and more,5.0
29.08.2020 06:00,17.0,697.4,756.2,49,Wind blowing from the north,2,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 05:30,17.0,697.4,756.2,56,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
29.08.2020 05:00,17.0,697.4,756.2,56,variable wind direction,3,,,,No Significant Clouds,10.0 and more,8.0
29.08.2020 04:30,17.0,697.4,756.2,59,Wind blowing from the north-east,3,,,,No Significant Clouds,10.0 and more,9.0
29.08.2020 04:00,17.0,697.4,756.2,59,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,9.0
29.08.2020 03:30,18.0,697.6,756.2,56,variable wind direction,3,,,,No Significant Clouds,10.0 and more,9.0
29.08.2020 03:00,18.0,697.6,756.2,60,Wind blowing from the east-northeast,3,,,,No Significant Clouds,10.0 and more,10.0
29.08.2020 02:30,19.0,697.8,756.2,56,Wind blowing from the east,3,,,,No Significant Clouds,10.0 and more,10.0
29.08.2020 02:00,19.0,697.8,756.2,49,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,8.0
29.08.2020 01:30,20.0,698.0,756.2,40,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 01:00,20.0,698.0,756.2,40,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,6.0
29.08.2020 00:00,21.0,698.2,756.2,38,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,6.0
28.08.2020 23:30,22.0,698.4,756.2,33,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,5.0
28.08.2020 23:00,22.0,698.4,756.2,33,Wind blowing from the west-northwest,7,12,,,No Significant Clouds,9,5.0
28.08.2020 22:30,23.0,698.6,756.2,31,variable wind direction,6,,,,No Significant Clouds,9,5.0
28.08.2020 22:00,24.0,698.8,756.2,27,Wind blowing from the west-northwest,6,11,,,No Significant Clouds,10.0 and more,4.0
28.08.2020 21:30,24.0,698.8,756.2,22,Wind blowing from the west-northwest,6,12,,,No Significant Clouds,10.0 and more,1.0
28.08.2020 21:00,25.0,699.0,756.2,18,Wind blowing from the west-northwest,5,,,,No Significant Clouds,10.0 and more,-1.0
28.08.2020 20:30,26.0,698.4,755.4,17,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,-1.0
28.08.2020 20:00,27.0,698.6,755.4,18,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,1.0
28.08.2020 19:30,28.0,698.8,755.4,16,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,0.0
28.08.2020 19:00,29.0,698.9,755.4,14,Wind blowing from the north-west,6,,,,No Significant Clouds,10.0 and more,-1.0
28.08.2020 18:30,30.0,699.1,755.4,18,Wind blowing from the west-northwest,6,,,,No Significant Clouds,10.0 and more,3.0
28.08.2020 18:00,31.0,699.3,755.4,18,Wind blowing from the west-northwest,7,,,,Few clouds (10-30%) 1740 m,10.0 and more,4.0
28.08.2020 17:30,32.0,699.5,755.4,21,Wind blowing from the west-northwest,6,,,,Few clouds (10-30%) 1740 m,10.0 and more,7.0
28.08.2020 17:00,32.0,699.5,755.4,24,Wind blowing from the west-northwest,5,,,,Few clouds (10-30%) 1650 m,10.0 and more,9.0
28.08.2020 16:30,33.0,699.7,755.4,23,Wind blowing from the west,5,,,,Few clouds (10-30%) 1650 m,10.0 and more,9.0
28.08.2020 16:00,33.0,699.7,755.4,24,Wind blowing from the west,5,,,,Few clouds (10-30%) 1650 m,10.0 and more,10.0
28.08.2020 15:30,32.0,700.2,756.2,27,Wind blowing from the west,6,,,,Few clouds (10-30%) 1650 m,10.0 and more,11.0
28.08.2020 15:00,32.0,700.2,756.2,26,Wind blowing from the west,5,,,,Few clouds (10-30%) 1650 m,10.0 and more,10.0
28.08.2020 14:30,32.0,700.9,756.9,27,Wind blowing from the west-southwest,5,10,,,Few clouds (10-30%) 1650 m,10.0 and more,11.0
28.08.2020 14:00,32.0,700.9,756.9,26,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 13:30,32.0,700.9,756.9,27,Wind blowing from the west-southwest,6,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 13:00,32.0,701.6,757.7,26,Wind blowing from the west,6,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 12:30,32.0,701.6,757.7,26,Wind blowing from the south-west,5,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 12:00,31.0,701.4,757.7,27,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 11:30,31.0,701.9,758.2,25,Wind blowing from the west-southwest,5,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 11:00,30.0,701.7,758.2,33,Wind blowing from the west-southwest,4,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 10:30,29.0,701.5,758.2,35,Wind blowing from the west-southwest,3,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 10:00,28.0,701.4,758.2,37,Wind blowing from the south-west,2,,,,No Significant Clouds,10.0 and more,12.0
28.08.2020 09:30,27.0,701.2,758.2,42,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 09:00,27.0,701.2,758.2,42,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 08:30,27.0,701.2,758.2,42,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 08:00,24.0,701.4,759.0,54,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,14.0
28.08.2020 07:30,24.0,701.4,759.0,50,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 07:00,23.0,701.2,759.0,53,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 06:30,24.0,701.4,759.0,50,Wind blowing from the north-west,4,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 06:00,24.0,701.4,759.0,50,Wind blowing from the north-west,5,,,,No Significant Clouds,10.0 and more,13.0
28.08.2020 05:30,24.0,701.4,759.0,44,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 05:00,25.0,701.5,759.0,36,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 04:30,25.0,701.5,759.0,39,Wind blowing from the west-northwest,4,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 04:00,23.0,701.8,759.7,47,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 03:30,22.0,701.6,759.7,50,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,11.0
28.08.2020 03:00,25.0,702.2,759.7,39,variable wind direction,1,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 02:30,26.0,702.4,759.7,37,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 02:00,26.0,703.1,760.5,37,Wind blowing from the west-northwest,2,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 01:30,26.0,703.1,760.5,34,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 01:00,26.0,703.1,760.5,37,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,10.0
28.08.2020 00:30,27.0,704.0,761.2,32,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,9.0
28.08.2020 00:00,28.0,704.1,761.2,30,Wind blowing from the west-northwest,3,,,,No Significant Clouds,10.0 and more,9.0
27.08.2020 23:30,28.0,704.1,761.2,30,Wind blowing from the west,3,,,,No Significant Clouds,10.0 and more,9.0
27.08.2020 23:00,29.0,703.7,760.5,27,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 22:30,30.0,704.5,761.2,25,Wind blowing from the north-northwest,2,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 22:00,30.0,704.5,761.2,25,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 21:30,31.0,704.7,761.2,24,Wind blowing from the north-west,3,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 21:00,29.0,704.3,761.2,20,Wind blowing from the west,2,,,,No Significant Clouds,10.0 and more,4.0
27.08.2020 20:00,32.0,704.9,761.2,18,Wind blowing from the south-west,3,,,,No Significant Clouds,10.0 and more,5.0
27.08.2020 19:00,35.0,705.4,761.2,14,Wind blowing from the south-southwest,4,,,,Few clouds (10-30%) 1050 m,10.0 and more,4.0
27.08.2020 18:30,36.0,705.6,761.2,14,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,5.0
27.08.2020 18:00,37.0,705.7,761.2,13,Wind blowing from the south-southwest,3,,,,No Significant Clouds,10.0 and more,4.0
27.08.2020 17:30,37.0,705.7,761.2,14,Wind blowing from the south-west,4,,,,No Significant Clouds,10.0 and more,5.0
27.08.2020 17:00,38.0,706.6,762.0,14,variable wind direction,4,,,,No Significant Clouds,10.0 and more,6.0
27.08.2020 16:30,37.0,706.5,762.0,17,Wind blowing from the south,3,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 16:00,37.0,707.2,762.8,18,Wind blowing from the south-southwest,3,,,,No Significant Clouds,10.0 and more,9.0
27.08.2020 15:30,37.0,707.2,762.8,17,Wind blowing from the south-southwest,4,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 15:00,37.0,707.2,762.8,17,variable wind direction,2,,,,No Significant Clouds,10.0 and more,8.0
27.08.2020 14:30,36.0,707.7,763.5,17,variable wind direction,3,,,,No Significant Clouds,10.0 and more,7.0
