"# Weather station London / St. James's Park, UK, WMO_ID=3770,selection from 11.02.2020 till 11.11.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3770&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in London / St. James's Park,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
04.11.2020 12:00,11.1,,,,63,,,,,, ,,,,,,,,,,,4.2,0.2,6,,,,
04.11.2020 11:00,9.1,,,,69,,,,,, ,,,,,,,,,,,3.7,,,,,,
04.11.2020 10:00,6.9,,,,85,,,,,, ,,,,,,,,,,,4.6,,,,,,
04.11.2020 09:00,5.0,,,,97,,,,,, ,,,,,,,,,,,4.6,,,,,,
04.11.2020 08:00,2.6,,,,98,,,,,, ,,,,,,,,,,,2.3,,,,,,
04.11.2020 07:00,2.3,,,,97,,,,,, ,,,,,,,,,,,1.9,,,,,,
04.11.2020 06:00,2.1,,,,97,,,,,, ,,,2.1,,,,,,,,1.6,No precipitation,12,,,,
04.11.2020 05:00,2.7,,,,97,,,,,, ,,,,,,,,,,,2.2,,,,,,
04.11.2020 04:00,2.8,,,,95,,,,,, ,,,,,,,,,,,2.1,,,,,,
04.11.2020 03:00,3.5,,,,95,,,,,, ,,,,,,,,,,,2.8,,,,,,
04.11.2020 02:00,3.5,,,,94,,,,,, ,,,,,,,,,,,2.6,,,,,,
04.11.2020 01:00,4.2,,,,91,,,,,, ,,,,,,,,,,,2.9,,,,,,
03.11.2020 23:00,5.6,,,,88,,,,,, ,,,,,,,,,,,3.7,,,,,,
03.11.2020 22:00,5.7,,,,87,,,,,, ,,,,,,,,,,,3.7,,,,,,
03.11.2020 21:00,6.8,,,,83,,,,,, ,,,,,,,,,,,4.1,,,,,,
03.11.2020 20:00,7.3,,,,80,,,,,, ,,,,,,,,,,,4.0,,,,,,
03.11.2020 19:00,7.6,,,,77,,,,,, ,,,,,,,,,,,3.7,,,,,,
03.11.2020 18:00,7.8,,,,73,,,,,, ,,,,10.9,,,,,,,3.3,9,12,,,,
03.11.2020 17:00,9.6,,,,62,,,,,, ,,,,,,,,,,,2.7,,,,,,
03.11.2020 16:00,10.6,,,,64,,,,,, ,,,,,,,,,,,3.9,,,,,,
03.11.2020 15:00,10.6,,,,63,,,,,, ,,,,,,,,,,,3.8,,,,,,
03.11.2020 14:00,10.2,,,,66,,,,,, ,,,,,,,,,,,4.0,,,,,,
03.11.2020 13:00,10.0,,,,70,,,,,, ,,,,,,,,,,,4.8,,,,,,
03.11.2020 12:00,9.2,,,,73,,,,,, ,,,,,,,,,,,4.5,9,6,,,,
03.11.2020 11:00,8.8,,,,78,,,,,, ,,,,,,,,,,,5.2,,,,,,
03.11.2020 10:00,7.6,,,,84,,,,,, ,,,,,,,,,,,5.1,,,,,,
03.11.2020 09:00,7.9,,,,89,,,,,, ,,,,,,,,,,,6.2,,,,,,
03.11.2020 08:00,9.0,,,,92,,,,,, ,,,,,,,,,,,7.7,,,,,,
03.11.2020 07:00,8.2,,,,90,,,,,, ,,,,,,,,,,,6.7,,,,,,
03.11.2020 06:00,8.1,,,,85,,,,,, ,,,7.2,,,,,,,,5.7,0.8,12,,,,
03.11.2020 05:00,8.0,,,,78,,,,,, ,,,,,,,,,,,4.3,,,,,,
03.11.2020 04:00,7.3,,,,80,,,,,, ,,,,,,,,,,,4.1,,,,,,
03.11.2020 03:00,7.8,,,,77,,,,,, ,,,,,,,,,,,4.0,,,,,,
03.11.2020 02:00,7.6,,,,77,,,,,, ,,,,,,,,,,,3.7,,,,,,
03.11.2020 01:00,7.9,,,,77,,,,,, ,,,,,,,,,,,4.1,,,,,,
03.11.2020 00:00,7.8,,,,79,,,,,, ,,,,,,,,,,,4.4,No precipitation,6,,,,
02.11.2020 23:00,8.2,,,,75,,,,,, ,,,,,,,,,,,4.0,,,,,,
02.11.2020 22:00,9.4,,,,70,,,,,, ,,,,,,,,,,,4.1,,,,,,
02.11.2020 21:00,9.9,,,,68,,,,,, ,,,,,,,,,,,4.2,,,,,,
02.11.2020 20:00,10.3,,,,65,,,,,, ,,,,,,,,,,,3.9,,,,,,
02.11.2020 19:00,10.5,,,,65,,,,,, ,,,,,,,,,,,4.2,,,,,,
02.11.2020 18:00,10.8,,,,64,,,,,, ,,,,17.6,,,,,,,4.3,0.4,12,,,,
02.11.2020 17:00,12.3,,,,56,,,,,, ,,,,,,,,,,,3.8,,,,,,
02.11.2020 16:00,13.1,,,,59,,,,,, ,,,,,,,,,,,5.2,,,,,,
02.11.2020 15:00,13.5,,,,64,,,,,, ,,,,,,,,,,,6.7,,,,,,
02.11.2020 14:00,14.4,,,,56,,,,,, ,,,,,,,,,,,5.7,,,,,,
02.11.2020 13:00,14.4,,,,53,,,,,, ,,,,,,,,,,,4.9,,,,,,
02.11.2020 12:00,13.8,,,,63,,,,,, ,,,,,,,,,,,6.8,0.2,6,,,,
02.11.2020 11:00,13.6,,,,76,,,,,, ,,,,,,,,,,,9.5,,,,,,
02.11.2020 10:00,13.2,,,,86,,,,,, ,,,,,,,,,,,10.9,,,,,,
02.11.2020 09:00,17.1,,,,80,,,,,, ,,,,,,,,,,,13.6,,,,,,
02.11.2020 08:00,16.7,,,,82,,,,,, ,,,,,,,,,,,13.6,,,,,,
02.11.2020 07:00,17.3,,,,76,,,,,, ,,,,,,,,,,,13.0,,,,,,
02.11.2020 06:00,17.4,,,,79,,,,,, ,,,16.4,,,,,,,,13.6,0.2,12,,,,
02.11.2020 05:00,16.4,,,,91,,,,,, ,,,,,,,,,,,15.0,,,,,,
02.11.2020 04:00,17.1,,,,86,,,,,, ,,,,,,,,,,,14.8,,,,,,
02.11.2020 03:00,16.9,,,,87,,,,,, ,,,,,,,,,,,14.7,,,,,,
02.11.2020 02:00,17.7,,,,80,,,,,, ,,,,,,,,,,,14.2,,,,,,
02.11.2020 01:00,17.2,,,,86,,,,,, ,,,,,,,,,,,14.8,,,,,,
02.11.2020 00:00,17.5,,,,83,,,,,, ,,,,,,,,,,,14.5,No precipitation,6,,,,
01.11.2020 23:00,17.3,,,,85,,,,,, ,,,,,,,,,,,14.8,,,,,,
01.11.2020 22:00,17.1,,,,87,,,,,, ,,,,,,,,,,,14.9,,,,,,
01.11.2020 21:00,17.4,,,,85,,,,,, ,,,,,,,,,,,14.9,,,,,,
01.11.2020 20:00,17.2,,,,88,,,,,, ,,,,,,,,,,,15.1,,,,,,
01.11.2020 19:00,17.2,,,,87,,,,,, ,,,,,,,,,,,15.0,,,,,,
01.11.2020 18:00,16.7,,,,88,,,,,, ,,,,17.3,,,,,,,14.6,0.2,12,,,,
01.11.2020 17:00,16.0,,,,89,,,,,, ,,,,,,,,,,,14.2,,,,,,
01.11.2020 16:00,15.7,,,,84,,,,,, ,,,,,,,,,,,13.0,,,,,,
01.11.2020 15:00,16.0,,,,77,,,,,, ,,,,,,,,,,,11.9,,,,,,
01.11.2020 14:00,16.3,,,,76,,,,,, ,,,,,,,,,,,12.1,,,,,,
01.11.2020 13:00,16.7,,,,73,,,,,, ,,,,,,,,,,,11.8,,,,,,
01.11.2020 12:00,16.7,,,,77,,,,,, ,,,,,,,,,,,12.7,No precipitation,6,,,,
01.11.2020 11:00,17.0,,,,82,,,,,, ,,,,,,,,,,,13.9,,,,,,
01.11.2020 10:00,16.5,,,,90,,,,,, ,,,,,,,,,,,14.8,,,,,,
01.11.2020 09:00,14.9,,,,93,,,,,, ,,,,,,,,,,,13.7,,,,,,
01.11.2020 08:00,13.1,,,,90,,,,,, ,,,,,,,,,,,11.4,,,,,,
01.11.2020 07:00,12.8,,,,83,,,,,, ,,,,,,,,,,,9.9,,,,,,
01.11.2020 06:00,12.0,,,,81,,,,,, ,,,10.5,,,,,,,,8.8,0.2,12,,,,
01.11.2020 05:00,11.9,,,,76,,,,,, ,,,,,,,,,,,7.8,,,,,,
01.11.2020 04:00,11.8,,,,76,,,,,, ,,,,,,,,,,,7.6,,,,,,
01.11.2020 03:00,10.6,,,,89,,,,,, ,,,,,,,,,,,8.9,,,,,,
01.11.2020 02:00,11.5,,,,77,,,,,, ,,,,,,,,,,,7.5,,,,,,
01.11.2020 01:00,11.2,,,,77,,,,,, ,,,,,,,,,,,7.3,,,,,,
01.11.2020 00:00,10.9,,,,75,,,,,, ,,,,,,,,,,,6.6,No precipitation,6,,,,
31.10.2020 23:00,11.1,,,,74,,,,,, ,,,,,,,,,,,6.5,,,,,,
31.10.2020 22:00,11.2,,,,74,,,,,, ,,,,,,,,,,,6.6,,,,,,
31.10.2020 21:00,10.9,,,,77,,,,,, ,,,,,,,,,,,7.0,,,,,,
31.10.2020 20:00,11.0,,,,79,,,,,, ,,,,,,,,,,,7.4,,,,,,
31.10.2020 19:00,10.9,,,,77,,,,,, ,,,,,,,,,,,7.0,,,,,,
31.10.2020 18:00,11.2,,,,78,,,,,, ,,,,16.3,,,,,,,7.4,7,12,,,,
31.10.2020 17:00,12.1,,,,70,,,,,, ,,,,,,,,,,,6.8,,,,,,
31.10.2020 16:00,13.3,,,,69,,,,,, ,,,,,,,,,,,7.7,,,,,,
31.10.2020 15:00,14.5,,,,80,,,,,, ,,,,,,,,,,,11.1,,,,,,
31.10.2020 14:00,15.0,,,,92,,,,,, ,,,,,,,,,,,13.7,,,,,,
31.10.2020 13:00,14.5,,,,93,,,,,, ,,,,,,,,,,,13.4,,,,,,
31.10.2020 12:00,14.3,,,,93,,,,,, ,,,,,,,,,,,13.1,4,6,,,,
31.10.2020 11:00,15.3,,,,82,,,,,, ,,,,,,,,,,,12.3,,,,,,
31.10.2020 10:00,15.5,,,,79,,,,,, ,,,,,,,,,,,11.8,,,,,,
31.10.2020 09:00,14.9,,,,80,,,,,, ,,,,,,,,,,,11.4,,,,,,
31.10.2020 08:00,14.6,,,,78,,,,,, ,,,,,,,,,,,10.8,,,,,,
31.10.2020 07:00,14.2,,,,78,,,,,, ,,,,,,,,,,,10.4,,,,,,
31.10.2020 06:00,14.3,,,,79,,,,,, ,,,13.7,,,,,,,,10.7,0.6,12,,,,
31.10.2020 05:00,14.0,,,,84,,,,,, ,,,,,,,,,,,11.3,,,,,,
31.10.2020 04:00,14.0,,,,86,,,,,, ,,,,,,,,,,,11.6,,,,,,
31.10.2020 03:00,13.9,,,,91,,,,,, ,,,,,,,,,,,12.4,,,,,,
31.10.2020 02:00,14.1,,,,90,,,,,, ,,,,,,,,,,,12.4,,,,,,
31.10.2020 01:00,14.3,,,,90,,,,,, ,,,,,,,,,,,12.7,,,,,,
31.10.2020 00:00,14.5,,,,89,,,,,, ,,,,,,,,,,,12.7,0.6,6,,,,
30.10.2020 23:00,14.7,,,,90,,,,,, ,,,,,,,,,,,13.1,,,,,,
30.10.2020 22:00,14.6,,,,93,,,,,, ,,,,,,,,,,,13.4,,,,,,
30.10.2020 21:00,14.8,,,,92,,,,,, ,,,,,,,,,,,13.5,,,,,,
30.10.2020 20:00,14.9,,,,93,,,,,, ,,,,,,,,,,,13.7,,,,,,
30.10.2020 19:00,14.8,,,,93,,,,,, ,,,,,,,,,,,13.7,,,,,,
30.10.2020 18:00,15.5,,,,87,,,,,, ,,,,16.4,,,,,,,13.4,No precipitation,12,,,,
30.10.2020 17:00,15.8,,,,85,,,,,, ,,,,,,,,,,,13.3,,,,,,
30.10.2020 16:00,15.8,,,,87,,,,,, ,,,,,,,,,,,13.6,,,,,,
30.10.2020 15:00,15.9,,,,87,,,,,, ,,,,,,,,,,,13.8,,,,,,
30.10.2020 14:00,15.9,,,,87,,,,,, ,,,,,,,,,,,13.7,,,,,,
30.10.2020 13:00,16.3,,,,84,,,,,, ,,,,,,,,,,,13.5,,,,,,
30.10.2020 12:00,16.4,,,,83,,,,,, ,,,,,,,,,,,13.5,No precipitation,6,,,,
