# Weather station Cardiff (airport), UK, METAR=EGFF,selection from 27.02.2020 till 11.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGFF&lang=en
#
"Local time in Cardiff (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"10.11.2020 04:20";"12.0";"758.2";"764.3";"100";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 420 m, broken clouds (60-90%) 720 m, overcast (100%) 1140 m";"10.0 and more";"12.0";
"10.11.2020 03:50";"12.0";"758.2";"764.3";"100";"variable wind direction";"2";"";"";"";"Broken clouds (60-90%) 360 m, overcast (100%) 840 m";"10.0 and more";"12.0";
"10.11.2020 03:20";"12.0";"758.2";"764.3";"100";"variable wind direction";"2";"";"Light rain";"Rain";"Few clouds (10-30%) 720 m, scattered clouds (40-50%) 1050 m, broken clouds (60-90%) 1290 m";"7.0";"12.0";
"10.11.2020 02:50";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"2";"";"";"";"Few clouds (10-30%) 750 m";"10.0 and more";"12.0";
"10.11.2020 02:20";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"3";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"12.0";
"10.11.2020 01:50";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"3";"";"";"";"Few clouds (10-30%) 90 m, scattered clouds (40-50%) 420 m";"10.0 and more";"12.0";
"10.11.2020 01:20";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"3";"";"";"";"Broken clouds (60-90%) 450 m, broken clouds (60-90%) 570 m, overcast (100%) 990 m";"10.0 and more";"12.0";
"10.11.2020 00:50";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"3";"";"";"Rain";"Scattered clouds (40-50%) 420 m, scattered clouds (40-50%) 630 m, broken clouds (60-90%) 810 m";"10.0 and more";"12.0";
"10.11.2020 00:20";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"2";"";"Light rain";"Rain";"Scattered clouds (40-50%) 240 m, scattered clouds (40-50%) 1110 m, cumulus congestus of great vertical extent";"8.0";"12.0";
"09.11.2020 23:50";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"3";"";"Light rain";"Rain, drizzle";"Broken clouds (60-90%) 60 m, broken clouds (60-90%) 900 m, cumulus congestus of great vertical extent";"7.0";"12.0";
"09.11.2020 23:20";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"4";"";"Heavy rain";"";"Few clouds (10-30%) 270 m, broken clouds (60-90%) 660 m, broken clouds (60-90%) 1140 m, cumulus congestus of great vertical extent";"1.9";"12.0";
"09.11.2020 22:50";"12.0";"758.2";"764.3";"100";"Wind blowing from the south-east";"4";"";"Rain";"";"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 840 m, broken clouds (60-90%) 1260 m, cumulus congestus of great vertical extent";"3.8";"12.0";
"09.11.2020 22:20";"12.0";"757.4";"763.5";"100";"Wind blowing from the east-southeast";"4";"";"Light rain";"";"Broken clouds (60-90%) 810 m, broken clouds (60-90%) 1170 m, cumulus congestus of great vertical extent";"9.0";"12.0";
"09.11.2020 21:50";"12.0";"757.4";"763.5";"100";"Wind blowing from the east-southeast";"3";"";"Light rain";"";"Few clouds (10-30%) 540 m";"10.0 and more";"12.0";
"09.11.2020 21:20";"13.0";"757.4";"763.5";"94";"Wind blowing from the south-southeast";"3";"";"Light rain";"";"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 780 m, overcast (100%) 1110 m, cumulus congestus of great vertical extent";"10.0 and more";"12.0";
"09.11.2020 20:50";"13.0";"757.4";"763.5";"94";"Wind blowing from the south-southeast";"3";"";"";"";"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 720 m, cumulus congestus of great vertical extent";"10.0 and more";"12.0";
"09.11.2020 20:20";"13.0";"757.4";"763.5";"94";"Wind blowing from the south";"4";"";"Light rain";"";"Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 810 m, broken clouds (60-90%) 1020 m, cumulus congestus of great vertical extent";"10.0 and more";"12.0";
"09.11.2020 19:50";"13.0";"757.4";"763.5";"94";"Wind blowing from the south";"4";"";"";"";"Broken clouds (60-90%) 930 m";"10.0 and more";"12.0";
"09.11.2020 19:20";"13.0";"756.7";"762.8";"94";"Wind blowing from the south-southeast";"4";"";"";"";"Few clouds (10-30%) 1260 m";"10.0 and more";"12.0";
"09.11.2020 18:50";"13.0";"756.7";"762.8";"94";"Wind blowing from the south-east";"5";"";"";"";"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 990 m, cumulonimbus clouds";"10.0 and more";"12.0";
"09.11.2020 18:20";"13.0";"756.7";"762.8";"100";"Wind blowing from the south-east";"5";"";"";"";"Broken clouds (60-90%) 420 m, overcast (100%) 1260 m, cumulonimbus clouds";"10.0 and more";"13.0";
"09.11.2020 17:50";"13.0";"756.7";"762.8";"100";"Wind blowing from the south-east";"5";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 990 m, cumulus congestus of great vertical extent";"10.0 and more";"13.0";
"09.11.2020 17:20";"13.0";"756.7";"762.8";"100";"Wind blowing from the south-east";"4";"";"";"";"Scattered clouds (40-50%) 420 m, broken clouds (60-90%) 540 m, broken clouds (60-90%) 690 m, cumulus congestus of great vertical extent";"10.0 and more";"13.0";
"09.11.2020 16:50";"13.0";"755.9";"762.0";"100";"Wind blowing from the south-southeast";"4";"";"";"Rain";"Broken clouds (60-90%) 270 m, broken clouds (60-90%) 600 m, overcast (100%) 840 m, cumulonimbus clouds";"10.0 and more";"13.0";
"09.11.2020 16:20";"14.0";"756.0";"762.0";"100";"Wind blowing from the south-east";"5";"";"Light rain";"";"Broken clouds (60-90%) 360 m, broken clouds (60-90%) 960 m, cumulonimbus clouds";"5.0";"14.0";
"09.11.2020 15:50";"14.0";"756.0";"762.0";"100";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 1170 m, scattered clouds (40-50%) 1410 m, cumulonimbus clouds";"10.0 and more";"14.0";
"09.11.2020 15:20";"14.0";"756.0";"762.0";"94";"Wind blowing from the south-east";"6";"";"";"";"Few clouds (10-30%) 660 m, broken clouds (60-90%) 780 m, broken clouds (60-90%) 900 m";"10.0 and more";"13.0";
"09.11.2020 14:50";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"6";"";"";"";"Broken clouds (60-90%) 690 m";"10.0 and more";"13.0";
"09.11.2020 14:20";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"5";"";"";"";"Broken clouds (60-90%) 660 m";"10.0 and more";"13.0";
"09.11.2020 13:50";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"5";"";"";"";"Broken clouds (60-90%) 600 m";"10.0 and more";"13.0";
"09.11.2020 13:20";"15.0";"756.0";"762.0";"88";"Wind blowing from the east-southeast";"4";"";"";"";"Scattered clouds (40-50%) 660 m";"10.0 and more";"13.0";
"09.11.2020 12:50";"14.0";"756.0";"762.0";"94";"Wind blowing from the south-east";"5";"";"";"";"Overcast (100%) 480 m";"10.0 and more";"13.0";
"09.11.2020 12:20";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"4";"";"";"";"Broken clouds (60-90%) 510 m";"10.0 and more";"13.0";
"09.11.2020 11:50";"15.0";"756.0";"762.0";"88";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 210 m";"10.0 and more";"13.0";
"09.11.2020 11:20";"14.0";"756.0";"762.0";"94";"Wind blowing from the east";"5";"";"";"";"Few clouds (10-30%) 150 m, cumulus congestus of great vertical extent";"10.0 and more";"13.0";
"09.11.2020 10:50";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"5";"";"";"";"Cumulus congestus of great vertical extent";"10.0 and more";"13.0";
"09.11.2020 10:20";"14.0";"756.7";"762.8";"94";"Wind blowing from the east";"5";"";"Light rain";"";"Broken clouds (60-90%) 180 m, cumulus congestus of great vertical extent";"8.0";"13.0";
"09.11.2020 09:50";"14.0";"756.0";"762.0";"94";"Wind blowing from the east-southeast";"6";"";"";"";"Scattered clouds (40-50%) 270 m";"10.0 and more";"13.0";
"09.11.2020 09:20";"13.0";"755.9";"762.0";"100";"Wind blowing from the east";"6";"";"";"";"Scattered clouds (40-50%) 180 m, broken clouds (60-90%) 720 m";"10.0 and more";"13.0";
"09.11.2020 08:50";"13.0";"755.9";"762.0";"94";"Wind blowing from the east";"5";"";"";"";"Broken clouds (60-90%) 150 m, overcast (100%) 690 m";"10.0 and more";"12.0";
"09.11.2020 08:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 120 m";"10.0 and more";"12.0";
"09.11.2020 07:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"";"";"Overcast (100%) 120 m";"10.0 and more";"12.0";
"09.11.2020 07:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 120 m";"10.0 and more";"12.0";
"09.11.2020 06:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 120 m";"10.0 and more";"12.0";
"09.11.2020 06:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 90 m";"8.0";"12.0";
"09.11.2020 05:50";"13.0";"755.9";"762.0";"94";"Wind blowing from the east-southeast";"5";"";"";"";"Overcast (100%) 90 m";"8.0";"12.0";
"09.11.2020 05:20";"13.0";"755.9";"762.0";"94";"Wind blowing from the east";"4";"";"";"";"Overcast (100%) 90 m";"8.0";"12.0";
"09.11.2020 04:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"";"";"Overcast (100%) 90 m";"9.0";"12.0";
"09.11.2020 04:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"";"";"Overcast (100%) 90 m";"9.0";"12.0";
"09.11.2020 03:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 120 m";"10.0 and more";"12.0";
"09.11.2020 03:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"";"";"Overcast (100%) 150 m";"10.0 and more";"12.0";
"09.11.2020 02:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"Light rain";"";"Overcast (100%) 150 m, cumulus congestus of great vertical extent";"10.0 and more";"12.0";
"09.11.2020 02:20";"12.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"Light rain";"";"Overcast (100%) 120 m, cumulus congestus of great vertical extent";"8.0";"12.0";
"09.11.2020 01:50";"12.0";"755.9";"762.0";"100";"Wind blowing from the east-southeast";"5";"";"Light rain";"";"Overcast (100%) 120 m, cumulus congestus of great vertical extent";"9.0";"12.0";
"09.11.2020 01:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east";"5";"";"";"";"Broken clouds (60-90%) 180 m, overcast (100%) 330 m";"10.0 and more";"12.0";
"09.11.2020 00:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 360 m";"10.0 and more";"12.0";
"09.11.2020 00:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"4";"";"";"";"Broken clouds (60-90%) 240 m, overcast (100%) 360 m";"10.0 and more";"12.0";
"08.11.2020 23:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"5";"";"";"";"Overcast (100%) 240 m";"10.0 and more";"12.0";
"08.11.2020 23:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"5";"";"";"";"Overcast (100%) 300 m";"10.0 and more";"12.0";
"08.11.2020 22:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"4";"";"";"";"Overcast (100%) 300 m";"10.0 and more";"12.0";
"08.11.2020 22:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 150 m, overcast (100%) 330 m";"8.0";"12.0";
"08.11.2020 21:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 90 m, broken clouds (60-90%) 420 m";"10.0 and more";"12.0";
"08.11.2020 21:20";"13.0";"756.7";"762.8";"94";"Wind blowing from the east-southeast";"5";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"12.0";
"08.11.2020 20:50";"13.0";"756.7";"762.8";"94";"Wind blowing from the east-southeast";"4";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"12.0";
"08.11.2020 20:20";"12.0";"756.7";"762.8";"94";"Wind blowing from the south-east";"3";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"11.0";
"08.11.2020 19:50";"13.0";"756.7";"762.8";"88";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 420 m";"10.0 and more";"11.0";
"08.11.2020 19:20";"13.0";"756.7";"762.8";"88";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 600 m";"10.0 and more";"11.0";
"08.11.2020 18:50";"13.0";"756.7";"762.8";"88";"Wind blowing from the east-southeast";"2";"";"";"";"Scattered clouds (40-50%) 630 m";"10.0 and more";"11.0";
"08.11.2020 18:20";"13.0";"756.7";"762.8";"94";"Wind blowing from the south-east";"2";"";"";"";"Scattered clouds (40-50%) 660 m";"10.0 and more";"12.0";
"08.11.2020 17:50";"13.0";"756.7";"762.8";"94";"Wind blowing from the east";"2";"";"";"";"Broken clouds (60-90%) 690 m";"10.0 and more";"12.0";
"08.11.2020 17:20";"13.0";"756.7";"762.8";"94";"Wind blowing from the east-southeast";"3";"";"";"";"Broken clouds (60-90%) 630 m";"10.0 and more";"12.0";
"08.11.2020 16:50";"13.0";"756.7";"762.8";"94";"Wind blowing from the east";"4";"";"";"";"Scattered clouds (40-50%) 600 m, broken clouds (60-90%) 750 m";"10.0 and more";"12.0";
"08.11.2020 16:20";"13.0";"755.9";"762.0";"94";"Wind blowing from the east-southeast";"3";"";"";"";"Overcast (100%) 750 m";"10.0 and more";"12.0";
"08.11.2020 15:50";"14.0";"756.0";"762.0";"88";"Wind blowing from the east-southeast";"2";"";"";"";"Broken clouds (60-90%) 720 m";"10.0 and more";"12.0";
"08.11.2020 15:20";"14.0";"756.0";"762.0";"88";"Wind blowing from the south-east";"2";"";"";"";"Overcast (100%) 600 m";"10.0 and more";"12.0";
"08.11.2020 14:50";"14.0";"756.0";"762.0";"88";"Wind blowing from the south-east";"2";"";"";"";"Overcast (100%) 570 m";"10.0 and more";"12.0";
"08.11.2020 14:20";"13.0";"755.9";"762.0";"100";"Wind blowing from the south-east";"2";"";"";"";"Overcast (100%) 480 m";"10.0 and more";"13.0";
"08.11.2020 13:50";"13.0";"755.9";"762.0";"100";"Wind blowing from the south-east";"3";"";"";"";"Few clouds (10-30%) 180 m, broken clouds (60-90%) 270 m, overcast (100%) 510 m";"10.0 and more";"13.0";
"08.11.2020 13:20";"13.0";"755.9";"762.0";"100";"Wind blowing from the east-southeast";"3";"";"";"";"Broken clouds (60-90%) 90 m, broken clouds (60-90%) 180 m, overcast (100%) 480 m";"9.0";"13.0";
"08.11.2020 12:50";"13.0";"755.9";"762.0";"100";"Wind blowing from the east";"2";"";"Mist";"";"Broken clouds (60-90%) 30 m";"4.3";"13.0";
"08.11.2020 12:20";"13.0";"756.7";"762.8";"100";"Wind blowing from the east";"2";"";"Mist";"";"Vertical visibility";"1.9";"13.0";
"08.11.2020 11:50";"13.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"3";"";"Fog";"";"Vertical visibility";"0.4";"13.0";
"08.11.2020 11:20";"13.0";"756.7";"762.8";"100";"Wind blowing from the east-southeast";"3";"";"Fog";"";"Vertical visibility";"0.4";"13.0";
"08.11.2020 10:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east";"3";"";"Fog";"";"Vertical visibility";"0.2";"12.0";
"08.11.2020 10:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east";"3";"";"Fog";"";"Overcast (100%) 60 m";"0.4";"12.0";
"08.11.2020 09:50";"12.0";"756.7";"762.8";"100";"Wind blowing from the east";"3";"";"Mist";"";"Vertical visibility";"1.0";"12.0";
"08.11.2020 09:20";"12.0";"756.7";"762.8";"100";"Wind blowing from the east";"3";"";"Fog";"";"Vertical visibility";"0.6";"12.0";
"08.11.2020 08:50";"12.0";"756.7";"762.8";"94";"Wind blowing from the east";"3";"";"Fog";"";"Overcast (100%) 60 m";"0.7";"11.0";
"08.11.2020 08:20";"11.0";"756.7";"762.8";"100";"Wind blowing from the east";"3";"";"Mist";"";"Overcast (100%) 60 m";"1.6";"11.0";
"08.11.2020 07:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east";"3";"";"Mist";"Rain";"Overcast (100%) 60 m";"1.8";"11.0";
"08.11.2020 07:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east";"3";"";"Light rain, drizzle";"Rain, drizzle";"Overcast (100%) 90 m";"1.4";"11.0";
"08.11.2020 06:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"3";"";"Rain, drizzle";"";"Overcast (100%) 90 m";"1.9";"11.0";
"08.11.2020 06:20";"11.0";"755.9";"762.0";"94";"Wind blowing from the east-northeast";"4";"";"Mist";"";"Overcast (100%) 150 m";"3.7";"10.0";
"08.11.2020 05:50";"11.0";"755.9";"762.0";"94";"Wind blowing from the east-northeast";"4";"";"Mist";"Rain, drizzle";"Overcast (100%) 180 m";"4.2";"10.0";
"08.11.2020 05:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east";"4";"";"Light rain";"";"Broken clouds (60-90%) 240 m, overcast (100%) 330 m";"5.0";"11.0";
"08.11.2020 04:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"4";"";"Mist";"";"Overcast (100%) 210 m";"5.0";"11.0";
"08.11.2020 04:20";"11.0";"755.1";"761.2";"100";"Wind blowing from the east-northeast";"6";"";"Mist";"";"Broken clouds (60-90%) 240 m, overcast (100%) 600 m";"5.0";"11.0";
"08.11.2020 03:50";"11.0";"755.1";"761.2";"100";"Wind blowing from the east-northeast";"4";"";"Mist";"";"Overcast (100%) 240 m";"5.0";"11.0";
"08.11.2020 03:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"4";"";"Light rain";"";"Overcast (100%) 240 m";"5.0";"11.0";
"08.11.2020 02:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"4";"";"Light rain";"";"Overcast (100%) 240 m";"8.0";"11.0";
"08.11.2020 02:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"5";"";"";"";"Overcast (100%) 270 m";"9.0";"11.0";
"08.11.2020 01:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"5";"";"";"";"Overcast (100%) 300 m";"8.0";"11.0";
"08.11.2020 01:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"4";"";"";"";"Overcast (100%) 270 m";"9.0";"11.0";
"08.11.2020 00:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"4";"";"";"";"Overcast (100%) 240 m";"10.0 and more";"11.0";
"08.11.2020 00:20";"11.0";"756.7";"762.8";"100";"Wind blowing from the east-northeast";"5";"";"";"";"Overcast (100%) 300 m";"10.0 and more";"11.0";
"07.11.2020 23:50";"11.0";"756.7";"762.8";"100";"Wind blowing from the east";"5";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"11.0";
"07.11.2020 23:20";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"6";"";"Light rain";"";"Broken clouds (60-90%) 330 m";"10.0 and more";"11.0";
"07.11.2020 22:50";"11.0";"755.9";"762.0";"100";"Wind blowing from the east-northeast";"5";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"11.0";
