# Weather station Valley (airport), UK, METAR=EGOV,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EGOV&lang=en
#
"Local time in Valley (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"19.11.2020 16:20";"7.0";"774.6";"774.7";"71";"Wind blowing from the west";"4";"";"";"";"Few clouds (10-30%) 1050 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 5700 m";"10.0 and more";"2.0";
"19.11.2020 15:50";"7.0";"774.6";"774.7";"76";"Wind blowing from the west";"6";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 7500 m";"10.0 and more";"3.0";
"19.11.2020 15:20";"8.0";"774.6";"774.7";"66";"Wind blowing from the west-northwest";"6";"";"In the vicinity shower(s)";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 1800 m, broken clouds (60-90%) 7500 m";"10.0 and more";"2.0";
"19.11.2020 14:50";"8.0";"773.8";"773.9";"62";"Wind blowing from the west";"9";"";"";"";"Few clouds (10-30%) 930 m, scattered clouds (40-50%) 7500 m";"10.0 and more";"1.0";
"19.11.2020 13:50";"9.0";"773.8";"773.9";"66";"Wind blowing from the west-northwest";"7";"";"";"";"Scattered clouds (40-50%) 990 m, scattered clouds (40-50%) 7500 m";"10.0 and more";"3.0";
"19.11.2020 13:20";"9.0";"773.3";"773.4";"62";"Wind blowing from the north-west";"5";"";"";"";"Few clouds (10-30%) 1050 m, broken clouds (60-90%) 7500 m";"10.0 and more";"2.0";
"19.11.2020 12:50";"9.0";"772.6";"772.7";"66";"Wind blowing from the north-west";"5";"";"";"";"Few clouds (10-30%) 930 m, scattered clouds (40-50%) 7500 m";"10.0 and more";"3.0";
"19.11.2020 12:26";"9.0";"772.6";"772.7";"66";"Wind blowing from the north-northwest";"6";"";"";"";"Few clouds (10-30%) 870 m";"10.0 and more";"3.0";
"19.11.2020 11:50";"9.0";"773.3";"773.4";"62";"Wind blowing from the north-west";"8";"";"";"";"Few clouds (10-30%) 870 m";"10.0 and more";"2.0";
"19.11.2020 10:50";"9.0";"772.6";"772.7";"62";"Wind blowing from the north-west";"9";"15";"In the vicinity shower(s)";"";"Few clouds (10-30%) 870 m";"10.0 and more";"2.0";
"19.11.2020 10:20";"9.0";"771.8";"771.9";"66";"Wind blowing from the north-west";"8";"";"";"";"Few clouds (10-30%) 810 m";"10.0 and more";"3.0";
"19.11.2020 09:50";"9.0";"771.0";"771.1";"66";"Wind blowing from the north-northwest";"8";"";"";"";"Few clouds (10-30%) 780 m";"10.0 and more";"3.0";
"19.11.2020 09:21";"9.0";"770.3";"770.4";"71";"Wind blowing from the north-northwest";"7";"";"";"";"Few clouds (10-30%) 750 m";"10.0 and more";"4.0";
"19.11.2020 08:50";"8.0";"769.5";"769.6";"76";"Wind blowing from the north-northwest";"9";"";"";"";"Few clouds (10-30%) 780 m";"10.0 and more";"4.0";
"19.11.2020 08:22";"9.0";"769.5";"769.6";"71";"Wind blowing from the north-northwest";"8";"14";"";"";"Few clouds (10-30%) 720 m, cumulus congestus of great vertical extent";"10.0 and more";"4.0";
"19.11.2020 07:50";"9.0";"768.8";"768.9";"76";"Wind blowing from the north-northwest";"9";"";"";"";"Few clouds (10-30%) 660 m, scattered clouds (40-50%) 1320 m, broken clouds (60-90%) 3900 m";"10.0 and more";"5.0";
"19.11.2020 07:20";"9.0";"768.0";"768.1";"76";"Wind blowing from the north-west";"9";"14";"";"";"Scattered clouds (40-50%) 660 m, broken clouds (60-90%) 1500 m, overcast (100%) 3900 m";"10.0 and more";"5.0";
"19.11.2020 06:50";"9.0";"767.2";"767.3";"76";"Wind blowing from the north-west";"10";"15";"";"";"Scattered clouds (40-50%) 690 m, broken clouds (60-90%) 1230 m";"10.0 and more";"5.0";
"19.11.2020 05:50";"9.0";"765.7";"765.8";"76";"Wind blowing from the north-west";"11";"";"";"Unknown precipitation";"Scattered clouds (40-50%) 690 m, scattered clouds (40-50%) 840 m";"10.0 and more";"5.0";
"19.11.2020 04:50";"9.0";"764.2";"764.3";"82";"Wind blowing from the north-west";"12";"17";"Unknown precipitation";"";"Scattered clouds (40-50%) 660 m, scattered clouds (40-50%) 2400 m";"10.0 and more";"6.0";
"19.11.2020 03:50";"9.0";"762.7";"762.8";"94";"Wind blowing from the west-northwest";"11";"16";"Unknown precipitation";"";"Broken clouds (60-90%) 390 m";"6.0";"8.0";
"19.11.2020 02:50";"9.0";"761.1";"761.2";"94";"Wind blowing from the west-northwest";"10";"15";"Heavy rain";"";"Few clouds (10-30%) 270 m, broken clouds (60-90%) 330 m";"10.0 and more";"8.0";
"19.11.2020 01:50";"9.0";"760.4";"760.5";"94";"Wind blowing from the west";"13";"";"";"Unknown precipitation";"Broken clouds (60-90%) 450 m, broken clouds (60-90%) 660 m";"10.0 and more";"8.0";
"19.11.2020 00:50";"10.0";"758.9";"759.0";"76";"Wind blowing from the west";"13";"18";"";"Unknown precipitation";"Few clouds (10-30%) 720 m, broken clouds (60-90%) 990 m";"10.0 and more";"6.0";
"18.11.2020 23:50";"10.0";"758.1";"758.2";"76";"Wind blowing from the west";"13";"19";"";"";"Few clouds (10-30%) 570 m, broken clouds (60-90%) 870 m";"10.0 and more";"6.0";
"18.11.2020 22:50";"10.0";"757.6";"757.7";"82";"Wind blowing from the west";"15";"20";"";"Unknown precipitation";"Broken clouds (60-90%) 660 m, scattered clouds (40-50%) 1020 m";"10.0 and more";"7.0";
"18.11.2020 21:50";"10.0";"756.8";"756.9";"76";"Wind blowing from the west-southwest";"17";"";"";"";"Broken clouds (60-90%) 840 m, broken clouds (60-90%) 1170 m";"10.0 and more";"6.0";
"18.11.2020 20:50";"10.0";"756.8";"756.9";"76";"Wind blowing from the south-west";"17";"23";"";"";"Broken clouds (60-90%) 810 m";"10.0 and more";"6.0";
"18.11.2020 19:50";"10.0";"756.8";"756.9";"71";"Wind blowing from the west-southwest";"15";"";"";"";"Broken clouds (60-90%) 780 m";"10.0 and more";"5.0";
"18.11.2020 18:50";"10.0";"757.6";"757.7";"71";"Wind blowing from the west-southwest";"14";"";"";"";"Broken clouds (60-90%) 780 m";"10.0 and more";"5.0";
"18.11.2020 17:50";"10.0";"757.6";"757.7";"71";"Wind blowing from the west-southwest";"13";"";"";"";"Scattered clouds (40-50%) 870 m";"10.0 and more";"5.0";
"18.11.2020 16:50";"10.0";"756.8";"756.9";"71";"Wind blowing from the west-southwest";"15";"";"";"";"Broken clouds (60-90%) 1020 m";"10.0 and more";"5.0";
"18.11.2020 15:50";"10.0";"756.8";"756.9";"71";"Wind blowing from the west-southwest";"13";"";"";"";"Broken clouds (60-90%) 1080 m";"10.0 and more";"5.0";
"18.11.2020 14:50";"10.0";"756.8";"756.9";"67";"Wind blowing from the west-southwest";"14";"";"";"";"Few clouds (10-30%) 960 m";"10.0 and more";"4.0";
"18.11.2020 14:21";"10.0";"756.1";"756.2";"67";"Wind blowing from the west-southwest";"11";"";"";"";"Few clouds (10-30%) 990 m";"10.0 and more";"4.0";
"18.11.2020 13:50";"11.0";"756.1";"756.2";"72";"Wind blowing from the west";"11";"";"";"";"Scattered clouds (40-50%) 900 m, scattered clouds (40-50%) 2760 m";"10.0 and more";"6.0";
"18.11.2020 13:22";"11.0";"756.1";"756.2";"77";"Wind blowing from the west-southwest";"11";"";"";"";"Few clouds (10-30%) 690 m, broken clouds (60-90%) 1320 m";"10.0 and more";"7.0";
"18.11.2020 12:50";"11.0";"755.3";"755.4";"82";"Wind blowing from the west";"10";"";"";"";"Broken clouds (60-90%) 690 m, broken clouds (60-90%) 1110 m, broken clouds (60-90%) 5100 m";"10.0 and more";"8.0";
"18.11.2020 12:19";"11.0";"755.3";"755.4";"88";"Wind blowing from the west-southwest";"8";"";"Light shower(s), rain";"";"Scattered clouds (40-50%) 360 m, broken clouds (60-90%) 570 m, overcast (100%) 1020 m";"10.0 and more";"9.0";
"18.11.2020 11:50";"10.0";"755.3";"755.4";"94";"Wind blowing from the west";"9";"";"Light rain";"";"Scattered clouds (40-50%) 420 m, overcast (100%) 1020 m";"10.0 and more";"9.0";
"18.11.2020 11:20";"10.0";"754.5";"754.6";"100";"Wind blowing from the west";"10";"";"Light rain";"";"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 600 m, overcast (100%) 930 m";"7.0";"10.0";
"18.11.2020 10:50";"10.0";"754.5";"754.6";"100";"Wind blowing from the west";"11";"";"Light drizzle";"";"Scattered clouds (40-50%) 120 m, overcast (100%) 480 m";"4.0";"10.0";
"18.11.2020 10:21";"13.0";"753.8";"753.9";"100";"Wind blowing from the south-southwest";"16";"";"Rain, drizzle";"Drizzle";"Broken clouds (60-90%) 90 m, overcast (100%) 330 m";"3.0";"13.0";
"18.11.2020 09:50";"13.0";"753.8";"753.9";"100";"Wind blowing from the south";"15";"";"Drizzle";"";"Overcast (100%) 90 m";"3.0";"13.0";
"18.11.2020 09:20";"13.0";"753.8";"753.9";"100";"Wind blowing from the south";"15";"";"Drizzle";"";"Overcast (100%) 150 m";"3.0";"13.0";
"18.11.2020 09:02";"13.0";"753.8";"753.9";"94";"Wind blowing from the south";"15";"";"Light drizzle";"Rain, drizzle";"Broken clouds (60-90%) 150 m, broken clouds (60-90%) 360 m, overcast (100%) 510 m";"4.5";"12.0";
"18.11.2020 08:50";"13.0";"753.8";"753.9";"94";"Wind blowing from the south";"15";"";"Rain, drizzle";"";"Broken clouds (60-90%) 150 m, scattered clouds (40-50%) 360 m";"3.0";"12.0";
"18.11.2020 08:21";"13.0";"753.8";"753.9";"94";"Wind blowing from the south";"14";"";"Rain, drizzle";"";"Broken clouds (60-90%) 150 m, overcast (100%) 360 m";"3.0";"12.0";
"18.11.2020 08:06";"13.0";"754.5";"754.6";"94";"Wind blowing from the south";"14";"";"Rain, drizzle";"";"Overcast (100%) 180 m";"3.0";"12.0";
"18.11.2020 07:50";"13.0";"754.5";"754.6";"94";"Wind blowing from the south";"14";"";"Rain";"";"Overcast (100%) 180 m";"7.0";"12.0";
"18.11.2020 06:50";"13.0";"754.5";"754.6";"94";"Wind blowing from the south";"15";"";"Light rain";"";"Overcast (100%) 180 m";"8.0";"12.0";
"18.11.2020 05:50";"13.0";"755.3";"755.4";"88";"Wind blowing from the south";"16";"";"Drizzle";"";"Broken clouds (60-90%) 210 m, scattered clouds (40-50%) 420 m";"3.8";"11.0";
"18.11.2020 04:50";"12.0";"756.1";"756.2";"94";"Wind blowing from the south";"15";"21";"";"";"Overcast (100%) 210 m";"10.0 and more";"11.0";
"18.11.2020 03:50";"13.0";"756.8";"756.9";"88";"Wind blowing from the south";"15";"20";"";"";"Broken clouds (60-90%) 270 m, scattered clouds (40-50%) 570 m";"10.0 and more";"11.0";
"18.11.2020 02:50";"12.0";"757.6";"757.7";"94";"Wind blowing from the south";"15";"";"Haze";"Drizzle";"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 420 m";"9.0";"11.0";
"18.11.2020 01:50";"12.0";"758.1";"758.2";"94";"Wind blowing from the south";"15";"";"Drizzle";"";"Overcast (100%) 240 m";"3.3";"11.0";
"18.11.2020 00:50";"12.0";"758.9";"759.0";"94";"Wind blowing from the south";"15";"";"Drizzle";"";"Broken clouds (60-90%) 330 m, broken clouds (60-90%) 630 m";"3.6";"11.0";
"17.11.2020 23:50";"12.0";"759.6";"759.7";"94";"Wind blowing from the south";"15";"";"Haze";"";"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 480 m, broken clouds (60-90%) 3000 m";"6.0";"11.0";
"17.11.2020 22:50";"12.0";"759.6";"759.7";"94";"Wind blowing from the south";"15";"";"Mist";"Drizzle";"Overcast (100%) 210 m";"6.0";"11.0";
"17.11.2020 21:50";"12.0";"759.6";"759.7";"94";"Wind blowing from the south";"15";"";"Drizzle";"";"Few clouds (10-30%) 210 m, broken clouds (60-90%) 270 m";"3.0";"11.0";
"17.11.2020 20:50";"12.0";"759.6";"759.7";"94";"Wind blowing from the south";"16";"";"Haze";"";"Few clouds (10-30%) 240 m, broken clouds (60-90%) 810 m";"7.0";"11.0";
"17.11.2020 19:50";"12.0";"760.4";"760.5";"100";"Wind blowing from the south-southwest";"16";"";"Mist";"Drizzle";"Broken clouds (60-90%) 120 m";"7.0";"12.0";
"17.11.2020 18:50";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"15";"";"Unknown precipitation";"";"Broken clouds (60-90%) 180 m";"4.1";"12.0";
"17.11.2020 17:50";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"13";"";"Drizzle";"";"Overcast (100%) 90 m";"3.9";"12.0";
"17.11.2020 16:50";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"12";"";"Light drizzle";"";"Overcast (100%) 120 m";"3.7";"12.0";
"17.11.2020 15:50";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"13";"";"Light drizzle";"";"Overcast (100%) 150 m";"5.0";"12.0";
"17.11.2020 15:20";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"13";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"12.0";
"17.11.2020 15:06";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"12";"";"Light drizzle";"";"Overcast (100%) 120 m";"6.0";"12.0";
"17.11.2020 14:50";"13.0";"760.4";"760.5";"94";"Wind blowing from the south-southwest";"12";"";"Mist";"";"Broken clouds (60-90%) 150 m";"9.0";"12.0";
"17.11.2020 14:20";"13.0";"760.4";"760.5";"100";"Wind blowing from the south-southwest";"12";"";"";"";"Broken clouds (60-90%) 150 m";"10.0 and more";"13.0";
"17.11.2020 13:50";"13.0";"760.4";"760.5";"100";"Wind blowing from the south-southwest";"12";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"13.0";
"17.11.2020 12:50";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"15";"";"Light drizzle";"";"Overcast (100%) 150 m";"7.0";"13.0";
"17.11.2020 12:20";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"14";"";"Light drizzle";"";"Overcast (100%) 150 m";"9.0";"13.0";
"17.11.2020 11:50";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"14";"";"Drizzle";"";"Overcast (100%) 90 m";"3.5";"13.0";
"17.11.2020 11:20";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"13";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"13.0";
"17.11.2020 10:50";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"13";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"13.0";
"17.11.2020 10:43";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"12";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"13.0";
"17.11.2020 10:21";"13.0";"759.6";"759.7";"100";"Wind blowing from the south-southwest";"13";"";"Mist";"";"Overcast (100%) 150 m";"9.0";"13.0";
"17.11.2020 09:50";"13.0";"759.6";"759.7";"94";"Wind blowing from the south-southwest";"14";"";"Mist";"";"Overcast (100%) 150 m";"7.0";"12.0";
"17.11.2020 09:26";"13.0";"759.6";"759.7";"94";"Wind blowing from the south-southwest";"15";"";"Mist";"";"Overcast (100%) 150 m";"7.0";"12.0";
"17.11.2020 08:50";"13.0";"758.9";"759.0";"94";"Wind blowing from the south-southwest";"14";"";"Mist";"";"Overcast (100%) 150 m";"6.0";"12.0";
"17.11.2020 08:20";"13.0";"758.9";"759.0";"94";"Wind blowing from the south-southwest";"14";"";"Light drizzle";"";"Overcast (100%) 150 m";"5.0";"12.0";
"17.11.2020 07:50";"13.0";"758.9";"759.0";"94";"Wind blowing from the south-southwest";"13";"";"Light drizzle";"";"Overcast (100%) 120 m";"5.0";"12.0";
"17.11.2020 06:50";"13.0";"758.9";"759.0";"94";"Wind blowing from the south-southwest";"13";"";"Haze";"";"Overcast (100%) 150 m";"6.0";"12.0";
"17.11.2020 05:50";"13.0";"758.1";"758.2";"94";"Wind blowing from the south-west";"13";"";"Mist";"";"Overcast (100%) 210 m";"8.0";"12.0";
"17.11.2020 04:50";"13.0";"758.1";"758.2";"94";"Wind blowing from the south-west";"14";"";"Haze";"";"Overcast (100%) 210 m";"8.0";"12.0";
"17.11.2020 03:50";"13.0";"758.1";"758.2";"88";"Wind blowing from the south-west";"14";"";"";"";"Overcast (100%) 300 m";"9.0";"11.0";
"17.11.2020 02:50";"13.0";"758.1";"758.2";"88";"Wind blowing from the south-west";"13";"";"";"";"Overcast (100%) 270 m";"10.0 and more";"11.0";
"17.11.2020 01:50";"13.0";"758.1";"758.2";"88";"Wind blowing from the south-west";"12";"";"Haze";"";"Overcast (100%) 240 m";"7.0";"11.0";
"17.11.2020 00:50";"13.0";"758.1";"758.2";"94";"Wind blowing from the south-west";"14";"";"Haze";"";"Broken clouds (60-90%) 240 m, scattered clouds (40-50%) 1800 m";"8.0";"12.0";
"16.11.2020 23:50";"13.0";"757.6";"757.7";"94";"Wind blowing from the south-west";"15";"";"Haze";"";"Broken clouds (60-90%) 240 m";"7.0";"12.0";
"16.11.2020 22:50";"13.0";"757.6";"757.7";"94";"Wind blowing from the south-west";"13";"";"Haze";"";"Scattered clouds (40-50%) 210 m, broken clouds (60-90%) 690 m, broken clouds (60-90%) 1800 m";"7.0";"12.0";
"16.11.2020 21:50";"13.0";"756.8";"756.9";"94";"Wind blowing from the south-west";"13";"";"Mist";"";"Broken clouds (60-90%) 180 m, broken clouds (60-90%) 690 m";"4.6";"12.0";
"16.11.2020 20:50";"13.0";"756.8";"756.9";"94";"Wind blowing from the south-west";"13";"";"Mist";"";"Broken clouds (60-90%) 180 m, broken clouds (60-90%) 570 m";"5.0";"12.0";
"16.11.2020 19:50";"13.0";"756.1";"756.2";"94";"Wind blowing from the south-west";"12";"";"Mist";"Unknown precipitation";"Scattered clouds (40-50%) 180 m, broken clouds (60-90%) 1350 m";"5.0";"12.0";
"16.11.2020 18:50";"13.0";"756.1";"756.2";"94";"Wind blowing from the south-west";"12";"";"Unknown precipitation";"";"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 1470 m";"6.0";"12.0";
"16.11.2020 17:50";"12.0";"755.3";"755.4";"100";"Wind blowing from the south-west";"12";"";"Unknown precipitation";"";"Broken clouds (60-90%) 120 m, scattered clouds (40-50%) 1500 m";"3.9";"12.0";
"16.11.2020 16:50";"12.0";"755.3";"755.4";"100";"Wind blowing from the south-southwest";"12";"";"Heavy drizzle";"";"Overcast (100%) 120 m";"2.9";"12.0";
"16.11.2020 16:20";"12.0";"755.3";"755.4";"100";"Wind blowing from the south-southwest";"12";"";"Rain";"";"Overcast (100%) 150 m";"3.2";"12.0";
"16.11.2020 15:50";"12.0";"755.3";"755.4";"94";"Wind blowing from the south-southwest";"13";"";"Rain";"";"Overcast (100%) 180 m";"3.8";"11.0";
"16.11.2020 15:20";"12.0";"756.1";"756.2";"94";"Wind blowing from the south-southwest";"13";"";"Rain";"";"Overcast (100%) 210 m";"5.0";"11.0";
"16.11.2020 14:50";"12.0";"756.1";"756.2";"94";"Wind blowing from the south-southwest";"13";"";"Rain";"";"Broken clouds (60-90%) 240 m, overcast (100%) 450 m";"8.0";"11.0";
"16.11.2020 14:20";"11.0";"756.1";"756.2";"94";"Wind blowing from the south-southwest";"13";"";"Rain";"";"Broken clouds (60-90%) 240 m, overcast (100%) 450 m";"9.0";"10.0";
"16.11.2020 13:50";"11.0";"756.8";"756.9";"94";"Wind blowing from the south-southwest";"12";"";"Rain";"";"Broken clouds (60-90%) 300 m, overcast (100%) 1020 m";"10.0 and more";"10.0";
"16.11.2020 13:31";"11.0";"756.8";"756.9";"94";"Wind blowing from the south-southwest";"12";"";"Rain";"";"Scattered clouds (40-50%) 420 m, broken clouds (60-90%) 630 m, overcast (100%) 1500 m";"10.0 and more";"10.0";
"16.11.2020 13:20";"11.0";"756.8";"756.9";"88";"Wind blowing from the south-west";"12";"";"Light rain";"";"Broken clouds (60-90%) 480 m, overcast (100%) 1500 m";"10.0 and more";"9.0";
"16.11.2020 12:50";"11.0";"756.8";"756.9";"88";"Wind blowing from the south-west";"11";"";"Light rain";"";"Scattered clouds (40-50%) 540 m, overcast (100%) 1410 m";"10.0 and more";"9.0";
"16.11.2020 12:20";"11.0";"756.8";"756.9";"82";"Wind blowing from the south-west";"9";"";"Light shower(s), rain";"";"Few clouds (10-30%) 660 m, overcast (100%) 1500 m";"10.0 and more";"8.0";
"16.11.2020 11:50";"11.0";"757.6";"757.7";"77";"Wind blowing from the south-west";"10";"";"";"";"Few clouds (10-30%) 600 m, overcast (100%) 1800 m";"10.0 and more";"7.0";
"16.11.2020 11:20";"11.0";"757.6";"757.7";"77";"Wind blowing from the west-southwest";"11";"";"";"";"Few clouds (10-30%) 540 m, overcast (100%) 2400 m";"10.0 and more";"7.0";
"16.11.2020 10:50";"11.0";"757.6";"757.7";"77";"Wind blowing from the west-southwest";"11";"";"";"";"Few clouds (10-30%) 540 m, broken clouds (60-90%) 3000 m";"10.0 and more";"7.0";
"16.11.2020 10:20";"10.0";"756.8";"756.9";"82";"Wind blowing from the west-southwest";"10";"";"";"";"Few clouds (10-30%) 570 m, overcast (100%) 3000 m";"10.0 and more";"7.0";
"16.11.2020 09:50";"10.0";"757.6";"757.7";"82";"Wind blowing from the west-southwest";"10";"";"";"";"Few clouds (10-30%) 900 m, overcast (100%) 3000 m";"10.0 and more";"7.0";
"16.11.2020 09:20";"10.0";"756.8";"756.9";"82";"Wind blowing from the west-southwest";"11";"";"";"";"Few clouds (10-30%) 900 m, overcast (100%) 3300 m";"10.0 and more";"7.0";
"16.11.2020 08:50";"10.0";"756.8";"756.9";"76";"Wind blowing from the west-southwest";"10";"";"";"";"Few clouds (10-30%) 900 m, overcast (100%) 3300 m";"10.0 and more";"6.0";
"16.11.2020 08:20";"10.0";"756.8";"756.9";"71";"Wind blowing from the west-southwest";"9";"";"";"";"Few clouds (10-30%) 930 m, broken clouds (60-90%) 3600 m";"10.0 and more";"5.0";
"16.11.2020 07:50";"10.0";"756.8";"756.9";"71";"Wind blowing from the west";"9";"";"";"";"Few clouds (10-30%) 900 m, broken clouds (60-90%) 3900 m";"10.0 and more";"5.0";
"16.11.2020 07:20";"10.0";"756.1";"756.2";"71";"Wind blowing from the west";"10";"";"";"";"Few clouds (10-30%) 930 m, broken clouds (60-90%) 1110 m, broken clouds (60-90%) 4500 m";"10.0 and more";"5.0";
"16.11.2020 06:50";"10.0";"756.1";"756.2";"71";"Wind blowing from the west";"9";"";"";"";"Few clouds (10-30%) 750 m, broken clouds (60-90%) 1110 m, broken clouds (60-90%) 4800 m";"10.0 and more";"5.0";
"16.11.2020 05:50";"10.0";"755.3";"755.4";"71";"Wind blowing from the west";"10";"";"";"";"Broken clouds (60-90%) 990 m";"10.0 and more";"5.0";
"16.11.2020 04:50";"9.0";"754.5";"754.6";"71";"Wind blowing from the west";"11";"";"";"";"Few clouds (10-30%) 810 m";"10.0 and more";"4.0";
"16.11.2020 03:50";"10.0";"753.8";"753.9";"71";"Wind blowing from the west";"12";"";"";"";"Overcast (100%) 690 m";"10.0 and more";"5.0";
"16.11.2020 02:50";"10.0";"753.0";"753.1";"88";"Wind blowing from the west";"12";"";"";"";"Few clouds (10-30%) 390 m, broken clouds (60-90%) 570 m";"10.0 and more";"8.0";
"16.11.2020 01:50";"11.0";"751.5";"751.6";"88";"Wind blowing from the west";"11";"";"";"";"Few clouds (10-30%) 420 m, scattered clouds (40-50%) 600 m, broken clouds (60-90%) 870 m";"10.0 and more";"9.0";
"16.11.2020 00:50";"12.0";"750.0";"750.1";"82";"Wind blowing from the west";"11";"";"";"";"Few clouds (10-30%) 540 m, broken clouds (60-90%) 780 m, broken clouds (60-90%) 2400 m";"10.0 and more";"9.0";
"15.11.2020 23:50";"12.0";"748.4";"748.5";"88";"Wind blowing from the west";"11";"";"";"Unknown precipitation";"Scattered clouds (40-50%) 510 m, broken clouds (60-90%) 1050 m";"10.0 and more";"10.0";
"15.11.2020 21:50";"11.0";"746.9";"747.0";"82";"Wind blowing from the west";"11";"";"";"";"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 1500 m";"10.0 and more";"8.0";
"15.11.2020 20:50";"11.0";"745.4";"745.5";"82";"Wind blowing from the west";"10";"";"";"";"Scattered clouds (40-50%) 660 m";"10.0 and more";"8.0";
"15.11.2020 19:50";"11.0";"744.6";"744.7";"77";"Wind blowing from the west";"11";"";"";"";"Few clouds (10-30%) 690 m";"10.0 and more";"7.0";
"15.11.2020 18:50";"11.0";"743.1";"743.2";"82";"Wind blowing from the west";"12";"";"";"Unknown precipitation";"Broken clouds (60-90%) 630 m, broken clouds (60-90%) 1020 m";"10.0 and more";"8.0";
