"# Weather station Shoreham-by-Sea (airport), UK, WMO_ID=3876,selection from 05.02.2020 till 11.11.2020, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3876&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Shoreham-by-Sea (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
10.11.2020 01:00,12.5,766.0,766.2,0.6,96,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,11.9,,,,,,
10.11.2020 00:00,13.5,766.0,766.1,0.7,99,Wind blowing from the south,2,,,, ,,,,,,,,,,,13.3,1,6,,,,
09.11.2020 23:00,13.3,765.7,765.8,0.5,98,Wind blowing from the east-southeast,1,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 22:00,13.2,765.4,765.6,0.2,98,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,12.9,,,,,,
09.11.2020 21:00,13.0,765.3,765.4,0.2,97,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,12.6,,,,,,
09.11.2020 20:00,13.9,765.2,765.4,0.5,97,Wind blowing from the east,4,,,, ,,,,,,,,,,,13.4,,,,,,
09.11.2020 19:00,14.0,765.2,765.4,1.2,97,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,13.6,,,,,,
09.11.2020 18:00,13.6,765.1,765.2,0.7,97,Wind blowing from the east,3,,,, ,,,,15.7,,,,,,,13.2,3,12,,,,
09.11.2020 17:00,13.5,764.7,764.8,0.5,97,Wind blowing from the east,3,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 16:00,13.8,764.0,764.2,-0.2,97,Wind blowing from the east,3,,,, ,,,,,,,,,,,13.3,,,,,,
09.11.2020 15:00,13.8,764.4,764.5,0.2,95,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 14:00,14.2,764.2,764.5,-0.3,93,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,13.1,,,,,,
09.11.2020 13:00,14.6,764.2,764.3,0.0,92,Wind blowing from the east,6,,,, ,,,,,,,,,,,13.3,,,,,,
09.11.2020 12:00,14.8,764.2,764.4,-0.2,93,Wind blowing from the east,6,,,, ,,,,,,,,,,,13.7,No precipitation,6,,,,
09.11.2020 11:00,14.8,764.5,764.6,0.3,91,Wind blowing from the east-southeast,6,,,, ,,,,,,,,,,,13.3,,,,,,
09.11.2020 10:00,14.5,764.2,764.4,0.3,96,Wind blowing from the east,6,,,, ,,,,,,,,,,,13.8,,,,,,
09.11.2020 09:00,14.0,764.4,764.5,0.7,99,Wind blowing from the east,5,,,, ,,,,,,,,,,,13.8,,,,,,
09.11.2020 08:00,13.5,764.2,764.4,0.3,100,Wind blowing from the east,5,,,, ,,,,,,,,,,,13.5,,,,,,
09.11.2020 07:00,13.4,763.9,764.1,0.3,100,Wind blowing from the east,5,,,, ,,,,,,,,,,,13.4,,,,,,
09.11.2020 06:00,13.1,763.7,763.9,-0.2,100,Wind blowing from the east,5,,,, ,,,12.2,,,,,,,,13.1,0.2,12,,,,
09.11.2020 05:00,13.0,763.9,764.0,-0.3,100,Wind blowing from the east,3,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 04:00,13.6,763.6,763.8,-0.6,99,Wind blowing from the east,4,,,, ,,,,,,,,,,,13.5,,,,,,
09.11.2020 03:00,12.8,763.9,764.2,-0.2,99,Wind blowing from the east,2,,,, ,,,,,,,,,,,12.7,,,,,,
09.11.2020 02:00,12.9,764.2,764.3,0.0,100,Wind blowing from the east,2,,,, ,,,,,,,,,,,12.9,,,,,,
09.11.2020 01:00,13.0,764.2,764.4,0.0,100,Wind blowing from the east,2,,,, ,,,,,,,,,,,13.0,,,,,,
09.11.2020 00:00,12.7,764.1,764.2,0.0,100,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,12.7,0.2,6,,,,
08.11.2020 23:00,12.7,764.2,764.3,0.3,100,Wind blowing from the south-east,1,,,, ,,,,,,,,,,,12.7,,,,,,
08.11.2020 22:00,13.0,764.2,764.3,0.3,100,"Calm, no wind",0,,,, ,,,,,,,,,,,13.0,,,,,,
08.11.2020 21:00,13.5,764.1,764.3,0.4,100,Wind blowing from the south-southwest,3,,,, ,,,,,,,,,,,13.5,,,,,,
08.11.2020 20:00,13.3,763.9,764.2,0.5,99,Wind blowing from the south,1,,,, ,,,,,,,,,,,13.2,,,,,,
08.11.2020 19:00,13.6,763.9,764.1,0.7,100,Wind blowing from the south,3,,,, ,,,,,,,,,,,13.6,,,,,,
08.11.2020 18:00,13.5,763.7,763.9,0.5,99,Wind blowing from the south-southeast,3,,,, ,,,,15.4,,,,,,,13.4,0.6,12,,,,
08.11.2020 17:00,13.6,763.4,763.6,0.3,99,Wind blowing from the south-east,2,,,, ,,,,,,,,,,,13.4,,,,,,
08.11.2020 16:00,13.9,763.2,763.4,-0.1,97,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,13.4,,,,,,
08.11.2020 15:00,14.1,763.2,763.3,-0.3,96,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.4,,,,,,
08.11.2020 14:00,14.3,763.1,763.3,-0.5,94,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,13.4,,,,,,
08.11.2020 13:00,14.8,763.3,763.4,-0.3,93,Wind blowing from the south,2,,,, ,,,,,,,,,,,13.7,,,,,,
08.11.2020 12:00,14.9,763.5,763.6,0.1,93,Wind blowing from the south-southeast,2,,,, ,,,,,,,,,,,13.7,No precipitation,6,,,,
08.11.2020 11:00,15.3,763.6,763.9,0.4,91,Wind blowing from the east-southeast,3,,,, ,,,,,,,,,,,13.8,,,,,,
08.11.2020 10:00,14.1,763.6,763.8,0.6,95,Wind blowing from the east,4,,,, ,,,,,,,,,,,13.3,,,,,,
08.11.2020 09:00,13.1,763.4,763.6,0.4,100,Wind blowing from the east,3,,,, ,,,,,,,,,,,13.1,,,,,,
08.11.2020 08:00,9.8,763.2,763.4,0.2,99,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,9.7,,,,,,
08.11.2020 07:00,9.5,763.0,763.3,-0.1,99,Wind blowing from the north,2,,,, ,,,,,,,,,,,9.3,,,,,,
08.11.2020 06:00,10.0,763.0,763.1,-0.1,99,Wind blowing from the north,2,,,, ,,,8.7,,,,,,,,9.8,No precipitation,12,,,,
08.11.2020 05:00,9.5,763.0,763.2,-0.3,98,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,9.2,,,,,,
08.11.2020 04:00,9.7,763.1,763.3,-0.2,97,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,9.2,,,,,,
08.11.2020 03:00,10.6,763.1,763.3,-0.5,94,Wind blowing from the north,2,,,, ,,,,,,,,,,,9.7,,,,,,
08.11.2020 02:00,12.4,763.3,763.5,-0.3,91,Wind blowing from the north-east,1,,,, ,,,,,,,,,,,10.9,,,,,,
08.11.2020 01:00,13.0,763.3,763.5,-0.6,91,Wind blowing from the east,4,,,, ,,,,,,,,,,,11.5,,,,,,
08.11.2020 00:00,12.5,763.6,763.8,-0.3,90,Wind blowing from the east,3,,,, ,,,,,,,,,,,10.9,No precipitation,6,,,,
07.11.2020 23:00,12.5,763.6,763.7,-0.4,91,Wind blowing from the east,3,,,, ,,,,,,,,,,,11.1,,,,,,
07.11.2020 22:00,12.6,763.9,764.1,-0.2,92,Wind blowing from the east,4,,,, ,,,,,,,,,,,11.3,,,,,,
07.11.2020 21:00,11.8,763.9,764.1,0.0,94,Wind blowing from the east,3,,,, ,,,,,,,,,,,10.8,,,,,,
07.11.2020 20:00,11.6,764.0,764.2,0.2,94,Wind blowing from the east,4,,,, ,,,,,,,,,,,10.6,,,,,,
07.11.2020 19:00,8.9,764.1,764.2,0.0,94,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,7.9,,,,,,
07.11.2020 18:00,11.3,763.9,764.1,-0.7,92,Wind blowing from the east-northeast,3,,,, ,,,,14.6,,,,,,,10.0,No precipitation,12,,,,
07.11.2020 17:00,11.5,763.8,763.9,-0.3,92,Wind blowing from the north-east,3,,,, ,,,,,,,,,,,10.3,,,,,,
07.11.2020 16:00,12.1,764.1,764.2,-0.4,92,Wind blowing from the east-southeast,2,,,, ,,,,,,,,,,,10.8,,,,,,
07.11.2020 15:00,13.5,764.6,764.8,0.0,90,Wind blowing from the south-east,3,,,, ,,,,,,,,,,,11.8,,,,,,
07.11.2020 14:00,13.7,764.1,764.3,-0.7,90,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,12.0,,,,,,
07.11.2020 13:00,14.4,764.5,764.6,-0.6,85,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,11.8,,,,,,
07.11.2020 12:00,14.1,764.6,764.8,-0.5,86,Wind blowing from the east,5,,,, ,,,,,,,,,,,11.8,No precipitation,6,,,,
07.11.2020 11:00,12.6,764.8,765.0,-0.3,89,Wind blowing from the east-northeast,3,,,, ,,,,,,,,,,,10.8,,,,,,
07.11.2020 10:00,9.6,765.1,765.3,0.1,95,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,8.9,,,,,,
07.11.2020 09:00,8.9,765.1,765.2,0.1,100,Wind blowing from the north,2,,,, ,,,,,,,,,,,8.9,,,,,,
07.11.2020 08:00,6.7,765.1,765.2,0.1,100,Wind blowing from the north,3,,,, ,,,,,,,,,,,6.7,,,,,,
07.11.2020 07:00,5.7,765.0,765.1,0.2,99,Wind blowing from the north,3,,,, ,,,,,,,,,,,5.6,,,,,,
07.11.2020 06:00,5.6,765.0,765.1,-0.3,99,Wind blowing from the north,3,,,, ,,,5.0,,,,,,,,5.5,No precipitation,12,,,,
07.11.2020 05:00,5.0,765.0,765.2,-0.4,96,Wind blowing from the north,2,,,, ,,,,,,,,,,,4.4,,,,,,
07.11.2020 04:00,5.9,764.8,765.0,-0.8,97,Wind blowing from the north,2,,,, ,,,,,,,,,,,5.5,,,,,,
07.11.2020 03:00,6.9,765.3,765.4,-0.5,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,6.4,,,,,,
07.11.2020 02:00,6.4,765.4,765.6,-0.9,94,Wind blowing from the north-east,2,,,, ,,,,,,,,,,,5.5,,,,,,
07.11.2020 01:00,7.6,765.6,765.7,-0.7,90,Wind blowing from the east-northeast,2,,,, ,,,,,,,,,,,6.1,,,,,,
07.11.2020 00:00,10.4,765.8,766.0,-0.9,86,Wind blowing from the east-southeast,4,,,, ,,,,,,,,,,,8.2,No precipitation,6,,,,
06.11.2020 23:00,11.0,766.3,766.5,-0.6,82,Wind blowing from the east-southeast,5,,,, ,,,,,,,,,,,8.0,,,,,,
06.11.2020 22:00,11.2,766.3,766.4,-1.2,80,Wind blowing from the east-southeast,7,,,, ,,,,,,,,,,,7.8,,,,,,
06.11.2020 21:00,10.8,766.7,766.9,-1.2,80,Wind blowing from the east,6,,,, ,,,,,,,,,,,7.5,,,,,,
06.11.2020 20:00,10.7,766.9,767.2,-1.0,80,Wind blowing from the east,6,,,, ,,,,,,,,,,,7.3,,,,,,
06.11.2020 19:00,9.4,767.5,767.7,-1.0,80,Wind blowing from the east-northeast,4,,,, ,,,,,,,,,,,6.1,,,,,,
06.11.2020 18:00,9.6,767.9,768.1,-1.1,77,Wind blowing from the east,4,,,, ,,,,13.3,,,,,,,5.7,No precipitation,12,,,,
06.11.2020 17:00,10.0,767.9,768.1,-1.8,73,Wind blowing from the east,5,,,, ,,,,,,,,,,,5.4,,,,,,
06.11.2020 16:00,10.9,768.5,768.7,-1.9,70,Wind blowing from the east-northeast,5,,,, ,,,,,,,,,,,5.5,,,,,,
06.11.2020 15:00,12.2,769.0,769.1,-2.0,67,Wind blowing from the east,6,,,, ,,,,,,,,,,,6.3,,,,,,
06.11.2020 14:00,12.8,769.7,769.9,-2.2,69,Wind blowing from the east,6,,,, ,,,,,,,,,,,7.1,,,,,,
06.11.2020 13:00,13.1,770.4,770.6,-1.9,68,Wind blowing from the east,7,,,, ,,,,,,,,,,,7.2,,,,,,
06.11.2020 12:00,12.5,771.0,771.1,-1.9,72,Wind blowing from the east,5,,,, ,,,,,,,,,,,7.5,No precipitation,6,,,,
06.11.2020 11:00,10.9,771.9,772.1,-1.2,79,Wind blowing from the east-northeast,5,,,, ,,,,,,,,,,,7.4,,,,,,
06.11.2020 10:00,9.1,772.3,772.6,-0.9,84,Wind blowing from the east-northeast,4,,,, ,,,,,,,,,,,6.5,,,,,,
06.11.2020 09:00,7.8,772.9,773.0,-0.5,86,Wind blowing from the east-northeast,3,,,, ,,,,,,,,,,,5.5,,,,,,
06.11.2020 08:00,4.0,773.1,773.2,-0.6,95,Wind blowing from the north,4,,,, ,,,,,,,,,,,3.3,,,,,,
06.11.2020 07:00,1.7,773.2,773.4,-0.9,99,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.5,,,,,,
06.11.2020 06:00,2.9,773.4,773.5,-1.1,95,Wind blowing from the north,4,,,, ,,,2.5,,,,,,,,2.1,0.2,12,,,,
06.11.2020 05:00,2.7,773.7,773.9,-1.2,95,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,2.0,,,,,,
06.11.2020 04:00,2.8,774.1,774.4,-1.2,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,2.3,,,,,,
06.11.2020 03:00,2.9,774.5,774.7,-1.2,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,2.4,,,,,,
06.11.2020 02:00,3.3,774.9,775.0,-1.2,97,Wind blowing from the north,4,,,, ,,,,,,,,,,,2.8,,,,,,
06.11.2020 01:00,3.7,775.3,775.5,-1.2,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,3.3,,,,,,
06.11.2020 00:00,3.7,775.7,775.9,-1.4,96,Wind blowing from the north,3,,,, ,,,,,,,,,,,3.1,No precipitation,6,,,,
05.11.2020 23:00,3.8,776.1,776.3,-1.1,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,3.4,,,,,,
05.11.2020 22:00,3.4,776.5,776.8,-0.9,100,Wind blowing from the north-northeast,3,,,, ,,,,,,,,,,,3.4,,,,,,
05.11.2020 21:00,3.3,777.1,777.3,-0.4,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,3.3,,,,,,
05.11.2020 20:00,3.1,777.2,777.4,-0.3,100,Wind blowing from the north,3,,,, ,,,,,,,,,,,3.1,,,,,,
05.11.2020 19:00,3.8,777.4,777.5,-0.3,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,3.8,,,,,,
05.11.2020 18:00,4.3,777.5,777.7,-0.5,100,Wind blowing from the north,5,,,, ,,,,7.4,,,,,,,4.3,No precipitation,12,,,,
05.11.2020 17:00,4.9,777.5,777.7,-0.8,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,4.9,,,,,,
05.11.2020 16:00,6.1,777.7,777.8,-1.2,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,6.1,,,,,,
05.11.2020 15:00,6.8,778.0,778.1,-1.5,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,6.8,,,,,,
05.11.2020 14:00,7.1,778.3,778.5,-1.8,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,7.1,,,,,,
05.11.2020 13:00,6.0,778.9,779.1,-0.9,100,Wind blowing from the north-northwest,5,,,, ,,,,,,,,,,,6.0,,,,,,
05.11.2020 12:00,5.5,779.5,779.7,-0.3,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,5.5,No precipitation,6,,,,
05.11.2020 11:00,4.4,780.1,780.3,0.5,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,4.4,,,,,,
05.11.2020 10:00,3.3,779.8,780.1,0.3,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,3.3,,,,,,
05.11.2020 09:00,3.0,779.8,780.0,0.6,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,3.0,,,,,,
05.11.2020 08:00,1.8,779.6,779.8,0.2,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,1.8,,,,,,
05.11.2020 07:00,1.3,779.5,779.8,0.0,100,Wind blowing from the north,5,,,, ,,,,,,,,,,,1.3,,,,,,
05.11.2020 06:00,1.3,779.2,779.4,-0.1,100,Wind blowing from the north,4,,,, ,,,1.0,,,,,,,,1.3,0.2,12,,,,
05.11.2020 05:00,1.4,779.4,779.5,0.1,99,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.2,,,,,,
05.11.2020 04:00,1.6,779.5,779.6,0.0,100,Wind blowing from the north,4,,,, ,,,,,,,,,,,1.6,,,,,,
05.11.2020 03:00,1.3,779.3,779.5,,97,Wind blowing from the north,2,,,, ,,,,,,,,,,,0.9,,,,,,
05.11.2020 02:00,2.1,779.3,779.5,0.1,98,Wind blowing from the north,4,,,, ,,,,,,,,,,,1.8,,,,,,
05.11.2020 01:00,2.9,779.5,779.8,0.3,97,Wind blowing from the north,4,,,, ,,,,,,,,,,,2.4,,,,,,
04.11.2020 23:00,2.0,779.2,779.4,0.9,97,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.5,,,,,,
04.11.2020 22:00,2.2,779.2,779.4,1.4,95,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.5,,,,,,
04.11.2020 21:00,1.7,778.8,779.0,1.4,95,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.0,,,,,,
04.11.2020 20:00,2.4,778.3,778.5,1.4,94,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,1.5,,,,,,
04.11.2020 19:00,4.0,777.8,778.0,1.3,92,Wind blowing from the north-northeast,2,,,, ,,,,,,,,,,,2.8,,,,,,
04.11.2020 18:00,4.4,777.4,777.5,1.5,87,Wind blowing from the north-northwest,1,,,, ,,,,11.0,,,,,,,2.4,No precipitation,12,,,,
04.11.2020 17:00,7.0,776.9,777.1,1.0,79,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,3.6,,,,,,
04.11.2020 16:00,9.2,776.5,776.7,0.8,71,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,4.1,,,,,,
04.11.2020 15:00,10.6,775.9,776.1,0.6,65,Wind blowing from the north,3,,,, ,,,,,,,,,,,4.3,,,,,,
04.11.2020 14:00,10.8,775.9,776.1,0.4,69,Wind blowing from the north,4,,,, ,,,,,,,,,,,5.2,,,,,,
04.11.2020 13:00,10.4,775.7,775.9,0.4,71,Wind blowing from the north,3,,,, ,,,,,,,,,,,5.3,,,,,,
04.11.2020 12:00,9.5,775.3,775.6,0.9,76,Wind blowing from the north-northwest,2,,,, ,,,,,,,,,,,5.4,No precipitation,6,,,,
04.11.2020 11:00,7.8,775.5,775.6,1.7,85,Wind blowing from the north,3,,,, ,,,,,,,,,,,5.4,,,,,,
04.11.2020 10:00,5.7,775.3,775.5,2.4,91,Wind blowing from the north,4,,,, ,,,,,,,,,,,4.4,,,,,,
04.11.2020 09:00,4.4,774.4,774.6,2.1,94,Wind blowing from the north,4,,,, ,,,,,,,,,,,3.5,,,,,,
04.11.2020 08:00,2.8,773.8,774.1,1.8,96,Wind blowing from the north,3,,,, ,,,,,,,,,,,2.2,,,,,,
04.11.2020 07:00,2.2,772.9,773.2,1.3,96,Wind blowing from the north,5,,,, ,,,,,,,,,,,1.6,,,,,,
04.11.2020 06:00,2.4,772.3,772.6,1.2,97,Wind blowing from the north,4,,,, ,,,0.5,,,,,,,,1.9,No precipitation,12,,,,
04.11.2020 05:00,2.1,772.0,772.2,1.2,95,Wind blowing from the north,4,,,, ,,,,,,,,,,,1.4,,,,,,
04.11.2020 04:00,2.2,771.6,771.8,1.1,95,Wind blowing from the north,4,,,, ,,,,,,,,,,,1.5,,,,,,
04.11.2020 03:00,1.6,771.1,771.3,1.0,96,Wind blowing from the north,3,,,, ,,,,,,,,,,,1.0,,,,,,
04.11.2020 02:00,0.5,770.8,771.1,1.0,95,Wind blowing from the north-northwest,3,,,, ,,,,,,,,,,,-0.2,,,,,,
04.11.2020 01:00,0.6,770.5,770.7,1.1,95,Wind blowing from the west-northwest,1,,,, ,,,,,,,,,,,-0.1,,,,,,
04.11.2020 00:00,1.5,770.1,770.3,1.2,92,Wind blowing from the north-west,2,,,, ,,,,,,,,,,,0.4,No precipitation,6,,,,
03.11.2020 23:00,3.6,769.8,769.9,1.3,92,Wind blowing from the north-northeast,1,,,, ,,,,,,,,,,,2.4,,,,,,
03.11.2020 22:00,4.6,769.4,769.6,1.5,89,Wind blowing from the north,1,,,, ,,,,,,,,,,,2.9,,,,,,
03.11.2020 21:00,4.6,768.9,769.1,1.5,90,Wind blowing from the west,2,,,, ,,,,,,,,,,,3.1,,,,,,
03.11.2020 20:00,5.9,768.5,768.7,1.6,87,Wind blowing from the west,3,,,, ,,,,,,,,,,,3.8,,,,,,
03.11.2020 19:00,6.8,767.9,768.1,1.6,84,Wind blowing from the west,2,,,, ,,,,,,,,,,,4.3,,,,,,
03.11.2020 18:00,7.6,767.4,767.6,1.5,79,Wind blowing from the west,2,,,, ,,,,12.1,,,,,,,4.2,1,12,,,,
03.11.2020 17:00,8.4,766.9,767.1,1.3,78,Wind blowing from the west,4,,,, ,,,,,,,,,,,4.7,,,,,,
03.11.2020 16:00,9.9,766.3,766.5,1.2,72,Wind blowing from the west,7,,,, ,,,,,,,,,,,5.0,,,,,,
03.11.2020 15:00,10.5,765.9,766.1,1.1,70,Wind blowing from the west,7,,14,, ,,,,,,,,,,,5.2,,,,,,
03.11.2020 14:00,10.9,765.6,765.8,1.1,66,Wind blowing from the west,7,,,, ,,,,,,,,,,,4.8,,,,,,
03.11.2020 13:00,10.8,765.1,765.4,1.0,64,Wind blowing from the west,8,,13,, ,,,,,,,,,,,4.2,,,,,,
03.11.2020 12:00,10.7,764.8,765.0,2.4,70,Wind blowing from the west-southwest,10,15,15,, ,,,,,,,,,,,5.4,1,6,,,,
03.11.2020 11:00,10.0,764.5,764.8,3.9,75,Wind blowing from the west-southwest,8,,13,, ,,,,,,,,,,,5.7,,,,,,
03.11.2020 10:00,8.4,764.1,764.2,3.9,79,Wind blowing from the west-southwest,9,14,15,, ,,,,,,,,,,,5.0,,,,,,
03.11.2020 09:00,8.1,762.4,762.6,1.8,85,Wind blowing from the west,10,,15,, ,,,,,,,,,,,5.7,,,,,,
03.11.2020 08:00,9.3,760.6,760.8,-0.8,86,Wind blowing from the west-southwest,10,,19,, ,,,,,,,,,,,7.0,,,,,,
03.11.2020 07:00,10.6,760.2,760.3,-1.7,80,Wind blowing from the south-southwest,13,,23,, ,,,,,,,,,,,7.3,,,,,,
03.11.2020 06:00,12.1,760.6,760.8,-2.5,74,Wind blowing from the south,15,20,21,, ,,,5.5,,,,,,,,7.6,No precipitation,12,,,,
03.11.2020 05:00,12.3,761.4,761.5,-2.1,69,Wind blowing from the south,12,,15,, ,,,,,,,,,,,6.7,,,,,,
03.11.2020 04:00,12.1,761.9,762.1,-2.0,63,Wind blowing from the south,9,,13,, ,,,,,,,,,,,5.2,,,,,,
03.11.2020 03:00,11.5,763.1,763.3,-0.8,72,Wind blowing from the south-southwest,6,,,, ,,,,,,,,,,,6.5,,,,,,
03.11.2020 02:00,10.9,763.5,763.7,0.0,69,Wind blowing from the south-west,7,,,, ,,,,,,,,,,,5.3,,,,,,
03.11.2020 01:00,8.6,763.9,764.0,0.8,70,Wind blowing from the west-southwest,4,,,, ,,,,,,,,,,,3.4,,,,,,
