# Weather station Mumbles, UK, WMO_ID=3609,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3609&lang=en
#
"Local time in Mumbles";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.11.2020 03:00";"9.4";"762.2";"766.2";"2.3";"76";"Wind blowing from the west";"9";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"19.11.2020 02:00";"9.5";"761.4";"765.4";"2.3";"78";"Wind blowing from the west";"9";"14";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"19.11.2020 01:00";"10.6";"760.3";"764.3";"1.2";"70";"Wind blowing from the west";"14";"19";"22";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"19.11.2020 00:00";"7.9";"773.8";"777.8";"15.1";"68";"Wind blowing from the west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.2";"No precipitation";"6";"";"";"";"";
"18.11.2020 23:00";"11.3";"759.1";"763.0";"0.6";"69";"Wind blowing from the west-southwest";"18";"24";"24";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"18.11.2020 22:00";"11.1";"759.1";"763.0";"0.6";"70";"Wind blowing from the west";"17";"";"23";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"18.11.2020 21:00";"11.0";"758.7";"762.6";"0.5";"69";"Wind blowing from the west-southwest";"20";"";"24";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"18.11.2020 20:00";"11.0";"758.5";"762.4";"0.9";"69";"Wind blowing from the west-southwest";"17";"";"22";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"18.11.2020 19:00";"10.7";"758.5";"762.4";"1.2";"63";"Wind blowing from the west";"15";"21";"21";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"18.11.2020 18:00";"10.6";"758.2";"762.1";"1.5";"65";"Wind blowing from the west";"13";"";"20";"";" ";"";"";"";"13.4";"";"";"";"";"";"";"4.3";"1.0";"12";"";"";"";"";
"18.11.2020 17:00";"10.3";"757.6";"761.6";"1.5";"65";"Wind blowing from the west";"12";"20";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";
"18.11.2020 16:00";"10.4";"757.3";"761.2";"1.8";"67";"Wind blowing from the west";"10";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"18.11.2020 15:00";"10.9";"756.7";"760.7";"2.4";"64";"Wind blowing from the west";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"18.11.2020 14:00";"11.3";"756.1";"760.0";"1.5";"75";"Wind blowing from the west";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"18.11.2020 13:00";"10.9";"755.5";"759.4";"0.8";"92";"Wind blowing from the west";"9";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"18.11.2020 12:00";"12.7";"754.3";"758.2";"";"96";"Wind blowing from the south-west";"14";"";"40";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"1.0";"6";"";"";"";"";
"18.11.2020 11:00";"13.0";"754.6";"758.5";"-0.6";"96";"Wind blowing from the south";"12";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"12.3";"";"";"";"";"";"";
"18.11.2020 10:00";"13.2";"754.7";"758.5";"-1.2";"93";"Wind blowing from the south";"15";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"18.11.2020 09:00";"13.1";"754.9";"758.8";"-1.5";"94";"Wind blowing from the south";"13";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"18.11.2020 08:00";"13.0";"755.2";"759.1";"-1.9";"93";"Wind blowing from the south";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"18.11.2020 07:00";"13.1";"755.9";"759.8";"-1.7";"91";"Wind blowing from the south";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"18.11.2020 06:00";"12.9";"756.4";"760.3";"-2.0";"91";"Wind blowing from the south";"8";"";"";"";" ";"";"";"11.8";"";"";"";"";"";"";"";"11.5";"No precipitation";"12";"";"";"";"";
"18.11.2020 05:00";"12.9";"757.1";"761.0";"-1.8";"90";"Wind blowing from the south";"9";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"18.11.2020 04:00";"12.8";"757.6";"761.5";"-1.8";"88";"Wind blowing from the south";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.8";"";"";"";"";"";"";
"18.11.2020 03:00";"12.7";"758.4";"762.3";"-1.5";"87";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"18.11.2020 02:00";"12.8";"758.9";"762.8";"-1.4";"86";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.5";"";"";"";"";"";"";
"18.11.2020 01:00";"12.7";"759.4";"763.4";"-1.3";"86";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"18.11.2020 00:00";"12.7";"759.9";"763.8";"";"85";"Wind blowing from the south";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"No precipitation";"6";"";"";"";"";
"17.11.2020 23:00";"12.6";"760.3";"764.2";"-1.0";"84";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"17.11.2020 22:00";"12.6";"760.7";"764.7";"-0.6";"84";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"17.11.2020 21:00";"12.5";"761.0";"765.0";"-0.4";"85";"Wind blowing from the south";"8";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"10.1";"";"";"";"";"";"";
"17.11.2020 20:00";"12.4";"761.3";"765.2";"0.1";"85";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"17.11.2020 19:00";"12.2";"761.3";"765.2";"0.3";"89";"Wind blowing from the south-southwest";"10";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"10.4";"";"";"";"";"";"";
"17.11.2020 18:00";"11.8";"761.4";"765.3";"0.6";"96";"Wind blowing from the south-southwest";"10";"";"16";"";" ";"";"";"";"12.6";"";"";"";"";"";"";"11.1";"2.0";"12";"";"";"";"";
"17.11.2020 17:00";"12.0";"761.2";"765.1";"0.5";"95";"Wind blowing from the south-southwest";"13";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"17.11.2020 16:00";"12.1";"761.0";"765.0";"0.4";"97";"Wind blowing from the south-west";"14";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"17.11.2020 15:00";"12.3";"760.8";"764.7";"0.2";"97";"Wind blowing from the south-west";"14";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"17.11.2020 14:00";"12.4";"760.7";"764.6";"0.1";"98";"Wind blowing from the south-west";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"17.11.2020 13:00";"12.5";"760.6";"764.5";"0.3";"98";"Wind blowing from the south-west";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"17.11.2020 12:00";"12.5";"760.6";"764.5";"0.8";"98";"Wind blowing from the south-west";"13";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"1.0";"6";"";"";"";"";
"17.11.2020 11:00";"12.5";"760.6";"764.5";"1.1";"98";"Wind blowing from the south-southwest";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"17.11.2020 10:00";"12.4";"760.3";"764.2";"1.0";"98";"Wind blowing from the south-southwest";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"12.1";"";"";"";"";"";"";
"17.11.2020 09:00";"12.4";"759.8";"763.7";"0.7";"97";"Wind blowing from the south-southwest";"14";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"17.11.2020 08:00";"12.1";"759.5";"763.5";"0.4";"97";"Wind blowing from the south-southwest";"14";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"17.11.2020 07:00";"12.2";"759.3";"763.2";"0.3";"94";"Wind blowing from the south-west";"15";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"17.11.2020 06:00";"12.3";"759.1";"763.0";"0.1";"94";"Wind blowing from the south-west";"15";"";"20";"";" ";"";"";"11.9";"";"";"";"";"";"";"";"11.4";"0.6";"12";"";"";"";"";
"17.11.2020 05:00";"12.1";"759.1";"763.0";"0.2";"97";"Wind blowing from the south-west";"14";"";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"17.11.2020 04:00";"12.0";"759.0";"762.9";"-0.1";"96";"Wind blowing from the south-west";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"17.11.2020 03:00";"12.0";"759.0";"762.9";"0.2";"96";"Wind blowing from the south-west";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"17.11.2020 02:00";"12.2";"758.9";"762.8";"0.5";"92";"Wind blowing from the south-west";"14";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"17.11.2020 01:00";"12.0";"759.1";"763.0";"1.0";"94";"Wind blowing from the south-west";"12";"";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"17.11.2020 00:00";"12.7";"758.8";"762.7";"";"89";"Wind blowing from the south-west";"15";"";"39";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"16.11.2020 23:00";"12.7";"758.4";"762.3";"1.1";"91";"Wind blowing from the south-west";"15";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"16.11.2020 22:00";"12.9";"758.1";"762.0";"1.1";"91";"Wind blowing from the west-southwest";"14";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"16.11.2020 21:00";"12.5";"757.6";"761.6";"0.9";"94";"Wind blowing from the south-west";"15";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"16.11.2020 20:00";"12.9";"757.3";"761.2";"0.9";"91";"Wind blowing from the west-southwest";"16";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"11.5";"";"";"";"";"";"";
"16.11.2020 19:00";"12.8";"757.0";"760.9";"0.4";"93";"Wind blowing from the west-southwest";"16";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"11.7";"";"";"";"";"";"";
"16.11.2020 18:00";"12.7";"756.7";"760.6";"0.0";"94";"Wind blowing from the south-west";"16";"";"21";"";" ";"";"";"";"12.7";"";"";"";"";"";"";"11.7";"5.0";"12";"";"";"";"";
"16.11.2020 17:00";"12.2";"756.4";"760.3";"-0.5";"97";"Wind blowing from the south-west";"16";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"";"";"";"";"";"";
"16.11.2020 16:00";"11.6";"756.6";"760.5";"-0.1";"97";"Wind blowing from the south-west";"15";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"16.11.2020 15:00";"11.4";"756.7";"760.6";"-0.4";"96";"Wind blowing from the south-west";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"10.7";"";"";"";"";"";"";
"16.11.2020 14:00";"11.7";"756.9";"760.8";"-0.4";"91";"Wind blowing from the south-west";"13";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"16.11.2020 13:00";"11.9";"756.7";"760.6";"0.1";"84";"Wind blowing from the west-southwest";"14";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"16.11.2020 12:00";"11.4";"757.1";"761.0";"0.7";"85";"Wind blowing from the west-southwest";"10";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"No precipitation";"6";"";"";"";"";
"16.11.2020 11:00";"11.1";"757.3";"761.2";"1.5";"80";"Wind blowing from the west-southwest";"12";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"16.11.2020 10:00";"11.4";"756.6";"760.5";"1.2";"77";"Wind blowing from the west";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"16.11.2020 09:00";"11.1";"756.4";"760.3";"1.8";"77";"Wind blowing from the west";"7";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"16.11.2020 08:00";"10.3";"755.8";"759.7";"1.9";"70";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"16.11.2020 07:00";"9.9";"755.4";"759.3";"2.2";"70";"Wind blowing from the west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"16.11.2020 06:00";"10.3";"754.6";"758.5";"2.1";"65";"Wind blowing from the west";"8";"";"13";"";" ";"";"";"10.0";"";"";"";"";"";"";"";"3.9";"No precipitation";"12";"";"";"";"";
"16.11.2020 05:00";"10.5";"753.9";"757.8";"2.8";"71";"Wind blowing from the west";"8";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"16.11.2020 04:00";"10.6";"753.2";"757.1";"3.1";"75";"Wind blowing from the west";"10";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"16.11.2020 03:00";"10.5";"752.5";"756.4";"3.4";"76";"Wind blowing from the west";"10";"";"16";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"16.11.2020 02:00";"10.8";"751.1";"755.0";"3.4";"79";"Wind blowing from the west";"9";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"7.2";"";"";"";"";"";"";
"16.11.2020 01:00";"11.0";"750.1";"754.0";"3.2";"81";"Wind blowing from the west";"11";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"16.11.2020 00:00";"10.6";"749.1";"753.0";"3.1";"88";"Wind blowing from the west";"14";"20";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"8.6";"No precipitation";"6";"";"";"";"";
"15.11.2020 23:00";"11.7";"747.7";"751.6";"2.8";"81";"Wind blowing from the west";"12";"";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";
"15.11.2020 22:00";"11.0";"746.9";"750.8";"3.4";"77";"Wind blowing from the west";"9";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"15.11.2020 21:00";"10.8";"746.0";"749.9";"3.8";"74";"Wind blowing from the west";"8";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"15.11.2020 20:00";"11.2";"744.9";"748.7";"3.1";"71";"Wind blowing from the west";"10";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"15.11.2020 19:00";"11.1";"743.5";"747.4";"2.7";"72";"Wind blowing from the west-southwest";"14";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"6.1";"";"";"";"";"";"";
"15.11.2020 18:00";"11.1";"742.2";"746.0";"2.1";"73";"Wind blowing from the west-southwest";"17";"";"20";"";" ";"";"";"";"12.5";"";"";"";"";"";"";"6.3";"7.0";"12";"";"";"";"";
"15.11.2020 17:00";"10.9";"741.8";"745.6";"2.3";"69";"Wind blowing from the west-southwest";"13";"";"18";"";" ";"";"";"";"";"";"";"";"";"";"";"5.4";"";"";"";"";"";"";
"15.11.2020 16:00";"10.5";"740.8";"744.7";"1.4";"68";"Wind blowing from the west-southwest";"14";"";"21";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"15.11.2020 15:00";"10.1";"740.1";"743.9";"0.4";"74";"Wind blowing from the west-southwest";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"15.11.2020 14:00";"9.4";"739.5";"743.3";"0.0";"77";"Wind blowing from the west-southwest";"15";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"15.11.2020 13:00";"8.5";"739.4";"743.3";"-0.3";"87";"Wind blowing from the south-west";"13";"";"22";"";" ";"";"";"";"";"";"";"";"";"";"";"6.4";"";"";"";"";"";"";
"15.11.2020 12:00";"7.9";"739.7";"743.6";"0.4";"89";"Wind blowing from the south-west";"18";"";"25";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"5.0";"6";"";"";"";"";
"15.11.2020 11:00";"9.1";"739.5";"743.4";"0.8";"87";"Wind blowing from the west-southwest";"11";"";"23";"";" ";"";"";"";"";"";"";"";"";"";"";"7.0";"";"";"";"";"";"";
"15.11.2020 10:00";"9.4";"739.7";"743.5";"1.3";"77";"Wind blowing from the west-southwest";"15";"";"23";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"15.11.2020 09:00";"10.7";"739.3";"743.2";"1.5";"71";"Wind blowing from the west-southwest";"17";"";"25";"";" ";"";"";"";"";"";"";"";"";"";"";"5.5";"";"";"";"";"";"";
"15.11.2020 08:00";"10.4";"738.7";"742.5";"-0.2";"74";"Wind blowing from the west-southwest";"21";"";"25";"";" ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
"15.11.2020 07:00";"10.1";"738.4";"742.3";"-2.1";"94";"Wind blowing from the south-west";"17";"";"26";"";" ";"";"";"";"";"";"";"";"";"";"";"9.1";"";"";"";"";"";"";
"15.11.2020 06:00";"12.1";"737.8";"741.7";"-3.9";"86";"Wind blowing from the south-southwest";"16";"22";"22";"";" ";"";"";"11.8";"";"";"";"";"";"";"";"9.8";"0.2";"12";"";"";"";"";
"15.11.2020 05:00";"12.5";"738.9";"742.7";"-3.7";"86";"Wind blowing from the south";"15";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"15.11.2020 04:00";"12.3";"740.5";"744.3";"-3.3";"84";"Wind blowing from the south";"12";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"15.11.2020 03:00";"12.1";"741.7";"745.5";"-2.7";"85";"Wind blowing from the south";"11";"";"13";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"15.11.2020 02:00";"12.0";"742.6";"746.5";"-2.3";"85";"Wind blowing from the south";"10";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";
"15.11.2020 01:00";"12.1";"743.8";"747.6";"-1.4";"85";"Wind blowing from the south";"11";"";"15";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"15.11.2020 00:00";"12.3";"744.4";"748.2";"";"84";"Wind blowing from the south-southwest";"13";"";"33";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"No precipitation";"6";"";"";"";"";
"14.11.2020 23:00";"12.2";"744.9";"748.7";"-0.1";"84";"Wind blowing from the south-southwest";"13";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"14.11.2020 22:00";"12.3";"745.2";"749.0";"0.1";"85";"Wind blowing from the south-southwest";"13";"";"19";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"14.11.2020 21:00";"12.1";"745.1";"749.0";"0.1";"87";"Wind blowing from the south-southwest";"13";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";
"14.11.2020 20:00";"12.5";"745.0";"748.8";"0.5";"86";"Wind blowing from the south-southwest";"16";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"10.2";"";"";"";"";"";"";
"14.11.2020 19:00";"12.6";"745.1";"748.9";"1.2";"83";"Wind blowing from the south-southwest";"15";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"14.11.2020 18:00";"12.6";"745.0";"748.8";"1.2";"85";"Wind blowing from the south-west";"14";"";"21";"";" ";"";"";"";"14.2";"";"";"";"";"";"";"10.2";"5.0";"12";"";"";"";"";
"14.11.2020 17:00";"12.9";"744.5";"748.3";"0.1";"86";"Wind blowing from the south-west";"15";"";"21";"";" ";"";"";"";"";"";"";"";"";"";"";"10.6";"";"";"";"";"";"";
"14.11.2020 16:00";"13.1";"743.9";"747.7";"-1.7";"90";"Wind blowing from the south-west";"19";"";"23";"";" ";"";"";"";"";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"14.11.2020 15:00";"13.1";"743.8";"747.6";"-2.8";"94";"Wind blowing from the south-southwest";"16";"";"20";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
"14.11.2020 14:00";"13.3";"744.4";"748.2";"-3.2";"94";"Wind blowing from the south";"11";"";"17";"";" ";"";"";"";"";"";"";"";"";"";"";"12.4";"";"";"";"";"";"";
"14.11.2020 13:00";"13.9";"745.6";"749.4";"-2.3";"88";"Wind blowing from the south";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"14.11.2020 12:00";"13.9";"746.6";"750.4";"-1.6";"87";"Wind blowing from the south";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.8";"No precipitation";"6";"";"";"";"";
"14.11.2020 11:00";"13.6";"747.6";"751.4";"-1.0";"90";"Wind blowing from the south";"9";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.0";"";"";"";"";"";"";
"14.11.2020 10:00";"13.5";"747.9";"751.7";"-1.3";"92";"Wind blowing from the south";"10";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"12.2";"";"";"";"";"";"";
