# Weather station Hereford, UK, WMO_ID=3522,selection from 03.02.2020 till 20.11.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3522&lang=en
#
"Local time in Hereford";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.11.2020 02:00";"8.6";"754.6";"761.6";"-0.1";"79";"Wind blowing from the west";"9";"15";"15";"";" ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"5.1";"";"";"";"";"";"";
"19.11.2020 01:00";"9.1";"754.6";"761.5";"-0.1";"75";"Wind blowing from the west-southwest";"7";"15";"15";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"23.0";"4.8";"";"";"";"";"";"";
"19.11.2020 00:00";"1.1";"770.1";"777.4";"15.5";"94";"Wind blowing from the west-southwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"0.2";"No precipitation";"6";"";"";"";"";
"18.11.2020 23:00";"9.8";"754.7";"761.7";"0.5";"68";"Wind blowing from the west-southwest";"6";"";"13";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"17.0";"4.2";"";"";"";"";"";"";
"18.11.2020 22:00";"9.2";"754.7";"761.7";"0.7";"69";"Wind blowing from the west-southwest";"6";"11";"14";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"18.0";"3.7";"";"";"";"";"";"";
"18.11.2020 21:00";"9.1";"754.6";"761.5";"0.8";"69";"Wind blowing from the west-southwest";"6";"11";"13";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"18.0";"3.6";"";"";"";"";"";"";
"18.11.2020 20:00";"8.8";"754.2";"761.2";"0.6";"69";"Wind blowing from the west-southwest";"6";"";"13";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"17.0";"3.3";"";"";"";"";"";"";
"18.11.2020 19:00";"8.7";"754.0";"760.9";"1.7";"69";"Wind blowing from the west-southwest";"6";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"18.0";"3.2";"";"";"";"";"";"";
"18.11.2020 18:00";"8.4";"753.8";"760.8";"2.2";"71";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"14.0";"";"";"2500 or more, or no clouds.";"";"";"19.0";"3.3";"0.4";"12";"";"";"";"";
"18.11.2020 17:00";"8.9";"753.6";"760.5";"2.8";"68";"Wind blowing from the west-southwest";"6";"11";"13";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"20.0";"3.3";"";"";"";"";"";"";
"18.11.2020 16:00";"10.6";"752.3";"759.2";"2.5";"72";"Wind blowing from the west-southwest";"6";"14";"14";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"23.0";"5.8";"";"";"";"";"";"";
"18.11.2020 15:00";"11.9";"751.6";"758.4";"1.1";"81";"Wind blowing from the west";"7";"";"13";"";" ";"";"";"";"";"";"";"300-600";"";"";"28.0";"8.7";"";"";"";"";"";"";
"18.11.2020 14:00";"12.9";"750.8";"757.6";"-0.5";"86";"Wind blowing from the west-southwest";"6";"12";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"27.0";"10.6";"";"";"";"";"";"";
"18.11.2020 13:00";"13.9";"749.8";"756.7";"-1.8";"90";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"19.0";"12.3";"";"";"";"";"";"";
"18.11.2020 12:00";"13.1";"750.5";"757.3";"-1.6";"90";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"12.0";"11.5";"0.2";"6";"";"";"";"";
"18.11.2020 11:00";"12.9";"751.3";"758.1";"-1.5";"91";"Wind blowing from the south";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"200-300";"";"";"17.0";"11.5";"";"";"";"";"";"";
"18.11.2020 10:00";"12.6";"751.6";"758.5";"-1.5";"92";"Wind blowing from the south";"3";"9";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"200-300";"";"";"11.0";"11.4";"";"";"";"";"";"";
"18.11.2020 09:00";"12.5";"752.1";"759.0";"-1.5";"92";"Wind blowing from the south";"3";"8";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"300-600";"";"";"11.0";"11.2";"";"";"";"";"";"";
"18.11.2020 08:00";"12.3";"752.8";"759.7";"-1.3";"90";"Wind blowing from the south";"2";"";"";"";"Haze or smoke, or dust in suspension in the air, visibility equal to, or greater than, 1 km. ";"";"";"";"";"";"";"300-600";"";"";"7.0";"10.7";"";"";"";"";"";"";
"18.11.2020 07:00";"12.3";"753.1";"760.0";"-1.8";"88";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"13.0";"10.3";"";"";"";"";"";"";
"18.11.2020 06:00";"12.2";"753.6";"760.5";"-1.7";"87";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"9.6";"";"";"";"300-600";"";"";"16.0";"10.0";"No precipitation";"12";"";"";"";"";
"18.11.2020 05:00";"11.8";"754.1";"761.0";"-1.7";"87";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"13.0";"9.6";"";"";"";"";"";"";
"18.11.2020 04:00";"11.7";"754.9";"761.8";"-1.5";"87";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"15.0";"9.6";"";"";"";"";"";"";
"18.11.2020 03:00";"11.0";"755.3";"762.3";"-1.5";"91";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"9.6";"";"";"";"";"";"";
"18.11.2020 02:00";"9.8";"755.8";"762.7";"-1.4";"89";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"15.0";"8.0";"";"";"";"";"";"";
"18.11.2020 01:00";"10.6";"756.4";"763.3";"-0.8";"88";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"15.0";"8.6";"";"";"";"";"";"";
"18.11.2020 00:00";"9.3";"754.6";"761.5";"-3.0";"72";"Wind blowing from the west-southwest";"7";"13";"13";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"4.5";"Trace of precipitation";"6";"";"";"";"";
"17.11.2020 23:00";"11.6";"757.2";"764.1";"-0.4";"83";"Wind blowing from the south";"2";"7";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"17.0";"8.8";"";"";"";"";"";"";
"17.11.2020 22:00";"11.5";"757.2";"764.1";"-0.2";"81";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"8.3";"";"";"";"";"";"";
"17.11.2020 21:00";"12.1";"757.6";"764.5";"0.0";"77";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"21.0";"8.2";"";"";"";"";"";"";
"17.11.2020 20:00";"12.4";"757.6";"764.5";"0.0";"84";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"29.0";"9.7";"";"";"";"";"";"";
"17.11.2020 19:00";"12.5";"757.4";"764.3";"0.1";"88";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"24.0";"10.6";"";"";"";"";"";"";
"17.11.2020 18:00";"13.2";"757.6";"764.5";"0.6";"87";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"14.7";"";"";"300-600";"";"";"26.0";"11.1";"0.2";"12";"";"";"";"";
"17.11.2020 17:00";"13.5";"757.6";"764.4";"0.9";"85";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"26.0";"11.0";"";"";"";"";"";"";
"17.11.2020 16:00";"13.8";"757.3";"764.2";"0.5";"84";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"24.0";"11.1";"";"";"";"";"";"";
"17.11.2020 15:00";"14.6";"757.0";"763.9";"0.2";"82";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"11.6";"";"";"";"";"";"";
"17.11.2020 14:00";"14.5";"756.7";"763.6";"-0.3";"85";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"11.9";"";"";"";"";"";"";
"17.11.2020 13:00";"13.7";"756.8";"763.7";"0.2";"90";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"28.0";"12.0";"";"";"";"";"";"";
"17.11.2020 12:00";"13.2";"756.8";"763.7";"0.4";"90";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"29.0";"11.6";"No precipitation";"6";"";"";"";"";
"17.11.2020 11:00";"12.6";"757.0";"763.9";"0.9";"91";"Wind blowing from the south";"2";"8";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"29.0";"11.1";"";"";"";"";"";"";
"17.11.2020 10:00";"12.3";"756.6";"763.5";"1.0";"91";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"200-300";"";"";"26.0";"10.8";"";"";"";"";"";"";
"17.11.2020 09:00";"12.7";"756.4";"763.3";"1.1";"87";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"26.0";"10.5";"";"";"";"";"";"";
"17.11.2020 08:00";"12.6";"756.1";"763.0";"0.9";"86";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"23.0";"10.3";"";"";"";"";"";"";
"17.11.2020 07:00";"12.9";"755.6";"762.4";"0.5";"84";"Wind blowing from the south-west";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"10.2";"";"";"";"";"";"";
"17.11.2020 06:00";"12.6";"755.3";"762.2";"0.2";"83";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"10.7";"";"";"";"600-1000";"";"";"30.0";"9.8";"Trace of precipitation";"12";"";"";"";"";
"17.11.2020 05:00";"12.5";"755.2";"762.1";"0.1";"81";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"26.0";"9.3";"";"";"";"";"";"";
"17.11.2020 04:00";"12.5";"755.1";"762.0";"0.2";"84";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"28.0";"9.8";"";"";"";"";"";"";
"17.11.2020 03:00";"12.7";"755.1";"762.0";"0.3";"81";"Wind blowing from the south-west";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"28.0";"9.5";"";"";"";"";"";"";
"17.11.2020 02:00";"12.6";"755.1";"762.0";"0.7";"86";"Wind blowing from the south-west";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"29.0";"10.3";"";"";"";"";"";"";
"17.11.2020 01:00";"12.5";"754.9";"761.8";"0.9";"89";"Wind blowing from the south-southwest";"1";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"26.0";"10.7";"";"";"";"";"";"";
"17.11.2020 00:00";"13.0";"754.8";"761.6";"1.3";"87";"Wind blowing from the south-west";"2";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"10.8";"Trace of precipitation";"6";"";"";"";"";
"16.11.2020 23:00";"13.8";"754.4";"761.3";"1.3";"81";"Wind blowing from the south-west";"3";"";"13";"";" ";"";"";"";"";"";"";"600-1000";"";"";"29.0";"10.6";"";"";"";"";"";"";
"16.11.2020 22:00";"14.0";"754.0";"760.8";"1.1";"80";"Wind blowing from the west-southwest";"5";"11";"14";"";" ";"";"";"";"";"";"";"600-1000";"";"";"35.0";"10.5";"";"";"";"";"";"";
"16.11.2020 21:00";"14.2";"753.5";"760.3";"0.8";"80";"Wind blowing from the west-southwest";"7";"12";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"28.0";"10.8";"";"";"";"";"";"";
"16.11.2020 20:00";"12.6";"753.1";"759.9";"0.0";"97";"Wind blowing from the west-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"600-1000";"";"";"30.0";"12.1";"";"";"";"";"";"";
"16.11.2020 19:00";"10.9";"752.9";"759.8";"-0.2";"97";"Wind blowing from the south-southwest";"2";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"600-1000";"";"";"20.0";"10.4";"";"";"";"";"";"";
"16.11.2020 18:00";"10.7";"752.7";"759.6";"-0.4";"95";"Wind blowing from the south-southwest";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"12.1";"";"";"600-1000";"";"";"10.0";"10.0";"1.0";"12";"";"";"";"";
"16.11.2020 17:00";"10.7";"753.1";"760.0";"-0.2";"94";"Wind blowing from the south-southwest";"1";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"7.0";"9.8";"";"";"";"";"";"";
"16.11.2020 16:00";"10.9";"753.1";"760.0";"0.0";"89";"Wind blowing from the south-southeast";"1";"";"";"";"Rain shower(s) or intermittent rain, moderate. ";"";"";"";"";"";"";"600-1000";"";"";"11.0";"9.2";"";"";"";"";"";"";
"16.11.2020 15:00";"12.1";"753.1";"760.0";"0.0";"79";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"8.5";"";"";"";"";"";"";
"16.11.2020 14:00";"11.8";"753.3";"760.2";"0.3";"74";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"25.0";"7.2";"";"";"";"";"";"";
"16.11.2020 13:00";"11.4";"753.1";"760.0";"0.6";"73";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"22.0";"6.6";"";"";"";"";"";"";
"16.11.2020 12:00";"11.2";"753.1";"760.0";"0.7";"72";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"22.0";"6.3";"No precipitation";"6";"";"";"";"";
"16.11.2020 11:00";"10.9";"753.0";"759.9";"1.6";"75";"Wind blowing from the west-southwest";"4";"9";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"20.0";"6.5";"";"";"";"";"";"";
"16.11.2020 10:00";"9.6";"752.5";"759.4";"2.0";"74";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"22.0";"5.2";"";"";"";"";"";"";
"16.11.2020 09:00";"8.9";"752.4";"759.4";"2.9";"73";"Wind blowing from the west-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"24.0";"4.3";"";"";"";"";"";"";
"16.11.2020 08:00";"8.9";"751.4";"758.4";"2.1";"75";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"23.0";"4.6";"";"";"";"";"";"";
"16.11.2020 07:00";"9.0";"750.5";"757.5";"2.4";"75";"Wind blowing from the west";"6";"";"13";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"25.0";"4.7";"";"";"";"";"";"";
"16.11.2020 06:00";"9.3";"749.5";"756.4";"2.3";"74";"Wind blowing from the west";"8";"13";"13";"";" ";"";"";"8.4";"";"";"";"600-1000";"";"";"18.0";"4.8";"Trace of precipitation";"12";"";"";"";"";
"16.11.2020 05:00";"9.7";"749.3";"756.2";"3.4";"78";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"23.0";"6.1";"";"";"";"";"";"";
"16.11.2020 04:00";"9.9";"748.1";"754.9";"3.1";"88";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"19.0";"7.9";"";"";"";"";"";"";
"16.11.2020 03:00";"10.5";"747.2";"754.1";"2.9";"88";"Wind blowing from the west-southwest";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"19.0";"8.5";"";"";"";"";"";"";
"16.11.2020 02:00";"10.4";"745.9";"752.8";"2.7";"89";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"10.0";"8.6";"";"";"";"";"";"";
"16.11.2020 01:00";"9.9";"745.0";"751.9";"2.8";"91";"Wind blowing from the west-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"24.0";"8.5";"";"";"";"";"";"";
"16.11.2020 00:00";"10.1";"744.3";"751.1";"3.1";"82";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"25.0";"7.2";"Trace of precipitation";"6";"";"";"";"";
"15.11.2020 23:00";"9.8";"743.2";"750.1";"3.0";"79";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"25.0";"6.2";"";"";"";"";"";"";
"15.11.2020 22:00";"9.9";"742.2";"749.0";"3.1";"76";"Wind blowing from the west-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"23.0";"5.8";"";"";"";"";"";"";
"15.11.2020 21:00";"9.9";"741.2";"748.0";"3.2";"76";"Wind blowing from the west-southwest";"4";"10";"14";"";" ";"";"";"";"";"";"";"600-1000";"";"";"21.0";"5.9";"";"";"";"";"";"";
"15.11.2020 20:00";"9.7";"740.2";"747.1";"2.7";"77";"Wind blowing from the west-southwest";"4";"9";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"5.9";"";"";"";"";"";"";
"15.11.2020 19:00";"8.9";"739.1";"745.9";"2.1";"77";"Wind blowing from the west-southwest";"4";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"19.0";"5.1";"";"";"";"";"";"";
"15.11.2020 18:00";"8.4";"738.0";"744.8";"1.4";"75";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"11.4";"";"";"1500-2000";"";"";"21.0";"4.2";"5.0";"12";"";"";"";"";
"15.11.2020 17:00";"6.2";"737.5";"744.3";"0.7";"84";"Wind blowing from the south-west";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"24.0";"3.7";"";"";"";"";"";"";
"15.11.2020 16:00";"5.9";"737.0";"743.9";"0.1";"91";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"30.0";"4.5";"";"";"";"";"";"";
"15.11.2020 15:00";"6.6";"736.6";"743.4";"-0.4";"87";"Wind blowing from the south";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"29.0";"4.6";"";"";"";"";"";"";
"15.11.2020 14:00";"6.3";"736.8";"743.6";"0.3";"90";"Wind blowing from the south";"2";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"4.8";"";"";"";"";"";"";
"15.11.2020 13:00";"6.6";"736.9";"743.7";"0.6";"89";"Wind blowing from the south-southwest";"2";"";"";"";"Rain, not freezing, moderate. ";"";"";"";"";"";"";"1000-1500";"";"";"10.0";"4.9";"";"";"";"";"";"";
"15.11.2020 12:00";"8.0";"737.0";"743.8";"1.0";"81";"Wind blowing from the south-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"24.0";"4.9";"1.0";"6";"";"";"";"";
"15.11.2020 11:00";"10.4";"736.5";"743.3";"0.8";"66";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"21.0";"4.3";"";"";"";"";"";"";
"15.11.2020 10:00";"9.5";"736.3";"743.1";"1.7";"66";"Wind blowing from the south-west";"4";"11";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"21.0";"3.4";"";"";"";"";"";"";
"15.11.2020 09:00";"9.5";"736.0";"742.7";"0.3";"72";"Wind blowing from the south-west";"4";"9";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"20.0";"4.7";"";"";"";"";"";"";
"15.11.2020 08:00";"9.5";"735.7";"742.4";"-0.9";"82";"Wind blowing from the south-west";"4";"10";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"6.6";"";"";"";"";"";"";
"15.11.2020 07:00";"10.9";"734.6";"741.4";"-3.5";"90";"Wind blowing from the south";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"300-600";"";"";"27.0";"9.3";"";"";"";"";"";"";
"15.11.2020 06:00";"11.4";"735.7";"742.4";"-3.3";"89";"Wind blowing from the south-southeast";"5";"";"";"";"Rain shower(s) or intermittent rain, slight. ";"";"";"10.2";"";"";"";"300-600";"";"";"12.0";"9.6";"Trace of precipitation";"12";"";"";"";"";
"15.11.2020 05:00";"11.0";"736.6";"743.4";"-3.3";"88";"Wind blowing from the south";"2";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"300-600";"";"";"21.0";"9.1";"";"";"";"";"";"";
"15.11.2020 04:00";"11.0";"738.1";"744.9";"-2.6";"88";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"15.0";"9.0";"";"";"";"";"";"";
"15.11.2020 03:00";"10.3";"739.0";"745.9";"-2.3";"89";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"14.0";"8.6";"";"";"";"";"";"";
"15.11.2020 02:00";"10.4";"739.9";"746.7";"-2.1";"87";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"19.0";"8.3";"";"";"";"";"";"";
"15.11.2020 01:00";"10.7";"740.7";"747.5";"-1.4";"86";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"16.0";"8.5";"";"";"";"";"";"";
"15.11.2020 00:00";"10.1";"744.3";"751.1";"2.3";"82";"Wind blowing from the west-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"25.0";"7.2";"Trace of precipitation";"6";"";"";"";"";
